index,offset,name,record_id,record_tag,raw_tail_hex
0,0,none,0,0,00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
1,32,Scavenger Crab,36865,265,00 00 00 00 00 00 00 00 00 00 00 00 01 90 09 01
2,64,Stygian Pugil,36866,265,00 00 00 00 00 00 00 00 00 00 00 00 02 90 09 01
3,96,Bouncing Ball,36867,265,00 00 00 00 00 00 00 00 00 00 00 00 03 90 09 01
4,128,Demonic Pugil,36868,265,00 00 00 00 00 00 00 00 00 00 00 00 04 90 09 01
5,160,Demonic Pugil,36869,265,00 00 00 00 00 00 00 00 00 00 00 00 05 90 09 01
6,192,Bark Spider,36870,265,00 00 00 00 00 00 00 00 00 00 00 00 06 90 09 01
7,224,Bark Spider,36871,265,00 00 00 00 00 00 00 00 00 00 00 00 07 90 09 01
8,256,Bark Spider,36872,265,00 00 00 00 00 00 00 00 00 00 00 00 08 90 09 01
9,288,Bark Spider,36873,265,00 00 00 00 00 00 00 00 00 00 00 00 09 90 09 01
10,320,Death Cap,36874,265,00 00 00 00 00 00 00 00 00 00 00 00 0a 90 09 01
11,352,Death Cap,36875,265,00 00 00 00 00 00 00 00 00 00 00 00 0b 90 09 01
12,384,Death Cap,36876,265,00 00 00 00 00 00 00 00 00 00 00 00 0c 90 09 01
13,416,Death Cap,36877,265,00 00 00 00 00 00 00 00 00 00 00 00 0d 90 09 01
14,448,Death Cap,36878,265,00 00 00 00 00 00 00 00 00 00 00 00 0e 90 09 01
15,480,Bark Spider,36879,265,00 00 00 00 00 00 00 00 00 00 00 00 0f 90 09 01
16,512,Bark Spider,36880,265,00 00 00 00 00 00 00 00 00 00 00 00 10 90 09 01
17,544,Death Cap,36881,265,00 00 00 00 00 00 00 00 00 00 00 00 11 90 09 01
18,576,Death Cap,36882,265,00 00 00 00 00 00 00 00 00 00 00 00 12 90 09 01
19,608,Death Cap,36883,265,00 00 00 00 00 00 00 00 00 00 00 00 13 90 09 01
20,640,Death Cap,36884,265,00 00 00 00 00 00 00 00 00 00 00 00 14 90 09 01
21,672,Bark Spider,36885,265,00 00 00 00 00 00 00 00 00 00 00 00 15 90 09 01
22,704,Bark Spider,36886,265,00 00 00 00 00 00 00 00 00 00 00 00 16 90 09 01
23,736,Bark Spider,36887,265,00 00 00 00 00 00 00 00 00 00 00 00 17 90 09 01
24,768,Bark Spider,36888,265,00 00 00 00 00 00 00 00 00 00 00 00 18 90 09 01
25,800,Bark Spider,36889,265,00 00 00 00 00 00 00 00 00 00 00 00 19 90 09 01
26,832,Bark Spider,36890,265,00 00 00 00 00 00 00 00 00 00 00 00 1a 90 09 01
27,864,Bark Spider,36891,265,00 00 00 00 00 00 00 00 00 00 00 00 1b 90 09 01
28,896,Death Cap,36892,265,00 00 00 00 00 00 00 00 00 00 00 00 1c 90 09 01
29,928,Death Cap,36893,265,00 00 00 00 00 00 00 00 00 00 00 00 1d 90 09 01
30,960,Death Cap,36894,265,00 00 00 00 00 00 00 00 00 00 00 00 1e 90 09 01
31,992,Death Cap,36895,265,00 00 00 00 00 00 00 00 00 00 00 00 1f 90 09 01
32,1024,Death Cap,36896,265,00 00 00 00 00 00 00 00 00 00 00 00 20 90 09 01
33,1056,Death Cap,36897,265,00 00 00 00 00 00 00 00 00 00 00 00 21 90 09 01
34,1088,Death Cap,36898,265,00 00 00 00 00 00 00 00 00 00 00 00 22 90 09 01
35,1120,Ellyllon,36899,265,00 00 00 00 00 00 00 00 00 00 00 00 23 90 09 01
36,1152,Bark Spider,36900,265,00 00 00 00 00 00 00 00 00 00 00 00 24 90 09 01
37,1184,Bark Spider,36901,265,00 00 00 00 00 00 00 00 00 00 00 00 25 90 09 01
38,1216,Bark Spider,36902,265,00 00 00 00 00 00 00 00 00 00 00 00 26 90 09 01
39,1248,Bark Spider,36903,265,00 00 00 00 00 00 00 00 00 00 00 00 27 90 09 01
40,1280,Bark Spider,36904,265,00 00 00 00 00 00 00 00 00 00 00 00 28 90 09 01
41,1312,Bark Spider,36905,265,00 00 00 00 00 00 00 00 00 00 00 00 29 90 09 01
42,1344,Death Cap,36906,265,00 00 00 00 00 00 00 00 00 00 00 00 2a 90 09 01
43,1376,Death Cap,36907,265,00 00 00 00 00 00 00 00 00 00 00 00 2b 90 09 01
44,1408,Death Cap,36908,265,00 00 00 00 00 00 00 00 00 00 00 00 2c 90 09 01
45,1440,Death Cap,36909,265,00 00 00 00 00 00 00 00 00 00 00 00 2d 90 09 01
46,1472,Death Cap,36910,265,00 00 00 00 00 00 00 00 00 00 00 00 2e 90 09 01
47,1504,Death Cap,36911,265,00 00 00 00 00 00 00 00 00 00 00 00 2f 90 09 01
48,1536,Death Cap,36912,265,00 00 00 00 00 00 00 00 00 00 00 00 30 90 09 01
49,1568,Death Cap,36913,265,00 00 00 00 00 00 00 00 00 00 00 00 31 90 09 01
50,1600,Death Cap,36914,265,00 00 00 00 00 00 00 00 00 00 00 00 32 90 09 01
51,1632,Death Cap,36915,265,00 00 00 00 00 00 00 00 00 00 00 00 33 90 09 01
52,1664,Death Cap,36916,265,00 00 00 00 00 00 00 00 00 00 00 00 34 90 09 01
53,1696,Bark Spider,36917,265,00 00 00 00 00 00 00 00 00 00 00 00 35 90 09 01
54,1728,Bark Spider,36918,265,00 00 00 00 00 00 00 00 00 00 00 00 36 90 09 01
55,1760,Bark Spider,36919,265,00 00 00 00 00 00 00 00 00 00 00 00 37 90 09 01
56,1792,Bark Spider,36920,265,00 00 00 00 00 00 00 00 00 00 00 00 38 90 09 01
57,1824,Bark Spider,36921,265,00 00 00 00 00 00 00 00 00 00 00 00 39 90 09 01
58,1856,Bark Spider,36922,265,00 00 00 00 00 00 00 00 00 00 00 00 3a 90 09 01
59,1888,Bark Spider,36923,265,00 00 00 00 00 00 00 00 00 00 00 00 3b 90 09 01
60,1920,Bark Spider,36924,265,00 00 00 00 00 00 00 00 00 00 00 00 3c 90 09 01
61,1952,Bark Spider,36925,265,00 00 00 00 00 00 00 00 00 00 00 00 3d 90 09 01
62,1984,Bark Spider,36926,265,00 00 00 00 00 00 00 00 00 00 00 00 3e 90 09 01
63,2016,Bark Spider,36927,265,00 00 00 00 00 00 00 00 00 00 00 00 3f 90 09 01
64,2048,Mourioche,36928,265,00 00 00 00 00 00 00 00 00 00 00 00 40 90 09 01
65,2080,Mourioche,36929,265,00 00 00 00 00 00 00 00 00 00 00 00 41 90 09 01
66,2112,Mourioche,36930,265,00 00 00 00 00 00 00 00 00 00 00 00 42 90 09 01
67,2144,Moss Eater,36931,265,00 00 00 00 00 00 00 00 00 00 00 00 43 90 09 01
68,2176,Moss Eater,36932,265,00 00 00 00 00 00 00 00 00 00 00 00 44 90 09 01
69,2208,Mourioche,36933,265,00 00 00 00 00 00 00 00 00 00 00 00 45 90 09 01
70,2240,Mourioche,36934,265,00 00 00 00 00 00 00 00 00 00 00 00 46 90 09 01
71,2272,Mourioche,36935,265,00 00 00 00 00 00 00 00 00 00 00 00 47 90 09 01
72,2304,Mourioche,36936,265,00 00 00 00 00 00 00 00 00 00 00 00 48 90 09 01
73,2336,Moss Eater,36937,265,00 00 00 00 00 00 00 00 00 00 00 00 49 90 09 01
74,2368,Moss Eater,36938,265,00 00 00 00 00 00 00 00 00 00 00 00 4a 90 09 01
75,2400,Mourioche,36939,265,00 00 00 00 00 00 00 00 00 00 00 00 4b 90 09 01
76,2432,Mourioche,36940,265,00 00 00 00 00 00 00 00 00 00 00 00 4c 90 09 01
77,2464,Knight Crawler,36941,265,00 00 00 00 00 00 00 00 00 00 00 00 4d 90 09 01
78,2496,Knight Crawler,36942,265,00 00 00 00 00 00 00 00 00 00 00 00 4e 90 09 01
79,2528,Mourioche,36943,265,00 00 00 00 00 00 00 00 00 00 00 00 4f 90 09 01
80,2560,Mourioche,36944,265,00 00 00 00 00 00 00 00 00 00 00 00 50 90 09 01
81,2592,Mourioche,36945,265,00 00 00 00 00 00 00 00 00 00 00 00 51 90 09 01
82,2624,Mourioche,36946,265,00 00 00 00 00 00 00 00 00 00 00 00 52 90 09 01
83,2656,Moss Eater,36947,265,00 00 00 00 00 00 00 00 00 00 00 00 53 90 09 01
84,2688,Moss Eater,36948,265,00 00 00 00 00 00 00 00 00 00 00 00 54 90 09 01
85,2720,Moss Eater,36949,265,00 00 00 00 00 00 00 00 00 00 00 00 55 90 09 01
86,2752,Old Goobbue,36950,265,00 00 00 00 00 00 00 00 00 00 00 00 56 90 09 01
87,2784,Mourioche,36951,265,00 00 00 00 00 00 00 00 00 00 00 00 57 90 09 01
88,2816,Mourioche,36952,265,00 00 00 00 00 00 00 00 00 00 00 00 58 90 09 01
89,2848,Robber Crab,36953,265,00 00 00 00 00 00 00 00 00 00 00 00 59 90 09 01
90,2880,Robber Crab,36954,265,00 00 00 00 00 00 00 00 00 00 00 00 5a 90 09 01
91,2912,Robber Crab,36955,265,00 00 00 00 00 00 00 00 00 00 00 00 5b 90 09 01
92,2944,Water Elemental,36956,265,00 00 00 00 00 00 00 00 00 00 00 00 5c 90 09 01
93,2976,Robber Crab,36957,265,00 00 00 00 00 00 00 00 00 00 00 00 5d 90 09 01
94,3008,Robber Crab,36958,265,00 00 00 00 00 00 00 00 00 00 00 00 5e 90 09 01
95,3040,Robber Crab,36959,265,00 00 00 00 00 00 00 00 00 00 00 00 5f 90 09 01
96,3072,Aquarius,36960,265,00 00 00 00 00 00 00 00 00 00 00 00 60 90 09 01
97,3104,Water Elemental,36961,265,00 00 00 00 00 00 00 00 00 00 00 00 61 90 09 01
98,3136,Robber Crab,36962,265,00 00 00 00 00 00 00 00 00 00 00 00 62 90 09 01
99,3168,Robber Crab,36963,265,00 00 00 00 00 00 00 00 00 00 00 00 63 90 09 01
100,3200,Robber Crab,36964,265,00 00 00 00 00 00 00 00 00 00 00 00 64 90 09 01
101,3232,Water Elemental,36965,265,00 00 00 00 00 00 00 00 00 00 00 00 65 90 09 01
102,3264,Knight Crawler,36966,265,00 00 00 00 00 00 00 00 00 00 00 00 66 90 09 01
103,3296,Knight Crawler,36967,265,00 00 00 00 00 00 00 00 00 00 00 00 67 90 09 01
104,3328,Knight Crawler,36968,265,00 00 00 00 00 00 00 00 00 00 00 00 68 90 09 01
105,3360,Thunder Elementa,36969,265,6c 00 00 00 00 00 00 00 00 00 00 00 69 90 09 01
106,3392,Mourioche,36970,265,00 00 00 00 00 00 00 00 00 00 00 00 6a 90 09 01
107,3424,Mourioche,36971,265,00 00 00 00 00 00 00 00 00 00 00 00 6b 90 09 01
108,3456,Mourioche,36972,265,00 00 00 00 00 00 00 00 00 00 00 00 6c 90 09 01
109,3488,Mourioche,36973,265,00 00 00 00 00 00 00 00 00 00 00 00 6d 90 09 01
110,3520,Moss Eater,36974,265,00 00 00 00 00 00 00 00 00 00 00 00 6e 90 09 01
111,3552,Moss Eater,36975,265,00 00 00 00 00 00 00 00 00 00 00 00 6f 90 09 01
112,3584,Moss Eater,36976,265,00 00 00 00 00 00 00 00 00 00 00 00 70 90 09 01
113,3616,Old Goobbue,36977,265,00 00 00 00 00 00 00 00 00 00 00 00 71 90 09 01
114,3648,Moss Eater,36978,265,00 00 00 00 00 00 00 00 00 00 00 00 72 90 09 01
115,3680,Moss Eater,36979,265,00 00 00 00 00 00 00 00 00 00 00 00 73 90 09 01
116,3712,Moss Eater,36980,265,00 00 00 00 00 00 00 00 00 00 00 00 74 90 09 01
117,3744,Mourioche,36981,265,00 00 00 00 00 00 00 00 00 00 00 00 75 90 09 01
118,3776,Mourioche,36982,265,00 00 00 00 00 00 00 00 00 00 00 00 76 90 09 01
119,3808,Mourioche,36983,265,00 00 00 00 00 00 00 00 00 00 00 00 77 90 09 01
120,3840,Mourioche,36984,265,00 00 00 00 00 00 00 00 00 00 00 00 78 90 09 01
121,3872,Moss Eater,36985,265,00 00 00 00 00 00 00 00 00 00 00 00 79 90 09 01
122,3904,Moss Eater,36986,265,00 00 00 00 00 00 00 00 00 00 00 00 7a 90 09 01
123,3936,Moss Eater,36987,265,00 00 00 00 00 00 00 00 00 00 00 00 7b 90 09 01
124,3968,Old Goobbue,36988,265,00 00 00 00 00 00 00 00 00 00 00 00 7c 90 09 01
125,4000,Unut,36989,265,00 00 00 00 00 00 00 00 00 00 00 00 7d 90 09 01
126,4032,Moss Eater,36990,265,00 00 00 00 00 00 00 00 00 00 00 00 7e 90 09 01
127,4064,Moss Eater,36991,265,00 00 00 00 00 00 00 00 00 00 00 00 7f 90 09 01
