index,offset,name,record_id,record_tag,raw_tail_hex
0,0,none,0,0,00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
1,32,Demonic Pugil,40961,265,00 00 00 00 00 00 00 00 00 00 00 00 01 a0 09 01
2,64,Demonic Pugil,40962,265,00 00 00 00 00 00 00 00 00 00 00 00 02 a0 09 01
3,96,Demonic Pugil,40963,265,00 00 00 00 00 00 00 00 00 00 00 00 03 a0 09 01
4,128,Demonic Pugil,40964,265,00 00 00 00 00 00 00 00 00 00 00 00 04 a0 09 01
5,160,Demonic Pugil,40965,265,00 00 00 00 00 00 00 00 00 00 00 00 05 a0 09 01
6,192,Bark Tarantula,40966,265,00 00 00 00 00 00 00 00 00 00 00 00 06 a0 09 01
7,224,Bark Tarantula,40967,265,00 00 00 00 00 00 00 00 00 00 00 00 07 a0 09 01
8,256,Bark Tarantula,40968,265,00 00 00 00 00 00 00 00 00 00 00 00 08 a0 09 01
9,288,Darter,40969,265,00 00 00 00 00 00 00 00 00 00 00 00 09 a0 09 01
10,320,Darter,40970,265,00 00 00 00 00 00 00 00 00 00 00 00 0a a0 09 01
11,352,Darter,40971,265,00 00 00 00 00 00 00 00 00 00 00 00 0b a0 09 01
12,384,Darter,40972,265,00 00 00 00 00 00 00 00 00 00 00 00 0c a0 09 01
13,416,Darter,40973,265,00 00 00 00 00 00 00 00 00 00 00 00 0d a0 09 01
14,448,Demonic Rose,40974,265,00 00 00 00 00 00 00 00 00 00 00 00 0e a0 09 01
15,480,Bark Tarantula,40975,265,00 00 00 00 00 00 00 00 00 00 00 00 0f a0 09 01
16,512,Bark Tarantula,40976,265,00 00 00 00 00 00 00 00 00 00 00 00 10 a0 09 01
17,544,Bark Tarantula,40977,265,00 00 00 00 00 00 00 00 00 00 00 00 11 a0 09 01
18,576,Fafnir,40978,265,00 00 00 00 00 00 00 00 00 00 00 00 12 a0 09 01
19,608,Nidhogg,40979,265,00 00 00 00 00 00 00 00 00 00 00 00 13 a0 09 01
20,640,Darter,40980,265,00 00 00 00 00 00 00 00 00 00 00 00 14 a0 09 01
21,672,Darter,40981,265,00 00 00 00 00 00 00 00 00 00 00 00 15 a0 09 01
22,704,Darter,40982,265,00 00 00 00 00 00 00 00 00 00 00 00 16 a0 09 01
23,736,Darter,40983,265,00 00 00 00 00 00 00 00 00 00 00 00 17 a0 09 01
24,768,Darter,40984,265,00 00 00 00 00 00 00 00 00 00 00 00 18 a0 09 01
25,800,Darter,40985,265,00 00 00 00 00 00 00 00 00 00 00 00 19 a0 09 01
26,832,Bark Tarantula,40986,265,00 00 00 00 00 00 00 00 00 00 00 00 1a a0 09 01
27,864,Bark Tarantula,40987,265,00 00 00 00 00 00 00 00 00 00 00 00 1b a0 09 01
28,896,Bark Tarantula,40988,265,00 00 00 00 00 00 00 00 00 00 00 00 1c a0 09 01
29,928,Bark Tarantula,40989,265,00 00 00 00 00 00 00 00 00 00 00 00 1d a0 09 01
30,960,Bark Tarantula,40990,265,00 00 00 00 00 00 00 00 00 00 00 00 1e a0 09 01
31,992,Bark Tarantula,40991,265,00 00 00 00 00 00 00 00 00 00 00 00 1f a0 09 01
32,1024,???,40993,265,00 00 00 00 00 00 00 00 00 00 00 00 21 a0 09 01
