index,offset,name,record_id,record_tag,raw_tail_hex
0,0,none,0,0,00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
1,32,Shadow Lord,49153,265,00 00 00 00 00 00 00 00 00 00 00 00 01 c0 09 01
2,64,Shadow Lord,49154,265,00 00 00 00 00 00 00 00 00 00 00 00 02 c0 09 01
3,96,Shadow Lord,49155,265,00 00 00 00 00 00 00 00 00 00 00 00 03 c0 09 01
4,128,Armoury Crate,49156,265,00 00 00 00 00 00 00 00 00 00 00 00 04 c0 09 01
5,160,Shadow Lord,49157,265,00 00 00 00 00 00 00 00 00 00 00 00 05 c0 09 01
6,192,Shadow Lord,49158,265,00 00 00 00 00 00 00 00 00 00 00 00 06 c0 09 01
7,224,Shadow Lord,49159,265,00 00 00 00 00 00 00 00 00 00 00 00 07 c0 09 01
8,256,Armoury Crate,49160,265,00 00 00 00 00 00 00 00 00 00 00 00 08 c0 09 01
9,288,Shadow Lord,49161,265,00 00 00 00 00 00 00 00 00 00 00 00 09 c0 09 01
10,320,Shadow Lord,49162,265,00 00 00 00 00 00 00 00 00 00 00 00 0a c0 09 01
11,352,Shadow Lord,49163,265,00 00 00 00 00 00 00 00 00 00 00 00 0b c0 09 01
12,384,Armoury Crate,49164,265,00 00 00 00 00 00 00 00 00 00 00 00 0c c0 09 01
13,416,Aquila,49165,265,00 00 00 00 00 00 00 00 00 00 00 00 0d c0 09 01
14,448,Haudrale,49166,265,00 00 00 00 00 00 00 00 00 00 00 00 0e c0 09 01
15,480,Lilisette,49167,265,00 00 00 00 00 00 00 00 00 00 00 00 0f c0 09 01
16,512,Aquila,49168,265,00 00 00 00 00 00 00 00 00 00 00 00 10 c0 09 01
17,544,Haudrale,49169,265,00 00 00 00 00 00 00 00 00 00 00 00 11 c0 09 01
18,576,Lilisette,49170,265,00 00 00 00 00 00 00 00 00 00 00 00 12 c0 09 01
19,608,Aquila,49171,265,00 00 00 00 00 00 00 00 00 00 00 00 13 c0 09 01
20,640,Haudrale,49172,265,00 00 00 00 00 00 00 00 00 00 00 00 14 c0 09 01
21,672,Lilisette,49173,265,00 00 00 00 00 00 00 00 00 00 00 00 15 c0 09 01
22,704,Klara,49174,265,00 00 00 00 00 00 00 00 00 00 00 00 16 c0 09 01
23,736,Marquis Amon,49175,265,00 00 00 00 00 00 00 00 00 00 00 00 17 c0 09 01
24,768,Zeid,49176,265,00 00 00 00 00 00 00 00 00 00 00 00 18 c0 09 01
25,800,Klara,49177,265,00 00 00 00 00 00 00 00 00 00 00 00 19 c0 09 01
26,832,Marquis Amon,49178,265,00 00 00 00 00 00 00 00 00 00 00 00 1a c0 09 01
27,864,Zeid,49179,265,00 00 00 00 00 00 00 00 00 00 00 00 1b c0 09 01
28,896,Klara,49180,265,00 00 00 00 00 00 00 00 00 00 00 00 1c c0 09 01
29,928,Marquis Amon,49181,265,00 00 00 00 00 00 00 00 00 00 00 00 1d c0 09 01
30,960,Zeid,49182,265,00 00 00 00 00 00 00 00 00 00 00 00 1e c0 09 01
31,992,Shadow Lord,49183,265,00 00 00 00 00 00 00 00 00 00 00 00 1f c0 09 01
32,1024,Bloodcrown Brrad,49184,265,68 6f 64 00 00 00 00 00 00 00 00 00 20 c0 09 01
33,1056,Za'Dha Adamantki,49185,265,6e 67 00 00 00 00 00 00 00 00 00 00 21 c0 09 01
34,1088,Tzee Xicu the Ma,49186,265,6e 69 66 65 73 74 00 00 00 00 00 00 22 c0 09 01
35,1120,Manifest's Diabo,49187,265,6c 6f 73 00 00 00 00 00 00 00 00 00 23 c0 09 01
36,1152,Shadow Lord,49188,265,00 00 00 00 00 00 00 00 00 00 00 00 24 c0 09 01
37,1184,Shadow Lord,49189,265,00 00 00 00 00 00 00 00 00 00 00 00 25 c0 09 01
38,1216,Shadow Lord,49190,265,00 00 00 00 00 00 00 00 00 00 00 00 26 c0 09 01
39,1248,Shadow Lord,49191,265,00 00 00 00 00 00 00 00 00 00 00 00 27 c0 09 01
40,1280,Shadow Lord,49192,265,00 00 00 00 00 00 00 00 00 00 00 00 28 c0 09 01
41,1312,Shadow Lord,49193,265,00 00 00 00 00 00 00 00 00 00 00 00 29 c0 09 01
42,1344,Bloodcrown Brrad,49194,265,68 6f 64 00 00 00 00 00 00 00 00 00 2a c0 09 01
43,1376,Za'Dha Adamantki,49195,265,6e 67 00 00 00 00 00 00 00 00 00 00 2b c0 09 01
44,1408,Tzee Xicu the Ma,49196,265,6e 69 66 65 73 74 00 00 00 00 00 00 2c c0 09 01
45,1440,Manifest's Diabo,49197,265,6c 6f 73 00 00 00 00 00 00 00 00 00 2d c0 09 01
46,1472,Shadow Lord,49198,265,00 00 00 00 00 00 00 00 00 00 00 00 2e c0 09 01
47,1504,Shadow Lord,49199,265,00 00 00 00 00 00 00 00 00 00 00 00 2f c0 09 01
48,1536,Shadow Lord,49200,265,00 00 00 00 00 00 00 00 00 00 00 00 30 c0 09 01
49,1568,Shadow Lord,49201,265,00 00 00 00 00 00 00 00 00 00 00 00 31 c0 09 01
50,1600,Shadow Lord,49202,265,00 00 00 00 00 00 00 00 00 00 00 00 32 c0 09 01
51,1632,Shadow Lord,49203,265,00 00 00 00 00 00 00 00 00 00 00 00 33 c0 09 01
52,1664,Bloodcrown Brrad,49204,265,68 6f 64 00 00 00 00 00 00 00 00 00 34 c0 09 01
53,1696,Za'Dha Adamantki,49205,265,6e 67 00 00 00 00 00 00 00 00 00 00 35 c0 09 01
54,1728,Tzee Xicu the Ma,49206,265,6e 69 66 65 73 74 00 00 00 00 00 00 36 c0 09 01
55,1760,Manifest's Diabo,49207,265,6c 6f 73 00 00 00 00 00 00 00 00 00 37 c0 09 01
56,1792,Shadow Lord,49208,265,00 00 00 00 00 00 00 00 00 00 00 00 38 c0 09 01
