npc_index,name,record_id,record_tag,event_ref_count,event_ref_offset,position_offset,x,y,z,confidence,raw_x,raw_y,raw_z,raw_values
68,Ore Door,49237,265,11,15460,15592,79.83,0.26,0.28,30,7983,26,28,7983 28 26 22 14 7991 0 7992
79,Ramblix,49253,265,2,15536,15660,79.84,0.6,2.0,70,7984,60,200,7984 200 60 485 1107369984 -266469342 1249902591 2147483632
82,Lilisette,49256,265,296,36492,36596,110.76,-1.05,-0.76,105,11076,-105,-76,11076 -76 -105 906 16 -101 60 15
85,Cait Sith,49259,265,140,37276,37376,25.76,-2.52,-10.72,105,2576,-252,-1072,2576 -1072 -252 13 3663 535 15 1414
86,Lady Lilith,49260,265,288,37644,37716,1.28,24.0,22.89,70,128,2400,2289,128 2289 2400 81 2228224 -524241 -127107073 8388607
90,1,49264,265,47,38336,38412,18.29,0.52,0.1,70,1829,52,10,1829 10 52 142 788537856 -2048 -496513 -2147450881
91,2,49265,265,59,40048,40236,-64.0,-49.77,10.0,90,-6400,-4977,1000,-6400 1000 -4977 24 60 554 2228224 -524241
97,P3,49271,265,1,40068,40244,-49.77,0.6,0.24,105,-4977,60,24,-4977 24 60 554 2228224 -524241 -127107073 8388607
100,???,49274,265,100,40952,41104,-87.67,39.54,-32.5,120,-8767,3954,-3250,-8767 -3250 3954 2192 -7859 3445 181 11535
105,Volker,49279,265,109,52696,52792,-1671.01,3.26,23.07,95,-167101,326,2307,-167101 2307 326 2403 102 -134114816 8388607 528482354
106,Zeid,49280,265,169,52916,52944,-335.35,1.0,0.04,50,-33535,100,4,-33535 4 100 120 529 0 121 -134114816
109,Klara,49283,265,148,53516,53596,-335.32,23.07,0.02,105,-33532,2307,2,-33532 2 2307 745 24 -134114816 8388607 -523886
110,Marquis Amon,49284,265,80,53576,53596,-335.32,23.07,0.02,105,-33532,2307,2,-33532 2 2307 745 24 -134114816 8388607 -523886
115,Marquis Amon,49289,265,72,53912,53956,8.3,0.0,22.21,15,830,0,2221,830 2221 0 1 120 128 66 -134114816
116,Shadow Lord,49290,265,100,52668,52792,-1671.01,3.26,23.07,95,-167101,326,2307,-167101 2307 326 2403 102 -134114816 8388607 528482354
