npc_index,name,record_id,record_tag,event_ref_count,event_ref_offset,position_offset,x,y,z,confidence,raw_x,raw_y,raw_z,raw_values
140,Treasure Casket,57485,265,1,3096,3176,74.2,0.15,73.96,30,7420,15,7396,7420 7396 15 16 31 7395 7397 7402
141,Treasure Casket,57486,265,1,4904,4984,74.2,0.15,73.96,30,7420,15,7396,7420 7396 15 16 31 7395 7397 7402
142,Treasure Casket,57487,265,1,6712,6792,74.2,0.15,73.96,30,7420,15,7396,7420 7396 15 16 31 7395 7397 7402
143,Treasure Casket,57488,265,1,8520,8600,74.2,0.15,73.96,30,7420,15,7396,7420 7396 15 16 31 7395 7397 7402
144,Treasure Casket,57489,265,1,10328,10408,74.2,0.15,73.96,30,7420,15,7396,7420 7396 15 16 31 7395 7397 7402
145,Treasure Casket,57490,265,1,12136,12216,74.2,0.15,73.96,30,7420,15,7396,7420 7396 15 16 31 7395 7397 7402
146,Treasure Casket,57491,265,1,13944,14024,74.2,0.15,73.96,30,7420,15,7396,7420 7396 15 16 31 7395 7397 7402
147,Treasure Casket,57492,265,1,15752,15832,74.2,0.15,73.96,30,7420,15,7396,7420 7396 15 16 31 7395 7397 7402
148,Treasure Casket,57493,265,1,17560,17640,74.2,0.15,73.96,30,7420,15,7396,7420 7396 15 16 31 7395 7397 7402
149,Treasure Casket,57494,265,1,19368,19448,74.2,0.15,73.96,30,7420,15,7396,7420 7396 15 16 31 7395 7397 7402
150,Treasure Casket,57495,265,1,21176,21256,74.2,0.15,73.96,30,7420,15,7396,7420 7396 15 16 31 7395 7397 7402
151,Treasure Casket,57496,265,1,22984,23064,74.2,0.15,73.96,30,7420,15,7396,7420 7396 15 16 31 7395 7397 7402
152,Treasure Casket,57497,265,1,24792,24872,74.2,0.15,73.96,30,7420,15,7396,7420 7396 15 16 31 7395 7397 7402
153,Treasure Casket,57498,265,1,26600,26680,74.2,0.15,73.96,30,7420,15,7396,7420 7396 15 16 31 7395 7397 7402
154,Treasure Casket,57499,265,1,28408,28488,74.2,0.15,73.96,30,7420,15,7396,7420 7396 15 16 31 7395 7397 7402
155,Treasure Casket,57500,265,1,30216,30296,74.2,0.15,73.96,30,7420,15,7396,7420 7396 15 16 31 7395 7397 7402
158,Cermet Door,57508,265,1,1168,1200,0.0,0.08,1966.07,5,0,8,196607,0 196607 8 23 1 0 200 60
159,Cermet Door,57509,265,1,1192,1204,1966.07,0.23,0.08,5,196607,23,8,196607 8 23 1 0 200 60 19
160,???,57510,265,1,1404,1456,194.36,32.81,-1436.21,60,19436,3281,-143621,19436 -143621 3281 2 170 133 1208033280 606306304
161,Elevator,57511,265,1,1616,1672,227.2,8.31,-1161.31,60,22720,831,-116131,22720 -116131 831 94 30 35 170 150
173,Treasure Chest,57525,265,1,2212,2392,64.05,63.99,64.02,65,6405,6399,6402,6405 6402 6399 685 721664 21069824 41943680 1090519312
174,Grounds Tome,57526,265,1,32024,32096,105.16,74.32,105.26,30,10516,7432,10526,10516 10526 7432 11 7433 7434 9482 9487
175,Grounds Tome,57527,265,1,35108,35180,105.16,74.32,105.26,30,10516,7432,10526,10516 10526 7432 11 7433 7434 9482 9487
176,Grounds Tome,57528,265,1,38192,38264,105.16,74.32,105.26,30,10516,7432,10526,10516 10526 7432 11 7433 7434 9482 9487
177,Geomantic Reserv,57529,265,3,41276,41328,360.0,1.8,105.36,65,36000,180,10536,36000 10536 180 1808 169 213504 58720256 -2147483643
178,Home Point #1,57532,265,1,41696,41820,105.47,0.27,105.54,50,10547,27,10554,10547 10554 27 28 -2 10550 10555 10559
179,Home Point #2,57533,265,1,52264,52388,105.47,0.27,105.54,50,10547,27,10554,10547 10554 27 28 -2 10550 10555 10559
180,Home Point #3,57534,265,1,62832,62956,105.47,0.27,105.54,50,10547,27,10554,10547 10554 27 28 -2 10550 10555 10559
181,Home Point #4,57535,265,1,73400,73524,105.47,0.27,105.54,50,10547,27,10554,10547 10554 27 28 -2 10550 10555 10559
182,Home Point #5,57536,265,1,83968,84092,105.47,0.27,105.54,50,10547,27,10554,10547 10554 27 28 -2 10550 10555 10559
