offset,token
1066,fdo1
1083,fdo18
1115,w000
1132,w000E
1147,fdi1
1164,fdi1'
1229,sir0S
1242,sir0
1260,sha1S
1273,sha1H
1292,fdo2
1309,fdo2'
1333,fdi2
1532,res0S
1545,res0
1559,res2S
1572,res2
1586,res1S
1599,res1
1792,fdo1
1809,fdo18
1844,sir0S
1857,sir0
1889,x000
1906,x000
1926,fdi1
1943,fdi1
1987,sha1S
2000,sha1J
2027,x001
2050,x001+
2073,x002
2090,x002+
2123,blon
2140,x003
2157,x003E4
2172,x004
2196,x004N
2217,blof
2289,x00bE4
2304,x005
2342,x005
2380,x00a
2403,x00a'
2440,x006
2457,x006'
2511,x007
2528,x007ov
2585,x008
2602,x008J
2661,x009
2757,x010
2847,x011
2872,x011+
2921,x012
2944,x012N
2985,x013
3002,x013+
3084,x014
3101,x014
3136,x015
3176,x015E
3191,fdo1
3208,fdo14S
3282,w000
3299,w000fT
3314,sha0S
3350,z002
3367,z002'
3424,w001
3441,w001ov
3470,w002
3487,w002+
3526,w003
3543,w003'
3588,w004
3605,w004'
3675,w005
3692,w005
3741,w006
3758,w006+
3781,w007
3798,w007
3884,w008
3901,w008ov
3955,w009
3975,fdo2
3992,fdo2R4
4007,w0095m
4087,x016
4104,x016E
4119,fdi1
4136,fdi1+
4169,x017
4194,x017E4
4209,x018
4300,drg0fs
4315,drg0
4333,x019
4362,x019'
4397,drg1fs
4412,drg1S
4425,drg1J
4458,x020
4517,x021
4534,x021+
4621,fdo2
4663,qstc
4680,fdi2
4971,tlk0S
4984,tlk0
5009,thk1S
5022,thk1
5038,thk2S
5051,thk2
5227,sir0S
5240,sir0
5258,main
5278,main
5294,sha1S
5307,sha1
5325,x00b
5396,sha1S
5409,sha1
5425,tlk0S
5438,tlk0
5664,shbkS
5677,shbk
5693,tlk0S
5706,tlk0
5731,thk1S
5744,thk1
5760,thk2S
5773,thk2
5789,sir0S
5802,sir0
5818,sha1S
5831,sha1
6152,tlk0S
6165,tlk0
6190,thk1S
6203,thk1
6219,thk2S
6232,thk2
6248,sl00S
6261,sl00
6803,tlk0
6822,tlk1S
6835,tlk1
6851,thk0
6870,thk1S
6883,thk1
6899,ara0
6918,ara1S
6931,ara1
7017,fdo1
7040,ug01
7071,fdi1
7103,fdo1
7123,fdi1
7167,fdo1
7190,ug02
7221,fdi1
7253,fdo1
7273,fdi1
7433,fdo1
7468,art0
7486,s000E
7501,fdi1
7531,who1
7549,killF
7572,whi1
7637,fdo1
7672,art0
7690,s000E
7705,fdi1
7735,who1
7753,killF
7776,whi1
7841,fdo1
7876,art0
7894,s000E
7909,fdi1
7935,fdo1
7953,killF
7976,fdi1
8041,fdo1
8076,art0
8094,s000E
8109,fdi1
8135,fdo1
8153,killF
8176,fdi1
8292,who1
8312,whi1
8798,fdo1
8835,s034
8852,fdi1
8883,fdo1
8904,s034E
8919,fdi1
8981,fdo1
9018,s034
9035,fdi1
9066,fdo1
9087,s034E
9102,fdi1
9296,fdo1
9402,s001
9419,fdi1
9446,s001E
9461,ovl1
9478,s002
9498,s002E
9513,ovl1
9530,s003
9581,fdo1
9637,s004
9654,fdi1
9674,s004E
9689,ovl1
9706,s005
9744,s005E
9759,s006
9783,s006E
9798,s033
9823,s033E
9838,s007
9876,s007E
9891,ovl1
9908,s008
9948,s008
9971,s035
9999,s035
10027,s035
10047,s014
10090,s035
10116,s035
10142,s035
10160,s014b
10175,main
10204,blon
10221,blon
10238,s009
10258,who1
10314,s009E
10329,s010
10346,whi1
10373,s010E
10388,ovl1
10405,s012
10425,s012E
10440,ovl1
10457,s011
10474,blf1
10491,sg01
10552,s013
10586,s013E
10601,s015
10639,s015E
10654,s016
10692,s016E
10707,s017
10745,s017E
10760,ovl1
10777,s018
10837,s018E
10852,s019
10940,s019E
10955,s020
10994,s020E
11009,s021
11038,s021E
11053,ovl1
11070,s022
11105,s022E
11120,s023
11158,s023E
11173,s024
11243,fdo1
11277,s015
11294,fdi1
11332,s015E
11347,s025
11393,s025E
11408,s028
11433,s028E
11448,s026
11472,main
11492,s026E
11507,s038
11541,s038E
11556,ovl1
11573,s027
11600,who1
11640,s027N
11677,s029
11694,whi1
11733,s030
11784,s030E
11799,s032
11833,s032E
11848,s031
11892,fdo0
11928,s031F
11945,fdi0
12148,nnt0
12162,nnt0
12178,utu0
12192,utu0
12208,utu1
12222,utu1
12238,tlk0
12252,tlk0
12268,tlk1
12282,tlk1
12298,jgn0
12312,jgn0
12328,jgn1
12342,jgn1
12358,mgc0
12372,mgc0
12756,tlk0
12794,bik0
12808,bik0
12824,bik1
12838,bik1
12854,thk1
12868,thk1
12884,thk2
12898,thk2
12914,poi0S
12927,poi0
13478,main
13499,fdo1
13831,s066
13848,fdi1
13886,s066
13924,sond
13941,main
13958,main
13975,main
13992,main
14009,main
14026,main
14043,main
14060,main
14077,main
14094,main
14111,ovl1
14128,s065
14166,s065E
14181,s067
14243,s067E
14258,ovl1
14275,s068
14360,s068E
14375,s069
14395,who1
14426,s069
14441,stop
14468,whi1
17562,main
17630,main
17698,main
17766,main
17810,main
17841,fdo1
132534,fdo1
139732,fdi1
139760,fdo1
139777,fdo1F
139925,s066
139945,fdi1
140012,s066E
140027,s067
140085,s067E
140100,s068
140137,s068E
140152,s069
140230,fdo1
140247,fdo1R
140262,s069F
140279,fdi2
140314,fdo1
140331,fdo1F
140512,s079
140532,fdi1
140564,thk0
140591,s079E
140606,s080
140623,main
140648,kidl00
140657,kidl01
140680,s080E
140695,s081
140736,s081E
140751,s082
140801,s082E
140816,s083
140833,odo0+1
