index,offset,name,record_id,record_tag,raw_tail_hex
0,0,none,0,0,00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
1,32,Uggalepih Leech,61441,265,00 00 00 00 00 00 00 00 00 00 00 00 01 f0 09 01
2,64,Uggalepih Leech,61442,265,00 00 00 00 00 00 00 00 00 00 00 00 02 f0 09 01
3,96,Bloodsucker,61443,265,00 00 00 00 00 00 00 00 00 00 00 00 03 f0 09 01
4,128,Bloodsucker,61444,265,00 00 00 00 00 00 00 00 00 00 00 00 04 f0 09 01
5,160,Bouncing Ball,61445,265,00 00 00 00 00 00 00 00 00 00 00 00 05 f0 09 01
6,192,Bonze Marberry,61446,265,00 00 00 00 00 00 00 00 00 00 00 00 06 f0 09 01
7,224,Trompe L'Oeil,61447,265,00 00 00 00 00 00 00 00 00 00 00 00 07 f0 09 01
8,256,Cook Solberry,61448,265,00 00 00 00 00 00 00 00 00 00 00 00 08 f0 09 01
9,288,Cook Nalberry,61449,265,00 00 00 00 00 00 00 00 00 00 00 00 09 f0 09 01
10,320,Cook Minberry,61450,265,00 00 00 00 00 00 00 00 00 00 00 00 0a f0 09 01
11,352,Cook Fulberry,61451,265,00 00 00 00 00 00 00 00 00 00 00 00 0b f0 09 01
12,384,Tonberry's Eleme,61452,265,6e 74 61 6c 00 00 00 00 00 00 00 00 0c f0 09 01
13,416,Tonberry's Avata,61453,265,72 00 00 00 00 00 00 00 00 00 00 00 0d f0 09 01
14,448,Temple Guardian,61454,265,00 00 00 00 00 00 00 00 00 00 00 00 0e f0 09 01
15,480,Nio-A,61455,265,00 00 00 00 00 00 00 00 00 00 00 00 0f f0 09 01
16,512,Nio-Hum,61456,265,00 00 00 00 00 00 00 00 00 00 00 00 10 f0 09 01
17,544,Mimic,61457,265,00 00 00 00 00 00 00 00 00 00 00 00 11 f0 09 01
18,576,Wespe,61458,265,00 00 00 00 00 00 00 00 00 00 00 00 12 f0 09 01
19,608,Temple Opo-opo,61459,265,00 00 00 00 00 00 00 00 00 00 00 00 13 f0 09 01
20,640,Wespe,61460,265,00 00 00 00 00 00 00 00 00 00 00 00 14 f0 09 01
21,672,Wespe,61461,265,00 00 00 00 00 00 00 00 00 00 00 00 15 f0 09 01
22,704,Wespe,61462,265,00 00 00 00 00 00 00 00 00 00 00 00 16 f0 09 01
23,736,Tonberry Stalker,61463,265,00 00 00 00 00 00 00 00 00 00 00 00 17 f0 09 01
24,768,Tonberry Cutter,61464,265,00 00 00 00 00 00 00 00 00 00 00 00 18 f0 09 01
25,800,Tonberry Harrier,61465,265,00 00 00 00 00 00 00 00 00 00 00 00 19 f0 09 01
26,832,Tonberry's Eleme,61466,265,6e 74 61 6c 00 00 00 00 00 00 00 00 1a f0 09 01
27,864,Tonberry Stalker,61467,265,00 00 00 00 00 00 00 00 00 00 00 00 1b f0 09 01
28,896,Tonberry Cutter,61468,265,00 00 00 00 00 00 00 00 00 00 00 00 1c f0 09 01
29,928,Temple Opo-opo,61469,265,00 00 00 00 00 00 00 00 00 00 00 00 1d f0 09 01
30,960,Wespe,61470,265,00 00 00 00 00 00 00 00 00 00 00 00 1e f0 09 01
31,992,Temple Opo-opo,61471,265,00 00 00 00 00 00 00 00 00 00 00 00 1f f0 09 01
32,1024,Temple Opo-opo,61472,265,00 00 00 00 00 00 00 00 00 00 00 00 20 f0 09 01
33,1056,Tonberry Stalker,61473,265,00 00 00 00 00 00 00 00 00 00 00 00 21 f0 09 01
34,1088,Tonberry Cutter,61474,265,00 00 00 00 00 00 00 00 00 00 00 00 22 f0 09 01
35,1120,Tonberry Harrier,61475,265,00 00 00 00 00 00 00 00 00 00 00 00 23 f0 09 01
36,1152,Tonberry's Eleme,61476,265,6e 74 61 6c 00 00 00 00 00 00 00 00 24 f0 09 01
37,1184,Tonberry Stalker,61477,265,00 00 00 00 00 00 00 00 00 00 00 00 25 f0 09 01
38,1216,Tonberry Cutter,61478,265,00 00 00 00 00 00 00 00 00 00 00 00 26 f0 09 01
