npc_index,name,record_id,record_tag,event_ref_count,event_ref_offset,position_offset,x,y,z,confidence,raw_x,raw_y,raw_z,raw_values
393,Treasure Casket,61835,265,1,81632,81712,84.83,0.15,84.59,30,8483,15,8459,8483 8459 15 16 31 8458 8460 8465
394,Treasure Casket,61836,265,1,83440,83520,84.83,0.15,84.59,30,8483,15,8459,8483 8459 15 16 31 8458 8460 8465
395,Treasure Casket,61837,265,1,85248,85328,84.83,0.15,84.59,30,8483,15,8459,8483 8459 15 16 31 8458 8460 8465
396,Treasure Casket,61838,265,1,87056,87136,84.83,0.15,84.59,30,8483,15,8459,8483 8459 15 16 31 8458 8460 8465
397,Treasure Casket,61839,265,1,88864,88944,84.83,0.15,84.59,30,8483,15,8459,8483 8459 15 16 31 8458 8460 8465
398,Treasure Casket,61840,265,1,90672,90752,84.83,0.15,84.59,30,8483,15,8459,8483 8459 15 16 31 8458 8460 8465
399,Treasure Casket,61841,265,1,92480,92560,84.83,0.15,84.59,30,8483,15,8459,8483 8459 15 16 31 8458 8460 8465
400,Treasure Casket,61842,265,1,94288,94368,84.83,0.15,84.59,30,8483,15,8459,8483 8459 15 16 31 8458 8460 8465
401,Treasure Casket,61843,265,1,96096,96176,84.83,0.15,84.59,30,8483,15,8459,8483 8459 15 16 31 8458 8460 8465
402,Treasure Casket,61844,265,1,97904,97984,84.83,0.15,84.59,30,8483,15,8459,8483 8459 15 16 31 8458 8460 8465
403,Treasure Casket,61845,265,1,99712,99792,84.83,0.15,84.59,30,8483,15,8459,8483 8459 15 16 31 8458 8460 8465
404,Treasure Casket,61846,265,1,101520,101600,84.83,0.15,84.59,30,8483,15,8459,8483 8459 15 16 31 8458 8460 8465
405,Treasure Casket,61847,265,1,103328,103408,84.83,0.15,84.59,30,8483,15,8459,8483 8459 15 16 31 8458 8460 8465
406,Treasure Casket,61848,265,1,105136,105216,84.83,0.15,84.59,30,8483,15,8459,8483 8459 15 16 31 8458 8460 8465
407,Treasure Casket,61849,265,1,106944,107024,84.83,0.15,84.59,30,8483,15,8459,8483 8459 15 16 31 8458 8460 8465
408,Treasure Casket,61850,265,1,108752,108832,84.83,0.15,84.59,30,8483,15,8459,8483 8459 15 16 31 8458 8460 8465
416,Erpalacion,61863,265,47,4740,4824,599.98,14.95,-737.98,120,59998,1495,-73798,59998 -73798 1495 1024 59018 -71299 1439 0
417,Erpalacion,61864,265,41,5056,5152,519.06,19.99,-576.61,105,51906,1999,-57661,51906 -57661 1999 11 39136 -3199 3066 268
418,Ancolain,61865,265,31,6648,6732,-0.36,-33.98,418.43,120,-36,-3398,41843,-36 41843 -3398 1030 3072 115 30 116
420,Rahal,61867,265,29,5900,5956,600.0,15.08,-914.12,120,60000,1508,-91412,60000 -91412 1508 3060 13 -88199 1534 57865
421,Milchupain,61868,265,6,6268,6300,609.15,15.07,-924.12,120,60915,1507,-92412,60915 -92412 1507 3008 13 -87500 1534 24
422,Aramaviont,61869,265,6,6440,6472,590.0,15.07,-924.12,120,59000,1507,-92412,59000 -92412 1507 3008 13 -87500 1534 24
423,Ranperre,61870,265,31,6680,6732,-0.36,-33.98,418.43,120,-36,-3398,41843,-36 41843 -3398 1030 3072 115 30 116
424,Granite Door,61871,265,1,8716,8764,1.2,0.01,73.98,50,120,1,7398,120 7398 1 334 18874368 1157711426 -1015808 -1015809
425,EVENTER,61872,265,1,9116,9260,4.0,3.0,74.41,65,400,300,7441,400 7441 300 2679 21381632 25165917 -2147400320 2147483640
426,Grav'iton,61873,265,134,11956,12120,74.35,74.37,74.36,45,7435,7437,7436,7435 7436 7437 308 -2147460352 2147483640 2147483640 812936814
427,Rukususu,61874,265,60,13084,13160,73.99,74.01,74.0,65,7399,7401,7400,7399 7400 7401 17 -2147476224 -2147410653 -2147345117 553656355
428,Tome of Magic,61875,265,1,13140,13160,73.99,74.01,74.0,65,7399,7401,7400,7399 7400 7401 17 -2147476224 -2147410653 -2147345117 553656355
