index,offset,name,record_id,record_tag,raw_tail_hex
0,0,none,0,0,00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
1,32,Rock Crab,1,266,00 00 00 00 00 00 00 00 00 00 00 00 01 00 0a 01
2,64,Razorjaw Pugil,2,266,00 00 00 00 00 00 00 00 00 00 00 00 02 00 0a 01
3,96,Bloodsucker,3,266,00 00 00 00 00 00 00 00 00 00 00 00 03 00 0a 01
4,128,Mousse,4,266,00 00 00 00 00 00 00 00 00 00 00 00 04 00 0a 01
5,160,Mousse,5,266,00 00 00 00 00 00 00 00 00 00 00 00 05 00 0a 01
6,192,Rancor Torch,6,266,00 00 00 00 00 00 00 00 00 00 00 00 06 00 0a 01
7,224,Mimic,7,266,00 00 00 00 00 00 00 00 00 00 00 00 07 00 0a 01
8,256,Tonberry Trailer,8,266,00 00 00 00 00 00 00 00 00 00 00 00 08 00 0a 01
9,288,Dire Bat,9,266,00 00 00 00 00 00 00 00 00 00 00 00 09 00 0a 01
10,320,Tonberry Trailer,10,266,00 00 00 00 00 00 00 00 00 00 00 00 0a 00 0a 01
11,352,Dire Bat,11,266,00 00 00 00 00 00 00 00 00 00 00 00 0b 00 0a 01
12,384,Dire Bat,12,266,00 00 00 00 00 00 00 00 00 00 00 00 0c 00 0a 01
13,416,Fire Elemental,13,266,00 00 00 00 00 00 00 00 00 00 00 00 0d 00 0a 01
14,448,Tonberry Impreca,14,266,74 6f 72 00 00 00 00 00 00 00 00 00 0e 00 0a 01
15,480,Dire Bat,15,266,00 00 00 00 00 00 00 00 00 00 00 00 0f 00 0a 01
16,512,Tonberry Trailer,16,266,00 00 00 00 00 00 00 00 00 00 00 00 10 00 0a 01
17,544,Tonberry Impreca,17,266,74 6f 72 00 00 00 00 00 00 00 00 00 11 00 0a 01
18,576,Dire Bat,18,266,00 00 00 00 00 00 00 00 00 00 00 00 12 00 0a 01
19,608,Dire Bat,19,266,00 00 00 00 00 00 00 00 00 00 00 00 13 00 0a 01
20,640,Dire Bat,20,266,00 00 00 00 00 00 00 00 00 00 00 00 14 00 0a 01
21,672,Tonberry Trailer,21,266,00 00 00 00 00 00 00 00 00 00 00 00 15 00 0a 01
22,704,Dire Bat,22,266,00 00 00 00 00 00 00 00 00 00 00 00 16 00 0a 01
23,736,Dire Bat,23,266,00 00 00 00 00 00 00 00 00 00 00 00 17 00 0a 01
24,768,Dire Bat,24,266,00 00 00 00 00 00 00 00 00 00 00 00 18 00 0a 01
25,800,Dire Bat,25,266,00 00 00 00 00 00 00 00 00 00 00 00 19 00 0a 01
26,832,Dire Bat,26,266,00 00 00 00 00 00 00 00 00 00 00 00 1a 00 0a 01
27,864,Dire Bat,27,266,00 00 00 00 00 00 00 00 00 00 00 00 1b 00 0a 01
28,896,Dire Bat,28,266,00 00 00 00 00 00 00 00 00 00 00 00 1c 00 0a 01
29,928,Dire Bat,29,266,00 00 00 00 00 00 00 00 00 00 00 00 1d 00 0a 01
30,960,Dire Bat,30,266,00 00 00 00 00 00 00 00 00 00 00 00 1e 00 0a 01
31,992,Tonberry Trailer,31,266,00 00 00 00 00 00 00 00 00 00 00 00 1f 00 0a 01
32,1024,Tonberry Impreca,32,266,74 6f 72 00 00 00 00 00 00 00 00 00 20 00 0a 01
33,1056,Sozu Bliberry,33,266,00 00 00 00 00 00 00 00 00 00 00 00 21 00 0a 01
34,1088,Dire Bat,34,266,00 00 00 00 00 00 00 00 00 00 00 00 22 00 0a 01
35,1120,Dire Bat,35,266,00 00 00 00 00 00 00 00 00 00 00 00 23 00 0a 01
36,1152,Dire Bat,36,266,00 00 00 00 00 00 00 00 00 00 00 00 24 00 0a 01
37,1184,Dire Bat,37,266,00 00 00 00 00 00 00 00 00 00 00 00 25 00 0a 01
38,1216,Tonberry Trailer,38,266,00 00 00 00 00 00 00 00 00 00 00 00 26 00 0a 01
39,1248,Dire Bat,39,266,00 00 00 00 00 00 00 00 00 00 00 00 27 00 0a 01
40,1280,Dire Bat,40,266,00 00 00 00 00 00 00 00 00 00 00 00 28 00 0a 01
41,1312,Tonberry Trailer,41,266,00 00 00 00 00 00 00 00 00 00 00 00 29 00 0a 01
42,1344,Tonberry Impreca,42,266,74 6f 72 00 00 00 00 00 00 00 00 00 2a 00 0a 01
43,1376,Dire Bat,43,266,00 00 00 00 00 00 00 00 00 00 00 00 2b 00 0a 01
44,1408,Dire Bat,44,266,00 00 00 00 00 00 00 00 00 00 00 00 2c 00 0a 01
45,1440,Tonberry Trailer,45,266,00 00 00 00 00 00 00 00 00 00 00 00 2d 00 0a 01
