npc_index,name,record_id,record_tag,event_ref_count,event_ref_offset,position_offset,x,y,z,confidence,raw_x,raw_y,raw_z,raw_values
321,Switchstix,4424,266,73,4863,5051,74.24,-5.12,76.8,65,7424,-512,7680,7424 7680 -512 511 512 768 1024 288256
322,???,4425,266,83,5008,5160,75.81,0.6,2.0,70,7581,60,200,7581 200 60 485 1107369984 -266469342 1249902591 2147483632
324,Ramblix,4427,266,2,5036,5160,75.81,0.6,2.0,70,7581,60,200,7581 200 60 485 1107369984 -266469342 1249902591 2147483632
327,???,4430,266,9,6984,7140,-200.0,26.36,-120.0,105,-20000,2636,-12000,-20000 -12000 2636 25 0 2642 160 60
329,Stooge Moogle,4432,266,19,7072,7140,-200.0,26.36,-120.0,105,-20000,2636,-12000,-20000 -12000 2636 25 0 2642 160 60
330,1,4433,266,8,7336,7368,0.1,26.4,23.64,30,10,2640,2364,10 2364 2640 2636 1 30 12 0
331,2,4434,266,8,7600,7632,0.1,26.4,23.64,30,10,2640,2364,10 2364 2640 2636 1 30 12 0
332,3,4435,266,8,7864,7896,0.1,26.4,23.64,30,10,2640,2364,10 2364 2640 2636 1 30 12 0
333,4,4436,266,8,8128,8160,0.1,26.4,23.64,30,10,2640,2364,10 2364 2640 2636 1 30 12 0
334,5,4437,266,8,8392,8424,0.1,26.4,23.64,30,10,2640,2364,10 2364 2640 2636 1 30 12 0
335,6,4438,266,8,8656,8688,0.1,26.4,23.64,30,10,2640,2364,10 2364 2640 2636 1 30 12 0
336,Stooge Moogle,4439,266,38,8920,8972,-1548.93,-239.99,169.08,95,-154893,-23999,16908,-154893 16908 -23999 889 20 128 90 45
337,Shadowy Pillar,4440,266,1,9144,9252,76.13,76.1,0.04,50,7613,7610,4,7613 4 7610 392 1107369984 1048835 896 33755138
338,Flame of Fate,4441,266,1,9660,9684,0.01,76.06,11.56,30,1,7606,1156,1 1156 7606 2 7608 7609 7610 3
339,Survival Guide,4442,266,2,10744,10876,-0.02,76.42,76.27,50,-2,7642,7627,-2 7627 7642 26 27 7641 8 15
