index,offset,name,record_id,record_tag,raw_tail_hex
0,0,none,0,0,00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
1,32,Dire Bat,16385,266,00 00 00 00 00 00 00 00 00 00 00 00 01 40 0a 01
2,64,Yagudo Zealot,16386,266,00 00 00 00 00 00 00 00 00 00 00 00 02 40 0a 01
3,96,Incubus Bats,16387,266,00 00 00 00 00 00 00 00 00 00 00 00 03 40 0a 01
4,128,Yagudo Abbot,16388,266,00 00 00 00 00 00 00 00 00 00 00 00 04 40 0a 01
5,160,Dire Bat,16389,266,00 00 00 00 00 00 00 00 00 00 00 00 05 40 0a 01
6,192,Incubus Bats,16390,266,00 00 00 00 00 00 00 00 00 00 00 00 06 40 0a 01
7,224,Incubus Bats,16391,266,00 00 00 00 00 00 00 00 00 00 00 00 07 40 0a 01
8,256,Dire Bat,16392,266,00 00 00 00 00 00 00 00 00 00 00 00 08 40 0a 01
9,288,Yagudo Prior,16393,266,00 00 00 00 00 00 00 00 00 00 00 00 09 40 0a 01
10,320,Mousse,16394,266,00 00 00 00 00 00 00 00 00 00 00 00 0a 40 0a 01
11,352,Yagudo Templar,16395,266,00 00 00 00 00 00 00 00 00 00 00 00 0b 40 0a 01
12,384,Mousse,16396,266,00 00 00 00 00 00 00 00 00 00 00 00 0c 40 0a 01
13,416,Yagudo Missionar,16397,266,79 00 00 00 00 00 00 00 00 00 00 00 0d 40 0a 01
14,448,Mousse,16398,266,00 00 00 00 00 00 00 00 00 00 00 00 0e 40 0a 01
15,480,Mousse,16399,266,00 00 00 00 00 00 00 00 00 00 00 00 0f 40 0a 01
16,512,Yagudo Lutenist,16400,266,00 00 00 00 00 00 00 00 00 00 00 00 10 40 0a 01
17,544,Yagudo Pythoness,16401,266,00 00 00 00 00 00 00 00 00 00 00 00 11 40 0a 01
18,576,Yagudo's Element,16402,266,61 6c 00 00 00 00 00 00 00 00 00 00 12 40 0a 01
19,608,Dire Bat,16403,266,00 00 00 00 00 00 00 00 00 00 00 00 13 40 0a 01
20,640,Incubus Bats,16404,266,00 00 00 00 00 00 00 00 00 00 00 00 14 40 0a 01
21,672,Mousse,16405,266,00 00 00 00 00 00 00 00 00 00 00 00 15 40 0a 01
22,704,Dire Bat,16406,266,00 00 00 00 00 00 00 00 00 00 00 00 16 40 0a 01
23,736,Yagudo Abbot,16407,266,00 00 00 00 00 00 00 00 00 00 00 00 17 40 0a 01
24,768,Yagudo Prior,16408,266,00 00 00 00 00 00 00 00 00 00 00 00 18 40 0a 01
25,800,Thunder Elementa,16409,266,6c 00 00 00 00 00 00 00 00 00 00 00 19 40 0a 01
26,832,Explosure,16410,266,00 00 00 00 00 00 00 00 00 00 00 00 1a 40 0a 01
27,864,Explosure,16411,266,00 00 00 00 00 00 00 00 00 00 00 00 1b 40 0a 01
28,896,Incubus Bats,16412,266,00 00 00 00 00 00 00 00 00 00 00 00 1c 40 0a 01
29,928,Dire Bat,16413,266,00 00 00 00 00 00 00 00 00 00 00 00 1d 40 0a 01
30,960,Citadel Pipistre,16414,266,6c 6c 65 73 00 00 00 00 00 00 00 00 1e 40 0a 01
31,992,Incubus Bats,16415,266,00 00 00 00 00 00 00 00 00 00 00 00 1f 40 0a 01
32,1024,Mousse,16416,266,00 00 00 00 00 00 00 00 00 00 00 00 20 40 0a 01
33,1056,Mousse,16417,266,00 00 00 00 00 00 00 00 00 00 00 00 21 40 0a 01
34,1088,Mousse,16418,266,00 00 00 00 00 00 00 00 00 00 00 00 22 40 0a 01
35,1120,Mousse,16419,266,00 00 00 00 00 00 00 00 00 00 00 00 23 40 0a 01
36,1152,Mousse,16420,266,00 00 00 00 00 00 00 00 00 00 00 00 24 40 0a 01
37,1184,Mousse,16421,266,00 00 00 00 00 00 00 00 00 00 00 00 25 40 0a 01
38,1216,Mousse,16422,266,00 00 00 00 00 00 00 00 00 00 00 00 26 40 0a 01
39,1248,Mousse,16423,266,00 00 00 00 00 00 00 00 00 00 00 00 27 40 0a 01
40,1280,Yagudo Templar,16424,266,00 00 00 00 00 00 00 00 00 00 00 00 28 40 0a 01
41,1312,Yagudo Lutenist,16425,266,00 00 00 00 00 00 00 00 00 00 00 00 29 40 0a 01
42,1344,Yagudo Missionar,16426,266,79 00 00 00 00 00 00 00 00 00 00 00 2a 40 0a 01
43,1376,Yagudo Pythoness,16427,266,00 00 00 00 00 00 00 00 00 00 00 00 2b 40 0a 01
44,1408,Yagudo's Element,16428,266,61 6c 00 00 00 00 00 00 00 00 00 00 2c 40 0a 01
45,1440,Yagudo Zealot,16429,266,00 00 00 00 00 00 00 00 00 00 00 00 2d 40 0a 01
46,1472,Explosure,16430,266,00 00 00 00 00 00 00 00 00 00 00 00 2e 40 0a 01
47,1504,Explosure,16431,266,00 00 00 00 00 00 00 00 00 00 00 00 2f 40 0a 01
48,1536,Elatha,16432,266,00 00 00 00 00 00 00 00 00 00 00 00 30 40 0a 01
49,1568,Scolopendrid,16433,266,00 00 00 00 00 00 00 00 00 00 00 00 31 40 0a 01
50,1600,Scolopendrid,16434,266,00 00 00 00 00 00 00 00 00 00 00 00 32 40 0a 01
51,1632,Scolopendrid,16435,266,00 00 00 00 00 00 00 00 00 00 00 00 33 40 0a 01
52,1664,Scolopendrid,16436,266,00 00 00 00 00 00 00 00 00 00 00 00 34 40 0a 01
53,1696,Scolopendrid,16437,266,00 00 00 00 00 00 00 00 00 00 00 00 35 40 0a 01
54,1728,Scolopendrid,16438,266,00 00 00 00 00 00 00 00 00 00 00 00 36 40 0a 01
55,1760,Scolopendrid,16439,266,00 00 00 00 00 00 00 00 00 00 00 00 37 40 0a 01
56,1792,Earth Elemental,16440,266,00 00 00 00 00 00 00 00 00 00 00 00 38 40 0a 01
57,1824,Buarainech,16441,266,00 00 00 00 00 00 00 00 00 00 00 00 39 40 0a 01
58,1856,Scolopendrid,16442,266,00 00 00 00 00 00 00 00 00 00 00 00 3a 40 0a 01
