offset,token
517,sha0S
530,sha0
554,sha1S
567,sha1
736,fdo1
791,t007
808,t007E
823,fdi1
840,fdi1
905,t00b
928,t00b+
1008,shit
1035,t011
1052,t011
1070,ovl1
1090,t008
1139,sha0
1165,main
1202,t010
1219,t010
1252,sha1S
1265,sha1
1291,t00c
1308,t00cJ
1338,t00d
1371,pas0S
1384,pas0U
1399,t00dE
1414,fdo2
1446,qstc
1473,fdi2
1547,pas0
1571,tlk0
1589,tlk1
1677,tlk0
1788,fued
1967,fued
2043,fued
2109,mgue
2173,mgst
2237,hdue
2325,hdst
2350,t009
2367,t009
3080,tlk0
3118,thk1
3132,thk1
3148,thk2
3162,thk2
3178,pas0
3192,pas0
3208,poi1
3222,poi1
3238,poi2
3252,poi2
3268,poi0
3282,poi0
3298,poi1
3312,poi1
3328,dis0
3342,dis0
3563,damgS
3576,damg
3590,gurdS
3616,damgS
3647,deadS
3660,deadS
3673,corp
4229,s099
4249,s099E
4264,ovl1
4281,s102
4298,s102
4314,ovl1
4331,s105
4351,who1
4368,s105
4384,s108
4401,whi1
4421,s108E
4436,s106
4456,main
4476,fdo1
4496,s106
4732,fdo1
4797,s101
4825,s101
4845,s100
4862,fdi1
4886,ovl1
4903,s098
4963,s098'
5005,s104
5040,s104E
5055,ovl1
5072,s107
5105,s107E
5120,s103
5160,s103'
5333,s100
5350,fdi1
5381,s109
5417,fdo1
5467,fdi1
5669,res0S
5682,res0
5696,res2S
5709,res2f
6106,main
6174,main
6242,main
6310,main
6354,main
6385,fdo1
9744,fq01
9767,main
9784,fq01E
9799,fq02
10256,fq03
10282,fq03E
10333,fdi2
10372,Feliz
10403,Ferdinand
10434,Gunnar
10465,Massimo
10496,Oldrich
10527,Siegward
10558,Theobald
10589,Zenji
10631,Amerita
10662,Beatrice
10693,Henrietta
10724,Jesimae
10755,Karyn
10786,Nanako
10817,Sharlene
10848,Sieghilde
10890,Chanandit
10921,Deulmaeux
10952,Demresinaux
10983,Ephealgaux
11014,Gauldeval
11045,Grauffemart
11076,Migaifongut
11107,Romidiant
11149,Armittie
11180,Cadepure
11211,Clearite
11242,Epilleve
11273,Liabelle
11304,Nauthima
11335,Radille
11366,Vimechue
11408,Balu-Falu
11439,Burg-Ladarg
11470,Ehgo-Ryuhgo
11501,Kolui-Pelui
11532,Nokum-Akkum
11563,Savul-Kivul
11594,Vinja-Kanja
11625,Yarga-Umiga
11667,Cupapa
11698,Jajuju
11729,Kalokoko
11760,Mahoyaya
11791,Pakurara
11822,Ripokeke
11853,Yawawa
11884,Yufafa
11926,Fhig
11957,Khuma
11988,Pimy
12019,Raka
12050,Sahyu
12081,Sufhi
12112,Tsuim
12143,Yoli
12185,Durib
12216,Dzapiwa
12247,Jugowa
12278,Mugido
12309,Voldai
12340,Wagwei
12371,Zayag
12402,Zoldof
12468,Feliz
12499,Ferdinand
12530,Gunnar
12561,Massimo
12592,Oldrich
12623,Siegward
12654,Theobald
12685,Zenji
12727,Amerita
12758,Beatrice
12789,Henrietta
12820,Jesimae
12851,Karyn
12882,Nanako
12913,Sharlene
12944,Sieghilde
12986,Chanandit
13017,Deulmaeux
13048,Demresinaux
13079,Ephealgaux
13110,Gauldeval
13141,Grauffemart
13172,Migaifongut
13203,Romidiant
13245,Armittie
13276,Cadepure
13307,Clearite
13338,Epilleve
13369,Liabelle
13400,Nauthima
13431,Radille
13462,Vimechue
13504,Balu-Falu
13535,Burg-Ladarg
13566,Ehgo-Ryuhgo
13597,Kolui-Pelui
13628,Nokum-Akkum
13659,Savul-Kivul
13690,Vinja-Kanja
13721,Yarga-Umiga
13763,Cupapa
13794,Jajuju
13825,Kalokoko
13856,Mahoyaya
13887,Pakurara
13918,Ripokeke
13949,Yawawa
13980,Yufafa
14022,Fhig
14053,Khuma
14084,Pimy
14115,Raka
14146,Sahyu
14177,Sufhi
14208,Tsuim
14239,Yoli
14281,Durib
14312,Dzapiwa
14343,Jugowa
14374,Mugido
14405,Voldai
14436,Wagwei
14467,Zayag
14498,Zoldof
28923,fdi0
28940,fdi0
28956,fdo0
28973,fdo0
28989,fdi1
29006,fdi1
29022,fdo1
29039,fdo1
29055,whi1
29072,whi1
29088,who1
29105,who1
29121,who2
29138,who2
29154,who3
29171,who3
29187,main
29207,fdo1
29224,fdo1
29240,fdi1
29257,main
29277,fdi1
29293,blon
29310,blon
29328,whi0
29345,whi0
29361,who0
29378,who0
29394,efon
29411,efon
29427,fdis
29445,fdos
29462,fdos
29478,fdif
29496,fdof
29513,fdof
29529,fdip
29547,fdop
29564,fdop
29580,fq02
29606,fhm1
29634,fhf1
29662,fem1
29690,fef1
29718,ftr1
29746,ftr1
29774,fmt1
29802,fgl1
29834,fhm1
29860,fhf1
29886,fem1
29912,fef1
29938,ftr1
29964,ftr1
29990,fmt1
30016,fgl1
31128,Feliz
31159,Ferdinand
31190,Gunnar
