index,offset,name,record_id,record_tag,raw_tail_hex
0,0,none,0,0,00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
1,32,Bloodsucker,28673,266,00 00 00 00 00 00 00 00 00 00 00 00 01 70 0a 01
2,64,Acid Grease,28674,266,00 00 00 00 00 00 00 00 00 00 00 00 02 70 0a 01
3,96,Bloodsucker,28675,266,00 00 00 00 00 00 00 00 00 00 00 00 03 70 0a 01
4,128,Mousse,28676,266,00 00 00 00 00 00 00 00 00 00 00 00 04 70 0a 01
5,160,Mousse,28677,266,00 00 00 00 00 00 00 00 00 00 00 00 05 70 0a 01
6,192,Funnel Bats,28678,266,00 00 00 00 00 00 00 00 00 00 00 00 06 70 0a 01
7,224,Funnel Bats,28679,266,00 00 00 00 00 00 00 00 00 00 00 00 07 70 0a 01
8,256,Funnel Bats,28680,266,00 00 00 00 00 00 00 00 00 00 00 00 08 70 0a 01
9,288,Funnel Bats,28681,266,00 00 00 00 00 00 00 00 00 00 00 00 09 70 0a 01
10,320,Funnel Bats,28682,266,00 00 00 00 00 00 00 00 00 00 00 00 0a 70 0a 01
11,352,Funnel Bats,28683,266,00 00 00 00 00 00 00 00 00 00 00 00 0b 70 0a 01
12,384,Funnel Bats,28684,266,00 00 00 00 00 00 00 00 00 00 00 00 0c 70 0a 01
13,416,Funnel Bats,28685,266,00 00 00 00 00 00 00 00 00 00 00 00 0d 70 0a 01
14,448,Hecatomb Hound,28686,266,00 00 00 00 00 00 00 00 00 00 00 00 0e 70 0a 01
15,480,Werebat,28687,266,00 00 00 00 00 00 00 00 00 00 00 00 0f 70 0a 01
16,512,Werebat,28688,266,00 00 00 00 00 00 00 00 00 00 00 00 10 70 0a 01
17,544,Werebat,28689,266,00 00 00 00 00 00 00 00 00 00 00 00 11 70 0a 01
18,576,Werebat,28690,266,00 00 00 00 00 00 00 00 00 00 00 00 12 70 0a 01
19,608,Hecatomb Hound,28691,266,00 00 00 00 00 00 00 00 00 00 00 00 13 70 0a 01
20,640,Hecatomb Hound,28692,266,00 00 00 00 00 00 00 00 00 00 00 00 14 70 0a 01
21,672,Werebat,28693,266,00 00 00 00 00 00 00 00 00 00 00 00 15 70 0a 01
