npc_index,name,record_id,record_tag,event_ref_count,event_ref_offset,position_offset,x,y,z,confidence,raw_x,raw_y,raw_z,raw_values
237,Treasure Casket,28912,266,1,20320,20400,106.3,0.15,106.06,30,10630,15,10606,10630 10606 15 16 31 10605 10607 10612
238,Treasure Casket,28913,266,1,22128,22208,106.3,0.15,106.06,30,10630,15,10606,10630 10606 15 16 31 10605 10607 10612
239,Treasure Casket,28914,266,1,23936,24016,106.3,0.15,106.06,30,10630,15,10606,10630 10606 15 16 31 10605 10607 10612
240,Treasure Casket,28915,266,1,25744,25824,106.3,0.15,106.06,30,10630,15,10606,10630 10606 15 16 31 10605 10607 10612
241,Treasure Casket,28916,266,1,27552,27632,106.3,0.15,106.06,30,10630,15,10606,10630 10606 15 16 31 10605 10607 10612
242,Treasure Casket,28917,266,1,29360,29440,106.3,0.15,106.06,30,10630,15,10606,10630 10606 15 16 31 10605 10607 10612
243,Treasure Casket,28918,266,1,31168,31248,106.3,0.15,106.06,30,10630,15,10606,10630 10606 15 16 31 10605 10607 10612
244,Treasure Casket,28919,266,1,32976,33056,106.3,0.15,106.06,30,10630,15,10606,10630 10606 15 16 31 10605 10607 10612
245,Treasure Casket,28920,266,1,34784,34864,106.3,0.15,106.06,30,10630,15,10606,10630 10606 15 16 31 10605 10607 10612
246,Treasure Casket,28921,266,1,36592,36672,106.3,0.15,106.06,30,10630,15,10606,10630 10606 15 16 31 10605 10607 10612
247,Treasure Casket,28922,266,1,38400,38480,106.3,0.15,106.06,30,10630,15,10606,10630 10606 15 16 31 10605 10607 10612
248,Treasure Casket,28923,266,1,40208,40288,106.3,0.15,106.06,30,10630,15,10606,10630 10606 15 16 31 10605 10607 10612
249,Treasure Casket,28924,266,1,42016,42096,106.3,0.15,106.06,30,10630,15,10606,10630 10606 15 16 31 10605 10607 10612
250,Treasure Casket,28925,266,1,43824,43904,106.3,0.15,106.06,30,10630,15,10606,10630 10606 15 16 31 10605 10607 10612
251,Treasure Casket,28926,266,1,45632,45712,106.3,0.15,106.06,30,10630,15,10606,10630 10606 15 16 31 10605 10607 10612
252,Treasure Casket,28927,266,1,47440,47520,106.3,0.15,106.06,30,10630,15,10606,10630 10606 15 16 31 10605 10607 10612
255,Novalmauge,28935,266,186,3056,3180,195.08,38.6,-240.14,85,19508,3860,-24014,19508 -24014 3860 1 0 16793 7397 7398
256,Chumia,28936,266,18,7024,7080,706.21,-240.46,180.21,85,70621,-24046,18021,70621 18021 -24046 4057 13 71581 18458 -24014
259,Couchatorage,28939,266,5,7384,7568,74.49,0.6,2.0,70,7449,60,200,7449 200 60 485 1107369984 -266469342 1249902591 2147483632
260,Sewer Lid,28940,266,2,7412,7568,74.49,0.6,2.0,70,7449,60,200,7449 200 60 485 1107369984 -266469342 1249902591 2147483632
272,Cell Door,28952,266,1,7352,7500,74.48,0.26,0.28,30,7448,26,28,7448 28 26 22 14 7456 0 7457
304,Brugaire,28984,266,18,5584,5684,126.05,0.2,-240.37,90,12605,20,-24037,12605 -24037 20 21 233 -2147469568 -2147319807 838893571
305,Jurgenclaus,28985,266,9,5940,5984,717.92,-239.81,125.51,100,71792,-23981,12551,71792 12551 -23981 3000 67 7375 7376 7377
315,Ramblix,28996,266,2,7444,7568,74.49,0.6,2.0,70,7449,60,200,7449 200 60 485 1107369984 -266469342 1249902591 2147483632
317,GoalPoint,28998,266,1,8072,8148,74.98,75.0,74.99,45,7498,7500,7499,7498 7499 7500 220 1900833792 -2147483382 5144576 17461580
318,GoalPoint,28999,266,1,8384,8460,74.98,75.0,74.99,45,7498,7500,7499,7498 7499 7500 220 1900899328 -2147483382 5144576 17461581
319,GoalPoint,29000,266,1,8696,8772,74.98,75.0,74.99,45,7498,7500,7499,7498 7499 7500 220 1900964864 -2147483382 5144576 17461582
320,GoalPoint,29001,266,1,9008,9084,74.98,75.0,74.99,45,7498,7500,7499,7498 7499 7500 220 1901030400 -2147483382 5144576 17461583
321,GoalPoint,29002,266,1,9320,9396,74.98,75.0,74.99,45,7498,7500,7499,7498 7499 7500 220 1901095936 -2147483382 5144576 17461584
322,GoalPoint,29003,266,1,9632,9708,74.98,75.0,74.99,45,7498,7500,7499,7498 7499 7500 220 1901161472 -2147483382 5144576 17461585
323,Moogle,29004,266,22,8284,8460,74.98,75.0,74.99,45,7498,7500,7499,7498 7499 7500 220 1900899328 -2147483382 5144576 17461581
324,Moogle,29005,266,22,8596,8772,74.98,75.0,74.99,45,7498,7500,7499,7498 7499 7500 220 1900964864 -2147483382 5144576 17461582
325,Moogle,29006,266,22,8908,9084,74.98,75.0,74.99,45,7498,7500,7499,7498 7499 7500 220 1901030400 -2147483382 5144576 17461583
326,Moogle,29007,266,22,9220,9396,74.98,75.0,74.99,45,7498,7500,7499,7498 7499 7500 220 1901095936 -2147483382 5144576 17461584
327,Moogle,29008,266,22,9532,9708,74.98,75.0,74.99,45,7498,7500,7499,7498 7499 7500 220 1901161472 -2147483382 5144576 17461585
328,Moogle,29009,266,22,10164,10308,24.18,65.2,44.66,45,2418,6520,4466,2418 4466 6520 3456 255 6530 6527 6524
329,Grounds Tome,29010,266,1,11068,11140,105.88,75.04,105.98,30,10588,7504,10598,10588 10598 7504 11 7505 7506 9554 9559
330,Grounds Tome,29011,266,1,14152,14224,105.88,75.04,105.98,30,10588,7504,10598,10588 10598 7504 11 7505 7506 9554 9559
331,Grounds Tome,29012,266,1,17236,17308,105.88,75.04,105.98,30,10588,7504,10598,10588 10598 7504 11 7505 7506 9554 9559
332,Geomantic Reserv,29013,266,3,49248,49300,360.0,1.8,106.44,65,36000,180,10644,36000 10644 180 1808 169 213504 58720256 -2147483643
333,Survival Guide,29016,266,2,49668,49800,-0.02,106.7,106.55,50,-2,10670,10655,-2 10655 10670 26 27 10669 8 15
334,Ethereal Junctio,29017,266,1,58708,58728,0.23,107.14,107.13,30,23,10714,10713,23 10713 10714 1 0 891 8 15
335,Ethereal Junctio,29018,266,1,60072,60092,0.23,107.14,107.13,30,23,10714,10713,23 10713 10714 1 0 891 8 15
336,Ethereal Junctio,29019,266,1,61436,61456,0.23,107.14,107.13,30,23,10714,10713,23 10713 10714 1 0 891 8 15
338,Trion,29021,266,60,64868,65008,998.91,-240.52,-469.78,105,99891,-24052,-46978,99891 -46978 -24052 40 99798 -29671 -23879 53
