index,offset,name,record_id,record_tag,raw_tail_hex
0,0,none,0,0,00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
1,32,Bigclaw,36865,266,00 00 00 00 00 00 00 00 00 00 00 00 01 90 0a 01
2,64,Canal Leech,36866,266,00 00 00 00 00 00 00 00 00 00 00 00 02 90 0a 01
3,96,Rock Crab,36867,266,00 00 00 00 00 00 00 00 00 00 00 00 03 90 0a 01
4,128,Bloodsucker,36868,266,00 00 00 00 00 00 00 00 00 00 00 00 04 90 0a 01
5,160,Mousse,36869,266,00 00 00 00 00 00 00 00 00 00 00 00 05 90 0a 01
6,192,Canal Bats,36870,266,00 00 00 00 00 00 00 00 00 00 00 00 06 90 0a 01
7,224,Canal Bats,36871,266,00 00 00 00 00 00 00 00 00 00 00 00 07 90 0a 01
8,256,Canal Bats,36872,266,00 00 00 00 00 00 00 00 00 00 00 00 08 90 0a 01
9,288,Canal Bats,36873,266,00 00 00 00 00 00 00 00 00 00 00 00 09 90 0a 01
10,320,Hell Bat,36874,266,00 00 00 00 00 00 00 00 00 00 00 00 0a 90 0a 01
11,352,Hell Bat,36875,266,00 00 00 00 00 00 00 00 00 00 00 00 0b 90 0a 01
12,384,Bigclaw,36876,266,00 00 00 00 00 00 00 00 00 00 00 00 0c 90 0a 01
13,416,Bigclaw,36877,266,00 00 00 00 00 00 00 00 00 00 00 00 0d 90 0a 01
14,448,Fallen Knight,36878,266,00 00 00 00 00 00 00 00 00 00 00 00 0e 90 0a 01
15,480,Canal Bats,36879,266,00 00 00 00 00 00 00 00 00 00 00 00 0f 90 0a 01
16,512,Canal Bats,36880,266,00 00 00 00 00 00 00 00 00 00 00 00 10 90 0a 01
17,544,Hell Bat,36881,266,00 00 00 00 00 00 00 00 00 00 00 00 11 90 0a 01
18,576,Hell Bat,36882,266,00 00 00 00 00 00 00 00 00 00 00 00 12 90 0a 01
19,608,Bigclaw,36883,266,00 00 00 00 00 00 00 00 00 00 00 00 13 90 0a 01
20,640,Fallen Knight,36884,266,00 00 00 00 00 00 00 00 00 00 00 00 14 90 0a 01
21,672,Canal Bats,36885,266,00 00 00 00 00 00 00 00 00 00 00 00 15 90 0a 01
22,704,Canal Bats,36886,266,00 00 00 00 00 00 00 00 00 00 00 00 16 90 0a 01
23,736,Hell Bat,36887,266,00 00 00 00 00 00 00 00 00 00 00 00 17 90 0a 01
24,768,Hell Bat,36888,266,00 00 00 00 00 00 00 00 00 00 00 00 18 90 0a 01
25,800,Bigclaw,36889,266,00 00 00 00 00 00 00 00 00 00 00 00 19 90 0a 01
26,832,Fallen Knight,36890,266,00 00 00 00 00 00 00 00 00 00 00 00 1a 90 0a 01
27,864,Canal Bats,36891,266,00 00 00 00 00 00 00 00 00 00 00 00 1b 90 0a 01
28,896,Canal Bats,36892,266,00 00 00 00 00 00 00 00 00 00 00 00 1c 90 0a 01
29,928,Hell Bat,36893,266,00 00 00 00 00 00 00 00 00 00 00 00 1d 90 0a 01
30,960,Hell Bat,36894,266,00 00 00 00 00 00 00 00 00 00 00 00 1e 90 0a 01
31,992,Bigclaw,36895,266,00 00 00 00 00 00 00 00 00 00 00 00 1f 90 0a 01
32,1024,Bigclaw,36896,266,00 00 00 00 00 00 00 00 00 00 00 00 20 90 0a 01
33,1056,Fallen Knight,36897,266,00 00 00 00 00 00 00 00 00 00 00 00 21 90 0a 01
34,1088,Fallen Knight,36898,266,00 00 00 00 00 00 00 00 00 00 00 00 22 90 0a 01
35,1120,Lich,36899,266,00 00 00 00 00 00 00 00 00 00 00 00 23 90 0a 01
36,1152,Lich,36900,266,00 00 00 00 00 00 00 00 00 00 00 00 24 90 0a 01
37,1184,Canal Bats,36901,266,00 00 00 00 00 00 00 00 00 00 00 00 25 90 0a 01
38,1216,Canal Bats,36902,266,00 00 00 00 00 00 00 00 00 00 00 00 26 90 0a 01
39,1248,Hell Bat,36903,266,00 00 00 00 00 00 00 00 00 00 00 00 27 90 0a 01
40,1280,Hell Bat,36904,266,00 00 00 00 00 00 00 00 00 00 00 00 28 90 0a 01
41,1312,Bigclaw,36905,266,00 00 00 00 00 00 00 00 00 00 00 00 29 90 0a 01
42,1344,Bigclaw,36906,266,00 00 00 00 00 00 00 00 00 00 00 00 2a 90 0a 01
43,1376,Fallen Knight,36907,266,00 00 00 00 00 00 00 00 00 00 00 00 2b 90 0a 01
44,1408,Canal Bats,36908,266,00 00 00 00 00 00 00 00 00 00 00 00 2c 90 0a 01
45,1440,Canal Bats,36909,266,00 00 00 00 00 00 00 00 00 00 00 00 2d 90 0a 01
46,1472,Hell Bat,36910,266,00 00 00 00 00 00 00 00 00 00 00 00 2e 90 0a 01
47,1504,Hell Bat,36911,266,00 00 00 00 00 00 00 00 00 00 00 00 2f 90 0a 01
48,1536,Bigclaw,36912,266,00 00 00 00 00 00 00 00 00 00 00 00 30 90 0a 01
49,1568,Bigclaw,36913,266,00 00 00 00 00 00 00 00 00 00 00 00 31 90 0a 01
50,1600,Fallen Knight,36914,266,00 00 00 00 00 00 00 00 00 00 00 00 32 90 0a 01
51,1632,Canal Bats,36915,266,00 00 00 00 00 00 00 00 00 00 00 00 33 90 0a 01
52,1664,Canal Bats,36916,266,00 00 00 00 00 00 00 00 00 00 00 00 34 90 0a 01
53,1696,Hell Bat,36917,266,00 00 00 00 00 00 00 00 00 00 00 00 35 90 0a 01
54,1728,Hell Bat,36918,266,00 00 00 00 00 00 00 00 00 00 00 00 36 90 0a 01
55,1760,Bigclaw,36919,266,00 00 00 00 00 00 00 00 00 00 00 00 37 90 0a 01
56,1792,Bigclaw,36920,266,00 00 00 00 00 00 00 00 00 00 00 00 38 90 0a 01
