offset,token
2629,fdo1
4244,main
4261,ovl1
4331,whi1
4348,blof
4365,fdi0
4445,fdo1
4462,fdo1
4851,whi1
4868,blof
4993,whi1
5010,blof
5027,fdo1
5044,fdo1l
5579,main
5596,fdi2
5891,fdi2
5927,whi1
5944,blof
6028,fdo1
6045,fdo1
6346,whi1
6363,blof
6468,fdo1
6548,fdi2
6700,whi1
6717,blof
6734,fdi2
6810,dw0s
6827,fdi2
6873,main
6905,dw0s
6950,blof
6967,fdi1
6984,whi1
7001,main
7018,fdi1
7069,dw0a
7089,dw0aF
7107,kill
7124,s018
7198,fdi1
7238,s0187
7262,ovl1
7279,s030
7365,s030E
7380,s019
7447,main
7570,s019E
7585,s031
7625,s031E
7640,s020
7663,main
7689,main
7715,main
7735,s020E
7750,ovl1
7767,s021
7784,main
7810,main
7833,s021
7851,who0
7868,who0E
7883,s022
7900,whi0
7915,cast+
7940,who0
7957,who0R
7972,s022E
7987,s023
8004,whi0
8019,cast+
8044,who0
8061,who0R
8076,s023E
8091,s024
8108,whi0
8123,cast+
8148,who0
8165,who0R
8180,s024E
8195,s025
8212,whi0
8227,cast+
8252,who0
8269,who0R
8284,s025E
8299,s026
8316,whi0
8331,cast+
8356,ovl2
8373,s026E
8388,s028
8405,foli
8497,fout
8528,s028E
8543,ovl2
8560,s046
8617,s046E
8632,s032
8688,s032E
8703,s047
8736,s047E
8751,ovl1
8768,s027
8792,in00
8807,cast+
8838,ikil
8855,s027E
8870,s029
8887,po00
8971,s029E
8986,s033
9042,s033F
9059,whi1
9076,kill
9155,pop0E
9170,fe01
9190,fe01
9251,fe02
9268,main
9291,fe02
9309,fe05
9337,fe05E
9352,fe06
9369,main
9417,evt2E
9432,fe07
9449,send
9476,s332
9502,fe07F
9519,fdi2
9569,blof
9586,fdi1
9603,whi1
9620,main
9637,fdi1
9718,dw0w
9738,dw0wF
9756,lkil
9773,okil
9861,loop
9961,s048
9978,fdi2
10005,s048E
10020,ovl2
10037,s049
10054,s049E
10069,ovl2
10086,s035
10106,fdo2
10123,fdo2kidl0
10147,s035E
10162,s034
10179,fdi2
10241,ovl2
10258,s034E
10273,s036
10306,s036E
10321,s037
10370,s037E
10385,s041
10402,lkil
10419,out0
10471,s041E
10486,ovl2
10503,s045
10520,foin
10540,okil
10560,fdo2
10577,fdo2
10592,ikil
10609,fdi1
10626,s041E
10641,s038
10672,dead
10690,s038E
10705,s039
10725,ovl2
10742,s039E
10757,s040
10774,main
10815,fdo2
10832,fdo2R
10847,s040
10876,s037E
10891,s038
10930,dead
10948,s038E
10963,s039
10983,who0
11000,who0E5
11015,whi0
11032,pop0N
11071,s039E
11086,s050
11108,s042
11138,s043
11175,s051
11195,who0
11212,who0
11230,s043E
11245,s044
11262,whi1
11285,lkil
11302,out0
11327,sha0
11353,sha0
11379,sha0
11405,sha0
11431,sha0
11457,sha0
11483,sha0
11509,sha0
11530,s044E
11545,ovl2
11562,s045
11579,foin
11599,okil
11619,fdo2
11686,ikil
11703,lkil
11722,fdi2
11826,evt1E
11841,fe08
11896,main
11922,fe08
11988,dwe0
12005,fdi2
12051,main
12083,dwe07K
12107,dwe1
12127,dwe1F
12159,dwe1
12179,dwe1F
12281,fdi0
12298,fdi0
12314,fdo0
12331,fdo0
12347,fdi1
12364,fdi1
12380,fdo1
12397,fdo1
12413,whi1
12430,whi1
12446,who1
12463,who1
12479,who2
12496,who2
12512,who3
12529,who3
12545,main
12565,fdo1
12582,fdo1
12598,fdi1
12615,main
12635,fdi1
12651,blon
12668,blon
12686,whi0
12703,whi0
12719,who0
12736,who0
12752,efon
12769,efon
12785,fdis
12803,fdos
12820,fdos
12836,fdif
12854,fdof
12871,fdof
12887,fdip
12905,fdop
12922,fdop
13856,F-7S
13876,Z-7W
13975,kila-
13988,kilh-
14001,kili-
14014,kilk-
14027,kilyT
14040,kilaT
14053,kilhT
14066,kiliT
