npc_index,name,record_id,record_tag,event_ref_count,event_ref_offset,position_offset,x,y,z,confidence,raw_x,raw_y,raw_z,raw_values
141,Moon Spiral,41106,266,1,14944,15124,-583.14,97.38,555.78,105,-58314,9738,55578,-58314 55578 9738 13 -57500 21830 0 -61829
142,Foo Beibo,41111,266,10,14972,15152,-618.29,99.17,464.57,120,-61829,9917,46457,-61829 46457 9917 3057 -60829 50457 960 406
143,Vahn Paineesha,41112,266,10,15592,15772,-578.54,98.99,467.66,120,-57854,9899,46766,-57854 46766 9899 3057 -58854 50766 1088 406
144,Shaz Norem,41113,266,5,16212,16360,-583.14,97.38,555.78,105,-58314,9738,55578,-58314 55578 9738 13 -58500 21000 0 -49830
145,Rhy Epocan,41114,266,5,16800,16948,-613.07,96.88,562.54,105,-61307,9688,56254,-61307 56254 9688 13 -60500 21000 0 -49783
146,Ufu Koromoa,41115,266,5,17388,17536,-599.96,96.72,551.06,105,-59996,9672,55106,-59996 55106 9672 13 -59500 20000 0 -21002
147,Star Sibyl,41116,266,111,22808,22972,-722.2,80.0,581.58,85,-72220,8000,58158,-72220 58158 8000 1105 0 2 200 100
148,Ajido-Marujido,41117,266,119,21408,21532,-600.0,60.0,747.0,85,-60000,6000,74700,-60000 74700 6000 1400 57 5963776 -1920 -1921
149,Semih Lafihna,41118,266,63,20352,20532,-595.0,0.0,220.0,100,-59500,0,22000,-59500 22000 0 3064 13 23760 40 -60719
150,Fenrir,41119,266,7,21496,21532,-600.0,60.0,747.0,85,-60000,6000,74700,-60000 74700 6000 1400 57 5963776 -1920 -1921
152,Apururu,41121,266,42,43555,43615,133.12,120.32,1.25,90,13312,12032,125,13312 125 12032 0 -2003 -1921 1752393855 755011177
154,SP01,41123,266,13,22868,22972,-722.2,80.0,581.58,85,-72220,8000,58158,-72220 58158 8000 1105 0 2 200 100
155,Talking Doll,41124,266,9,22912,22972,-722.2,80.0,581.58,85,-72220,8000,58158,-72220 58158 8000 1105 0 2 200 100
158,DIRECTOR,41127,266,6,23152,23264,-756.03,109.39,674.05,120,-75603,10939,67405,-75603 67405 10939 632 -45522 67122 11175 3461
162,POWDER,41131,266,6,43676,43800,0.13,0.0,73.2,15,13,0,7320,13 7320 0 1 2 3 4 5
163,IZUMI of MANGETS,41132,266,6,43740,43800,0.13,0.0,73.2,15,13,0,7320,13 7320 0 1 2 3 4 5
164,King of Wands,41133,266,36,44480,44604,-597.37,97.12,237.58,100,-59737,9712,23758,-59737 23758 9712 3072 13 8000 500 389
165,King of Swords,41134,266,36,45028,45152,-572.56,96.56,237.58,100,-57256,9656,23758,-57256 23758 9656 3072 13 8000 500 389
166,King of Cups,41135,266,37,45576,45700,-621.14,92.37,237.58,100,-62114,9237,23758,-62114 23758 9237 2928 13 8000 500 389
167,King of Batons,41136,266,37,46660,46804,-583.7,100.48,206.3,100,-58370,10048,20630,-58370 20630 10048 3072 13 8000 500 40
168,Queen of Wands,41137,266,34,46672,46804,-583.7,100.48,206.3,100,-58370,10048,20630,-58370 20630 10048 3072 13 8000 500 40
169,Queen of Swords,41138,266,34,47280,47408,-609.06,99.93,206.3,100,-60906,9993,20630,-60906 20630 9993 3072 13 8000 500 40
170,Queen of Cups,41139,266,30,47888,47960,-609.06,101.19,171.46,100,-60906,10119,17146,-60906 17146 10119 3072 13 8000 166 1684626944
171,Queen of Batons,41140,266,30,48156,48228,-583.7,101.95,171.46,100,-58370,10195,17146,-58370 17146 10195 3072 13 8000 166 1684626944
172,01,41141,266,36,48424,48540,80.0,0.3,140.0,85,8000,30,14000,8000 14000 30 40 -47689 57811 10176 10
173,02,41142,266,30,48944,49036,-619.54,108.53,120.0,65,-61954,10853,12000,-61954 12000 10853 3089 18 8000 14000 30
174,03,41143,266,34,49392,49508,80.0,0.3,120.0,85,8000,30,12000,8000 12000 30 40 -45764 56749 10132 10
175,04,41144,266,34,49912,50040,-691.62,98.23,489.97,120,-69162,9823,48997,-69162 48997 9823 723 40 -62252 36326 9537
176,05,41145,266,31,50420,50528,30.65,100.0,0.18,85,3065,10000,18,3065 18 10000 30 -72985 36518 9888 149
177,06,41146,266,28,50896,51004,30.89,100.0,0.18,85,3089,10000,18,3089 18 10000 30 -73200 42653 10251 179
178,07,41147,266,31,51372,51484,0.18,100.0,80.0,85,18,10000,8000,18 8000 10000 30 -55954 34942 9592 1884
179,08,41148,266,31,51852,51964,0.18,100.0,80.0,85,18,10000,8000,18 8000 10000 30 -50314 37621 9131 1796
181,11,41150,266,26,52676,52768,-632.04,94.37,329.39,70,-63204,9437,32939,-63204 32939 9437 3734 259 1684626944 1526739052 -491520
182,12,41151,266,27,53048,53144,-494.83,99.91,328.22,120,-49483,9991,32822,-49483 32822 9991 1998 40 -56975 31747 9823
184,14,41153,266,27,53828,53920,-511.51,93.87,356.22,85,-51151,9387,35622,-51151 35622 9387 1880 259 1684626944 1526739052 -491520
185,15,41154,266,26,54200,54292,-679.0,94.11,356.71,70,-67900,9411,35671,-67900 35671 9411 234 259 1684626944 1526739052 -491520
186,20,41155,266,27,54572,54664,-611.62,93.71,257.87,85,-61162,9371,25787,-61162 25787 9371 3010 259 1684626944 1526739052 -491520
187,21,41156,266,27,54944,55036,-582.83,93.71,257.87,85,-58283,9371,25787,-58283 25787 9371 3010 259 1684626944 1526739052 -491520
188,22,41157,266,32,55316,55408,-627.91,93.66,284.66,70,-62791,9366,28466,-62791 28466 9366 3610 259 1684626944 1526739052 -491520
189,23,41158,266,28,55688,55776,-568.0,93.66,284.66,90,-56800,9366,28466,-56800 28466 9366 3610 253 -2147460352 2147483640 2147483640
190,25,41159,266,19,56052,56120,-387.0,105.84,671.1,85,-38700,10584,67110,-38700 67110 10584 1624 130 1684626944 1526739052 -491520
191,26,41160,266,18,56272,56340,-346.76,103.92,674.19,85,-34676,10392,67419,-34676 67419 10392 1763 130 1684626944 1526739052 -491520
192,Ace of Wands,41161,266,22,56492,56596,-627.41,95.85,600.0,120,-62741,9585,60000,-62741 60000 9585 955 -61000 60139 9414 1024
193,Ace of Swords,41162,266,22,56868,56972,-576.78,95.04,600.0,120,-57678,9504,60000,-57678 60000 9504 1052 -59400 60139 9414 1024
194,Ace of Cups,41163,266,10,57244,57308,-391.58,101.83,490.0,120,-39158,10183,49000,-39158 49000 10183 1542 -54391 45572 9973 2774
195,Ace of Batons,41164,266,8,57484,57548,507.78,34.39,97.33,50,50778,3439,9733,50778 9733 3439 128 1684626944 1526739052 -491520 -491521
