npc_index,name,record_id,record_tag,event_ref_count,event_ref_offset,position_offset,x,y,z,confidence,raw_x,raw_y,raw_z,raw_values
202,Republic Supplie,45258,266,7,71756,71872,77.83,0.86,0.01,65,7783,86,1,7783 1 86 768 16977922 51380992 268697602 83886851
203,Republic Supplie,45259,266,7,71784,71872,77.83,0.86,0.01,65,7783,86,1,7783 1 86 768 16977922 51380992 268697602 83886851
204,Republic Supplie,45260,266,7,71812,71872,77.83,0.86,0.01,65,7783,86,1,7783 1 86 768 16977922 51380992 268697602 83886851
639,Choh Moui,45696,266,1,34864,34912,0.03,76.97,76.96,70,3,7697,7696,3 7696 7697 326 1107369984 -4066 895 16977922
641,???,45698,266,1,35280,35456,-281.76,19.84,-328.41,90,-28176,1984,-32841,-28176 -32841 1984 60 315 182 7594 15
642,???,45699,266,1,35304,35456,-281.76,19.84,-328.41,90,-28176,1984,-32841,-28176 -32841 1984 60 315 182 7594 15
643,???,45700,266,1,35328,35456,-281.76,19.84,-328.41,90,-28176,1984,-32841,-28176 -32841 1984 60 315 182 7594 15
644,???,45701,266,1,35352,35456,-281.76,19.84,-328.41,90,-28176,1984,-32841,-28176 -32841 1984 60 315 182 7594 15
645,???,45702,266,1,35376,35456,-281.76,19.84,-328.41,90,-28176,1984,-32841,-28176 -32841 1984 60 315 182 7594 15
646,Treasure Coffer,45704,266,1,71840,71872,77.83,0.86,0.01,65,7783,86,1,7783 1 86 768 16977922 51380992 268697602 83886851
669,"Chefroucauld, T.",45742,266,16,6136,6264,640.24,5.32,-320.98,120,64024,532,-32098,64024 -32098 532 566 63861 -35340 374 2736
670,"Astrid, I.M.",45743,266,16,13880,14012,640.24,5.32,-320.98,120,64024,532,-32098,64024 -32098 532 566 63861 -35340 374 2736
671,"Puttsu-Montsu, C",45744,266,16,21624,21756,640.24,5.32,-320.98,120,64024,532,-32098,64024 -32098 532 566 63861 -35340 374 2736
685,Ramblix,45758,266,2,580,704,76.36,0.6,2.0,70,7636,60,200,7636 200 60 485 1107369984 -266469342 1249902591 2147483632
687,???,45760,266,5,1208,1304,0.01,76.5,76.52,30,1,7650,7652,1 7652 7650 0 377 7648 80 49
690,Kalsu-Kalasu,45763,266,49,5256,5340,-191.68,0.45,-335.19,90,-19168,45,-33519,-19168 -33519 45 106 -266469376 58720255 -2147479550 179487531
691,Tucker,45764,266,155,6088,6264,640.24,5.32,-320.98,120,64024,532,-32098,64024 -32098 532 566 63861 -35340 374 2736
692,Naiko-Paneiko,45765,266,84,35400,35456,-281.76,19.84,-328.41,90,-28176,1984,-32841,-28176 -32841 1984 60 315 182 7594 15
693,Penqaqa,45766,266,1,37260,37284,76.19,76.2,0.34,90,7619,7620,34,7619 34 7620 43 -505344 -1015809 1867775 -513152
694,Minea-Matea,45767,266,1,37344,37368,0.21,76.22,76.21,90,21,7622,7621,21 7621 7622 43 -505344 -1015809 1867775 -496000
695,Yuilam-Kailam,45768,266,1,37428,37448,0.3,76.25,76.24,90,30,7625,7624,30 7624 7625 31 -505344 -1015809 1867775 -513152
696,Herral-Droal,45769,266,1,37496,37592,0.19,76.27,76.26,90,19,7627,7626,19 7626 7627 43 -505344 -1015809 1867775 -496000
697,Nalba-Dalaba,45770,266,1,37568,37592,0.19,76.27,76.26,90,19,7627,7626,19 7626 7627 43 -505344 -1015809 1867775 -496000
698,Mukmimi,45771,266,1,37652,37676,76.28,76.3,76.29,65,7628,7630,7629,7628 7629 7630 39 -505344 -1015809 1867775 -513152
708,Rodeupansat,45782,266,1,37732,37784,77.05,77.06,0.2,45,7705,7706,20,7705 20 7706 968 7707 7708 7709 7710
709,Allied Commissar,45783,266,208,38148,38288,0.82,-336.46,667.52,105,82,-33646,66752,82 66752 -33646 573 83 -192613 -281066 -40000
718,Shredded Label,45793,266,1,71972,71996,77.77,0.0,0.01,50,7777,0,1,7777 1 0 48 4735488 19145600 58720896 140672
719,Planar Rift,45794,266,1,72920,72988,78.1,0.02,0.01,45,7810,2,1,7810 1 2 1539 7811 7812 7813 7814
720,Planar Rift,45795,266,1,91748,91816,0.04,0.02,78.1,45,4,2,7810,4 7810 2 1539 7811 7812 7813 7814
721,Planar Rift,45796,266,1,110576,110644,0.04,0.01,78.1,45,4,1,7810,4 7810 1 1539 7811 7812 7813 7814
722,Riftworn Pyxis,45797,266,1,129404,129544,184.57,197.94,185.42,65,18457,19794,18542,18457 18542 19794 1276 768 18907136 515 263040
723,Riftworn Pyxis,45798,266,1,130836,130976,184.57,197.94,185.42,65,18457,19794,18542,18457 18542 19794 1276 768 18907136 515 263040
724,Riftworn Pyxis,45799,266,1,132268,132408,184.57,197.94,185.42,65,18457,19794,18542,18457 18542 19794 1276 768 18907136 515 263040
725,Survival Guide,45800,266,2,133700,133832,-0.02,86.84,86.69,50,-2,8684,8669,-2 8669 8684 26 27 8683 8 15
