index,offset,name,record_id,record_tag,raw_tail_hex
0,0,none,0,0,00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
1,32,Ding Bats,49153,266,00 00 00 00 00 00 00 00 00 00 00 00 01 c0 0a 01
2,64,Ding Bats,49154,266,00 00 00 00 00 00 00 00 00 00 00 00 02 c0 0a 01
3,96,Ding Bats,49155,266,00 00 00 00 00 00 00 00 00 00 00 00 03 c0 0a 01
4,128,Ding Bats,49156,266,00 00 00 00 00 00 00 00 00 00 00 00 04 c0 0a 01
5,160,Ding Bats,49157,266,00 00 00 00 00 00 00 00 00 00 00 00 05 c0 0a 01
6,192,Ding Bats,49158,266,00 00 00 00 00 00 00 00 00 00 00 00 06 c0 0a 01
7,224,River Crab,49159,266,00 00 00 00 00 00 00 00 00 00 00 00 07 c0 0a 01
8,256,Ding Bats,49160,266,00 00 00 00 00 00 00 00 00 00 00 00 08 c0 0a 01
9,288,River Crab,49161,266,00 00 00 00 00 00 00 00 00 00 00 00 09 c0 0a 01
10,320,Ding Bats,49162,266,00 00 00 00 00 00 00 00 00 00 00 00 0a c0 0a 01
11,352,River Crab,49163,266,00 00 00 00 00 00 00 00 00 00 00 00 0b c0 0a 01
12,384,Ding Bats,49164,266,00 00 00 00 00 00 00 00 00 00 00 00 0c c0 0a 01
13,416,River Crab,49165,266,00 00 00 00 00 00 00 00 00 00 00 00 0d c0 0a 01
14,448,Colliery Bat,49166,266,00 00 00 00 00 00 00 00 00 00 00 00 0e c0 0a 01
15,480,Colliery Bat,49167,266,00 00 00 00 00 00 00 00 00 00 00 00 0f c0 0a 01
16,512,Colliery Bat,49168,266,00 00 00 00 00 00 00 00 00 00 00 00 10 c0 0a 01
17,544,Colliery Bat,49169,266,00 00 00 00 00 00 00 00 00 00 00 00 11 c0 0a 01
18,576,Colliery Bat,49170,266,00 00 00 00 00 00 00 00 00 00 00 00 12 c0 0a 01
19,608,Colliery Bat,49171,266,00 00 00 00 00 00 00 00 00 00 00 00 13 c0 0a 01
20,640,Colliery Bat,49172,266,00 00 00 00 00 00 00 00 00 00 00 00 14 c0 0a 01
21,672,Colliery Bat,49173,266,00 00 00 00 00 00 00 00 00 00 00 00 15 c0 0a 01
22,704,Burrower Worm,49174,266,00 00 00 00 00 00 00 00 00 00 00 00 16 c0 0a 01
23,736,Burrower Worm,49175,266,00 00 00 00 00 00 00 00 00 00 00 00 17 c0 0a 01
24,768,Burrower Worm,49176,266,00 00 00 00 00 00 00 00 00 00 00 00 18 c0 0a 01
25,800,Burrower Worm,49177,266,00 00 00 00 00 00 00 00 00 00 00 00 19 c0 0a 01
26,832,Colliery Bat,49178,266,00 00 00 00 00 00 00 00 00 00 00 00 1a c0 0a 01
27,864,Colliery Bat,49179,266,00 00 00 00 00 00 00 00 00 00 00 00 1b c0 0a 01
28,896,Burrower Worm,49180,266,00 00 00 00 00 00 00 00 00 00 00 00 1c c0 0a 01
29,928,Burrower Worm,49181,266,00 00 00 00 00 00 00 00 00 00 00 00 1d c0 0a 01
30,960,Colliery Bat,49182,266,00 00 00 00 00 00 00 00 00 00 00 00 1e c0 0a 01
31,992,Colliery Bat,49183,266,00 00 00 00 00 00 00 00 00 00 00 00 1f c0 0a 01
32,1024,Colliery Bat,49184,266,00 00 00 00 00 00 00 00 00 00 00 00 20 c0 0a 01
33,1056,Colliery Bat,49185,266,00 00 00 00 00 00 00 00 00 00 00 00 21 c0 0a 01
34,1088,Colliery Bat,49186,266,00 00 00 00 00 00 00 00 00 00 00 00 22 c0 0a 01
35,1120,Colliery Bat,49187,266,00 00 00 00 00 00 00 00 00 00 00 00 23 c0 0a 01
36,1152,Soot Crab,49188,266,00 00 00 00 00 00 00 00 00 00 00 00 24 c0 0a 01
37,1184,Soot Crab,49189,266,00 00 00 00 00 00 00 00 00 00 00 00 25 c0 0a 01
38,1216,Burrower Worm,49190,266,00 00 00 00 00 00 00 00 00 00 00 00 26 c0 0a 01
39,1248,Burrower Worm,49191,266,00 00 00 00 00 00 00 00 00 00 00 00 27 c0 0a 01
40,1280,Burrower Worm,49192,266,00 00 00 00 00 00 00 00 00 00 00 00 28 c0 0a 01
41,1312,Burrower Worm,49193,266,00 00 00 00 00 00 00 00 00 00 00 00 29 c0 0a 01
42,1344,Burrower Worm,49194,266,00 00 00 00 00 00 00 00 00 00 00 00 2a c0 0a 01
43,1376,Soot Crab,49195,266,00 00 00 00 00 00 00 00 00 00 00 00 2b c0 0a 01
44,1408,Soot Crab,49196,266,00 00 00 00 00 00 00 00 00 00 00 00 2c c0 0a 01
45,1440,Soot Crab,49197,266,00 00 00 00 00 00 00 00 00 00 00 00 2d c0 0a 01
46,1472,Colliery Bat,49198,266,00 00 00 00 00 00 00 00 00 00 00 00 2e c0 0a 01
47,1504,Colliery Bat,49199,266,00 00 00 00 00 00 00 00 00 00 00 00 2f c0 0a 01
48,1536,Colliery Bat,49200,266,00 00 00 00 00 00 00 00 00 00 00 00 30 c0 0a 01
49,1568,Colliery Bat,49201,266,00 00 00 00 00 00 00 00 00 00 00 00 31 c0 0a 01
50,1600,Colliery Bat,49202,266,00 00 00 00 00 00 00 00 00 00 00 00 32 c0 0a 01
51,1632,Colliery Bat,49203,266,00 00 00 00 00 00 00 00 00 00 00 00 33 c0 0a 01
52,1664,Burrower Worm,49204,266,00 00 00 00 00 00 00 00 00 00 00 00 34 c0 0a 01
53,1696,Burrower Worm,49205,266,00 00 00 00 00 00 00 00 00 00 00 00 35 c0 0a 01
54,1728,Burrower Worm,49206,266,00 00 00 00 00 00 00 00 00 00 00 00 36 c0 0a 01
55,1760,Burrower Worm,49207,266,00 00 00 00 00 00 00 00 00 00 00 00 37 c0 0a 01
56,1792,Burrower Worm,49208,266,00 00 00 00 00 00 00 00 00 00 00 00 38 c0 0a 01
57,1824,Burrower Worm,49209,266,00 00 00 00 00 00 00 00 00 00 00 00 39 c0 0a 01
58,1856,Veindigger Leech,49210,266,00 00 00 00 00 00 00 00 00 00 00 00 3a c0 0a 01
59,1888,Veindigger Leech,49211,266,00 00 00 00 00 00 00 00 00 00 00 00 3b c0 0a 01
60,1920,Veindigger Leech,49212,266,00 00 00 00 00 00 00 00 00 00 00 00 3c c0 0a 01
61,1952,Veindigger Leech,49213,266,00 00 00 00 00 00 00 00 00 00 00 00 3d c0 0a 01
62,1984,Gloom Phantom,49214,266,00 00 00 00 00 00 00 00 00 00 00 00 3e c0 0a 01
63,2016,Do'Bho Venomtail,49215,266,00 00 00 00 00 00 00 00 00 00 00 00 3f c0 0a 01
64,2048,Old Quadav,49216,266,00 00 00 00 00 00 00 00 00 00 00 00 40 c0 0a 01
65,2080,Copper Quadav,49217,266,00 00 00 00 00 00 00 00 00 00 00 00 41 c0 0a 01
66,2112,Brass Quadav,49218,266,00 00 00 00 00 00 00 00 00 00 00 00 42 c0 0a 01
67,2144,Treasure Casket,49219,266,00 00 00 00 00 00 00 00 00 00 00 00 43 c0 0a 01
68,2176,Treasure Casket,49220,266,00 00 00 00 00 00 00 00 00 00 00 00 44 c0 0a 01
69,2208,Treasure Casket,49221,266,00 00 00 00 00 00 00 00 00 00 00 00 45 c0 0a 01
70,2240,Treasure Casket,49222,266,00 00 00 00 00 00 00 00 00 00 00 00 46 c0 0a 01
71,2272,Treasure Casket,49223,266,00 00 00 00 00 00 00 00 00 00 00 00 47 c0 0a 01
72,2304,Treasure Casket,49224,266,00 00 00 00 00 00 00 00 00 00 00 00 48 c0 0a 01
73,2336,Treasure Casket,49225,266,00 00 00 00 00 00 00 00 00 00 00 00 49 c0 0a 01
74,2368,Treasure Casket,49226,266,00 00 00 00 00 00 00 00 00 00 00 00 4a c0 0a 01
75,2400,Treasure Casket,49227,266,00 00 00 00 00 00 00 00 00 00 00 00 4b c0 0a 01
76,2432,Treasure Casket,49228,266,00 00 00 00 00 00 00 00 00 00 00 00 4c c0 0a 01
77,2464,Treasure Casket,49229,266,00 00 00 00 00 00 00 00 00 00 00 00 4d c0 0a 01
78,2496,Treasure Casket,49230,266,00 00 00 00 00 00 00 00 00 00 00 00 4e c0 0a 01
79,2528,Treasure Casket,49231,266,00 00 00 00 00 00 00 00 00 00 00 00 4f c0 0a 01
80,2560,Treasure Casket,49232,266,00 00 00 00 00 00 00 00 00 00 00 00 50 c0 0a 01
81,2592,Treasure Casket,49233,266,00 00 00 00 00 00 00 00 00 00 00 00 51 c0 0a 01
82,2624,Treasure Casket,49234,266,00 00 00 00 00 00 00 00 00 00 00 00 52 c0 0a 01
83,2656,Achieve Master,49235,266,00 00 00 00 00 00 00 00 00 00 00 00 53 c0 0a 01
84,2688,Unity Master,49238,266,00 00 00 00 00 00 00 00 00 00 00 00 56 c0 0a 01
85,2720,Lasthenes,49243,266,00 00 00 00 00 00 00 00 00 00 00 00 5b c0 0a 01
86,2752,Alaric,49244,266,00 00 00 00 00 00 00 00 00 00 00 00 5c c0 0a 01
87,2784,Rasmus,49245,266,00 00 00 00 00 00 00 00 00 00 00 00 5d c0 0a 01
88,2816,Vorzill,49246,266,00 00 00 00 00 00 00 00 00 00 00 00 5e c0 0a 01
89,2848,Drake Fang,49247,266,00 00 00 00 00 00 00 00 00 00 00 00 5f c0 0a 01
90,2880,Gildge,49248,266,00 00 00 00 00 00 00 00 00 00 00 00 60 c0 0a 01
91,2912,Balgamirob,49249,266,00 00 00 00 00 00 00 00 00 00 00 00 61 c0 0a 01
92,2944,Dodoi,49250,266,00 00 00 00 00 00 00 00 00 00 00 00 62 c0 0a 01
93,2976,Smoke Breath,49251,266,00 00 00 00 00 00 00 00 00 00 00 00 63 c0 0a 01
94,3008,Makarim,49252,266,00 00 00 00 00 00 00 00 00 00 00 00 64 c0 0a 01
95,3040,Ormr,49253,266,00 00 00 00 00 00 00 00 00 00 00 00 65 c0 0a 01
96,3072,Subodh,49254,266,00 00 00 00 00 00 00 00 00 00 00 00 66 c0 0a 01
97,3104,Zeid,49255,266,00 00 00 00 00 00 00 00 00 00 00 00 67 c0 0a 01
