npc_index,name,record_id,record_tag,event_ref_count,event_ref_offset,position_offset,x,y,z,confidence,raw_x,raw_y,raw_z,raw_values
368,Royal Provisione,61808,266,7,105840,105956,80.45,0.86,0.01,65,8045,86,1,8045 1 86 768 16977922 51380992 268697602 83886851
369,Royal Provisione,61809,266,7,105868,105956,80.45,0.86,0.01,65,8045,86,1,8045 1 86 768 16977922 51380992 268697602 83886851
370,Royal Provisione,61810,266,7,105896,105956,80.45,0.86,0.01,65,8045,86,1,8045 1 86 768 16977922 51380992 268697602 83886851
605,Lewenhart,62046,266,1,70428,70468,0.03,79.24,41.54,50,3,7924,4154,3 4154 7924 308 1107369984 507642144 2147483632 50331907
606,Treasure Coffer,62048,266,1,105924,105956,80.45,0.86,0.01,65,8045,86,1,8045 1 86 768 16977922 51380992 268697602 83886851
629,"Renvriche, T.K.",62086,266,16,40708,40868,640.24,5.32,-320.98,120,64024,532,-32098,64024 -32098 532 566 63861 -35340 374 2736
630,"Johann, I.M.",62087,266,16,48560,48724,640.24,5.32,-320.98,120,64024,532,-32098,64024 -32098 532 566 63861 -35340 374 2736
631,"Rululu, C.C.",62088,266,16,56412,56576,640.24,5.32,-320.98,120,64024,532,-32098,64024 -32098 532 566 63861 -35340 374 2736
636,"Amaliya, C.A.",62093,266,2,64264,64332,1.23,0.04,70.77,30,123,4,7077,123 7077 4 0 7090 1 7091 2
688,Erik,62145,266,1,9000,9032,76.15,76.14,76.13,45,7615,7614,7613,7615 7613 7614 64 -1040896 1867775 -2147391872 2147483640
689,Theodor,62146,266,1,9112,9228,0.69,9.13,76.17,45,69,913,7617,69 7617 913 2712 1170 8074 8075 14
690,Red Axe,62147,266,57,9180,9228,0.69,9.13,76.17,45,69,913,7617,69 7617 913 2712 1170 8074 8075 14
691,Gravestone,62148,266,1,9440,9588,-394.36,11.29,-227.0,90,-39436,1129,-22700,-39436 -22700 1129 29 0 0 0 268573696
692,Sarcophagus,62149,266,1,9476,9588,-394.36,11.29,-227.0,90,-39436,1129,-22700,-39436 -22700 1129 29 0 0 0 268573696
693,Ramblix,62150,266,2,8372,8496,71.54,0.6,2.0,70,7154,60,200,7154 200 60 485 1107369984 -266469342 1249902591 2147483632
695,???,62152,266,45,9512,9588,-394.36,11.29,-227.0,90,-39436,1129,-22700,-39436 -22700 1129 29 0 0 0 268573696
698,Turbulent Storm,62155,266,48,34928,34980,76.38,76.35,76.34,45,7638,7635,7634,7638 7634 7635 11 424686 -47266 -48000 422461
699,Erlene,62156,266,832,35132,35316,76.93,76.96,76.94,5,7693,7696,7694,7693 7694 7696 1 7697 7698 26 7736
700,Ulbrecht,62157,266,275,10424,10576,0.01,76.24,76.26,30,1,7624,7626,1 7626 7624 0 377 7622 80 7623
729,Volker,62187,266,52,70952,71128,-1287.93,37.49,-320.0,80,-128793,3749,-32000,-128793 -32000 3749 60 341855 -128895 341377 -129572
731,Ernestine,62189,266,77,71092,71128,-1287.93,37.49,-320.0,80,-128793,3749,-32000,-128793 -32000 3749 60 341855 -128895 341377 -129572
739,Heptachiond,62197,266,1,71856,71888,0.17,79.65,79.64,30,17,7965,7964,17 7964 7965 20 7966 7967 7968 970
740,Allied Commissar,62198,266,208,72192,72332,0.82,-336.46,667.52,105,82,-33646,66752,82 66752 -33646 573 83 -192613 -281066 -40000
746,Royal Provisione,62204,266,1,94464,94492,0.02,71.29,73.68,30,2,7129,7368,2 7368 7129 8 7370 255 3 4
747,Royal Provisione,62205,266,1,98256,98284,0.02,71.29,73.68,30,2,7129,7368,2 7368 7129 8 7370 255 3 4
748,Royal Provisione,62206,266,1,102048,102076,0.02,71.29,73.68,30,2,7129,7368,2 7368 7129 8 7370 255 3 4
749,Shredded Label,62208,266,1,106056,106080,80.39,0.0,0.01,50,8039,0,1,8039 1 0 48 4735488 19145600 58720896 140672
752,Five Moons,62211,266,26,109392,109456,107.65,2.58,0.05,50,10765,258,5,10765 5 258 90 305836 17716 77 469762048
753,Herbert,62212,266,49,109564,109732,22.59,63.61,43.07,45,2259,6361,4307,2259 4307 6361 3456 255 6371 6368 6365
754,Planar Rift,62213,266,1,110492,110560,80.97,0.02,0.01,45,8097,2,1,8097 1 2 1539 8098 8099 8100 8101
755,Planar Rift,62214,266,1,129320,129388,0.04,0.02,80.97,45,4,2,8097,4 8097 2 1539 8098 8099 8100 8101
756,Planar Rift,62215,266,1,148148,148216,0.04,0.01,80.97,45,4,1,8097,4 8097 1 1539 8098 8099 8100 8101
757,Riftworn Pyxis,62216,266,1,166976,167116,184.57,197.94,185.42,65,18457,19794,18542,18457 18542 19794 1276 768 18907136 515 263040
758,Riftworn Pyxis,62217,266,1,168408,168548,184.57,197.94,185.42,65,18457,19794,18542,18457 18542 19794 1276 768 18907136 515 263040
759,Riftworn Pyxis,62218,266,1,169840,169980,184.57,197.94,185.42,65,18457,19794,18542,18457 18542 19794 1276 768 18907136 515 263040
760,Survival Guide,62219,266,2,171272,171404,-0.02,89.71,89.56,50,-2,8971,8956,-2 8956 8971 26 27 8970 8 15
763,Leadavox,62222,266,10,192984,193108,1611.57,0.0,0.01,75,161157,0,1,161157 1 0 1453 131 -134114816 8388607 -523886
764,Enkelados,62223,266,77,193016,193108,1611.57,0.0,0.01,75,161157,0,1,161157 1 0 1453 131 -134114816 8388607 -523886
765,Sharpshot Luttdr,62224,266,37,193260,193396,25.95,26.93,25.96,70,2595,2693,2596,2595 2596 2693 405 -134114816 8388607 -523886 1526759423
766,Sharpshot Luttdr,62225,266,13,193820,193876,0.02,14.32,25.95,70,2,1432,2595,2 2595 1432 158 -134114816 8388607 -125829029 -125829121
767,Sa'Jho Shieldbre,62226,266,29,194052,194136,0.0,2.27,12.66,70,0,227,1266,0 1266 227 209 -134114816 8388607 -523886 -1426030593
770,Noillurie,62229,266,126,187715,187843,5.12,0.0,0.0,50,512,0,0,512 0 0 0 -1258291200 1241514496 17494805 17494811
771,Noillurie,62230,266,38,195356,195524,24.1,28.95,28.94,85,2410,2895,2894,2410 2894 2895 518 -134114816 8388607 -125829029 -125829121
776,Delkfutt,62235,266,79,187762,187842,1312.52,0.0,0.0,40,131252,0,0,131252 0 0 0 0 131253 183702858 183704321
