npc_index,name,record_id,record_tag,event_ref_count,event_ref_offset,position_offset,x,y,z,confidence,raw_x,raw_y,raw_z,raw_values
465,Treasure Casket,467,267,1,17356,17436,76.42,0.15,76.18,30,7642,15,7618,7642 7618 15 16 31 7617 7619 7624
466,Treasure Casket,468,267,1,19164,19244,76.42,0.15,76.18,30,7642,15,7618,7642 7618 15 16 31 7617 7619 7624
467,Treasure Casket,469,267,1,20972,21052,76.42,0.15,76.18,30,7642,15,7618,7642 7618 15 16 31 7617 7619 7624
468,Treasure Casket,470,267,1,22780,22860,76.42,0.15,76.18,30,7642,15,7618,7642 7618 15 16 31 7617 7619 7624
469,Treasure Casket,471,267,1,24588,24668,76.42,0.15,76.18,30,7642,15,7618,7642 7618 15 16 31 7617 7619 7624
470,Treasure Casket,472,267,1,26396,26476,76.42,0.15,76.18,30,7642,15,7618,7642 7618 15 16 31 7617 7619 7624
471,Treasure Casket,473,267,1,28204,28284,76.42,0.15,76.18,30,7642,15,7618,7642 7618 15 16 31 7617 7619 7624
472,Treasure Casket,474,267,1,30012,30092,76.42,0.15,76.18,30,7642,15,7618,7642 7618 15 16 31 7617 7619 7624
473,Treasure Casket,475,267,1,31820,31900,76.42,0.15,76.18,30,7642,15,7618,7642 7618 15 16 31 7617 7619 7624
474,Treasure Casket,476,267,1,33628,33708,76.42,0.15,76.18,30,7642,15,7618,7642 7618 15 16 31 7617 7619 7624
475,Treasure Casket,477,267,1,35436,35516,76.42,0.15,76.18,30,7642,15,7618,7642 7618 15 16 31 7617 7619 7624
476,Treasure Casket,478,267,1,37244,37324,76.42,0.15,76.18,30,7642,15,7618,7642 7618 15 16 31 7617 7619 7624
477,Treasure Casket,479,267,1,39052,39132,76.42,0.15,76.18,30,7642,15,7618,7642 7618 15 16 31 7617 7619 7624
478,Treasure Casket,480,267,1,40860,40940,76.42,0.15,76.18,30,7642,15,7618,7642 7618 15 16 31 7617 7619 7624
479,Treasure Casket,481,267,1,42668,42748,76.42,0.15,76.18,30,7642,15,7618,7642 7618 15 16 31 7617 7619 7624
480,Treasure Casket,482,267,1,44476,44556,76.42,0.15,76.18,30,7642,15,7618,7642 7618 15 16 31 7617 7619 7624
484,Hurr the Betraye,491,267,1,3300,3328,0.14,73.52,73.51,45,14,7352,7351,14 7351 7352 1135 749 7354 7353 748
485,Bou the Righteou,492,267,1,3524,3636,0.3,0.15,73.75,30,30,15,7375,30 7375 15 270 7376 7377 7378 7379
508,???,516,267,2,3584,3636,0.3,0.15,73.75,30,30,15,7375,30 7375 15 270 7376 7377 7378 7379
509,Ren,517,267,28,4955,5111,74.24,-5.12,76.8,65,7424,-512,7680,7424 7680 -512 511 512 768 1024 288256
512,Ramblix,520,267,2,5096,5220,73.93,0.6,2.0,70,7393,60,200,7393 200 60 485 1107369984 -266469342 1249902591 2147483632
515,Capacucu,523,267,12,10652,10692,855.94,36.48,-739.38,70,85594,3648,-73938,85594 -73938 3648 0 1 128 38 90
516,Putori-Tutori,524,267,12,10816,10856,-1658.55,11.21,-21.75,80,-165855,1121,-2175,-165855 -2175 1121 0 1 128 38 92
517,Kilhwch,525,267,12,10980,11016,-194.99,-19.09,636.4,105,-19499,-1909,63640,-19499 63640 -1909 1254 0 1 128 38
518,Mieuseloir,526,267,12,11144,11188,25.88,0.0,37.17,15,2588,0,3717,2588 3717 0 1 128 38 92 20119552
519,Lhu Mhakaracca,527,267,12,11308,11344,-1521.97,-167.22,203.37,80,-152197,-16722,20337,-152197 20337 -16722 33 0 1 128 38
520,Xonia,528,267,12,11472,11508,-0.2,79.0,-402.92,105,-20,7900,-40292,-20 -40292 7900 3089 0 1 128 38
521,Fonove,529,267,12,11636,11680,971.48,0.0,2.08,15,97148,0,208,97148 208 0 1 128 38 92 20119552
522,Dzhau Yaam,530,267,12,11800,11844,-125.82,0.0,26.57,35,-12582,0,2657,-12582 2657 0 1 128 38 90 3604480
523,Kupalu-Harupalu,531,267,12,11964,12004,-1024.62,2.16,146.03,25,-102462,216,14603,-102462 14603 216 0 1 128 38 92
524,Noillurie,532,267,13,12128,12168,-313.37,31.37,-407.16,90,-31337,3137,-40716,-31337 -40716 3137 0 1 128 38 92
525,Umon-Paumon,533,267,12,12292,12328,-181.34,403.47,119.42,85,-18134,40347,11942,-18134 11942 40347 3027 0 1 128 38
526,Ghebben,534,267,12,12456,12492,730.06,41.51,-1744.69,75,73006,4151,-174469,73006 -174469 4151 3095 0 1 128 38
527,Elrica,535,267,12,12620,12656,-195.57,-99.98,324.41,105,-19557,-9998,32441,-19557 32441 -9998 1306 0 1 128 38
528,Terounalivet,536,267,12,12784,12820,-142.72,-33.08,569.26,105,-14272,-3308,56926,-14272 56926 -3308 1018 0 1 128 38
529,???,537,267,85,12948,13008,1387.97,-86.91,1996.46,75,138797,-8691,199646,138797 199646 -8691 40 131206 189819 -10763 34
530,Gubokka,538,267,23,12976,13008,1387.97,-86.91,1996.46,75,138797,-8691,199646,138797 199646 -8691 40 131206 189819 -10763 34
531,Vigsterkr,539,267,34,13076,13180,-100.55,0.01,11.24,35,-10055,1,1124,-10055 1124 1 9 30 62 3276800 16785280
532,Gomoya,540,267,13,13268,13408,75.98,0.0,0.01,35,7598,0,1,7598 1 0 234 19 -176788 270621 25475
533,Vigsterkr,541,267,16,13128,13180,-100.55,0.01,11.24,35,-10055,1,1124,-10055 1124 1 9 30 62 3276800 16785280
534,???,542,267,1,13328,13468,76.0,2.0,76.02,50,7600,200,7602,7600 7602 200 360 2376192 41943424 140672 8389136
535,eventtrigger,543,267,5,13356,13468,76.0,2.0,76.02,50,7600,200,7602,7600 7602 200 360 2376192 41943424 140672 8389136
536,Shady Sconce,544,267,1,13384,13468,76.0,2.0,76.02,50,7600,200,7602,7600 7602 200 360 2376192 41943424 140672 8389136
539,???,547,267,1,16052,16216,1109.5,4.99,-1185.5,75,110950,499,-118550,110950 -118550 499 15 2636 2642 2754 2755
541,Riko Kupenreich,549,267,53,16160,16216,1109.5,4.99,-1185.5,75,110950,499,-118550,110950 -118550 499 15 2636 2642 2754 2755
542,Henchman Moogle,550,267,24,13731,13915,38.4,10.24,76.8,65,3840,1024,7680,3840 7680 1024 512 51200 1945344 119296 768
543,Grounds Tome,551,267,1,46284,46356,107.38,76.54,107.48,30,10738,7654,10748,10738 10748 7654 11 7655 7656 9704 9709
544,Grounds Tome,552,267,1,49368,49440,107.38,76.54,107.48,30,10738,7654,10748,10738 10748 7654 11 7655 7656 9704 9709
545,Grounds Tome,553,267,1,52452,52524,107.38,76.54,107.48,30,10738,7654,10748,10738 10748 7654 11 7655 7656 9704 9709
546,Grounds Tome,554,267,1,55536,55608,107.38,76.54,107.48,30,10738,7654,10748,10738 10748 7654 11 7655 7656 9704 9709
547,Grounds Tome,555,267,1,58620,58692,107.38,76.54,107.48,30,10738,7654,10748,10738 10748 7654 11 7655 7656 9704 9709
549,Survival Guide,557,267,2,61704,61836,-0.02,107.87,107.72,50,-2,10787,10772,-2 10772 10787 26 27 10786 8 15
552,Iroha,560,267,68,75336,75372,1121.88,94.04,-38.88,75,112188,9404,-3888,112188 -3888 9404 30 3867 110 0 1
555,Zeid,563,267,35,75632,75676,1400.95,99.99,-190.14,60,140095,9999,-19014,140095 -19014 9999 30 3276800 16785280 58720896 73600
558,???,566,267,4,75808,75836,34.38,38.9,38.65,50,3438,3890,3865,3438 3865 3890 68 56557568 37060608 37028107 2021130507
559,Ethereal Junctio,567,267,1,75920,75940,0.23,108.47,108.46,30,23,10847,10846,23 10846 10847 1 0 892 8 15
560,Ethereal Junctio,568,267,1,77284,77304,0.23,108.47,108.46,30,23,10847,10846,23 10846 10847 1 0 892 8 15
561,Ethereal Junctio,569,267,1,78648,78668,0.23,108.47,108.46,30,23,10847,10846,23 10846 10847 1 0 892 8 15
