npc_index,name,record_id,record_tag,event_ref_count,event_ref_offset,position_offset,x,y,z,confidence,raw_x,raw_y,raw_z,raw_values
374,???,4471,267,1,172,204,72.53,72.55,72.54,65,7253,7255,7254,7253 7254 7255 27 -2147465216 -2147399645 -2147334109 -2147268573
375,Treasure Casket,4473,267,1,92728,92808,112.56,0.15,112.32,30,11256,15,11232,11256 11232 15 16 31 11231 11233 11238
376,Treasure Casket,4474,267,1,94536,94616,112.56,0.15,112.32,30,11256,15,11232,11256 11232 15 16 31 11231 11233 11238
377,Treasure Casket,4475,267,1,96344,96424,112.56,0.15,112.32,30,11256,15,11232,11256 11232 15 16 31 11231 11233 11238
378,Treasure Casket,4476,267,1,98152,98232,112.56,0.15,112.32,30,11256,15,11232,11256 11232 15 16 31 11231 11233 11238
379,Treasure Casket,4477,267,1,99960,100040,112.56,0.15,112.32,30,11256,15,11232,11256 11232 15 16 31 11231 11233 11238
380,Treasure Casket,4478,267,1,101768,101848,112.56,0.15,112.32,30,11256,15,11232,11256 11232 15 16 31 11231 11233 11238
381,Treasure Casket,4479,267,1,103576,103656,112.56,0.15,112.32,30,11256,15,11232,11256 11232 15 16 31 11231 11233 11238
382,Treasure Casket,4480,267,1,105384,105464,112.56,0.15,112.32,30,11256,15,11232,11256 11232 15 16 31 11231 11233 11238
383,Treasure Casket,4481,267,1,107192,107272,112.56,0.15,112.32,30,11256,15,11232,11256 11232 15 16 31 11231 11233 11238
384,Treasure Casket,4482,267,1,109000,109080,112.56,0.15,112.32,30,11256,15,11232,11256 11232 15 16 31 11231 11233 11238
385,Treasure Casket,4483,267,1,110808,110888,112.56,0.15,112.32,30,11256,15,11232,11256 11232 15 16 31 11231 11233 11238
386,Treasure Casket,4484,267,1,112616,112696,112.56,0.15,112.32,30,11256,15,11232,11256 11232 15 16 31 11231 11233 11238
387,Treasure Casket,4485,267,1,114424,114504,112.56,0.15,112.32,30,11256,15,11232,11256 11232 15 16 31 11231 11233 11238
388,Treasure Casket,4486,267,1,116232,116312,112.56,0.15,112.32,30,11256,15,11232,11256 11232 15 16 31 11231 11233 11238
389,Treasure Casket,4487,267,1,118040,118120,112.56,0.15,112.32,30,11256,15,11232,11256 11232 15 16 31 11231 11233 11238
390,Treasure Casket,4488,267,1,119848,119928,112.56,0.15,112.32,30,11256,15,11232,11256 11232 15 16 31 11231 11233 11238
475,Planar Rift,4589,267,1,1108,1176,72.75,0.02,0.01,45,7275,2,1,7275 1 2 1539 7276 7277 7278 7279
476,Planar Rift,4590,267,1,19936,20004,0.04,0.02,72.75,45,4,2,7275,4 7275 2 1539 7276 7277 7278 7279
477,Planar Rift,4591,267,1,38764,38832,0.04,0.01,72.75,45,4,1,7275,4 7275 1 1539 7276 7277 7278 7279
478,Riftworn Pyxis,4592,267,1,57592,57732,184.57,197.94,185.42,65,18457,19794,18542,18457 18542 19794 1276 768 18907136 515 263040
479,Riftworn Pyxis,4593,267,1,59024,59164,184.57,197.94,185.42,65,18457,19794,18542,18457 18542 19794 1276 768 18907136 515 263040
480,Riftworn Pyxis,4594,267,1,60456,60596,184.57,197.94,185.42,65,18457,19794,18542,18457 18542 19794 1276 768 18907136 515 263040
481,Grounds Tome,4595,267,1,61888,61960,112.14,81.3,112.24,30,11214,8130,11224,11214 11224 8130 11 8131 8132 10180 10185
482,Grounds Tome,4596,267,1,64972,65044,112.14,81.3,112.24,30,11214,8130,11224,11214 11224 8130 11 8131 8132 10180 10185
483,Grounds Tome,4597,267,1,68056,68128,112.14,81.3,112.24,30,11214,8130,11224,11214 11224 8130 11 8131 8132 10180 10185
484,Grounds Tome,4598,267,1,71140,71212,112.14,81.3,112.24,30,11214,8130,11224,11214 11224 8130 11 8131 8132 10180 10185
485,Grounds Tome,4599,267,1,74224,74296,112.14,81.3,112.24,30,11214,8130,11224,11214 11224 8130 11 8131 8132 10180 10185
486,Grounds Tome,4600,267,1,77308,77380,112.14,81.3,112.24,30,11214,8130,11224,11214 11224 8130 11 8131 8132 10180 10185
487,Grounds Tome,4601,267,1,80392,80464,112.14,81.3,112.24,30,11214,8130,11224,11214 11224 8130 11 8131 8132 10180 10185
488,Grounds Tome,4602,267,1,83476,83548,112.14,81.3,112.24,30,11214,8130,11224,11214 11224 8130 11 8131 8132 10180 10185
489,Grounds Tome,4603,267,1,86560,86632,112.14,81.3,112.24,30,11214,8130,11224,11214 11224 8130 11 8131 8132 10180 10185
490,Grounds Tome,4604,267,1,89644,89716,112.14,81.3,112.24,30,11214,8130,11224,11214 11224 8130 11 8131 8132 10180 10185
