npc_index,name,record_id,record_tag,event_ref_count,event_ref_offset,position_offset,x,y,z,confidence,raw_x,raw_y,raw_z,raw_values
131,Celestial Gate,20616,267,3,17336,17520,-335.35,0.0,0.07,105,-33535,0,7,-33535 7 0 1 128 -48753 -25065 -19099
132,Celestial Gate,20617,267,3,17380,17520,-335.35,0.0,0.07,105,-33535,0,7,-33535 7 0 1 128 -48753 -25065 -19099
133,Celestial Gate,20618,267,1,17424,17520,-335.35,0.0,0.07,105,-33535,0,7,-33535 7 0 1 128 -48753 -25065 -19099
134,Celestial Gate,20619,267,1,17448,17520,-335.35,0.0,0.07,105,-33535,0,7,-33535 7 0 1 128 -48753 -25065 -19099
135,Eald'narche,20624,267,50,17472,17520,-335.35,0.0,0.07,105,-33535,0,7,-33535 7 0 1 128 -48753 -25065 -19099
136,Zeid,20625,267,56,17644,17732,-236.3,1.49,-190.99,105,-23630,149,-19099,-23630 -19099 149 974 -359529 -40000 1042 10
137,Aldo,20626,267,69,17916,18000,-564.44,-190.99,-272.85,90,-56444,-19099,-27285,-56444 -27285 -19099 3834 -727 -360071 -40000 1014
138,Lion,20627,267,50,18188,18276,-602.35,-190.99,-260.38,90,-60235,-19099,-26038,-60235 -26038 -19099 3746 -53265 -25923 -56153 -25091
139,Yve'noile,20628,267,44,18452,18528,-192.39,-350.99,-263.19,90,-19239,-35099,-26319,-19239 -26319 -35099 3725 45 65 75 80
141,Eald'narche,20630,267,15,18872,18916,-335.32,0.0,0.07,105,-33532,0,7,-33532 7 0 1 128 -48753 -25065 -19099
142,Eald'narche,20631,267,25,19036,19104,-487.53,-190.99,-250.65,120,-48753,-19099,-25065,-48753 -25065 -19099 2047 180 593 98 2228224
143,Eald'narche,20632,267,64,19232,19320,-487.53,-190.99,-250.65,120,-48753,-19099,-25065,-48753 -25065 -19099 2047 -16837 -25078 -34332 45
146,Grav'iton,20635,267,14,19872,19948,-179.99,2.4,30.73,90,-17999,240,3073,-17999 3073 240 89 2228224 -524241 -127107073 8388607
158,Ramblix,20648,267,2,20300,20424,76.9,0.6,2.0,70,7690,60,200,7690 200 60 485 1107369984 -266469342 1249902591 2147483632
