index,offset,name,record_id,record_tag,raw_tail_hex
0,0,none,0,0,00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
1,32,Caldera Crab,24577,267,00 00 00 00 00 00 00 00 00 00 00 00 01 60 0b 01
2,64,Caldera Crab,24578,267,00 00 00 00 00 00 00 00 00 00 00 00 02 60 0b 01
3,96,Caldera Crab,24579,267,00 00 00 00 00 00 00 00 00 00 00 00 03 60 0b 01
4,128,Cyanic Crab,24580,267,00 00 00 00 00 00 00 00 00 00 00 00 04 60 0b 01
5,160,Cyanic Crab,24581,267,00 00 00 00 00 00 00 00 00 00 00 00 05 60 0b 01
6,192,Cyanic Crab,24582,267,00 00 00 00 00 00 00 00 00 00 00 00 06 60 0b 01
7,224,Cyanic Crab,24583,267,00 00 00 00 00 00 00 00 00 00 00 00 07 60 0b 01
8,256,Cyanic Crab,24584,267,00 00 00 00 00 00 00 00 00 00 00 00 08 60 0b 01
9,288,Cyanic Crab,24585,267,00 00 00 00 00 00 00 00 00 00 00 00 09 60 0b 01
10,320,Cyanic Crab,24586,267,00 00 00 00 00 00 00 00 00 00 00 00 0a 60 0b 01
11,352,Cyanic Crab,24587,267,00 00 00 00 00 00 00 00 00 00 00 00 0b 60 0b 01
12,384,Cyanic Crab,24588,267,00 00 00 00 00 00 00 00 00 00 00 00 0c 60 0b 01
13,416,Damask Crab,24589,267,00 00 00 00 00 00 00 00 00 00 00 00 0d 60 0b 01
14,448,Damask Crab,24590,267,00 00 00 00 00 00 00 00 00 00 00 00 0e 60 0b 01
15,480,Damask Crab,24591,267,00 00 00 00 00 00 00 00 00 00 00 00 0f 60 0b 01
16,512,Damask Crab,24592,267,00 00 00 00 00 00 00 00 00 00 00 00 10 60 0b 01
17,544,Damask Crab,24593,267,00 00 00 00 00 00 00 00 00 00 00 00 11 60 0b 01
18,576,Damask Crab,24594,267,00 00 00 00 00 00 00 00 00 00 00 00 12 60 0b 01
19,608,Damask Crab,24595,267,00 00 00 00 00 00 00 00 00 00 00 00 13 60 0b 01
20,640,Damask Crab,24596,267,00 00 00 00 00 00 00 00 00 00 00 00 14 60 0b 01
21,672,Damask Crab,24597,267,00 00 00 00 00 00 00 00 00 00 00 00 15 60 0b 01
22,704,Morbid Molasses,24598,267,00 00 00 00 00 00 00 00 00 00 00 00 16 60 0b 01
23,736,Morbid Molasses,24599,267,00 00 00 00 00 00 00 00 00 00 00 00 17 60 0b 01
24,768,Morbid Molasses,24600,267,00 00 00 00 00 00 00 00 00 00 00 00 18 60 0b 01
25,800,Morbid Molasses,24601,267,00 00 00 00 00 00 00 00 00 00 00 00 19 60 0b 01
26,832,Grenade Syrup,24602,267,00 00 00 00 00 00 00 00 00 00 00 00 1a 60 0b 01
27,864,Grenade Syrup,24603,267,00 00 00 00 00 00 00 00 00 00 00 00 1b 60 0b 01
28,896,Grenade Syrup,24604,267,00 00 00 00 00 00 00 00 00 00 00 00 1c 60 0b 01
29,928,Grenade Syrup,24605,267,00 00 00 00 00 00 00 00 00 00 00 00 1d 60 0b 01
30,960,Grenade Syrup,24606,267,00 00 00 00 00 00 00 00 00 00 00 00 1e 60 0b 01
31,992,Grenade Syrup,24607,267,00 00 00 00 00 00 00 00 00 00 00 00 1f 60 0b 01
32,1024,Grenade Syrup,24608,267,00 00 00 00 00 00 00 00 00 00 00 00 20 60 0b 01
33,1056,Grenade Syrup,24609,267,00 00 00 00 00 00 00 00 00 00 00 00 21 60 0b 01
34,1088,Grenade Syrup,24610,267,00 00 00 00 00 00 00 00 00 00 00 00 22 60 0b 01
35,1120,Grenade Syrup,24611,267,00 00 00 00 00 00 00 00 00 00 00 00 23 60 0b 01
36,1152,Grenade Syrup,24612,267,00 00 00 00 00 00 00 00 00 00 00 00 24 60 0b 01
37,1184,Grenade Syrup,24613,267,00 00 00 00 00 00 00 00 00 00 00 00 25 60 0b 01
38,1216,Grenade Syrup,24614,267,00 00 00 00 00 00 00 00 00 00 00 00 26 60 0b 01
39,1248,Grenade Syrup,24615,267,00 00 00 00 00 00 00 00 00 00 00 00 27 60 0b 01
40,1280,Grenade Syrup,24616,267,00 00 00 00 00 00 00 00 00 00 00 00 28 60 0b 01
41,1312,Grenade Syrup,24617,267,00 00 00 00 00 00 00 00 00 00 00 00 29 60 0b 01
42,1344,Berry Syrup,24618,267,00 00 00 00 00 00 00 00 00 00 00 00 2a 60 0b 01
43,1376,Berry Syrup,24619,267,00 00 00 00 00 00 00 00 00 00 00 00 2b 60 0b 01
44,1408,Berry Syrup,24620,267,00 00 00 00 00 00 00 00 00 00 00 00 2c 60 0b 01
45,1440,Berry Syrup,24621,267,00 00 00 00 00 00 00 00 00 00 00 00 2d 60 0b 01
46,1472,Myrmeleontide,24622,267,00 00 00 00 00 00 00 00 00 00 00 00 2e 60 0b 01
47,1504,Myrmeleontide,24623,267,00 00 00 00 00 00 00 00 00 00 00 00 2f 60 0b 01
48,1536,Myrmeleontide,24624,267,00 00 00 00 00 00 00 00 00 00 00 00 30 60 0b 01
49,1568,Anthracite Antli,24625,267,6f 6e 00 00 00 00 00 00 00 00 00 00 31 60 0b 01
50,1600,Anthracite Antli,24626,267,6f 6e 00 00 00 00 00 00 00 00 00 00 32 60 0b 01
51,1632,Anthracite Antli,24627,267,6f 6e 00 00 00 00 00 00 00 00 00 00 33 60 0b 01
52,1664,Anthracite Antli,24628,267,6f 6e 00 00 00 00 00 00 00 00 00 00 34 60 0b 01
53,1696,Anthracite Antli,24629,267,6f 6e 00 00 00 00 00 00 00 00 00 00 35 60 0b 01
54,1728,Anthracite Antli,24630,267,6f 6e 00 00 00 00 00 00 00 00 00 00 36 60 0b 01
55,1760,Anthracite Antli,24631,267,6f 6e 00 00 00 00 00 00 00 00 00 00 37 60 0b 01
56,1792,Anthracite Antli,24632,267,6f 6e 00 00 00 00 00 00 00 00 00 00 38 60 0b 01
57,1824,Albino Antlion,24633,267,00 00 00 00 00 00 00 00 00 00 00 00 39 60 0b 01
58,1856,Albino Antlion,24634,267,00 00 00 00 00 00 00 00 00 00 00 00 3a 60 0b 01
59,1888,Albino Antlion,24635,267,00 00 00 00 00 00 00 00 00 00 00 00 3b 60 0b 01
60,1920,Albino Antlion,24636,267,00 00 00 00 00 00 00 00 00 00 00 00 3c 60 0b 01
61,1952,Albino Antlion,24637,267,00 00 00 00 00 00 00 00 00 00 00 00 3d 60 0b 01
62,1984,Albino Antlion,24638,267,00 00 00 00 00 00 00 00 00 00 00 00 3e 60 0b 01
63,2016,Albino Antlion,24639,267,00 00 00 00 00 00 00 00 00 00 00 00 3f 60 0b 01
64,2048,Albino Antlion,24640,267,00 00 00 00 00 00 00 00 00 00 00 00 40 60 0b 01
65,2080,Harpimaira,24641,267,00 00 00 00 00 00 00 00 00 00 00 00 41 60 0b 01
66,2112,Harpimaira,24642,267,00 00 00 00 00 00 00 00 00 00 00 00 42 60 0b 01
67,2144,Harpimaira,24643,267,00 00 00 00 00 00 00 00 00 00 00 00 43 60 0b 01
68,2176,Harpimaira,24644,267,00 00 00 00 00 00 00 00 00 00 00 00 44 60 0b 01
69,2208,Harpimaira,24645,267,00 00 00 00 00 00 00 00 00 00 00 00 45 60 0b 01
70,2240,Natrix,24646,267,00 00 00 00 00 00 00 00 00 00 00 00 46 60 0b 01
71,2272,Saltopus,24647,267,00 00 00 00 00 00 00 00 00 00 00 00 47 60 0b 01
72,2304,Saltopus,24648,267,00 00 00 00 00 00 00 00 00 00 00 00 48 60 0b 01
73,2336,Saltopus,24649,267,00 00 00 00 00 00 00 00 00 00 00 00 49 60 0b 01
74,2368,Saltopus,24650,267,00 00 00 00 00 00 00 00 00 00 00 00 4a 60 0b 01
75,2400,Saltopus,24651,267,00 00 00 00 00 00 00 00 00 00 00 00 4b 60 0b 01
76,2432,Saltopus,24652,267,00 00 00 00 00 00 00 00 00 00 00 00 4c 60 0b 01
77,2464,Saltopus,24653,267,00 00 00 00 00 00 00 00 00 00 00 00 4d 60 0b 01
78,2496,Saltopus,24654,267,00 00 00 00 00 00 00 00 00 00 00 00 4e 60 0b 01
79,2528,Jebutoise,24655,267,00 00 00 00 00 00 00 00 00 00 00 00 4f 60 0b 01
80,2560,Jebutoise,24656,267,00 00 00 00 00 00 00 00 00 00 00 00 50 60 0b 01
81,2592,Begrimed Bale,24657,267,00 00 00 00 00 00 00 00 00 00 00 00 51 60 0b 01
82,2624,Begrimed Bale,24658,267,00 00 00 00 00 00 00 00 00 00 00 00 52 60 0b 01
83,2656,Begrimed Bale,24659,267,00 00 00 00 00 00 00 00 00 00 00 00 53 60 0b 01
84,2688,Begrimed Bale,24660,267,00 00 00 00 00 00 00 00 00 00 00 00 54 60 0b 01
85,2720,Begrimed Bale,24661,267,00 00 00 00 00 00 00 00 00 00 00 00 55 60 0b 01
86,2752,Begrimed Bale,24662,267,00 00 00 00 00 00 00 00 00 00 00 00 56 60 0b 01
87,2784,Begrimed Bale,24663,267,00 00 00 00 00 00 00 00 00 00 00 00 57 60 0b 01
88,2816,Begrimed Bale,24664,267,00 00 00 00 00 00 00 00 00 00 00 00 58 60 0b 01
89,2848,Bedraggled Bale,24665,267,00 00 00 00 00 00 00 00 00 00 00 00 59 60 0b 01
90,2880,Bedraggled Bale,24666,267,00 00 00 00 00 00 00 00 00 00 00 00 5a 60 0b 01
91,2912,Bedraggled Bale,24667,267,00 00 00 00 00 00 00 00 00 00 00 00 5b 60 0b 01
92,2944,Bedraggled Bale,24668,267,00 00 00 00 00 00 00 00 00 00 00 00 5c 60 0b 01
93,2976,Bedraggled Bale,24669,267,00 00 00 00 00 00 00 00 00 00 00 00 5d 60 0b 01
94,3008,Bedraggled Bale,24670,267,00 00 00 00 00 00 00 00 00 00 00 00 5e 60 0b 01
95,3040,Bedraggled Bale,24671,267,00 00 00 00 00 00 00 00 00 00 00 00 5f 60 0b 01
96,3072,Bedraggled Bale,24672,267,00 00 00 00 00 00 00 00 00 00 00 00 60 60 0b 01
97,3104,Canis Dirus,24673,267,00 00 00 00 00 00 00 00 00 00 00 00 61 60 0b 01
98,3136,Canis Dirus,24674,267,00 00 00 00 00 00 00 00 00 00 00 00 62 60 0b 01
99,3168,Pardus,24675,267,00 00 00 00 00 00 00 00 00 00 00 00 63 60 0b 01
100,3200,Pardus,24676,267,00 00 00 00 00 00 00 00 00 00 00 00 64 60 0b 01
101,3232,Pardus,24677,267,00 00 00 00 00 00 00 00 00 00 00 00 65 60 0b 01
102,3264,Pardus,24678,267,00 00 00 00 00 00 00 00 00 00 00 00 66 60 0b 01
103,3296,Pardus,24679,267,00 00 00 00 00 00 00 00 00 00 00 00 67 60 0b 01
104,3328,Pardus,24680,267,00 00 00 00 00 00 00 00 00 00 00 00 68 60 0b 01
105,3360,Pardus,24681,267,00 00 00 00 00 00 00 00 00 00 00 00 69 60 0b 01
106,3392,Pardus,24682,267,00 00 00 00 00 00 00 00 00 00 00 00 6a 60 0b 01
107,3424,Pardus,24683,267,00 00 00 00 00 00 00 00 00 00 00 00 6b 60 0b 01
108,3456,Anguis,24684,267,00 00 00 00 00 00 00 00 00 00 00 00 6c 60 0b 01
109,3488,Varanus,24685,267,00 00 00 00 00 00 00 00 00 00 00 00 6d 60 0b 01
110,3520,Varanus,24686,267,00 00 00 00 00 00 00 00 00 00 00 00 6e 60 0b 01
111,3552,Varanus,24687,267,00 00 00 00 00 00 00 00 00 00 00 00 6f 60 0b 01
112,3584,Anhanguera,24688,267,00 00 00 00 00 00 00 00 00 00 00 00 70 60 0b 01
113,3616,Pteranodon,24689,267,00 00 00 00 00 00 00 00 00 00 00 00 71 60 0b 01
114,3648,Pteranodon,24690,267,00 00 00 00 00 00 00 00 00 00 00 00 72 60 0b 01
115,3680,Pteranodon,24691,267,00 00 00 00 00 00 00 00 00 00 00 00 73 60 0b 01
116,3712,Pteranodon,24692,267,00 00 00 00 00 00 00 00 00 00 00 00 74 60 0b 01
117,3744,Pteranodon,24693,267,00 00 00 00 00 00 00 00 00 00 00 00 75 60 0b 01
118,3776,Annihilative Ade,24694,267,6e 69 75 6d 00 00 00 00 00 00 00 00 76 60 0b 01
119,3808,Annihilative Ade,24695,267,6e 69 75 6d 00 00 00 00 00 00 00 00 77 60 0b 01
