offset,token
3165,fdo1
3182,fdo1C
3270,Tales'Beginning
3496,z00b
3513,fdi1
3530,z00bE
3545,ovl1
3562,z00a
3579,z00aE
3594,ovl1
3611,z00c
3716,z00cE
3731,ovl1
3748,blon
3765,z003
3797,z000
3814,bash
3856,ovl1
3873,blof
3890,z001
3965,z002
4044,z002E
4059,fdo2
4076,fdo2N
4198,fdi2
4222,fdo1
4239,fdo18
4281,x001
4313,s039
4450,blon
4467,x000
4484,fdi1
4501,fdi1E+
4516,bash
4533,x000
4551,ovl1
4568,blof
4585,x002
4609,x002+0
4643,who3
4660,pash
4677,who3
4700,s040
4730,x003
4747,whi1
4822,x003
4840,s041
4857,ovl1
4874,blon
4891,x004
4908,x004
4926,s042
4943,x005
4958,del2
4976,fdo2
4993,fdo2E
5008,blof
5038,x005N
5092,sk39
5150,fdi2
5174,fdo1
5191,fdo18
5250,main
5270,fdi1
5287,fdi1
5321,cut4E+
5336,blon
5353,x000
5393,x001
5410,x001
5428,blon
5445,x00a
5465,x00a
5483,bhse
5514,blon
5538,x002
5566,x002EE
5581,x003
5609,x003E
5624,fdo1
5641,fdo1
5659,s131
5693,blof
5710,sesp
5727,kill
5744,klse
5761,main
5820,fdi2
5844,fdo1
5861,fdo18
6062,y000
6079,y000E
6094,fdi1
6111,fdi1
6129,y001
6146,y001
6203,y002
6220,y002
6308,y003
6373,main
6390,s083
6410,blon
6444,s084
6529,y00a
6561,y004
6593,s085
6628,y005
6679,s124
6729,blon
6746,y007
6763,y007'
6804,y006
6844,ovl1
6861,y008
6938,y009
6958,fdo2
6975,fdo2E
6990,blof
7072,fdi2
7105,fdo1
7122,fdo18
7289,w000
7321,w001
7338,fdi1
7392,w002
7462,w003
7629,w004
7670,w004'
7703,w00a
7759,w005
7823,w006
7851,w006E
7866,fdo1
7883,fdo15
7953,fdi2
7994,x000
8034,fdi1
8072,x000
8105,x001
8166,x002
8200,x002'
8225,x003
8329,x004
8408,x006
8425,x006
8504,x007
8630,x008
8710,x009
8769,x010
8789,fdo2
8806,fdo2Rg
8821,x010
8848,fdi2
9132,main
9152,fdo1
9218,main
9238,fdo1
9327,fdi1
9344,main
9401,fdo1
9554,s005
9588,fdi1
9619,s005E
9634,s035
9699,fdo1
9716,fdo1R
9731,s035N
9786,s011
9806,fdi1
9842,s011E
9857,s007
9894,s007E
9909,s037
9934,main
9971,ngr0+P
10001,s037E
10016,s038
10048,tlc0+P
10119,fdo1
10136,fdo1R
10151,s038N
10240,s044
10260,fdi1
10563,s044E
10578,s065
10629,who1
10646,who1R
10661,s065
10721,s006
10741,whi1
10761,s006
10787,s045
10815,s045
10843,s046
10871,s046
10899,s047
10927,s047
10955,s045
10983,s046
11336,who1
11353,who1R
11368,s045R
11383,s046R
11398,s047N
11468,s048
11488,whi1
11505,aww0+P
11713,fdo1
11750,s048N
11838,fdi1
11863,fdo1
11880,fdo1F
12002,s012
12022,fdi1
12062,ovl1
12079,s012E
12094,s049
12136,s049
12162,s015
12190,s015
12218,s016
12246,s016
12274,s017
12302,s017
12330,s015
12358,s016
12396,s015R
12411,s016R
12426,s017E
12441,s050
12468,s050E
12483,s066
12508,s066E
12523,fdo1
12664,s051
12684,fdi1
12701,thk1+S
12789,s051E
12804,s052
12824,who1
12841,who1N
12910,whi1
12950,s052E
12965,s053
13033,ovl1
13050,s053E
13065,s027
13135,P'+P
13154,c'+P
13173,v'+P
13295,fdo1
13332,s027N
13473,s054
13501,fdi1
14077,s054E
14092,s055
14151,H++P
14189,n++P
14328,s055E
14343,s056
14408,who1
14425,who1N
14528,whi1
14548,s056E
14563,s057
14580,aww0+P
14643,s057E
14658,s008
14675,tlc0nT
14720,s008E
14735,s060
14791,s060E
14806,s061
14838,tlk0J
14908,s061
14934,s083
14962,s083
14990,s067
15018,s067
15046,s084
15074,s084
15102,s083
15130,s067
15162,tlk0+T
15193,tlk1nQ
15223,ovl1
15240,s067R
15255,s083R
15270,s084
15296,s068
15324,s068
15352,s069
15380,s069
15408,s070
15436,s070
15464,s068
15492,s069
15684,E1+Q
15703,X1+Q
15722,k1+Q
15746,s067R
15761,s068R
15776,s069E
15791,s062
15859,fdo1
15896,s062N
15960,fdi1
15994,fdo1
16011,fdo1F
16170,s063
16190,fdi1
16267,s063E
16282,s064
16322,s064E
16337,s076
16374,ovl1
16391,s076E
16406,s082
16431,who0
16448,who0R
16463,s082N
16544,s013
16564,whi1
16584,who0
16601,who0R
16616,s013E
16631,s014
16651,whi1
16668,ngr0nT
16709,s014E
16724,s075
16744,fdo1
16761,fdo1E
16776,blof
16793,s075N
16849,fdi1
16874,fdo1
16891,fdo1F
17049,s009
17069,fdi1
17086,dis0+P
17189,s009E
17204,s058
17250,tlk0+P
17273,fdo1
17305,tlk2R
17320,s058N
17347,s039
17396,sha0
17414,rlx0
17432,fdi1
17471,s039E
17486,s040
17503,rlx1+P
17526,sha1
17552,thk1
17578,thk2
17604,s040E
17619,s041
17636,aww0+P
17670,s041E
17685,s036
17713,s036E
17728,s042
17748,tlk0+P
17787,tlk2R
17802,s042E
17817,s043
17834,thk1
17860,thk2
17898,fdo1
17915,fdo1R
17930,s043N
17992,s071
18012,fdi1
18040,s071E
18055,s079
18101,tlk0+T
18124,tlk1R
18139,s079E
18154,s059
18179,tlc0+P
18225,s059E
18240,s080
18265,s080E
18280,s077
18333,s077E
18348,s074
18424,s074E
18439,s010
18711,s010E
18726,s078
19002,tlk2
19025,ovl1
19042,s078E
19057,s073
19077,fdi1
19368,s073E
19383,s072
19419,tlb0+P
19450,tlb1
19521,fdo1
19538,fdo1R
19553,s072R
19568,s078N
19631,qstc
19661,fdi1
19700,Feliz
19731,Ferdinand
19762,Gunnar
19793,Massimo
19824,Oldrich
19855,Siegward
19886,Theobald
19917,Zenji
19959,Amerita
19990,Beatrice
20021,Henrietta
20052,Jesimae
20083,Karyn
20114,Nanako
20145,Sharlene
20176,Sieghilde
20218,Chanandit
20249,Deulmaeux
20280,Demresinaux
20311,Ephealgaux
20342,Gauldeval
20373,Grauffemart
20404,Migaifongut
20435,Romidiant
20477,Armittie
20508,Cadepure
20539,Clearite
20570,Epilleve
20601,Liabelle
20632,Nauthima
20663,Radille
20694,Vimechue
20736,Balu-Falu
20767,Burg-Ladarg
20798,Ehgo-Ryuhgo
20829,Kolui-Pelui
20860,Nokum-Akkum
20891,Savul-Kivul
20922,Vinja-Kanja
20953,Yarga-Umiga
20995,Cupapa
21026,Jajuju
21057,Kalokoko
21088,Mahoyaya
21119,Pakurara
21150,Ripokeke
21181,Yawawa
21212,Yufafa
21254,Fhig
21285,Khuma
21316,Pimy
21347,Raka
21378,Sahyu
21409,Sufhi
21440,Tsuim
21471,Yoli
21513,Durib
21544,Dzapiwa
21575,Jugowa
21606,Mugido
21637,Voldai
21668,Wagwei
21699,Zayag
21730,Zoldof
21796,Feliz
21827,Ferdinand
21858,Gunnar
21889,Massimo
21920,Oldrich
21951,Siegward
21982,Theobald
22013,Zenji
22055,Amerita
22086,Beatrice
22117,Henrietta
22148,Jesimae
22179,Karyn
22210,Nanako
22241,Sharlene
22272,Sieghilde
22314,Chanandit
22345,Deulmaeux
22376,Demresinaux
22407,Ephealgaux
22438,Gauldeval
22469,Grauffemart
22500,Migaifongut
22531,Romidiant
22573,Armittie
22604,Cadepure
22635,Clearite
22666,Epilleve
22697,Liabelle
22728,Nauthima
22759,Radille
22790,Vimechue
22832,Balu-Falu
22863,Burg-Ladarg
22894,Ehgo-Ryuhgo
22925,Kolui-Pelui
22956,Nokum-Akkum
22987,Savul-Kivul
23018,Vinja-Kanja
23049,Yarga-Umiga
23091,Cupapa
23122,Jajuju
23153,Kalokoko
23184,Mahoyaya
23215,Pakurara
23246,Ripokeke
23277,Yawawa
23308,Yufafa
23350,Fhig
23381,Khuma
23412,Pimy
23443,Raka
23474,Sahyu
23505,Sufhi
23536,Tsuim
23567,Yoli
23609,Durib
23640,Dzapiwa
23671,Jugowa
23702,Mugido
23733,Voldai
23764,Wagwei
23795,Zayag
23826,Zoldof
38256,fdo1
38302,blon
38319,blon
38336,dl07
38353,fdi1
38370,dl07
38388,fdo1
38408,blof
38428,fdi1
38614,tlk0
38638,tlk1
38972,fdo1
39002,fe01
39026,fdi1
39053,fe02
39084,fdo1
39104,fdi1
39195,fdo1
39225,fe02
39249,fdi1
39276,fe01
39307,fdo1
39327,fdi1
39391,fdo1
39421,fe01
39445,fdi1
39472,fe02
39503,fdo1
39523,fdi1
39634,fdo1
39849,fdo1
39866,fdo18
39891,cm40
39908,cm40E
39923,fdi1
39940,fdi1LN
39963,corpS
40010,cm41
40027,cm41ov
40056,res0
40074,fdo1
40091,fdo1E
40106,cm4a
40136,res2J
40176,fdi2
40193,fdi2+
40216,cm46
40315,cm4d
40342,fdo2
40359,fdo2N
40386,fdi2
40583,tlk0
40602,thk1
