index,offset,name,record_id,record_tag,raw_tail_hex
0,0,none,0,0,00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
1,32,Epialtes,32769,267,00 00 00 00 00 00 00 00 00 00 00 00 01 80 0b 01
2,64,Giant Gatekeeper,32770,267,00 00 00 00 00 00 00 00 00 00 00 00 02 80 0b 01
3,96,Giant Guard,32771,267,00 00 00 00 00 00 00 00 00 00 00 00 03 80 0b 01
4,128,Giant Sentry,32772,267,00 00 00 00 00 00 00 00 00 00 00 00 04 80 0b 01
5,160,Gigas's Bat,32773,267,00 00 00 00 00 00 00 00 00 00 00 00 05 80 0b 01
6,192,Giant Lobber,32774,267,00 00 00 00 00 00 00 00 00 00 00 00 06 80 0b 01
7,224,Giant Gatekeeper,32775,267,00 00 00 00 00 00 00 00 00 00 00 00 07 80 0b 01
8,256,Giant Guard,32776,267,00 00 00 00 00 00 00 00 00 00 00 00 08 80 0b 01
9,288,Giant Sentry,32777,267,00 00 00 00 00 00 00 00 00 00 00 00 09 80 0b 01
10,320,Gigas's Bat,32778,267,00 00 00 00 00 00 00 00 00 00 00 00 0a 80 0b 01
11,352,Giant Lobber,32779,267,00 00 00 00 00 00 00 00 00 00 00 00 0b 80 0b 01
12,384,Seeker Bats,32780,267,00 00 00 00 00 00 00 00 00 00 00 00 0c 80 0b 01
13,416,Seeker Bats,32781,267,00 00 00 00 00 00 00 00 00 00 00 00 0d 80 0b 01
14,448,Ancient Bat,32782,267,00 00 00 00 00 00 00 00 00 00 00 00 0e 80 0b 01
15,480,Ancient Bat,32783,267,00 00 00 00 00 00 00 00 00 00 00 00 0f 80 0b 01
16,512,Giant Gatekeeper,32784,267,00 00 00 00 00 00 00 00 00 00 00 00 10 80 0b 01
17,544,Giant Guard,32785,267,00 00 00 00 00 00 00 00 00 00 00 00 11 80 0b 01
18,576,Giant Sentry,32786,267,00 00 00 00 00 00 00 00 00 00 00 00 12 80 0b 01
19,608,Gigas's Bat,32787,267,00 00 00 00 00 00 00 00 00 00 00 00 13 80 0b 01
20,640,Giant Lobber,32788,267,00 00 00 00 00 00 00 00 00 00 00 00 14 80 0b 01
21,672,Giant Gatekeeper,32789,267,00 00 00 00 00 00 00 00 00 00 00 00 15 80 0b 01
22,704,Giant Guard,32790,267,00 00 00 00 00 00 00 00 00 00 00 00 16 80 0b 01
23,736,Giant Sentry,32791,267,00 00 00 00 00 00 00 00 00 00 00 00 17 80 0b 01
24,768,Gigas's Bat,32792,267,00 00 00 00 00 00 00 00 00 00 00 00 18 80 0b 01
25,800,Giant Lobber,32793,267,00 00 00 00 00 00 00 00 00 00 00 00 19 80 0b 01
26,832,Seeker Bats,32794,267,00 00 00 00 00 00 00 00 00 00 00 00 1a 80 0b 01
27,864,Seeker Bats,32795,267,00 00 00 00 00 00 00 00 00 00 00 00 1b 80 0b 01
28,896,Ancient Bat,32796,267,00 00 00 00 00 00 00 00 00 00 00 00 1c 80 0b 01
29,928,Seeker Bats,32797,267,00 00 00 00 00 00 00 00 00 00 00 00 1d 80 0b 01
30,960,Seeker Bats,32798,267,00 00 00 00 00 00 00 00 00 00 00 00 1e 80 0b 01
31,992,Ancient Bat,32799,267,00 00 00 00 00 00 00 00 00 00 00 00 1f 80 0b 01
32,1024,Bogy,32800,267,00 00 00 00 00 00 00 00 00 00 00 00 20 80 0b 01
33,1056,Goblin Mugger,32801,267,00 00 00 00 00 00 00 00 00 00 00 00 21 80 0b 01
