index,offset,name,record_id,record_tag,raw_tail_hex
0,0,none,0,0,00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
1,32,Gu'Dha Effigy,40961,267,00 00 00 00 00 00 00 00 00 00 00 00 01 a0 0b 01
2,64,Vanguard Vindica,40962,267,74 6f 72 00 00 00 00 00 00 00 00 00 02 a0 0b 01
3,96,Vanguard Militan,40963,267,74 00 00 00 00 00 00 00 00 00 00 00 03 a0 0b 01
4,128,Vanguard Beastte,40964,267,6e 64 65 72 00 00 00 00 00 00 00 00 04 a0 0b 01
5,160,Vanguard's Scorp,40965,267,69 6f 6e 00 00 00 00 00 00 00 00 00 05 a0 0b 01
6,192,Vanguard Thaumat,40966,267,75 72 67 65 00 00 00 00 00 00 00 00 06 a0 0b 01
7,224,Vanguard Protect,40967,267,6f 72 00 00 00 00 00 00 00 00 00 00 07 a0 0b 01
8,256,Vanguard Purloin,40968,267,65 72 00 00 00 00 00 00 00 00 00 00 08 a0 0b 01
9,288,Vanguard Vigilan,40969,267,74 65 00 00 00 00 00 00 00 00 00 00 09 a0 0b 01
10,320,Vanguard Defende,40970,267,72 00 00 00 00 00 00 00 00 00 00 00 0a a0 0b 01
11,352,Vanguard Vindica,40971,267,74 6f 72 00 00 00 00 00 00 00 00 00 0b a0 0b 01
12,384,Vanguard Constab,40972,267,6c 65 00 00 00 00 00 00 00 00 00 00 0c a0 0b 01
13,416,Vanguard Thaumat,40973,267,75 72 67 65 00 00 00 00 00 00 00 00 0d a0 0b 01
14,448,Vanguard Hatamot,40974,267,6f 00 00 00 00 00 00 00 00 00 00 00 0e a0 0b 01
15,480,Vanguard Kusa,40975,267,00 00 00 00 00 00 00 00 00 00 00 00 0f a0 0b 01
16,512,Vanguard Drakeke,40976,267,65 70 65 72 00 00 00 00 00 00 00 00 10 a0 0b 01
17,544,Vanguard's Wyver,40977,267,6e 00 00 00 00 00 00 00 00 00 00 00 11 a0 0b 01
18,576,Vanguard Vindica,40978,267,74 6f 72 00 00 00 00 00 00 00 00 00 12 a0 0b 01
19,608,Vanguard Militan,40979,267,74 00 00 00 00 00 00 00 00 00 00 00 13 a0 0b 01
20,640,Vanguard Vigilan,40980,267,74 65 00 00 00 00 00 00 00 00 00 00 14 a0 0b 01
21,672,Vanguard Vigilan,40981,267,74 65 00 00 00 00 00 00 00 00 00 00 15 a0 0b 01
22,704,Vanguard Minstre,40982,267,6c 00 00 00 00 00 00 00 00 00 00 00 16 a0 0b 01
23,736,Vanguard Mason,40983,267,00 00 00 00 00 00 00 00 00 00 00 00 17 a0 0b 01
24,768,Vanguard Hatamot,40984,267,6f 00 00 00 00 00 00 00 00 00 00 00 18 a0 0b 01
25,800,Vanguard Kusa,40985,267,00 00 00 00 00 00 00 00 00 00 00 00 19 a0 0b 01
26,832,Vanguard Underta,40986,267,6b 65 72 00 00 00 00 00 00 00 00 00 1a a0 0b 01
27,864,Vanguard's Avata,40987,267,72 00 00 00 00 00 00 00 00 00 00 00 1b a0 0b 01
28,896,Vanguard Protect,40988,267,6f 72 00 00 00 00 00 00 00 00 00 00 1c a0 0b 01
29,928,Vanguard Constab,40989,267,6c 65 00 00 00 00 00 00 00 00 00 00 1d a0 0b 01
30,960,Vanguard Thaumat,40990,267,75 72 67 65 00 00 00 00 00 00 00 00 1e a0 0b 01
31,992,Vanguard Defende,40991,267,72 00 00 00 00 00 00 00 00 00 00 00 1f a0 0b 01
32,1024,Vanguard Defende,40992,267,72 00 00 00 00 00 00 00 00 00 00 00 20 a0 0b 01
33,1056,Vanguard Drakeke,40993,267,65 70 65 72 00 00 00 00 00 00 00 00 21 a0 0b 01
34,1088,Vanguard's Wyver,40994,267,6e 00 00 00 00 00 00 00 00 00 00 00 22 a0 0b 01
35,1120,Vanguard Purloin,40995,267,65 72 00 00 00 00 00 00 00 00 00 00 23 a0 0b 01
36,1152,Vanguard Militan,40996,267,74 00 00 00 00 00 00 00 00 00 00 00 24 a0 0b 01
37,1184,Vanguard Minstre,40997,267,6c 00 00 00 00 00 00 00 00 00 00 00 25 a0 0b 01
38,1216,Vanguard Beastte,40998,267,6e 64 65 72 00 00 00 00 00 00 00 00 26 a0 0b 01
39,1248,Vanguard's Scorp,40999,267,69 6f 6e 00 00 00 00 00 00 00 00 00 27 a0 0b 01
40,1280,Vanguard Drakeke,41000,267,65 70 65 72 00 00 00 00 00 00 00 00 28 a0 0b 01
41,1312,Vanguard's Wyver,41001,267,6e 00 00 00 00 00 00 00 00 00 00 00 29 a0 0b 01
42,1344,Vanguard Vindica,41002,267,74 6f 72 00 00 00 00 00 00 00 00 00 2a a0 0b 01
43,1376,Vanguard Militan,41003,267,74 00 00 00 00 00 00 00 00 00 00 00 2b a0 0b 01
44,1408,Vanguard Vigilan,41004,267,74 65 00 00 00 00 00 00 00 00 00 00 2c a0 0b 01
45,1440,Vanguard Mason,41005,267,00 00 00 00 00 00 00 00 00 00 00 00 2d a0 0b 01
46,1472,Adamantking Effi,41006,267,67 79 00 00 00 00 00 00 00 00 00 00 2e a0 0b 01
47,1504,Adamantking Effi,41007,267,67 79 00 00 00 00 00 00 00 00 00 00 2f a0 0b 01
48,1536,Adamantking Effi,41008,267,67 79 00 00 00 00 00 00 00 00 00 00 30 a0 0b 01
49,1568,Vanguard Defende,41009,267,72 00 00 00 00 00 00 00 00 00 00 00 31 a0 0b 01
50,1600,Vanguard Minstre,41010,267,6c 00 00 00 00 00 00 00 00 00 00 00 32 a0 0b 01
51,1632,Vanguard Thaumat,41011,267,75 72 67 65 00 00 00 00 00 00 00 00 33 a0 0b 01
52,1664,Vanguard Protect,41012,267,6f 72 00 00 00 00 00 00 00 00 00 00 34 a0 0b 01
53,1696,Vanguard Constab,41013,267,6c 65 00 00 00 00 00 00 00 00 00 00 35 a0 0b 01
54,1728,Vanguard Vigilan,41014,267,74 65 00 00 00 00 00 00 00 00 00 00 36 a0 0b 01
55,1760,Vanguard Defende,41015,267,72 00 00 00 00 00 00 00 00 00 00 00 37 a0 0b 01
56,1792,Vanguard Minstre,41016,267,6c 00 00 00 00 00 00 00 00 00 00 00 38 a0 0b 01
57,1824,Vanguard Vindica,41017,267,74 6f 72 00 00 00 00 00 00 00 00 00 39 a0 0b 01
58,1856,Vanguard Militan,41018,267,74 00 00 00 00 00 00 00 00 00 00 00 3a a0 0b 01
59,1888,Vanguard Purloin,41019,267,65 72 00 00 00 00 00 00 00 00 00 00 3b a0 0b 01
60,1920,Vanguard Mason,41020,267,00 00 00 00 00 00 00 00 00 00 00 00 3c a0 0b 01
61,1952,Vanguard Vindica,41021,267,74 6f 72 00 00 00 00 00 00 00 00 00 3d a0 0b 01
62,1984,Vanguard Purloin,41022,267,65 72 00 00 00 00 00 00 00 00 00 00 3e a0 0b 01
63,2016,Vanguard Militan,41023,267,74 00 00 00 00 00 00 00 00 00 00 00 3f a0 0b 01
64,2048,Vanguard Vigilan,41024,267,74 65 00 00 00 00 00 00 00 00 00 00 40 a0 0b 01
65,2080,Vanguard Thaumat,41025,267,75 72 67 65 00 00 00 00 00 00 00 00 41 a0 0b 01
66,2112,Vanguard Vigilan,41026,267,74 65 00 00 00 00 00 00 00 00 00 00 42 a0 0b 01
67,2144,Vanguard Thaumat,41027,267,75 72 67 65 00 00 00 00 00 00 00 00 43 a0 0b 01
68,2176,Vanguard Vigilan,41028,267,74 65 00 00 00 00 00 00 00 00 00 00 44 a0 0b 01
69,2208,Vanguard Thaumat,41029,267,75 72 67 65 00 00 00 00 00 00 00 00 45 a0 0b 01
70,2240,Adamantking Imag,41030,267,65 00 00 00 00 00 00 00 00 00 00 00 46 a0 0b 01
71,2272,Gu'Nhi Noondozer,41031,267,00 00 00 00 00 00 00 00 00 00 00 00 47 a0 0b 01
72,2304,Vanguard's Avata,41032,267,72 00 00 00 00 00 00 00 00 00 00 00 48 a0 0b 01
73,2336,Vanguard Purloin,41033,267,65 72 00 00 00 00 00 00 00 00 00 00 49 a0 0b 01
74,2368,Vanguard Purloin,41034,267,65 72 00 00 00 00 00 00 00 00 00 00 4a a0 0b 01
75,2400,Ze'Vho Fallsplit,41035,267,74 65 72 00 00 00 00 00 00 00 00 00 4b a0 0b 01
76,2432,Adamantking Imag,41036,267,65 00 00 00 00 00 00 00 00 00 00 00 4c a0 0b 01
77,2464,Adamantking Imag,41037,267,65 00 00 00 00 00 00 00 00 00 00 00 4d a0 0b 01
