index,offset,name,record_id,record_tag,raw_tail_hex
0,0,none,0,0,00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
1,32,Tzee Xicu Idol,45057,267,00 00 00 00 00 00 00 00 00 00 00 00 01 b0 0b 01
2,64,Maa Febi the Ste,45058,267,61 64 66 61 73 74 00 00 00 00 00 00 02 b0 0b 01
3,96,Muu Febi the Ste,45059,267,61 64 66 61 73 74 00 00 00 00 00 00 03 b0 0b 01
4,128,Vanguard Skirmis,45060,267,68 65 72 00 00 00 00 00 00 00 00 00 04 b0 0b 01
5,160,Vanguard Priest,45061,267,00 00 00 00 00 00 00 00 00 00 00 00 05 b0 0b 01
6,192,Vanguard Prelate,45062,267,00 00 00 00 00 00 00 00 00 00 00 00 06 b0 0b 01
7,224,Vanguard Chanter,45063,267,00 00 00 00 00 00 00 00 00 00 00 00 07 b0 0b 01
8,256,Vanguard Sentine,45064,267,6c 00 00 00 00 00 00 00 00 00 00 00 08 b0 0b 01
9,288,Vanguard Priest,45065,267,00 00 00 00 00 00 00 00 00 00 00 00 09 b0 0b 01
10,320,Vanguard Visiona,45066,267,72 79 00 00 00 00 00 00 00 00 00 00 0a b0 0b 01
11,352,Vanguard Chanter,45067,267,00 00 00 00 00 00 00 00 00 00 00 00 0b b0 0b 01
12,384,Vanguard Liberat,45068,267,6f 72 00 00 00 00 00 00 00 00 00 00 0c b0 0b 01
13,416,Vanguard Sentine,45069,267,6c 00 00 00 00 00 00 00 00 00 00 00 0d b0 0b 01
14,448,Vanguard Inciter,45070,267,00 00 00 00 00 00 00 00 00 00 00 00 0e b0 0b 01
15,480,Vanguard Exempla,45071,267,72 00 00 00 00 00 00 00 00 00 00 00 0f b0 0b 01
16,512,Vanguard Salvage,45072,267,72 00 00 00 00 00 00 00 00 00 00 00 10 b0 0b 01
17,544,Vanguard Inciter,45073,267,00 00 00 00 00 00 00 00 00 00 00 00 11 b0 0b 01
18,576,Vanguard Ogresoo,45074,267,74 68 65 72 00 00 00 00 00 00 00 00 12 b0 0b 01
19,608,Vanguard's Crow,45075,267,00 00 00 00 00 00 00 00 00 00 00 00 13 b0 0b 01
20,640,Vanguard Persecu,45076,267,74 6f 72 00 00 00 00 00 00 00 00 00 14 b0 0b 01
21,672,Vanguard Assassi,45077,267,6e 00 00 00 00 00 00 00 00 00 00 00 15 b0 0b 01
22,704,Vanguard Persecu,45078,267,74 6f 72 00 00 00 00 00 00 00 00 00 16 b0 0b 01
