index,offset,name,record_id,record_tag,raw_tail_hex
0,0,none,0,0,00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
1,32,Battue Bats,1,268,00 00 00 00 00 00 00 00 00 00 00 00 01 00 0c 01
2,64,Battue Bats,2,268,00 00 00 00 00 00 00 00 00 00 00 00 02 00 0c 01
3,96,Battue Bats,3,268,00 00 00 00 00 00 00 00 00 00 00 00 03 00 0c 01
4,128,Battue Bats,4,268,00 00 00 00 00 00 00 00 00 00 00 00 04 00 0c 01
5,160,Goblin Thug,5,268,00 00 00 00 00 00 00 00 00 00 00 00 05 00 0c 01
6,192,Goblin Thug,6,268,00 00 00 00 00 00 00 00 00 00 00 00 06 00 0c 01
7,224,Goblin Thug,7,268,00 00 00 00 00 00 00 00 00 00 00 00 07 00 0c 01
8,256,Goblin Thug,8,268,00 00 00 00 00 00 00 00 00 00 00 00 08 00 0c 01
9,288,Goblin Thug,9,268,00 00 00 00 00 00 00 00 00 00 00 00 09 00 0c 01
10,320,Battue Bats,10,268,00 00 00 00 00 00 00 00 00 00 00 00 0a 00 0c 01
11,352,Battue Bats,11,268,00 00 00 00 00 00 00 00 00 00 00 00 0b 00 0c 01
12,384,Goblin Thug,12,268,00 00 00 00 00 00 00 00 00 00 00 00 0c 00 0c 01
13,416,Goblin Thug,13,268,00 00 00 00 00 00 00 00 00 00 00 00 0d 00 0c 01
14,448,Goblin Thug,14,268,00 00 00 00 00 00 00 00 00 00 00 00 0e 00 0c 01
15,480,Goblin Thug,15,268,00 00 00 00 00 00 00 00 00 00 00 00 0f 00 0c 01
16,512,Battue Bats,16,268,00 00 00 00 00 00 00 00 00 00 00 00 10 00 0c 01
17,544,Battue Bats,17,268,00 00 00 00 00 00 00 00 00 00 00 00 11 00 0c 01
18,576,Blade Bat,18,268,00 00 00 00 00 00 00 00 00 00 00 00 12 00 0c 01
19,608,Blade Bat,19,268,00 00 00 00 00 00 00 00 00 00 00 00 13 00 0c 01
20,640,Goblin Thug,20,268,00 00 00 00 00 00 00 00 00 00 00 00 14 00 0c 01
21,672,Goblin Weaver,21,268,00 00 00 00 00 00 00 00 00 00 00 00 15 00 0c 01
22,704,Magicked Bones,22,268,00 00 00 00 00 00 00 00 00 00 00 00 16 00 0c 01
23,736,Magicked Bones,23,268,00 00 00 00 00 00 00 00 00 00 00 00 17 00 0c 01
24,768,Goblin Weaver,24,268,00 00 00 00 00 00 00 00 00 00 00 00 18 00 0c 01
25,800,Goblin Thug,25,268,00 00 00 00 00 00 00 00 00 00 00 00 19 00 0c 01
26,832,Goblin Weaver,26,268,00 00 00 00 00 00 00 00 00 00 00 00 1a 00 0c 01
27,864,Goblin Thug,27,268,00 00 00 00 00 00 00 00 00 00 00 00 1b 00 0c 01
28,896,Goblin Weaver,28,268,00 00 00 00 00 00 00 00 00 00 00 00 1c 00 0c 01
29,928,Goblin Thug,29,268,00 00 00 00 00 00 00 00 00 00 00 00 1d 00 0c 01
30,960,Goblin Weaver,30,268,00 00 00 00 00 00 00 00 00 00 00 00 1e 00 0c 01
31,992,Goblin Thug,31,268,00 00 00 00 00 00 00 00 00 00 00 00 1f 00 0c 01
32,1024,Troika Bats,32,268,00 00 00 00 00 00 00 00 00 00 00 00 20 00 0c 01
33,1056,Troika Bats,33,268,00 00 00 00 00 00 00 00 00 00 00 00 21 00 0c 01
34,1088,Deathwatch Beetl,34,268,65 00 00 00 00 00 00 00 00 00 00 00 22 00 0c 01
35,1120,Deathwatch Beetl,35,268,65 00 00 00 00 00 00 00 00 00 00 00 23 00 0c 01
36,1152,Goblin Flesher,36,268,00 00 00 00 00 00 00 00 00 00 00 00 24 00 0c 01
37,1184,Goblin Metallurg,37,268,69 73 74 00 00 00 00 00 00 00 00 00 25 00 0c 01
38,1216,Goblin Lurcher,38,268,00 00 00 00 00 00 00 00 00 00 00 00 26 00 0c 01
39,1248,Goblin Lurcher,39,268,00 00 00 00 00 00 00 00 00 00 00 00 27 00 0c 01
40,1280,Skinnymalinks,40,268,00 00 00 00 00 00 00 00 00 00 00 00 28 00 0c 01
41,1312,Skinnymalinks,41,268,00 00 00 00 00 00 00 00 00 00 00 00 29 00 0c 01
42,1344,Skinnymajinx,42,268,00 00 00 00 00 00 00 00 00 00 00 00 2a 00 0c 01
43,1376,Troika Bats,43,268,00 00 00 00 00 00 00 00 00 00 00 00 2b 00 0c 01
44,1408,Troika Bats,44,268,00 00 00 00 00 00 00 00 00 00 00 00 2c 00 0c 01
45,1440,Troika Bats,45,268,00 00 00 00 00 00 00 00 00 00 00 00 2d 00 0c 01
46,1472,Troika Bats,46,268,00 00 00 00 00 00 00 00 00 00 00 00 2e 00 0c 01
47,1504,Deathwatch Beetl,47,268,65 00 00 00 00 00 00 00 00 00 00 00 2f 00 0c 01
48,1536,Deathwatch Beetl,48,268,65 00 00 00 00 00 00 00 00 00 00 00 30 00 0c 01
49,1568,Deathwatch Beetl,49,268,65 00 00 00 00 00 00 00 00 00 00 00 31 00 0c 01
50,1600,Troika Bats,50,268,00 00 00 00 00 00 00 00 00 00 00 00 32 00 0c 01
51,1632,Troika Bats,51,268,00 00 00 00 00 00 00 00 00 00 00 00 33 00 0c 01
52,1664,Troika Bats,52,268,00 00 00 00 00 00 00 00 00 00 00 00 34 00 0c 01
53,1696,Troika Bats,53,268,00 00 00 00 00 00 00 00 00 00 00 00 35 00 0c 01
54,1728,Troika Bats,54,268,00 00 00 00 00 00 00 00 00 00 00 00 36 00 0c 01
55,1760,Troika Bats,55,268,00 00 00 00 00 00 00 00 00 00 00 00 37 00 0c 01
56,1792,Deathwatch Beetl,56,268,65 00 00 00 00 00 00 00 00 00 00 00 38 00 0c 01
57,1824,Deathwatch Beetl,57,268,65 00 00 00 00 00 00 00 00 00 00 00 39 00 0c 01
58,1856,Deathwatch Beetl,58,268,65 00 00 00 00 00 00 00 00 00 00 00 3a 00 0c 01
59,1888,Deathwatch Beetl,59,268,65 00 00 00 00 00 00 00 00 00 00 00 3b 00 0c 01
60,1920,Covin Bat,60,268,00 00 00 00 00 00 00 00 00 00 00 00 3c 00 0c 01
61,1952,Goblin Metallurg,61,268,69 73 74 00 00 00 00 00 00 00 00 00 3d 00 0c 01
62,1984,Goblin Trailblaz,62,268,65 72 00 00 00 00 00 00 00 00 00 00 3e 00 0c 01
63,2016,Goblin Lurcher,63,268,00 00 00 00 00 00 00 00 00 00 00 00 3f 00 0c 01
64,2048,Skinnymalinks,64,268,00 00 00 00 00 00 00 00 00 00 00 00 40 00 0c 01
65,2080,Skinnymalinks,65,268,00 00 00 00 00 00 00 00 00 00 00 00 41 00 0c 01
66,2112,Skinnymajinx,66,268,00 00 00 00 00 00 00 00 00 00 00 00 42 00 0c 01
67,2144,Skinnymajinx,67,268,00 00 00 00 00 00 00 00 00 00 00 00 43 00 0c 01
68,2176,Deathwatch Beetl,68,268,65 00 00 00 00 00 00 00 00 00 00 00 44 00 0c 01
69,2208,Deathwatch Beetl,69,268,65 00 00 00 00 00 00 00 00 00 00 00 45 00 0c 01
70,2240,Deathwatch Beetl,70,268,65 00 00 00 00 00 00 00 00 00 00 00 46 00 0c 01
71,2272,Covin Bat,71,268,00 00 00 00 00 00 00 00 00 00 00 00 47 00 0c 01
72,2304,Covin Bat,72,268,00 00 00 00 00 00 00 00 00 00 00 00 48 00 0c 01
73,2336,Covin Bat,73,268,00 00 00 00 00 00 00 00 00 00 00 00 49 00 0c 01
74,2368,Covin Bat,74,268,00 00 00 00 00 00 00 00 00 00 00 00 4a 00 0c 01
75,2400,Covin Bat,75,268,00 00 00 00 00 00 00 00 00 00 00 00 4b 00 0c 01
76,2432,Deathwatch Beetl,76,268,65 00 00 00 00 00 00 00 00 00 00 00 4c 00 0c 01
77,2464,Deathwatch Beetl,77,268,65 00 00 00 00 00 00 00 00 00 00 00 4d 00 0c 01
78,2496,Deathwatch Beetl,78,268,65 00 00 00 00 00 00 00 00 00 00 00 4e 00 0c 01
79,2528,Goblin Metallurg,79,268,69 73 74 00 00 00 00 00 00 00 00 00 4f 00 0c 01
80,2560,Goblin Trailblaz,80,268,65 72 00 00 00 00 00 00 00 00 00 00 50 00 0c 01
81,2592,Goblin Flesher,81,268,00 00 00 00 00 00 00 00 00 00 00 00 51 00 0c 01
82,2624,Goblin Lurcher,82,268,00 00 00 00 00 00 00 00 00 00 00 00 52 00 0c 01
83,2656,Goblin Lurcher,83,268,00 00 00 00 00 00 00 00 00 00 00 00 53 00 0c 01
84,2688,Covin Bat,84,268,00 00 00 00 00 00 00 00 00 00 00 00 54 00 0c 01
85,2720,Covin Bat,85,268,00 00 00 00 00 00 00 00 00 00 00 00 55 00 0c 01
86,2752,Covin Bat,86,268,00 00 00 00 00 00 00 00 00 00 00 00 56 00 0c 01
87,2784,Covin Bat,87,268,00 00 00 00 00 00 00 00 00 00 00 00 57 00 0c 01
88,2816,Deathwatch Beetl,88,268,65 00 00 00 00 00 00 00 00 00 00 00 58 00 0c 01
89,2848,Deathwatch Beetl,89,268,65 00 00 00 00 00 00 00 00 00 00 00 59 00 0c 01
90,2880,Deathwatch Beetl,90,268,65 00 00 00 00 00 00 00 00 00 00 00 5a 00 0c 01
