npc_index,name,record_id,record_tag,event_ref_count,event_ref_offset,position_offset,x,y,z,confidence,raw_x,raw_y,raw_z,raw_values
190,Treasure Casket,190,268,1,26432,26512,74.46,0.15,74.22,30,7446,15,7422,7446 7422 15 16 31 7421 7423 7428
191,Treasure Casket,191,268,1,28240,28320,74.46,0.15,74.22,30,7446,15,7422,7446 7422 15 16 31 7421 7423 7428
192,Treasure Casket,192,268,1,30048,30128,74.46,0.15,74.22,30,7446,15,7422,7446 7422 15 16 31 7421 7423 7428
193,Treasure Casket,193,268,1,31856,31936,74.46,0.15,74.22,30,7446,15,7422,7446 7422 15 16 31 7421 7423 7428
194,Treasure Casket,194,268,1,33664,33744,74.46,0.15,74.22,30,7446,15,7422,7446 7422 15 16 31 7421 7423 7428
195,Treasure Casket,195,268,1,35472,35552,74.46,0.15,74.22,30,7446,15,7422,7446 7422 15 16 31 7421 7423 7428
196,Treasure Casket,196,268,1,37280,37360,74.46,0.15,74.22,30,7446,15,7422,7446 7422 15 16 31 7421 7423 7428
197,Treasure Casket,197,268,1,39088,39168,74.46,0.15,74.22,30,7446,15,7422,7446 7422 15 16 31 7421 7423 7428
198,Treasure Casket,198,268,1,40896,40976,74.46,0.15,74.22,30,7446,15,7422,7446 7422 15 16 31 7421 7423 7428
199,Treasure Casket,199,268,1,42704,42784,74.46,0.15,74.22,30,7446,15,7422,7446 7422 15 16 31 7421 7423 7428
200,Treasure Casket,200,268,1,44512,44592,74.46,0.15,74.22,30,7446,15,7422,7446 7422 15 16 31 7421 7423 7428
201,Treasure Casket,201,268,1,46320,46400,74.46,0.15,74.22,30,7446,15,7422,7446 7422 15 16 31 7421 7423 7428
202,Treasure Casket,202,268,1,48128,48208,74.46,0.15,74.22,30,7446,15,7422,7446 7422 15 16 31 7421 7423 7428
203,Treasure Casket,203,268,1,49936,50016,74.46,0.15,74.22,30,7446,15,7422,7446 7422 15 16 31 7421 7423 7428
204,Treasure Casket,204,268,1,51744,51824,74.46,0.15,74.22,30,7446,15,7422,7446 7422 15 16 31 7421 7423 7428
205,Treasure Casket,205,268,1,53552,53632,74.46,0.15,74.22,30,7446,15,7422,7446 7422 15 16 31 7421 7423 7428
214,DIRECTOR,219,268,38,2588,2760,0.2,72.43,12.0,65,20,7243,1200,20 1200 7243 1050 2359296 25166208 140672 8389136
221,Ajido-Marujido,226,268,200,21299,21431,48.64,325.12,414.72,65,4864,32512,41472,4864 41472 32512 256 23552 15360 40960 82176
222,Apururu,227,268,81,10440,10612,21.51,1.2,1.0,85,2151,120,100,2151 100 120 1162 21365024 -2147465918 2147483640 2147483640
223,Gate: Magical Gi,228,268,1,10524,10612,21.51,1.2,1.0,85,2151,120,100,2151 100 120 1162 21365024 -2147465918 2147483640 2147483640
224,Mahogany Door,229,268,1,11792,11924,73.26,73.28,30.0,65,7326,7328,3000,7326 3000 7328 2076 474742784 5079040 595591496 2162720
225,Nanaa Mihgo,230,268,57,15084,15256,0.08,193.05,-143.76,120,8,19305,-14376,8 -14376 19305 2155 13 -18616 -22288 19070
226,Bopa Greso,231,268,20,15156,15256,0.08,193.05,-143.76,120,8,19305,-14376,8 -14376 19305 2155 13 -18616 -22288 19070
227,Cha Lebagta,232,268,20,15612,15692,-124.32,0.0,205.14,120,-12432,0,20514,-12432 20514 0 1909 13 -18432 -22099 20707
228,Ace of Cups,233,268,25,15972,16108,-180.61,0.0,208.37,120,-18061,0,20837,-18061 20837 0 2048 -18561 120 7295 7300
229,Ace of Wands,234,268,23,16552,16680,-188.05,0.0,186.08,120,-18805,0,18608,-18805 18608 0 1712 13 -17938 18469 2048
230,Ace of Swords,235,268,40,17156,17300,0.13,197.03,-186.51,105,13,19703,-18651,13 -18651 19703 0 -21096 19665 -19651 19403
231,Gate of Light,236,268,1,17792,17880,10.0,0.01,0.5,65,1000,1,50,1000 50 1 1089 1174478848 21905921 17563874 -4022
235,Cracked Wall,240,268,1,19308,19472,0.08,0.47,73.89,15,8,47,7389,8 7389 47 250 201 100 127 1
236,Cracked Wall,241,268,1,19332,19516,1.3,0.46,74.01,30,130,46,7401,130 7401 46 10 50 7402 1848 21381632
237,Cracked Wall,242,268,1,19356,19516,1.3,0.46,74.01,30,130,46,7401,130 7401 46 10 50 7402 1848 21381632
238,Cracked Wall,243,268,1,19380,19516,1.3,0.46,74.01,30,130,46,7401,130 7401 46 10 50 7402 1848 21381632
239,Cracked Wall,244,268,1,19404,19516,1.3,0.46,74.01,30,130,46,7401,130 7401 46 10 50 7402 1848 21381632
244,Gate of Darkness,249,268,1,19428,19516,1.3,0.46,74.01,30,130,46,7401,130 7401 46 10 50 7402 1848 21381632
247,Gate of Earth,252,268,1,21392,21468,73.78,40.46,73.79,65,7378,4046,7379,7378 7379 4046 765 1107379712 595591240 41943389 -2147334784
262,Koru-Moru,268,268,22,22308,22484,1431.64,33.26,0.0,60,143164,3326,0,143164 0 3326 13 -226919 146922 3818 -231234
263,Shantotto,269,268,19,23084,23236,1434.57,30.71,0.0,60,143457,3071,0,143457 0 3071 13 -229115 146898 3818 -228547
264,Yoran-Oran,270,268,27,23756,23904,1453.27,32.83,0.0,60,145327,3283,0,145327 0 3283 13 -227859 146512 -227662 147802
265,Talking Doll,271,268,3,24396,24432,1798.88,20.24,-80.0,60,179888,2024,-8000,179888 -8000 2024 92 0 200 7381 100
266,Ramblix,272,268,2,24888,25012,74.08,0.6,2.0,70,7408,60,200,7408 200 60 485 1107369984 -266469342 1249902591 2147483632
268,???,274,268,14,25516,25672,24.28,65.3,44.76,45,2428,6530,4476,2428 4476 6530 3456 255 6540 6537 6534
270,Grounds Tome,276,268,1,55360,55432,105.42,74.58,105.52,30,10542,7458,10552,10542 10552 7458 11 7459 7460 9508 9513
271,Grounds Tome,277,268,1,58444,58516,105.42,74.58,105.52,30,10542,7458,10552,10542 10552 7458 11 7459 7460 9508 9513
272,Grounds Tome,278,268,1,61528,61600,105.42,74.58,105.52,30,10542,7458,10552,10542 10552 7458 11 7459 7460 9508 9513
274,Survival Guide,280,268,2,64612,64744,-0.02,105.79,105.64,50,-2,10579,10564,-2 10564 10579 26 27 10578 8 15
