index,offset,name,record_id,record_tag,raw_tail_hex
0,0,none,0,0,00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
1,32,Goblin Ambusher,8193,268,00 00 00 00 00 00 00 00 00 00 00 00 01 20 0c 01
2,64,Goblin Tinkerer,8194,268,00 00 00 00 00 00 00 00 00 00 00 00 02 20 0c 01
3,96,Goblin Butcher,8195,268,00 00 00 00 00 00 00 00 00 00 00 00 03 20 0c 01
4,128,Stink Bats,8196,268,00 00 00 00 00 00 00 00 00 00 00 00 04 20 0c 01
5,160,Goblin Ambusher,8197,268,00 00 00 00 00 00 00 00 00 00 00 00 05 20 0c 01
6,192,Goblin Ambusher,8198,268,00 00 00 00 00 00 00 00 00 00 00 00 06 20 0c 01
7,224,Goblin Tinkerer,8199,268,00 00 00 00 00 00 00 00 00 00 00 00 07 20 0c 01
8,256,Goblin Tinkerer,8200,268,00 00 00 00 00 00 00 00 00 00 00 00 08 20 0c 01
9,288,Goblin Butcher,8201,268,00 00 00 00 00 00 00 00 00 00 00 00 09 20 0c 01
10,320,Goblin Butcher,8202,268,00 00 00 00 00 00 00 00 00 00 00 00 0a 20 0c 01
11,352,Stink Bats,8203,268,00 00 00 00 00 00 00 00 00 00 00 00 0b 20 0c 01
12,384,Stink Bats,8204,268,00 00 00 00 00 00 00 00 00 00 00 00 0c 20 0c 01
13,416,Goblin Ambusher,8205,268,00 00 00 00 00 00 00 00 00 00 00 00 0d 20 0c 01
14,448,Goblin Ambusher,8206,268,00 00 00 00 00 00 00 00 00 00 00 00 0e 20 0c 01
15,480,Goblin Tinkerer,8207,268,00 00 00 00 00 00 00 00 00 00 00 00 0f 20 0c 01
16,512,Goblin Tinkerer,8208,268,00 00 00 00 00 00 00 00 00 00 00 00 10 20 0c 01
17,544,Goblin Butcher,8209,268,00 00 00 00 00 00 00 00 00 00 00 00 11 20 0c 01
18,576,Goblin Butcher,8210,268,00 00 00 00 00 00 00 00 00 00 00 00 12 20 0c 01
19,608,Stink Bats,8211,268,00 00 00 00 00 00 00 00 00 00 00 00 13 20 0c 01
20,640,Stink Bats,8212,268,00 00 00 00 00 00 00 00 00 00 00 00 14 20 0c 01
21,672,Goblin Ambusher,8213,268,00 00 00 00 00 00 00 00 00 00 00 00 15 20 0c 01
22,704,Goblin Tinkerer,8214,268,00 00 00 00 00 00 00 00 00 00 00 00 16 20 0c 01
23,736,Goblin Butcher,8215,268,00 00 00 00 00 00 00 00 00 00 00 00 17 20 0c 01
24,768,Stink Bats,8216,268,00 00 00 00 00 00 00 00 00 00 00 00 18 20 0c 01
25,800,Goblin Ambusher,8217,268,00 00 00 00 00 00 00 00 00 00 00 00 19 20 0c 01
26,832,Goblin Tinkerer,8218,268,00 00 00 00 00 00 00 00 00 00 00 00 1a 20 0c 01
27,864,Goblin Butcher,8219,268,00 00 00 00 00 00 00 00 00 00 00 00 1b 20 0c 01
28,896,Stink Bats,8220,268,00 00 00 00 00 00 00 00 00 00 00 00 1c 20 0c 01
29,928,Stink Bats,8221,268,00 00 00 00 00 00 00 00 00 00 00 00 1d 20 0c 01
30,960,Desmodont,8222,268,00 00 00 00 00 00 00 00 00 00 00 00 1e 20 0c 01
31,992,Rotten Jam,8223,268,00 00 00 00 00 00 00 00 00 00 00 00 1f 20 0c 01
32,1024,Rotten Jam,8224,268,00 00 00 00 00 00 00 00 00 00 00 00 20 20 0c 01
33,1056,Legalox Heftyhin,8225,268,64 00 00 00 00 00 00 00 00 00 00 00 21 20 0c 01
34,1088,Fetor Bats,8226,268,00 00 00 00 00 00 00 00 00 00 00 00 22 20 0c 01
35,1120,Fetor Bats,8227,268,00 00 00 00 00 00 00 00 00 00 00 00 23 20 0c 01
36,1152,Fetor Bats,8228,268,00 00 00 00 00 00 00 00 00 00 00 00 24 20 0c 01
37,1184,Fetor Bats,8229,268,00 00 00 00 00 00 00 00 00 00 00 00 25 20 0c 01
38,1216,Fetor Bats,8230,268,00 00 00 00 00 00 00 00 00 00 00 00 26 20 0c 01
39,1248,Fetor Bats,8231,268,00 00 00 00 00 00 00 00 00 00 00 00 27 20 0c 01
40,1280,Fetor Bats,8232,268,00 00 00 00 00 00 00 00 00 00 00 00 28 20 0c 01
41,1312,Fetor Bats,8233,268,00 00 00 00 00 00 00 00 00 00 00 00 29 20 0c 01
42,1344,Fetor Bats,8234,268,00 00 00 00 00 00 00 00 00 00 00 00 2a 20 0c 01
43,1376,Fuligo,8235,268,00 00 00 00 00 00 00 00 00 00 00 00 2b 20 0c 01
44,1408,Fuligo,8236,268,00 00 00 00 00 00 00 00 00 00 00 00 2c 20 0c 01
45,1440,Fuligo,8237,268,00 00 00 00 00 00 00 00 00 00 00 00 2d 20 0c 01
46,1472,Fetor Bats,8238,268,00 00 00 00 00 00 00 00 00 00 00 00 2e 20 0c 01
47,1504,Fetor Bats,8239,268,00 00 00 00 00 00 00 00 00 00 00 00 2f 20 0c 01
48,1536,Fetor Bats,8240,268,00 00 00 00 00 00 00 00 00 00 00 00 30 20 0c 01
49,1568,Fetor Bats,8241,268,00 00 00 00 00 00 00 00 00 00 00 00 31 20 0c 01
50,1600,Fetor Bats,8242,268,00 00 00 00 00 00 00 00 00 00 00 00 32 20 0c 01
51,1632,Black Slime,8243,268,00 00 00 00 00 00 00 00 00 00 00 00 33 20 0c 01
52,1664,Black Slime,8244,268,00 00 00 00 00 00 00 00 00 00 00 00 34 20 0c 01
53,1696,Ghoul,8245,268,00 00 00 00 00 00 00 00 00 00 00 00 35 20 0c 01
54,1728,Ghoul,8246,268,00 00 00 00 00 00 00 00 00 00 00 00 36 20 0c 01
55,1760,Ghoul,8247,268,00 00 00 00 00 00 00 00 00 00 00 00 37 20 0c 01
56,1792,Ghoul,8248,268,00 00 00 00 00 00 00 00 00 00 00 00 38 20 0c 01
57,1824,Ghoul,8249,268,00 00 00 00 00 00 00 00 00 00 00 00 39 20 0c 01
58,1856,Ghoul,8250,268,00 00 00 00 00 00 00 00 00 00 00 00 3a 20 0c 01
59,1888,Ghoul,8251,268,00 00 00 00 00 00 00 00 00 00 00 00 3b 20 0c 01
60,1920,Ghoul,8252,268,00 00 00 00 00 00 00 00 00 00 00 00 3c 20 0c 01
61,1952,Combat,8253,268,00 00 00 00 00 00 00 00 00 00 00 00 3d 20 0c 01
62,1984,Combat,8254,268,00 00 00 00 00 00 00 00 00 00 00 00 3e 20 0c 01
63,2016,Ah Puch,8255,268,00 00 00 00 00 00 00 00 00 00 00 00 3f 20 0c 01
64,2048,Thorn Bat,8256,268,00 00 00 00 00 00 00 00 00 00 00 00 40 20 0c 01
65,2080,Thorn Bat,8257,268,00 00 00 00 00 00 00 00 00 00 00 00 41 20 0c 01
66,2112,Thorn Bat,8258,268,00 00 00 00 00 00 00 00 00 00 00 00 42 20 0c 01
67,2144,Thorn Bat,8259,268,00 00 00 00 00 00 00 00 00 00 00 00 43 20 0c 01
68,2176,Thorn Bat,8260,268,00 00 00 00 00 00 00 00 00 00 00 00 44 20 0c 01
69,2208,Thorn Bat,8261,268,00 00 00 00 00 00 00 00 00 00 00 00 45 20 0c 01
70,2240,Thorn Bat,8262,268,00 00 00 00 00 00 00 00 00 00 00 00 46 20 0c 01
71,2272,Thorn Bat,8263,268,00 00 00 00 00 00 00 00 00 00 00 00 47 20 0c 01
72,2304,Thorn Bat,8264,268,00 00 00 00 00 00 00 00 00 00 00 00 48 20 0c 01
73,2336,Thorn Bat,8265,268,00 00 00 00 00 00 00 00 00 00 00 00 49 20 0c 01
74,2368,Thorn Bat,8266,268,00 00 00 00 00 00 00 00 00 00 00 00 4a 20 0c 01
75,2400,Thorn Bat,8267,268,00 00 00 00 00 00 00 00 00 00 00 00 4b 20 0c 01
76,2432,Fetor Bats,8268,268,00 00 00 00 00 00 00 00 00 00 00 00 4c 20 0c 01
77,2464,Fetor Bats,8269,268,00 00 00 00 00 00 00 00 00 00 00 00 4d 20 0c 01
