index,offset,name,record_id,record_tag,raw_tail_hex
0,0,none,0,0,00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
1,32,Lich C Magnus,12289,268,00 00 00 00 00 00 00 00 00 00 00 00 01 30 0c 01
2,64,Skull of Glutton,12290,268,79 00 00 00 00 00 00 00 00 00 00 00 02 30 0c 01
3,96,Skull of Greed,12291,268,00 00 00 00 00 00 00 00 00 00 00 00 03 30 0c 01
4,128,Skull of Sloth,12292,268,00 00 00 00 00 00 00 00 00 00 00 00 04 30 0c 01
5,160,Skull of Lust,12293,268,00 00 00 00 00 00 00 00 00 00 00 00 05 30 0c 01
6,192,Skull of Pride,12294,268,00 00 00 00 00 00 00 00 00 00 00 00 06 30 0c 01
7,224,Skull of Envy,12295,268,00 00 00 00 00 00 00 00 00 00 00 00 07 30 0c 01
8,256,Skull of Wrath,12296,268,00 00 00 00 00 00 00 00 00 00 00 00 08 30 0c 01
9,288,Marchosias,12297,268,00 00 00 00 00 00 00 00 00 00 00 00 09 30 0c 01
10,320,Lost Soul,12298,268,00 00 00 00 00 00 00 00 00 00 00 00 0a 30 0c 01
11,352,Lost Soul,12299,268,00 00 00 00 00 00 00 00 00 00 00 00 0b 30 0c 01
12,384,Lost Soul,12300,268,00 00 00 00 00 00 00 00 00 00 00 00 0c 30 0c 01
13,416,Lost Soul,12301,268,00 00 00 00 00 00 00 00 00 00 00 00 0d 30 0c 01
14,448,Marchosias,12302,268,00 00 00 00 00 00 00 00 00 00 00 00 0e 30 0c 01
15,480,Marchosias,12303,268,00 00 00 00 00 00 00 00 00 00 00 00 0f 30 0c 01
16,512,Marchosias,12304,268,00 00 00 00 00 00 00 00 00 00 00 00 10 30 0c 01
17,544,Shade,12305,268,00 00 00 00 00 00 00 00 00 00 00 00 11 30 0c 01
18,576,Shade,12306,268,00 00 00 00 00 00 00 00 00 00 00 00 12 30 0c 01
19,608,Shade,12307,268,00 00 00 00 00 00 00 00 00 00 00 00 13 30 0c 01
20,640,Shade,12308,268,00 00 00 00 00 00 00 00 00 00 00 00 14 30 0c 01
21,672,Lost Soul,12309,268,00 00 00 00 00 00 00 00 00 00 00 00 15 30 0c 01
22,704,Lost Soul,12310,268,00 00 00 00 00 00 00 00 00 00 00 00 16 30 0c 01
23,736,Hellbound Warrio,12311,268,72 00 00 00 00 00 00 00 00 00 00 00 17 30 0c 01
24,768,Hellbound Warloc,12312,268,6b 00 00 00 00 00 00 00 00 00 00 00 18 30 0c 01
25,800,Hellbound Warrio,12313,268,72 00 00 00 00 00 00 00 00 00 00 00 19 30 0c 01
26,832,Hellbound Warloc,12314,268,6b 00 00 00 00 00 00 00 00 00 00 00 1a 30 0c 01
27,864,Hellbound Warrio,12315,268,72 00 00 00 00 00 00 00 00 00 00 00 1b 30 0c 01
28,896,Hellbound Warloc,12316,268,6b 00 00 00 00 00 00 00 00 00 00 00 1c 30 0c 01
29,928,Hellbound Warrio,12317,268,72 00 00 00 00 00 00 00 00 00 00 00 1d 30 0c 01
30,960,Hellbound Warloc,12318,268,6b 00 00 00 00 00 00 00 00 00 00 00 1e 30 0c 01
31,992,Marchosias,12319,268,00 00 00 00 00 00 00 00 00 00 00 00 1f 30 0c 01
32,1024,Marchosias,12320,268,00 00 00 00 00 00 00 00 00 00 00 00 20 30 0c 01
33,1056,Lost Soul,12321,268,00 00 00 00 00 00 00 00 00 00 00 00 21 30 0c 01
34,1088,Lost Soul,12322,268,00 00 00 00 00 00 00 00 00 00 00 00 22 30 0c 01
35,1120,Lost Soul,12323,268,00 00 00 00 00 00 00 00 00 00 00 00 23 30 0c 01
36,1152,Lost Soul,12324,268,00 00 00 00 00 00 00 00 00 00 00 00 24 30 0c 01
37,1184,Lost Soul,12325,268,00 00 00 00 00 00 00 00 00 00 00 00 25 30 0c 01
38,1216,Revenant,12326,268,00 00 00 00 00 00 00 00 00 00 00 00 26 30 0c 01
39,1248,Marchosias,12327,268,00 00 00 00 00 00 00 00 00 00 00 00 27 30 0c 01
40,1280,Marchosias,12328,268,00 00 00 00 00 00 00 00 00 00 00 00 28 30 0c 01
41,1312,Marchosias,12329,268,00 00 00 00 00 00 00 00 00 00 00 00 29 30 0c 01
42,1344,Hellbound Warrio,12330,268,72 00 00 00 00 00 00 00 00 00 00 00 2a 30 0c 01
43,1376,Hellbound Warloc,12331,268,6b 00 00 00 00 00 00 00 00 00 00 00 2b 30 0c 01
44,1408,Hellbound Warrio,12332,268,72 00 00 00 00 00 00 00 00 00 00 00 2c 30 0c 01
45,1440,Hellbound Warloc,12333,268,6b 00 00 00 00 00 00 00 00 00 00 00 2d 30 0c 01
46,1472,Hellbound Warrio,12334,268,72 00 00 00 00 00 00 00 00 00 00 00 2e 30 0c 01
47,1504,Hellbound Warloc,12335,268,6b 00 00 00 00 00 00 00 00 00 00 00 2f 30 0c 01
48,1536,Hellbound Warrio,12336,268,72 00 00 00 00 00 00 00 00 00 00 00 30 30 0c 01
49,1568,Hellbound Warloc,12337,268,6b 00 00 00 00 00 00 00 00 00 00 00 31 30 0c 01
50,1600,Marchosias,12338,268,00 00 00 00 00 00 00 00 00 00 00 00 32 30 0c 01
51,1632,Marchosias,12339,268,00 00 00 00 00 00 00 00 00 00 00 00 33 30 0c 01
52,1664,Lost Soul,12340,268,00 00 00 00 00 00 00 00 00 00 00 00 34 30 0c 01
53,1696,Lost Soul,12341,268,00 00 00 00 00 00 00 00 00 00 00 00 35 30 0c 01
54,1728,Lost Soul,12342,268,00 00 00 00 00 00 00 00 00 00 00 00 36 30 0c 01
55,1760,Lost Soul,12343,268,00 00 00 00 00 00 00 00 00 00 00 00 37 30 0c 01
56,1792,Hell Hound,12344,268,00 00 00 00 00 00 00 00 00 00 00 00 38 30 0c 01
57,1824,Hell Hound,12345,268,00 00 00 00 00 00 00 00 00 00 00 00 39 30 0c 01
58,1856,Hell Hound,12346,268,00 00 00 00 00 00 00 00 00 00 00 00 3a 30 0c 01
59,1888,Hellbound Warrio,12347,268,72 00 00 00 00 00 00 00 00 00 00 00 3b 30 0c 01
60,1920,Hellbound Warloc,12348,268,6b 00 00 00 00 00 00 00 00 00 00 00 3c 30 0c 01
61,1952,Hellbound Warrio,12349,268,72 00 00 00 00 00 00 00 00 00 00 00 3d 30 0c 01
62,1984,Hellbound Warloc,12350,268,6b 00 00 00 00 00 00 00 00 00 00 00 3e 30 0c 01
63,2016,Hellbound Warrio,12351,268,72 00 00 00 00 00 00 00 00 00 00 00 3f 30 0c 01
64,2048,Hellbound Warloc,12352,268,6b 00 00 00 00 00 00 00 00 00 00 00 40 30 0c 01
65,2080,Hellbound Warrio,12353,268,72 00 00 00 00 00 00 00 00 00 00 00 41 30 0c 01
66,2112,Hellbound Warloc,12354,268,6b 00 00 00 00 00 00 00 00 00 00 00 42 30 0c 01
