index,offset,name,record_id,record_tag,raw_tail_hex
0,0,none,0,0,00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
1,32,Ichorous Ire,24577,268,00 00 00 00 00 00 00 00 00 00 00 00 01 60 0c 01
2,64,Goblin Ambusher,24578,268,00 00 00 00 00 00 00 00 00 00 00 00 02 60 0c 01
3,96,Goblin Tinkerer,24579,268,00 00 00 00 00 00 00 00 00 00 00 00 03 60 0c 01
4,128,Goblin Butcher,24580,268,00 00 00 00 00 00 00 00 00 00 00 00 04 60 0c 01
5,160,Goblin Ambusher,24581,268,00 00 00 00 00 00 00 00 00 00 00 00 05 60 0c 01
6,192,Goblin Tinkerer,24582,268,00 00 00 00 00 00 00 00 00 00 00 00 06 60 0c 01
7,224,Goblin Butcher,24583,268,00 00 00 00 00 00 00 00 00 00 00 00 07 60 0c 01
8,256,Maze Maker,24584,268,00 00 00 00 00 00 00 00 00 00 00 00 08 60 0c 01
9,288,Maze Maker,24585,268,00 00 00 00 00 00 00 00 00 00 00 00 09 60 0c 01
10,320,Maze Maker,24586,268,00 00 00 00 00 00 00 00 00 00 00 00 0a 60 0c 01
11,352,Maze Maker,24587,268,00 00 00 00 00 00 00 00 00 00 00 00 0b 60 0c 01
12,384,Stink Bats,24588,268,00 00 00 00 00 00 00 00 00 00 00 00 0c 60 0c 01
13,416,Stink Bats,24589,268,00 00 00 00 00 00 00 00 00 00 00 00 0d 60 0c 01
14,448,Stink Bats,24590,268,00 00 00 00 00 00 00 00 00 00 00 00 0e 60 0c 01
15,480,Stink Bats,24591,268,00 00 00 00 00 00 00 00 00 00 00 00 0f 60 0c 01
16,512,Combat,24592,268,00 00 00 00 00 00 00 00 00 00 00 00 10 60 0c 01
17,544,Goblin Ambusher,24593,268,00 00 00 00 00 00 00 00 00 00 00 00 11 60 0c 01
18,576,Goblin Tinkerer,24594,268,00 00 00 00 00 00 00 00 00 00 00 00 12 60 0c 01
19,608,Goblin Butcher,24595,268,00 00 00 00 00 00 00 00 00 00 00 00 13 60 0c 01
20,640,Goblin Ambusher,24596,268,00 00 00 00 00 00 00 00 00 00 00 00 14 60 0c 01
21,672,Goblin Tinkerer,24597,268,00 00 00 00 00 00 00 00 00 00 00 00 15 60 0c 01
22,704,Goblin Butcher,24598,268,00 00 00 00 00 00 00 00 00 00 00 00 16 60 0c 01
23,736,Maze Maker,24599,268,00 00 00 00 00 00 00 00 00 00 00 00 17 60 0c 01
24,768,Maze Maker,24600,268,00 00 00 00 00 00 00 00 00 00 00 00 18 60 0c 01
25,800,Maze Maker,24601,268,00 00 00 00 00 00 00 00 00 00 00 00 19 60 0c 01
26,832,Maze Maker,24602,268,00 00 00 00 00 00 00 00 00 00 00 00 1a 60 0c 01
27,864,Stink Bats,24603,268,00 00 00 00 00 00 00 00 00 00 00 00 1b 60 0c 01
28,896,Stink Bats,24604,268,00 00 00 00 00 00 00 00 00 00 00 00 1c 60 0c 01
29,928,Stink Bats,24605,268,00 00 00 00 00 00 00 00 00 00 00 00 1d 60 0c 01
30,960,Combat,24606,268,00 00 00 00 00 00 00 00 00 00 00 00 1e 60 0c 01
31,992,Combat,24607,268,00 00 00 00 00 00 00 00 00 00 00 00 1f 60 0c 01
32,1024,Carnivorous Craw,24608,268,6c 65 72 00 00 00 00 00 00 00 00 00 20 60 0c 01
33,1056,Stink Bats,24609,268,00 00 00 00 00 00 00 00 00 00 00 00 21 60 0c 01
34,1088,Stink Bats,24610,268,00 00 00 00 00 00 00 00 00 00 00 00 22 60 0c 01
35,1120,Combat,24611,268,00 00 00 00 00 00 00 00 00 00 00 00 23 60 0c 01
36,1152,Combat,24612,268,00 00 00 00 00 00 00 00 00 00 00 00 24 60 0c 01
37,1184,Carnivorous Craw,24613,268,6c 65 72 00 00 00 00 00 00 00 00 00 25 60 0c 01
38,1216,Carnivorous Craw,24614,268,6c 65 72 00 00 00 00 00 00 00 00 00 26 60 0c 01
39,1248,Goblin Ambusher,24615,268,00 00 00 00 00 00 00 00 00 00 00 00 27 60 0c 01
40,1280,Goblin Tinkerer,24616,268,00 00 00 00 00 00 00 00 00 00 00 00 28 60 0c 01
41,1312,Goblin Butcher,24617,268,00 00 00 00 00 00 00 00 00 00 00 00 29 60 0c 01
42,1344,Goblin Ambusher,24618,268,00 00 00 00 00 00 00 00 00 00 00 00 2a 60 0c 01
43,1376,Goblin Tinkerer,24619,268,00 00 00 00 00 00 00 00 00 00 00 00 2b 60 0c 01
44,1408,Goblin Butcher,24620,268,00 00 00 00 00 00 00 00 00 00 00 00 2c 60 0c 01
45,1440,Maze Maker,24621,268,00 00 00 00 00 00 00 00 00 00 00 00 2d 60 0c 01
46,1472,Maze Maker,24622,268,00 00 00 00 00 00 00 00 00 00 00 00 2e 60 0c 01
47,1504,Maze Maker,24623,268,00 00 00 00 00 00 00 00 00 00 00 00 2f 60 0c 01
48,1536,Stink Bats,24624,268,00 00 00 00 00 00 00 00 00 00 00 00 30 60 0c 01
49,1568,Stink Bats,24625,268,00 00 00 00 00 00 00 00 00 00 00 00 31 60 0c 01
50,1600,Combat,24626,268,00 00 00 00 00 00 00 00 00 00 00 00 32 60 0c 01
51,1632,Combat,24627,268,00 00 00 00 00 00 00 00 00 00 00 00 33 60 0c 01
52,1664,Maze Maker,24628,268,00 00 00 00 00 00 00 00 00 00 00 00 34 60 0c 01
