index,offset,name,record_id,record_tag,raw_tail_hex
0,0,none,0,0,00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
1,32,Borer Beetle,32769,268,00 00 00 00 00 00 00 00 00 00 00 00 01 80 0c 01
2,64,Siege Bat,32770,268,00 00 00 00 00 00 00 00 00 00 00 00 02 80 0c 01
3,96,Siege Bat,32771,268,00 00 00 00 00 00 00 00 00 00 00 00 03 80 0c 01
4,128,Borer Beetle,32772,268,00 00 00 00 00 00 00 00 00 00 00 00 04 80 0c 01
5,160,Siege Bat,32773,268,00 00 00 00 00 00 00 00 00 00 00 00 05 80 0c 01
6,192,Siege Bat,32774,268,00 00 00 00 00 00 00 00 00 00 00 00 06 80 0c 01
7,224,Siege Bat,32775,268,00 00 00 00 00 00 00 00 00 00 00 00 07 80 0c 01
8,256,Siege Bat,32776,268,00 00 00 00 00 00 00 00 00 00 00 00 08 80 0c 01
9,288,Siege Bat,32777,268,00 00 00 00 00 00 00 00 00 00 00 00 09 80 0c 01
10,320,Wingrats,32778,268,00 00 00 00 00 00 00 00 00 00 00 00 0a 80 0c 01
11,352,Wingrats,32779,268,00 00 00 00 00 00 00 00 00 00 00 00 0b 80 0c 01
12,384,Wingrats,32780,268,00 00 00 00 00 00 00 00 00 00 00 00 0c 80 0c 01
13,416,Wingrats,32781,268,00 00 00 00 00 00 00 00 00 00 00 00 0d 80 0c 01
14,448,Fallen Evacuee,32782,268,00 00 00 00 00 00 00 00 00 00 00 00 0e 80 0c 01
15,480,Fallen Evacuee,32783,268,00 00 00 00 00 00 00 00 00 00 00 00 0f 80 0c 01
16,512,Fallen Evacuee,32784,268,00 00 00 00 00 00 00 00 00 00 00 00 10 80 0c 01
17,544,Fallen Evacuee,32785,268,00 00 00 00 00 00 00 00 00 00 00 00 11 80 0c 01
18,576,Borer Beetle,32786,268,00 00 00 00 00 00 00 00 00 00 00 00 12 80 0c 01
19,608,Siege Bat,32787,268,00 00 00 00 00 00 00 00 00 00 00 00 13 80 0c 01
20,640,Siege Bat,32788,268,00 00 00 00 00 00 00 00 00 00 00 00 14 80 0c 01
21,672,Siege Bat,32789,268,00 00 00 00 00 00 00 00 00 00 00 00 15 80 0c 01
22,704,Siege Bat,32790,268,00 00 00 00 00 00 00 00 00 00 00 00 16 80 0c 01
23,736,Puroboros,32791,268,00 00 00 00 00 00 00 00 00 00 00 00 17 80 0c 01
24,768,Oil Spill,32792,268,00 00 00 00 00 00 00 00 00 00 00 00 18 80 0c 01
25,800,Oil Spill,32793,268,00 00 00 00 00 00 00 00 00 00 00 00 19 80 0c 01
26,832,Siege Bat,32794,268,00 00 00 00 00 00 00 00 00 00 00 00 1a 80 0c 01
27,864,Wingrats,32795,268,00 00 00 00 00 00 00 00 00 00 00 00 1b 80 0c 01
28,896,Wingrats,32796,268,00 00 00 00 00 00 00 00 00 00 00 00 1c 80 0c 01
29,928,Siege Bat,32797,268,00 00 00 00 00 00 00 00 00 00 00 00 1d 80 0c 01
30,960,Wingrats,32798,268,00 00 00 00 00 00 00 00 00 00 00 00 1e 80 0c 01
31,992,Wingrats,32799,268,00 00 00 00 00 00 00 00 00 00 00 00 1f 80 0c 01
32,1024,Wingrats,32800,268,00 00 00 00 00 00 00 00 00 00 00 00 20 80 0c 01
33,1056,Wingrats,32801,268,00 00 00 00 00 00 00 00 00 00 00 00 21 80 0c 01
34,1088,Fallen Evacuee,32802,268,00 00 00 00 00 00 00 00 00 00 00 00 22 80 0c 01
35,1120,Fallen Evacuee,32803,268,00 00 00 00 00 00 00 00 00 00 00 00 23 80 0c 01
36,1152,Siege Bat,32804,268,00 00 00 00 00 00 00 00 00 00 00 00 24 80 0c 01
37,1184,Puroboros,32805,268,00 00 00 00 00 00 00 00 00 00 00 00 25 80 0c 01
38,1216,Clockwork Pod,32806,268,00 00 00 00 00 00 00 00 00 00 00 00 26 80 0c 01
39,1248,Clockwork Pod,32807,268,00 00 00 00 00 00 00 00 00 00 00 00 27 80 0c 01
40,1280,Borer Beetle,32808,268,00 00 00 00 00 00 00 00 00 00 00 00 28 80 0c 01
41,1312,Siege Bat,32809,268,00 00 00 00 00 00 00 00 00 00 00 00 29 80 0c 01
42,1344,Siege Bat,32810,268,00 00 00 00 00 00 00 00 00 00 00 00 2a 80 0c 01
43,1376,Borer Beetle,32811,268,00 00 00 00 00 00 00 00 00 00 00 00 2b 80 0c 01
44,1408,Siege Bat,32812,268,00 00 00 00 00 00 00 00 00 00 00 00 2c 80 0c 01
45,1440,Siege Bat,32813,268,00 00 00 00 00 00 00 00 00 00 00 00 2d 80 0c 01
46,1472,Revenant,32814,268,00 00 00 00 00 00 00 00 00 00 00 00 2e 80 0c 01
47,1504,Revenant,32815,268,00 00 00 00 00 00 00 00 00 00 00 00 2f 80 0c 01
48,1536,Borer Beetle,32816,268,00 00 00 00 00 00 00 00 00 00 00 00 30 80 0c 01
49,1568,Siege Bat,32817,268,00 00 00 00 00 00 00 00 00 00 00 00 31 80 0c 01
50,1600,Siege Bat,32818,268,00 00 00 00 00 00 00 00 00 00 00 00 32 80 0c 01
51,1632,Borer Beetle,32819,268,00 00 00 00 00 00 00 00 00 00 00 00 33 80 0c 01
52,1664,Siege Bat,32820,268,00 00 00 00 00 00 00 00 00 00 00 00 34 80 0c 01
53,1696,Siege Bat,32821,268,00 00 00 00 00 00 00 00 00 00 00 00 35 80 0c 01
54,1728,Citadel Bats,32822,268,00 00 00 00 00 00 00 00 00 00 00 00 36 80 0c 01
55,1760,Citadel Bats,32823,268,00 00 00 00 00 00 00 00 00 00 00 00 37 80 0c 01
56,1792,Citadel Bats,32824,268,00 00 00 00 00 00 00 00 00 00 00 00 38 80 0c 01
57,1824,Citadel Bats,32825,268,00 00 00 00 00 00 00 00 00 00 00 00 39 80 0c 01
58,1856,Citadel Bats,32826,268,00 00 00 00 00 00 00 00 00 00 00 00 3a 80 0c 01
59,1888,Demonic Weapon,32827,268,00 00 00 00 00 00 00 00 00 00 00 00 3b 80 0c 01
60,1920,Demonic Weapon,32828,268,00 00 00 00 00 00 00 00 00 00 00 00 3c 80 0c 01
61,1952,Fallen Soldier,32829,268,00 00 00 00 00 00 00 00 00 00 00 00 3d 80 0c 01
62,1984,Fallen Soldier,32830,268,00 00 00 00 00 00 00 00 00 00 00 00 3e 80 0c 01
63,2016,Fallen Soldier,32831,268,00 00 00 00 00 00 00 00 00 00 00 00 3f 80 0c 01
64,2048,Fallen Soldier,32832,268,00 00 00 00 00 00 00 00 00 00 00 00 40 80 0c 01
65,2080,Bhuta,32833,268,00 00 00 00 00 00 00 00 00 00 00 00 41 80 0c 01
66,2112,Citadel Bats,32834,268,00 00 00 00 00 00 00 00 00 00 00 00 42 80 0c 01
67,2144,Citadel Bats,32835,268,00 00 00 00 00 00 00 00 00 00 00 00 43 80 0c 01
68,2176,Citadel Bats,32836,268,00 00 00 00 00 00 00 00 00 00 00 00 44 80 0c 01
69,2208,Bhuta,32837,268,00 00 00 00 00 00 00 00 00 00 00 00 45 80 0c 01
70,2240,Demonic Weapon,32838,268,00 00 00 00 00 00 00 00 00 00 00 00 46 80 0c 01
71,2272,Demonic Weapon,32839,268,00 00 00 00 00 00 00 00 00 00 00 00 47 80 0c 01
72,2304,Citadel Bats,32840,268,00 00 00 00 00 00 00 00 00 00 00 00 48 80 0c 01
73,2336,Citadel Bats,32841,268,00 00 00 00 00 00 00 00 00 00 00 00 49 80 0c 01
74,2368,Citadel Bats,32842,268,00 00 00 00 00 00 00 00 00 00 00 00 4a 80 0c 01
75,2400,Bhuta,32843,268,00 00 00 00 00 00 00 00 00 00 00 00 4b 80 0c 01
76,2432,Demonic Weapon,32844,268,00 00 00 00 00 00 00 00 00 00 00 00 4c 80 0c 01
77,2464,Demonic Weapon,32845,268,00 00 00 00 00 00 00 00 00 00 00 00 4d 80 0c 01
78,2496,Citadel Bats,32846,268,00 00 00 00 00 00 00 00 00 00 00 00 4e 80 0c 01
79,2528,Citadel Bats,32847,268,00 00 00 00 00 00 00 00 00 00 00 00 4f 80 0c 01
80,2560,Citadel Bats,32848,268,00 00 00 00 00 00 00 00 00 00 00 00 50 80 0c 01
81,2592,Citadel Bats,32849,268,00 00 00 00 00 00 00 00 00 00 00 00 51 80 0c 01
82,2624,Citadel Bats,32850,268,00 00 00 00 00 00 00 00 00 00 00 00 52 80 0c 01
83,2656,Demonic Weapon,32851,268,00 00 00 00 00 00 00 00 00 00 00 00 53 80 0c 01
84,2688,Demonic Weapon,32852,268,00 00 00 00 00 00 00 00 00 00 00 00 54 80 0c 01
85,2720,Fallen Soldier,32853,268,00 00 00 00 00 00 00 00 00 00 00 00 55 80 0c 01
86,2752,Fallen Soldier,32854,268,00 00 00 00 00 00 00 00 00 00 00 00 56 80 0c 01
87,2784,Fallen Soldier,32855,268,00 00 00 00 00 00 00 00 00 00 00 00 57 80 0c 01
88,2816,Fallen Soldier,32856,268,00 00 00 00 00 00 00 00 00 00 00 00 58 80 0c 01
89,2848,Bhuta,32857,268,00 00 00 00 00 00 00 00 00 00 00 00 59 80 0c 01
90,2880,Old Two-Wings,32858,268,00 00 00 00 00 00 00 00 00 00 00 00 5a 80 0c 01
91,2912,Skewer Sam,32859,268,00 00 00 00 00 00 00 00 00 00 00 00 5b 80 0c 01
92,2944,Funnel Bats,32860,268,00 00 00 00 00 00 00 00 00 00 00 00 5c 80 0c 01
93,2976,Funnel Bats,32861,268,00 00 00 00 00 00 00 00 00 00 00 00 5d 80 0c 01
94,3008,Fetid Flesh,32862,268,00 00 00 00 00 00 00 00 00 00 00 00 5e 80 0c 01
95,3040,Funnel Bats,32863,268,00 00 00 00 00 00 00 00 00 00 00 00 5f 80 0c 01
96,3072,Funnel Bats,32864,268,00 00 00 00 00 00 00 00 00 00 00 00 60 80 0c 01
97,3104,Funnel Bats,32865,268,00 00 00 00 00 00 00 00 00 00 00 00 61 80 0c 01
98,3136,Funnel Bats,32866,268,00 00 00 00 00 00 00 00 00 00 00 00 62 80 0c 01
99,3168,Explosure,32867,268,00 00 00 00 00 00 00 00 00 00 00 00 63 80 0c 01
100,3200,Explosure,32868,268,00 00 00 00 00 00 00 00 00 00 00 00 64 80 0c 01
101,3232,Explosure,32869,268,00 00 00 00 00 00 00 00 00 00 00 00 65 80 0c 01
102,3264,Thunder Elementa,32870,268,6c 00 00 00 00 00 00 00 00 00 00 00 66 80 0c 01
103,3296,Earth Elemental,32871,268,00 00 00 00 00 00 00 00 00 00 00 00 67 80 0c 01
104,3328,Hazmat,32872,268,00 00 00 00 00 00 00 00 00 00 00 00 68 80 0c 01
105,3360,Droma,32873,268,00 00 00 00 00 00 00 00 00 00 00 00 69 80 0c 01
106,3392,Droma,32874,268,00 00 00 00 00 00 00 00 00 00 00 00 6a 80 0c 01
107,3424,Explosure,32875,268,00 00 00 00 00 00 00 00 00 00 00 00 6b 80 0c 01
108,3456,Explosure,32876,268,00 00 00 00 00 00 00 00 00 00 00 00 6c 80 0c 01
109,3488,Explosure,32877,268,00 00 00 00 00 00 00 00 00 00 00 00 6d 80 0c 01
110,3520,Thunder Elementa,32878,268,6c 00 00 00 00 00 00 00 00 00 00 00 6e 80 0c 01
111,3552,Earth Elemental,32879,268,00 00 00 00 00 00 00 00 00 00 00 00 6f 80 0c 01
112,3584,Droma,32880,268,00 00 00 00 00 00 00 00 00 00 00 00 70 80 0c 01
113,3616,Fallen Officer,32881,268,00 00 00 00 00 00 00 00 00 00 00 00 71 80 0c 01
114,3648,Fallen Officer,32882,268,00 00 00 00 00 00 00 00 00 00 00 00 72 80 0c 01
115,3680,Fallen Officer,32883,268,00 00 00 00 00 00 00 00 00 00 00 00 73 80 0c 01
116,3712,Fallen Officer,32884,268,00 00 00 00 00 00 00 00 00 00 00 00 74 80 0c 01
117,3744,Chandelier,32885,268,00 00 00 00 00 00 00 00 00 00 00 00 75 80 0c 01
118,3776,Funnel Bats,32886,268,00 00 00 00 00 00 00 00 00 00 00 00 76 80 0c 01
119,3808,Funnel Bats,32887,268,00 00 00 00 00 00 00 00 00 00 00 00 77 80 0c 01
120,3840,Fetid Flesh,32888,268,00 00 00 00 00 00 00 00 00 00 00 00 78 80 0c 01
