index,offset,name,record_id,record_tag,raw_tail_hex
0,0,none,0,0,00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
1,32,Ramuh Prime,40961,268,00 00 00 00 00 00 00 00 00 00 00 00 01 a0 0c 01
2,64,Ramuh Prime,40962,268,00 00 00 00 00 00 00 00 00 00 00 00 02 a0 0c 01
3,96,Ramuh Prime,40963,268,00 00 00 00 00 00 00 00 00 00 00 00 03 a0 0c 01
4,128,Lightning Gremli,40964,268,6e 00 00 00 00 00 00 00 00 00 00 00 04 a0 0c 01
5,160,Thunder Gremlin,40965,268,00 00 00 00 00 00 00 00 00 00 00 00 05 a0 0c 01
6,192,Lightning Gremli,40966,268,6e 00 00 00 00 00 00 00 00 00 00 00 06 a0 0c 01
7,224,Thunder Gremlin,40967,268,00 00 00 00 00 00 00 00 00 00 00 00 07 a0 0c 01
8,256,Lightning Gremli,40968,268,6e 00 00 00 00 00 00 00 00 00 00 00 08 a0 0c 01
9,288,Thunder Gremlin,40969,268,00 00 00 00 00 00 00 00 00 00 00 00 09 a0 0c 01
10,320,Ramuh Prime,40970,268,00 00 00 00 00 00 00 00 00 00 00 00 0a a0 0c 01
11,352,Ramuh Prime,40971,268,00 00 00 00 00 00 00 00 00 00 00 00 0b a0 0c 01
12,384,Ramuh Prime,40972,268,00 00 00 00 00 00 00 00 00 00 00 00 0c a0 0c 01
13,416,Ramuh Prime,40973,268,00 00 00 00 00 00 00 00 00 00 00 00 0d a0 0c 01
14,448,Thunder Elementa,40974,268,6c 00 00 00 00 00 00 00 00 00 00 00 0e a0 0c 01
15,480,Thunder Elementa,40975,268,6c 00 00 00 00 00 00 00 00 00 00 00 0f a0 0c 01
16,512,Thunder Elementa,40976,268,6c 00 00 00 00 00 00 00 00 00 00 00 10 a0 0c 01
17,544,Thunder Elementa,40977,268,6c 00 00 00 00 00 00 00 00 00 00 00 11 a0 0c 01
18,576,Ramuh Prime,40978,268,00 00 00 00 00 00 00 00 00 00 00 00 12 a0 0c 01
19,608,Thunder Elementa,40979,268,6c 00 00 00 00 00 00 00 00 00 00 00 13 a0 0c 01
20,640,Thunder Elementa,40980,268,6c 00 00 00 00 00 00 00 00 00 00 00 14 a0 0c 01
21,672,Thunder Elementa,40981,268,6c 00 00 00 00 00 00 00 00 00 00 00 15 a0 0c 01
22,704,Thunder Elementa,40982,268,6c 00 00 00 00 00 00 00 00 00 00 00 16 a0 0c 01
23,736,Ramuh Prime,40983,268,00 00 00 00 00 00 00 00 00 00 00 00 17 a0 0c 01
24,768,Thunder Elementa,40984,268,6c 00 00 00 00 00 00 00 00 00 00 00 18 a0 0c 01
25,800,Thunder Elementa,40985,268,6c 00 00 00 00 00 00 00 00 00 00 00 19 a0 0c 01
26,832,Thunder Elementa,40986,268,6c 00 00 00 00 00 00 00 00 00 00 00 1a a0 0c 01
27,864,Thunder Elementa,40987,268,6c 00 00 00 00 00 00 00 00 00 00 00 1b a0 0c 01
28,896,Ramuh Prime,40988,268,00 00 00 00 00 00 00 00 00 00 00 00 1c a0 0c 01
29,928,Ramuh Prime,40989,268,00 00 00 00 00 00 00 00 00 00 00 00 1d a0 0c 01
30,960,Ramuh Prime,40990,268,00 00 00 00 00 00 00 00 00 00 00 00 1e a0 0c 01
31,992,Ramuh Prime,40991,268,00 00 00 00 00 00 00 00 00 00 00 00 1f a0 0c 01
32,1024,Ramuh Prime,40992,268,00 00 00 00 00 00 00 00 00 00 00 00 20 a0 0c 01
33,1056,Ramuh Prime,40993,268,00 00 00 00 00 00 00 00 00 00 00 00 21 a0 0c 01
34,1088,Ramuh Prime,40994,268,00 00 00 00 00 00 00 00 00 00 00 00 22 a0 0c 01
35,1120,Ramuh Prime,40995,268,00 00 00 00 00 00 00 00 00 00 00 00 23 a0 0c 01
36,1152,Ramuh Prime,40996,268,00 00 00 00 00 00 00 00 00 00 00 00 24 a0 0c 01
37,1184,Ramuh Prime,40997,268,00 00 00 00 00 00 00 00 00 00 00 00 25 a0 0c 01
38,1216,Ramuh Prime,40998,268,00 00 00 00 00 00 00 00 00 00 00 00 26 a0 0c 01
39,1248,Ramuh Prime,40999,268,00 00 00 00 00 00 00 00 00 00 00 00 27 a0 0c 01
40,1280,Ramuh Prime,41000,268,00 00 00 00 00 00 00 00 00 00 00 00 28 a0 0c 01
41,1312,Ramuh Prime,41001,268,00 00 00 00 00 00 00 00 00 00 00 00 29 a0 0c 01
42,1344,Ramuh Prime,41002,268,00 00 00 00 00 00 00 00 00 00 00 00 2a a0 0c 01
43,1376,Ramuh Prime,41003,268,00 00 00 00 00 00 00 00 00 00 00 00 2b a0 0c 01
44,1408,Ramuh Prime,41004,268,00 00 00 00 00 00 00 00 00 00 00 00 2c a0 0c 01
45,1440,Ramuh Prime,41005,268,00 00 00 00 00 00 00 00 00 00 00 00 2d a0 0c 01
46,1472,Achieve Master,41006,268,00 00 00 00 00 00 00 00 00 00 00 00 2e a0 0c 01
47,1504,Unity Master,41008,268,00 00 00 00 00 00 00 00 00 00 00 00 30 a0 0c 01
48,1536,Lightning Protoc,41013,268,72 79 73 74 61 6c 00 00 00 00 00 00 35 a0 0c 01
49,1568,Lightning Protoc,41014,268,72 79 73 74 61 6c 00 00 00 00 00 00 36 a0 0c 01
50,1600,Lightning Protoc,41015,268,72 79 73 74 61 6c 00 00 00 00 00 00 37 a0 0c 01
51,1632,Lightning Protoc,41016,268,72 79 73 74 61 6c 00 00 00 00 00 00 38 a0 0c 01
52,1664,Ramuh,41021,268,00 00 00 00 00 00 00 00 00 00 00 00 3d a0 0c 01
53,1696,,41022,268,00 00 00 00 00 00 00 00 00 00 00 00 3e a0 0c 01
54,1728,Moogle,41024,268,00 00 00 00 00 00 00 00 00 00 00 00 40 a0 0c 01
55,1760,Moogle,41025,268,00 00 00 00 00 00 00 00 00 00 00 00 41 a0 0c 01
56,1792,Moogle,41026,268,00 00 00 00 00 00 00 00 00 00 00 00 42 a0 0c 01
57,1824,Moogle,41027,268,00 00 00 00 00 00 00 00 00 00 00 00 43 a0 0c 01
58,1856,Moogle,41028,268,00 00 00 00 00 00 00 00 00 00 00 00 44 a0 0c 01
59,1888,Moogle,41029,268,00 00 00 00 00 00 00 00 00 00 00 00 45 a0 0c 01
60,1920,Moogle,41030,268,00 00 00 00 00 00 00 00 00 00 00 00 46 a0 0c 01
61,1952,Moogle,41031,268,00 00 00 00 00 00 00 00 00 00 00 00 47 a0 0c 01
62,1984,Ildy-Goldy,41032,268,00 00 00 00 00 00 00 00 00 00 00 00 48 a0 0c 01
63,2016,Uran-Mafran,41033,268,00 00 00 00 00 00 00 00 00 00 00 00 49 a0 0c 01
64,2048,Talking Doll,41034,268,00 00 00 00 00 00 00 00 00 00 00 00 4a a0 0c 01
65,2080,Carbuncle,41035,268,00 00 00 00 00 00 00 00 00 00 00 00 4b a0 0c 01
66,2112,Ramblix,41036,268,00 00 00 00 00 00 00 00 00 00 00 00 4c a0 0c 01
67,2144,Goblin Footprint,41037,268,00 00 00 00 00 00 00 00 00 00 00 00 4d a0 0c 01
68,2176,,41038,268,00 00 00 00 00 00 00 00 00 00 00 00 4e a0 0c 01
69,2208,???,41039,268,00 00 00 00 00 00 00 00 00 00 00 00 4f a0 0c 01
70,2240,,41040,268,00 00 00 00 00 00 00 00 00 00 00 00 50 a0 0c 01
71,2272,???,41041,268,00 00 00 00 00 00 00 00 00 00 00 00 51 a0 0c 01
