index,offset,name,record_id,record_tag,raw_tail_hex
0,0,none,0,0,00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
1,32,Shiva Prime,45057,268,00 00 00 00 00 00 00 00 00 00 00 00 01 b0 0c 01
2,64,Shiva Prime,45058,268,00 00 00 00 00 00 00 00 00 00 00 00 02 b0 0c 01
3,96,Shiva Prime,45059,268,00 00 00 00 00 00 00 00 00 00 00 00 03 b0 0c 01
4,128,Dryad,45060,268,00 00 00 00 00 00 00 00 00 00 00 00 04 b0 0c 01
5,160,Dryad,45061,268,00 00 00 00 00 00 00 00 00 00 00 00 05 b0 0c 01
6,192,Dryad,45062,268,00 00 00 00 00 00 00 00 00 00 00 00 06 b0 0c 01
7,224,Dryad,45063,268,00 00 00 00 00 00 00 00 00 00 00 00 07 b0 0c 01
8,256,Dryad,45064,268,00 00 00 00 00 00 00 00 00 00 00 00 08 b0 0c 01
9,288,Dryad,45065,268,00 00 00 00 00 00 00 00 00 00 00 00 09 b0 0c 01
10,320,Dryad,45066,268,00 00 00 00 00 00 00 00 00 00 00 00 0a b0 0c 01
11,352,Dryad,45067,268,00 00 00 00 00 00 00 00 00 00 00 00 0b b0 0c 01
12,384,Dryad,45068,268,00 00 00 00 00 00 00 00 00 00 00 00 0c b0 0c 01
13,416,Dryad,45069,268,00 00 00 00 00 00 00 00 00 00 00 00 0d b0 0c 01
14,448,Dryad,45070,268,00 00 00 00 00 00 00 00 00 00 00 00 0e b0 0c 01
15,480,Dryad,45071,268,00 00 00 00 00 00 00 00 00 00 00 00 0f b0 0c 01
16,512,Dryad,45072,268,00 00 00 00 00 00 00 00 00 00 00 00 10 b0 0c 01
17,544,Dryad,45073,268,00 00 00 00 00 00 00 00 00 00 00 00 11 b0 0c 01
18,576,Dryad,45074,268,00 00 00 00 00 00 00 00 00 00 00 00 12 b0 0c 01
19,608,Dryad,45075,268,00 00 00 00 00 00 00 00 00 00 00 00 13 b0 0c 01
20,640,Dryad,45076,268,00 00 00 00 00 00 00 00 00 00 00 00 14 b0 0c 01
21,672,Dryad,45077,268,00 00 00 00 00 00 00 00 00 00 00 00 15 b0 0c 01
22,704,Shiva Prime,45078,268,00 00 00 00 00 00 00 00 00 00 00 00 16 b0 0c 01
23,736,Shiva Prime,45079,268,00 00 00 00 00 00 00 00 00 00 00 00 17 b0 0c 01
24,768,Shiva Prime,45080,268,00 00 00 00 00 00 00 00 00 00 00 00 18 b0 0c 01
25,800,Shiva Prime,45081,268,00 00 00 00 00 00 00 00 00 00 00 00 19 b0 0c 01
26,832,Ice Elemental,45082,268,00 00 00 00 00 00 00 00 00 00 00 00 1a b0 0c 01
27,864,Ice Elemental,45083,268,00 00 00 00 00 00 00 00 00 00 00 00 1b b0 0c 01
28,896,Ice Elemental,45084,268,00 00 00 00 00 00 00 00 00 00 00 00 1c b0 0c 01
29,928,Ice Elemental,45085,268,00 00 00 00 00 00 00 00 00 00 00 00 1d b0 0c 01
30,960,Shiva Prime,45086,268,00 00 00 00 00 00 00 00 00 00 00 00 1e b0 0c 01
31,992,Ice Elemental,45087,268,00 00 00 00 00 00 00 00 00 00 00 00 1f b0 0c 01
32,1024,Ice Elemental,45088,268,00 00 00 00 00 00 00 00 00 00 00 00 20 b0 0c 01
33,1056,Ice Elemental,45089,268,00 00 00 00 00 00 00 00 00 00 00 00 21 b0 0c 01
34,1088,Ice Elemental,45090,268,00 00 00 00 00 00 00 00 00 00 00 00 22 b0 0c 01
35,1120,Shiva Prime,45091,268,00 00 00 00 00 00 00 00 00 00 00 00 23 b0 0c 01
36,1152,Ice Elemental,45092,268,00 00 00 00 00 00 00 00 00 00 00 00 24 b0 0c 01
37,1184,Ice Elemental,45093,268,00 00 00 00 00 00 00 00 00 00 00 00 25 b0 0c 01
38,1216,Ice Elemental,45094,268,00 00 00 00 00 00 00 00 00 00 00 00 26 b0 0c 01
39,1248,Ice Elemental,45095,268,00 00 00 00 00 00 00 00 00 00 00 00 27 b0 0c 01
40,1280,Shiva Prime,45096,268,00 00 00 00 00 00 00 00 00 00 00 00 28 b0 0c 01
41,1312,Shiva Prime,45097,268,00 00 00 00 00 00 00 00 00 00 00 00 29 b0 0c 01
42,1344,Shiva Prime,45098,268,00 00 00 00 00 00 00 00 00 00 00 00 2a b0 0c 01
43,1376,Shiva Prime,45099,268,00 00 00 00 00 00 00 00 00 00 00 00 2b b0 0c 01
44,1408,Shiva Prime,45100,268,00 00 00 00 00 00 00 00 00 00 00 00 2c b0 0c 01
45,1440,Shiva Prime,45101,268,00 00 00 00 00 00 00 00 00 00 00 00 2d b0 0c 01
46,1472,Shiva Prime,45102,268,00 00 00 00 00 00 00 00 00 00 00 00 2e b0 0c 01
47,1504,Shiva Prime,45103,268,00 00 00 00 00 00 00 00 00 00 00 00 2f b0 0c 01
48,1536,Shiva Prime,45104,268,00 00 00 00 00 00 00 00 00 00 00 00 30 b0 0c 01
49,1568,Shiva Prime,45105,268,00 00 00 00 00 00 00 00 00 00 00 00 31 b0 0c 01
50,1600,Shiva Prime,45106,268,00 00 00 00 00 00 00 00 00 00 00 00 32 b0 0c 01
51,1632,Shiva Prime,45107,268,00 00 00 00 00 00 00 00 00 00 00 00 33 b0 0c 01
52,1664,Shiva Prime,45108,268,00 00 00 00 00 00 00 00 00 00 00 00 34 b0 0c 01
53,1696,Shiva Prime,45109,268,00 00 00 00 00 00 00 00 00 00 00 00 35 b0 0c 01
54,1728,Shiva Prime,45110,268,00 00 00 00 00 00 00 00 00 00 00 00 36 b0 0c 01
55,1760,Shiva Prime,45111,268,00 00 00 00 00 00 00 00 00 00 00 00 37 b0 0c 01
56,1792,Shiva Prime,45112,268,00 00 00 00 00 00 00 00 00 00 00 00 38 b0 0c 01
57,1824,Shiva Prime,45113,268,00 00 00 00 00 00 00 00 00 00 00 00 39 b0 0c 01
58,1856,Achieve Master,45114,268,00 00 00 00 00 00 00 00 00 00 00 00 3a b0 0c 01
59,1888,Unity Master,45116,268,00 00 00 00 00 00 00 00 00 00 00 00 3c b0 0c 01
60,1920,Ice Protocrystal,45121,268,00 00 00 00 00 00 00 00 00 00 00 00 41 b0 0c 01
61,1952,Ice Protocrystal,45122,268,00 00 00 00 00 00 00 00 00 00 00 00 42 b0 0c 01
62,1984,Ice Protocrystal,45123,268,00 00 00 00 00 00 00 00 00 00 00 00 43 b0 0c 01
63,2016,Ice Protocrystal,45124,268,00 00 00 00 00 00 00 00 00 00 00 00 44 b0 0c 01
64,2048,Shiva,45129,268,00 00 00 00 00 00 00 00 00 00 00 00 49 b0 0c 01
65,2080,,45130,268,00 00 00 00 00 00 00 00 00 00 00 00 4a b0 0c 01
66,2112,Moogle,45132,268,00 00 00 00 00 00 00 00 00 00 00 00 4c b0 0c 01
67,2144,Moogle,45133,268,00 00 00 00 00 00 00 00 00 00 00 00 4d b0 0c 01
68,2176,Moogle,45134,268,00 00 00 00 00 00 00 00 00 00 00 00 4e b0 0c 01
69,2208,Moogle,45135,268,00 00 00 00 00 00 00 00 00 00 00 00 4f b0 0c 01
70,2240,Moogle,45136,268,00 00 00 00 00 00 00 00 00 00 00 00 50 b0 0c 01
71,2272,Moogle,45137,268,00 00 00 00 00 00 00 00 00 00 00 00 51 b0 0c 01
