npc_index,name,record_id,record_tag,event_ref_count,event_ref_offset,position_offset,x,y,z,confidence,raw_x,raw_y,raw_z,raw_values
285,Treasure Casket,53534,268,1,98236,98316,115.19,0.15,114.95,30,11519,15,11495,11519 11495 15 16 31 11494 11496 11501
286,Treasure Casket,53535,268,1,100044,100124,115.19,0.15,114.95,30,11519,15,11495,11519 11495 15 16 31 11494 11496 11501
287,Treasure Casket,53536,268,1,101852,101932,115.19,0.15,114.95,30,11519,15,11495,11519 11495 15 16 31 11494 11496 11501
288,Treasure Casket,53537,268,1,103660,103740,115.19,0.15,114.95,30,11519,15,11495,11519 11495 15 16 31 11494 11496 11501
289,Treasure Casket,53538,268,1,105468,105548,115.19,0.15,114.95,30,11519,15,11495,11519 11495 15 16 31 11494 11496 11501
290,Treasure Casket,53539,268,1,107276,107356,115.19,0.15,114.95,30,11519,15,11495,11519 11495 15 16 31 11494 11496 11501
291,Treasure Casket,53540,268,1,109084,109164,115.19,0.15,114.95,30,11519,15,11495,11519 11495 15 16 31 11494 11496 11501
292,Treasure Casket,53541,268,1,110892,110972,115.19,0.15,114.95,30,11519,15,11495,11519 11495 15 16 31 11494 11496 11501
293,Treasure Casket,53542,268,1,112700,112780,115.19,0.15,114.95,30,11519,15,11495,11519 11495 15 16 31 11494 11496 11501
294,Treasure Casket,53543,268,1,114508,114588,115.19,0.15,114.95,30,11519,15,11495,11519 11495 15 16 31 11494 11496 11501
295,Treasure Casket,53544,268,1,116316,116396,115.19,0.15,114.95,30,11519,15,11495,11519 11495 15 16 31 11494 11496 11501
296,Treasure Casket,53545,268,1,118124,118204,115.19,0.15,114.95,30,11519,15,11495,11519 11495 15 16 31 11494 11496 11501
297,Treasure Casket,53546,268,1,119932,120012,115.19,0.15,114.95,30,11519,15,11495,11519 11495 15 16 31 11494 11496 11501
298,Treasure Casket,53547,268,1,121740,121820,115.19,0.15,114.95,30,11519,15,11495,11519 11495 15 16 31 11494 11496 11501
299,Treasure Casket,53548,268,1,123548,123628,115.19,0.15,114.95,30,11519,15,11495,11519 11495 15 16 31 11494 11496 11501
300,Treasure Casket,53549,268,1,125356,125436,115.19,0.15,114.95,30,11519,15,11495,11519 11495 15 16 31 11494 11496 11501
