index,offset,name,record_id,record_tag,raw_tail_hex
0,0,none,0,0,00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
1,32,Archlich Taber'q,57345,268,75 6f 61 6e 00 00 00 00 00 00 00 00 01 e0 0c 01
2,64,Ancient Sorcerer,57346,268,00 00 00 00 00 00 00 00 00 00 00 00 02 e0 0c 01
3,96,Ancient Sorcerer,57347,268,00 00 00 00 00 00 00 00 00 00 00 00 03 e0 0c 01
4,128,Ancient Warrior,57348,268,00 00 00 00 00 00 00 00 00 00 00 00 04 e0 0c 01
5,160,Ancient Warrior,57349,268,00 00 00 00 00 00 00 00 00 00 00 00 05 e0 0c 01
6,192,Ancient Warrior,57350,268,00 00 00 00 00 00 00 00 00 00 00 00 06 e0 0c 01
7,224,Ancient Warrior,57351,268,00 00 00 00 00 00 00 00 00 00 00 00 07 e0 0c 01
8,256,Archlich Taber'q,57352,268,75 6f 61 6e 00 00 00 00 00 00 00 00 08 e0 0c 01
9,288,Ancient Sorcerer,57353,268,00 00 00 00 00 00 00 00 00 00 00 00 09 e0 0c 01
10,320,Ancient Sorcerer,57354,268,00 00 00 00 00 00 00 00 00 00 00 00 0a e0 0c 01
11,352,Ancient Warrior,57355,268,00 00 00 00 00 00 00 00 00 00 00 00 0b e0 0c 01
12,384,Ancient Warrior,57356,268,00 00 00 00 00 00 00 00 00 00 00 00 0c e0 0c 01
13,416,Ancient Warrior,57357,268,00 00 00 00 00 00 00 00 00 00 00 00 0d e0 0c 01
14,448,Ancient Warrior,57358,268,00 00 00 00 00 00 00 00 00 00 00 00 0e e0 0c 01
15,480,Archlich Taber'q,57359,268,75 6f 61 6e 00 00 00 00 00 00 00 00 0f e0 0c 01
16,512,Ancient Sorcerer,57360,268,00 00 00 00 00 00 00 00 00 00 00 00 10 e0 0c 01
17,544,Ancient Sorcerer,57361,268,00 00 00 00 00 00 00 00 00 00 00 00 11 e0 0c 01
18,576,Ancient Warrior,57362,268,00 00 00 00 00 00 00 00 00 00 00 00 12 e0 0c 01
19,608,Ancient Warrior,57363,268,00 00 00 00 00 00 00 00 00 00 00 00 13 e0 0c 01
20,640,Ancient Warrior,57364,268,00 00 00 00 00 00 00 00 00 00 00 00 14 e0 0c 01
21,672,Ancient Warrior,57365,268,00 00 00 00 00 00 00 00 00 00 00 00 15 e0 0c 01
22,704,Warlord Rojgnoj,57366,268,00 00 00 00 00 00 00 00 00 00 00 00 16 e0 0c 01
23,736,Rojgnoj's Left H,57367,268,61 6e 64 00 00 00 00 00 00 00 00 00 17 e0 0c 01
24,768,Rojgnoj's Right,57368,268,48 61 6e 64 00 00 00 00 00 00 00 00 18 e0 0c 01
25,800,Yukvok of Clan D,57369,268,65 61 74 68 00 00 00 00 00 00 00 00 19 e0 0c 01
26,832,Vangknok of Clan,57370,268,20 44 65 61 74 68 00 00 00 00 00 00 1a e0 0c 01
27,864,Vangknok of Clan,57371,268,20 44 65 61 74 68 00 00 00 00 00 00 1b e0 0c 01
28,896,Vangknok of Clan,57372,268,20 44 65 61 74 68 00 00 00 00 00 00 1c e0 0c 01
29,928,Rallbrog of Clan,57373,268,20 44 65 61 74 68 00 00 00 00 00 00 1d e0 0c 01
30,960,Rallbrog of Clan,57374,268,20 44 65 61 74 68 00 00 00 00 00 00 1e e0 0c 01
31,992,Rallbrog of Clan,57375,268,20 44 65 61 74 68 00 00 00 00 00 00 1f e0 0c 01
32,1024,Worgbut of Clan,57376,268,44 65 61 74 68 00 00 00 00 00 00 00 20 e0 0c 01
33,1056,Worgbut of Clan,57377,268,44 65 61 74 68 00 00 00 00 00 00 00 21 e0 0c 01
34,1088,Worgbut of Clan,57378,268,44 65 61 74 68 00 00 00 00 00 00 00 22 e0 0c 01
35,1120,Death Clan Destr,57379,268,6f 79 65 72 00 00 00 00 00 00 00 00 23 e0 0c 01
36,1152,Warlord Rojgnoj,57380,268,00 00 00 00 00 00 00 00 00 00 00 00 24 e0 0c 01
37,1184,Rojgnoj's Left H,57381,268,61 6e 64 00 00 00 00 00 00 00 00 00 25 e0 0c 01
38,1216,Rojgnoj's Right,57382,268,48 61 6e 64 00 00 00 00 00 00 00 00 26 e0 0c 01
39,1248,Yukvok of Clan D,57383,268,65 61 74 68 00 00 00 00 00 00 00 00 27 e0 0c 01
40,1280,Vangknok of Clan,57384,268,20 44 65 61 74 68 00 00 00 00 00 00 28 e0 0c 01
41,1312,Vangknok of Clan,57385,268,20 44 65 61 74 68 00 00 00 00 00 00 29 e0 0c 01
42,1344,Vangknok of Clan,57386,268,20 44 65 61 74 68 00 00 00 00 00 00 2a e0 0c 01
43,1376,Rallbrog of Clan,57387,268,20 44 65 61 74 68 00 00 00 00 00 00 2b e0 0c 01
44,1408,Rallbrog of Clan,57388,268,20 44 65 61 74 68 00 00 00 00 00 00 2c e0 0c 01
45,1440,Rallbrog of Clan,57389,268,20 44 65 61 74 68 00 00 00 00 00 00 2d e0 0c 01
46,1472,Worgbut of Clan,57390,268,44 65 61 74 68 00 00 00 00 00 00 00 2e e0 0c 01
47,1504,Worgbut of Clan,57391,268,44 65 61 74 68 00 00 00 00 00 00 00 2f e0 0c 01
48,1536,Worgbut of Clan,57392,268,44 65 61 74 68 00 00 00 00 00 00 00 30 e0 0c 01
49,1568,Death Clan Destr,57393,268,6f 79 65 72 00 00 00 00 00 00 00 00 31 e0 0c 01
50,1600,Warlord Rojgnoj,57394,268,00 00 00 00 00 00 00 00 00 00 00 00 32 e0 0c 01
51,1632,Rojgnoj's Left H,57395,268,61 6e 64 00 00 00 00 00 00 00 00 00 33 e0 0c 01
52,1664,Rojgnoj's Right,57396,268,48 61 6e 64 00 00 00 00 00 00 00 00 34 e0 0c 01
53,1696,Yukvok of Clan D,57397,268,65 61 74 68 00 00 00 00 00 00 00 00 35 e0 0c 01
54,1728,Vangknok of Clan,57398,268,20 44 65 61 74 68 00 00 00 00 00 00 36 e0 0c 01
55,1760,Vangknok of Clan,57399,268,20 44 65 61 74 68 00 00 00 00 00 00 37 e0 0c 01
56,1792,Vangknok of Clan,57400,268,20 44 65 61 74 68 00 00 00 00 00 00 38 e0 0c 01
57,1824,Rallbrog of Clan,57401,268,20 44 65 61 74 68 00 00 00 00 00 00 39 e0 0c 01
58,1856,Rallbrog of Clan,57402,268,20 44 65 61 74 68 00 00 00 00 00 00 3a e0 0c 01
