offset,token
1363,fdo1
2978,main
2995,ovl1
3065,whi1
3082,blof
3099,fdi0
3179,fdo1
3196,fdo1
3585,whi1
3602,blof
3727,whi1
3744,blof
3761,fdo1
3778,fdo1l
4313,main
4330,fdi2
4625,fdi2
4661,whi1
4678,blof
4762,fdo1
4779,fdo1
5080,whi1
5097,blof
5196,ifi1
5213,fdi2
5280,ifi1E
5295,blon
5312,ifi2
5358,ex08
5381,blof
5398,ex08
5437,ifi1E
5452,blon
5469,ifi2
5532,ex03
5549,wisp
5577,ex03E
5592,ex04
5613,ex04E
5628,ex05
5649,ex05E
5664,ex06
5685,ex06E
5700,ex07
5721,ex07
5749,ifi1E
5764,blon
5781,ifi2
5844,ex03
5861,wisp
5889,ex03E
5904,ex05
5925,ex05E
5940,ex06
5961,ex06E
5976,ex07
5997,ex07
6050,if01
6067,main
6087,if01
6115,ifi1E
6130,blon
6147,ifi2
6210,ex03
6227,wisp
6244,ex03E
6259,ovl1
6276,s010
6300,s010E
6315,ovl2
6332,s008
6356,s008N
6380,s008E
6395,s009
6421,who1
6438,who1R
6453,s009E9
6468,whi1
6570,blon
6587,ife1
6604,wisp
6624,blof
6641,ife1F
6672,qstc
6775,ex09
6792,fdi2
6817,ex09l
6841,if03
6858,main
6875,if03
6893,ex10
6918,ex10l
6942,ex11
6963,main
6996,res0
7014,ex11
7115,ex09
7132,fdi2
7157,ex09l
7181,if03
7198,main
7215,if03
7233,ex10
7254,ex10l
7278,ex11
7299,main
7332,res0
7350,ex11
7383,ikil
7400,okil
7445,fdi2
7462,s011
7479,out0
7503,s011E
7518,ovl2
7535,okil
7552,main
7569,in00
7586,s012
7603,ovl2
7643,ovl2
7660,s013
7677,ikil
7697,s013E
7712,ovl2
7729,s014
7750,s014E
7765,ovl2
7782,s015
7806,s015E
7821,ovl2
7838,s016
7862,s016E
7877,s017
7894,ovl2
7926,fdo2
7960,res0
7986,s017E
8001,fdi1
8104,if03
8121,fdi2
8138,main
8155,if03E
8170,ex11
8187,main
8220,res0
8238,ex11
8301,ex01
8323,fdi2
8340,ex01E
8355,blon
8372,ex02
8405,res0
8423,ife1
8440,wisp
8460,blof
8477,ife1F
8518,blon
8542,res0
8560,ife1
8577,wisp
8597,blof
8614,ife1F
8686,fdi0
8703,fdi0
8719,fdo0
8736,fdo0
8752,fdi1
8769,fdi1
8785,fdo1
8802,fdo1
8818,whi1
8835,whi1
8851,who1
8868,who1
8884,who2
8901,who2
8917,who3
8934,who3
8950,main
8970,fdo1
8987,fdo1
9003,fdi1
9020,main
9040,fdi1
9056,blon
9073,blon
9091,whi0
9108,whi0
9124,who0
9141,who0
9157,efon
9174,efon
9190,fdis
9208,fdos
9225,fdos
9241,fdif
9259,fdof
9276,fdof
9292,fdip
9310,fdop
9327,fdop
10012,bgbg
10354,main
10422,main
10490,main
10558,main
10602,main
10633,fdo1
11043,fdi2
11154,fdi0
11171,fdi0
11187,fdo0
11204,fdo0
11220,fdi1
11237,fdi1
11253,fdo1
11270,fdo1
11286,whi1
11303,whi1
11319,who1
11336,who1
11352,whi0
11369,whi0
11385,who0
11402,who0
11418,efon
11435,efon
11565,s000
11586,s001
