index,offset,name,record_id,record_tag,raw_tail_hex
0,0,none,0,0,00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
1,32,Valor,1,269,00 00 00 00 00 00 00 00 00 00 00 00 01 00 0d 01
2,64,Honor,2,269,00 00 00 00 00 00 00 00 00 00 00 00 02 00 0d 01
3,96,Centurio IV-VII,3,269,00 00 00 00 00 00 00 00 00 00 00 00 03 00 0d 01
4,128,Triarius IV-XIV,4,269,00 00 00 00 00 00 00 00 00 00 00 00 04 00 0d 01
5,160,Princeps IV-XLV,5,269,00 00 00 00 00 00 00 00 00 00 00 00 05 00 0d 01
6,192,Mimic,6,269,00 00 00 00 00 00 00 00 00 00 00 00 06 00 0d 01
7,224,Sand Spider,7,269,00 00 00 00 00 00 00 00 00 00 00 00 07 00 0d 01
8,256,Sand Spider,8,269,00 00 00 00 00 00 00 00 00 00 00 00 08 00 0d 01
9,288,Sand Spider,9,269,00 00 00 00 00 00 00 00 00 00 00 00 09 00 0d 01
10,320,Helm Beetle,10,269,00 00 00 00 00 00 00 00 00 00 00 00 0a 00 0d 01
11,352,Helm Beetle,11,269,00 00 00 00 00 00 00 00 00 00 00 00 0b 00 0d 01
12,384,Sand Spider,12,269,00 00 00 00 00 00 00 00 00 00 00 00 0c 00 0d 01
13,416,Sand Spider,13,269,00 00 00 00 00 00 00 00 00 00 00 00 0d 00 0d 01
14,448,Sand Spider,14,269,00 00 00 00 00 00 00 00 00 00 00 00 0e 00 0d 01
15,480,Helm Beetle,15,269,00 00 00 00 00 00 00 00 00 00 00 00 0f 00 0d 01
16,512,Helm Beetle,16,269,00 00 00 00 00 00 00 00 00 00 00 00 10 00 0d 01
17,544,Sand Spider,17,269,00 00 00 00 00 00 00 00 00 00 00 00 11 00 0d 01
18,576,Helm Beetle,18,269,00 00 00 00 00 00 00 00 00 00 00 00 12 00 0d 01
19,608,Antican Hastatus,19,269,00 00 00 00 00 00 00 00 00 00 00 00 13 00 0d 01
20,640,Antican Princeps,20,269,00 00 00 00 00 00 00 00 00 00 00 00 14 00 0d 01
21,672,Antican Signifer,21,269,00 00 00 00 00 00 00 00 00 00 00 00 15 00 0d 01
22,704,Sand Eater,22,269,00 00 00 00 00 00 00 00 00 00 00 00 16 00 0d 01
23,736,Sand Eater,23,269,00 00 00 00 00 00 00 00 00 00 00 00 17 00 0d 01
24,768,Sand Eater,24,269,00 00 00 00 00 00 00 00 00 00 00 00 18 00 0d 01
25,800,Antican Hastatus,25,269,00 00 00 00 00 00 00 00 00 00 00 00 19 00 0d 01
26,832,Antican Princeps,26,269,00 00 00 00 00 00 00 00 00 00 00 00 1a 00 0d 01
