npc_index,name,record_id,record_tag,event_ref_count,event_ref_offset,position_offset,x,y,z,confidence,raw_x,raw_y,raw_z,raw_values
485,Treasure Casket,487,269,1,67104,67184,83.22,0.15,82.98,30,8322,15,8298,8322 8298 15 16 31 8297 8299 8304
486,Treasure Casket,488,269,1,68912,68992,83.22,0.15,82.98,30,8322,15,8298,8322 8298 15 16 31 8297 8299 8304
487,Treasure Casket,489,269,1,70720,70800,83.22,0.15,82.98,30,8322,15,8298,8322 8298 15 16 31 8297 8299 8304
488,Treasure Casket,490,269,1,72528,72608,83.22,0.15,82.98,30,8322,15,8298,8322 8298 15 16 31 8297 8299 8304
489,Treasure Casket,491,269,1,74336,74416,83.22,0.15,82.98,30,8322,15,8298,8322 8298 15 16 31 8297 8299 8304
490,Treasure Casket,492,269,1,76144,76224,83.22,0.15,82.98,30,8322,15,8298,8322 8298 15 16 31 8297 8299 8304
491,Treasure Casket,493,269,1,77952,78032,83.22,0.15,82.98,30,8322,15,8298,8322 8298 15 16 31 8297 8299 8304
492,Treasure Casket,494,269,1,79760,79840,83.22,0.15,82.98,30,8322,15,8298,8322 8298 15 16 31 8297 8299 8304
493,Treasure Casket,495,269,1,81568,81648,83.22,0.15,82.98,30,8322,15,8298,8322 8298 15 16 31 8297 8299 8304
494,Treasure Casket,496,269,1,83376,83456,83.22,0.15,82.98,30,8322,15,8298,8322 8298 15 16 31 8297 8299 8304
495,Treasure Casket,497,269,1,85184,85264,83.22,0.15,82.98,30,8322,15,8298,8322 8298 15 16 31 8297 8299 8304
496,Treasure Casket,498,269,1,86992,87072,83.22,0.15,82.98,30,8322,15,8298,8322 8298 15 16 31 8297 8299 8304
497,Treasure Casket,499,269,1,88800,88880,83.22,0.15,82.98,30,8322,15,8298,8322 8298 15 16 31 8297 8299 8304
498,Treasure Casket,500,269,1,90608,90688,83.22,0.15,82.98,30,8322,15,8298,8322 8298 15 16 31 8297 8299 8304
499,Treasure Casket,501,269,1,92416,92496,83.22,0.15,82.98,30,8322,15,8298,8322 8298 15 16 31 8297 8299 8304
500,Treasure Casket,502,269,1,94224,94304,83.22,0.15,82.98,30,8322,15,8298,8322 8298 15 16 31 8297 8299 8304
529,Sandstone Door,536,269,4,2828,2896,73.89,0.01,0.0,50,7389,1,0,7389 0 1 49 727552 186253345 1241522432 2147483632
536,Sandstone Door,543,269,3,2788,2896,73.89,0.01,0.0,50,7389,1,0,7389 0 1 49 727552 186253345 1241522432 2147483632
550,???,563,269,4,2732,2896,73.89,0.01,0.0,50,7389,1,0,7389 0 1 49 727552 186253345 1241522432 2147483632
552,???,565,269,1,2868,2896,73.89,0.01,0.0,50,7389,1,0,7389 0 1 49 727552 186253345 1241522432 2147483632
553,Ramblix,566,269,2,2964,3088,73.99,0.6,2.0,70,7399,60,200,7399 200 60 485 1107369984 -266469342 1249902591 2147483632
555,Goblin Geologist,568,269,1,3592,3632,11.58,74.16,74.15,30,1158,7416,7415,1158 7415 7416 425 1 7417 7418 7419
556,???,569,269,1,5436,5620,63.7,63.64,63.67,65,6370,6364,6367,6370 6367 6364 685 721664 21069824 41943680 1090519312
576,Planar Rift,589,269,1,6324,6392,74.43,0.02,0.01,45,7443,2,1,7443 1 2 1539 7444 7445 7446 7447
577,Planar Rift,590,269,1,25152,25220,0.04,0.02,74.43,45,4,2,7443,4 7443 2 1539 7444 7445 7446 7447
578,Planar Rift,591,269,1,43980,44048,0.04,0.01,74.43,45,4,1,7443,4 7443 1 1539 7444 7445 7446 7447
579,Riftworn Pyxis,592,269,1,62808,62948,184.57,197.94,185.42,65,18457,19794,18542,18457 18542 19794 1276 768 18907136 515 263040
580,Riftworn Pyxis,593,269,1,64240,64380,184.57,197.94,185.42,65,18457,19794,18542,18457 18542 19794 1276 768 18907136 515 263040
581,Riftworn Pyxis,594,269,1,65672,65812,184.57,197.94,185.42,65,18457,19794,18542,18457 18542 19794 1276 768 18907136 515 263040
582,Grounds Tome,595,269,1,96032,96104,114.18,83.34,114.28,30,11418,8334,11428,11418 11428 8334 11 8335 8336 10384 10389
