index,offset,name,record_id,record_tag,raw_tail_hex
0,0,none,0,0,00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
1,32,Titan Prime,4097,269,00 00 00 00 00 00 00 00 00 00 00 00 01 10 0d 01
2,64,Titan Prime,4098,269,00 00 00 00 00 00 00 00 00 00 00 00 02 10 0d 01
3,96,Titan Prime,4099,269,00 00 00 00 00 00 00 00 00 00 00 00 03 10 0d 01
4,128,Galgalim,4100,269,00 00 00 00 00 00 00 00 00 00 00 00 04 10 0d 01
5,160,Galgalim,4101,269,00 00 00 00 00 00 00 00 00 00 00 00 05 10 0d 01
6,192,Galgalim,4102,269,00 00 00 00 00 00 00 00 00 00 00 00 06 10 0d 01
7,224,Titan Prime,4103,269,00 00 00 00 00 00 00 00 00 00 00 00 07 10 0d 01
8,256,Titan Prime,4104,269,00 00 00 00 00 00 00 00 00 00 00 00 08 10 0d 01
9,288,Titan Prime,4105,269,00 00 00 00 00 00 00 00 00 00 00 00 09 10 0d 01
10,320,Titan Prime,4106,269,00 00 00 00 00 00 00 00 00 00 00 00 0a 10 0d 01
11,352,Earth Elemental,4107,269,00 00 00 00 00 00 00 00 00 00 00 00 0b 10 0d 01
12,384,Earth Elemental,4108,269,00 00 00 00 00 00 00 00 00 00 00 00 0c 10 0d 01
13,416,Earth Elemental,4109,269,00 00 00 00 00 00 00 00 00 00 00 00 0d 10 0d 01
14,448,Earth Elemental,4110,269,00 00 00 00 00 00 00 00 00 00 00 00 0e 10 0d 01
15,480,Titan Prime,4111,269,00 00 00 00 00 00 00 00 00 00 00 00 0f 10 0d 01
16,512,Earth Elemental,4112,269,00 00 00 00 00 00 00 00 00 00 00 00 10 10 0d 01
17,544,Earth Elemental,4113,269,00 00 00 00 00 00 00 00 00 00 00 00 11 10 0d 01
18,576,Earth Elemental,4114,269,00 00 00 00 00 00 00 00 00 00 00 00 12 10 0d 01
19,608,Earth Elemental,4115,269,00 00 00 00 00 00 00 00 00 00 00 00 13 10 0d 01
20,640,Titan Prime,4116,269,00 00 00 00 00 00 00 00 00 00 00 00 14 10 0d 01
21,672,Earth Elemental,4117,269,00 00 00 00 00 00 00 00 00 00 00 00 15 10 0d 01
22,704,Earth Elemental,4118,269,00 00 00 00 00 00 00 00 00 00 00 00 16 10 0d 01
23,736,Earth Elemental,4119,269,00 00 00 00 00 00 00 00 00 00 00 00 17 10 0d 01
24,768,Earth Elemental,4120,269,00 00 00 00 00 00 00 00 00 00 00 00 18 10 0d 01
25,800,Titan Prime,4121,269,00 00 00 00 00 00 00 00 00 00 00 00 19 10 0d 01
26,832,Titan Prime,4122,269,00 00 00 00 00 00 00 00 00 00 00 00 1a 10 0d 01
27,864,Titan Prime,4123,269,00 00 00 00 00 00 00 00 00 00 00 00 1b 10 0d 01
28,896,Titan Prime,4124,269,00 00 00 00 00 00 00 00 00 00 00 00 1c 10 0d 01
