npc_index,name,record_id,record_tag,event_ref_count,event_ref_offset,position_offset,x,y,z,confidence,raw_x,raw_y,raw_z,raw_values
1,Fame,8193,269,1,69792,69808,0.16,0.0,70.73,15,16,0,7073,16 7073 0 1 100 2 200 3
2,San d'Oria,8194,269,1,70128,70164,0.01,0.11,70.7,30,1,11,7070,1 7070 11 2 7071 23 3 4
3,Bastok,8195,269,1,70404,70452,0.02,0.23,70.71,30,2,23,7071,2 7071 23 3 4 7072 199 -2147474432
4,Windurst,8196,269,1,70680,70728,0.11,0.23,70.71,30,11,23,7071,11 7071 23 3 4 7072 199 -2147474432
5,Key Item,8197,269,1,70956,71040,0.02,0.0,70.77,90,2,0,7077,2 7077 0 27 -2147474432 -2147385343 268436005 335577089
6,Conquest Debug,8198,269,1,71024,71040,0.02,0.0,70.77,90,2,0,7077,2 7077 0 27 -2147474432 -2147385343 268436005 335577089
7,Herald,8199,269,1,71084,71100,0.02,0.0,70.83,90,2,0,7083,2 7083 0 27 -2147474432 -2147385343 268436005 335577089
8,Ballista_Item,8200,269,1,71144,71172,53.02,11.28,53.03,45,5302,1128,5303,5302 5303 1128 1129 7085 0 16 7086
9,Blenner_itembox,8201,269,1,71364,71396,53.26,70.85,645.12,30,5326,7085,64512,5326 64512 7085 0 16 7086 24 10
10,pvp2_itembox_deb,8202,269,1,71576,71608,53.26,70.85,645.12,30,5326,7085,64512,5326 64512 7085 0 16 7086 24 10
11,Selbina/Maura,8203,269,1,71788,71804,0.13,0.0,70.88,15,13,0,7088,13 7088 0 100 1 101 2 102
12,Juno_item,8204,269,1,71972,72108,6.34,45.08,125.07,80,634,4508,12507,634 12507 4508 548 16522 16631 1126 416
13,Ex_Scenario,8205,269,1,72556,72596,0.03,0.04,71.34,15,3,4,7134,3 7134 4 5 6 7 8 9
14,Party_test,8206,269,1,73288,73332,71.17,71.18,0.05,70,7117,7118,5,7117 5 7118 134 268502528 -1040830 1867775 -1029504
15,testkun0,8207,269,1,73484,73560,352.96,-100.0,-550.4,90,35296,-10000,-55040,35296 -55040 -10000 55 -513024 -491521 1634566143 17198697
16,ship,8208,269,1,73532,73560,352.96,-100.0,-550.4,90,35296,-10000,-55040,35296 -55040 -10000 55 -513024 -491521 1634566143 17198697
17,Mannequin,8209,269,1,73632,73648,0.1,71.7,71.69,15,10,7170,7169,10 7169 7170 0 1 2 3 4
19,Promathia,8211,269,1,73844,73860,1.82,0.0,71.79,30,182,0,7179,182 7179 0 1 7180 2 110 3
21,Promathia Battle,8213,269,1,77308,77344,0.02,1.0,71.97,90,2,100,7197,2 7197 100 96 -2147474432 -2147385343 268436005 822116354
22,Fellow,8214,269,1,77456,77476,0.0,72.04,72.03,30,0,7204,7203,0 7203 7204 1 7205 3 7206 4
24,Fish selecter,8216,269,1,99804,99880,0.07,19.77,19.76,45,7,1977,1976,7 1976 1977 1978 1979 7296 13 17
25,Bigfish Maker,8217,269,1,103536,103552,0.79,0.0,74.51,30,79,0,7451,79 7451 0 1 7453 311 7452 1073741824
26,Ahturhgan,8218,269,1,104948,105012,3.06,0.09,74.68,15,306,9,7468,306 7468 9 10 11 12 13 14
28,Assault,8220,269,1,107052,107116,74.76,30.0,0.03,90,7476,3000,3,7476 3 3000 174 -2147474432 -2147385343 268436005 1627422721
29,Programmer,8221,269,1,107308,107336,74.8,74.82,74.81,45,7480,7482,7481,7480 7481 7482 27 -1040896 12812287 16777344 -2147345024
30,Localize,8222,269,1,107380,107468,74.9,0.14,0.13,30,7490,14,13,7490 13 14 15 16 7491 314 -1040896
33,Lottery-Maker,8225,269,1,108188,108204,0.11,75.81,25.59,30,11,7581,2559,11 2559 7581 0 7533 1 5 99999
34,Altana,8226,269,1,108348,108420,75.01,0.11,75.9,30,7501,11,7590,7501 7590 11 12 13 7596 14 15
35,Abyssea,8227,269,1,111812,111872,78.34,78.35,0.6,45,7834,7835,60,7834 60 7835 999 7825 7 8 7826
36,Mogsack Moogle,8228,269,112,114300,114440,-1.02,0.01,90.76,90,-102,1,9076,-102 9076 1 3 9081 -1 9077 9078
37,M,8229,269,1,114408,114440,-1.02,0.01,90.76,90,-102,1,9076,-102 9076 1 3 9081 -1 9077 9078
38,L,8230,269,1,115976,116020,90.72,90.74,90.73,45,9072,9074,9073,9072 9073 9074 26 -2147465216 21495843 1207968640 2326530
39,Adoulin,8231,269,1,116064,116080,1.25,0.0,90.84,30,125,0,9084,125 9084 0 1 9122 2 3 4
40,Adoulin Fame,8232,269,1,119576,119608,90.89,0.02,0.01,30,9089,2,1,9089 1 2 8 9 9088 4 5
41,LinkA,8233,269,1,120020,120116,0.0,75.99,75.98,30,0,7599,7598,0 7598 7599 32 7600 7601 64 7602
42,LinkB,8234,269,8,120048,120116,0.0,75.99,75.98,30,0,7599,7598,0 7598 7599 32 7600 7601 64 7602
44,TABULA_MAKER,8236,269,1,120084,120116,0.0,75.99,75.98,30,0,7599,7598,0 7598 7599 32 7600 7601 64 7602
45,Bonanza Master,8237,269,1,120432,120488,76.1,76.11,0.05,50,7610,7611,5,7610 5 7611 341 33964544 268633616 101712902 101060613
47,RandomItemMaker,8239,269,1,122160,122228,0.22,11.06,11.05,45,22,1106,1105,22 1105 1106 1107 1108 1109 1110 1127
48,Dealer Moogle,8240,269,1,123676,123696,18.86,0.0,76.29,30,1886,0,7629,1886 7629 0 1 7631 7632 7640 30
49,Dealer Moogle,8241,269,1,168956,169092,0.21,0.64,76.3,35,21,64,7630,21 7630 64 32 -1 29 58 23812
50,RandomItemDebugg,8242,269,1,183980,184064,76.25,76.27,76.26,25,7625,7627,7626,7625 7626 7627 461 328448 84021250 -2139095040 1159331860
55,Synergy Furnace,8247,269,1,184544,184724,0.71,0.85,173.26,15,71,85,17326,71 17326 85 9 10 11 12 13
56,Synergy Furnace,8248,269,1,192860,193040,0.71,0.85,173.26,15,71,85,17326,71 17326 85 9 10 11 12 13
57,Synergy Furnace,8249,269,1,201176,201224,-610.1,0.01,1.48,35,-61010,1,148,-61010 148 1 8 0 83 2 3
58,Synergy Furnace,8250,269,1,209504,209552,-610.01,0.01,1.48,35,-61001,1,148,-61001 148 1 8 0 83 2 3
59,Evorith Maker,8251,269,1,217832,217848,0.15,0.01,77.19,45,15,1,7719,15 7719 1 2047 7720 15 7721 0
61,Level-Check,8253,269,1,218120,218248,78.96,79.01,78.99,30,7896,7901,7899,7896 7899 7901 60 7902 7903 7863 7864
62,Porter Moogle,8254,269,1,218160,218248,78.96,79.01,78.99,30,7896,7901,7899,7896 7899 7901 60 7902 7903 7863 7864
63,Magian MoogleHoo,8256,269,1,250980,251124,0.2,79.17,79.14,45,20,7917,7914,20 7914 7917 1774 7915 7916 7918 1073741824
