index,offset,name,record_id,record_tag,raw_tail_hex
0,0,none,0,0,00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
1,32,Leviathan Prime,12289,269,00 00 00 00 00 00 00 00 00 00 00 00 01 30 0d 01
2,64,Leviathan Prime,12290,269,00 00 00 00 00 00 00 00 00 00 00 00 02 30 0d 01
3,96,Leviathan Prime,12291,269,00 00 00 00 00 00 00 00 00 00 00 00 03 30 0d 01
4,128,Leviathan Prime,12292,269,00 00 00 00 00 00 00 00 00 00 00 00 04 30 0d 01
5,160,Leviathan Prime,12293,269,00 00 00 00 00 00 00 00 00 00 00 00 05 30 0d 01
6,192,Leviathan Prime,12294,269,00 00 00 00 00 00 00 00 00 00 00 00 06 30 0d 01
7,224,Leviathan Prime,12295,269,00 00 00 00 00 00 00 00 00 00 00 00 07 30 0d 01
8,256,Water Elemental,12296,269,00 00 00 00 00 00 00 00 00 00 00 00 08 30 0d 01
9,288,Water Elemental,12297,269,00 00 00 00 00 00 00 00 00 00 00 00 09 30 0d 01
10,320,Water Elemental,12298,269,00 00 00 00 00 00 00 00 00 00 00 00 0a 30 0d 01
11,352,Water Elemental,12299,269,00 00 00 00 00 00 00 00 00 00 00 00 0b 30 0d 01
12,384,Leviathan Prime,12300,269,00 00 00 00 00 00 00 00 00 00 00 00 0c 30 0d 01
13,416,Water Elemental,12301,269,00 00 00 00 00 00 00 00 00 00 00 00 0d 30 0d 01
14,448,Water Elemental,12302,269,00 00 00 00 00 00 00 00 00 00 00 00 0e 30 0d 01
15,480,Water Elemental,12303,269,00 00 00 00 00 00 00 00 00 00 00 00 0f 30 0d 01
16,512,Water Elemental,12304,269,00 00 00 00 00 00 00 00 00 00 00 00 10 30 0d 01
17,544,Leviathan Prime,12305,269,00 00 00 00 00 00 00 00 00 00 00 00 11 30 0d 01
18,576,Water Elemental,12306,269,00 00 00 00 00 00 00 00 00 00 00 00 12 30 0d 01
19,608,Water Elemental,12307,269,00 00 00 00 00 00 00 00 00 00 00 00 13 30 0d 01
20,640,Water Elemental,12308,269,00 00 00 00 00 00 00 00 00 00 00 00 14 30 0d 01
21,672,Water Elemental,12309,269,00 00 00 00 00 00 00 00 00 00 00 00 15 30 0d 01
22,704,Leviathan Prime,12310,269,00 00 00 00 00 00 00 00 00 00 00 00 16 30 0d 01
23,736,Leviathan Prime,12311,269,00 00 00 00 00 00 00 00 00 00 00 00 17 30 0d 01
24,768,Leviathan Prime,12312,269,00 00 00 00 00 00 00 00 00 00 00 00 18 30 0d 01
25,800,Leviathan Prime,12313,269,00 00 00 00 00 00 00 00 00 00 00 00 19 30 0d 01
26,832,Leviathan Prime,12314,269,00 00 00 00 00 00 00 00 00 00 00 00 1a 30 0d 01
27,864,Leviathan Prime,12315,269,00 00 00 00 00 00 00 00 00 00 00 00 1b 30 0d 01
28,896,Leviathan Prime,12316,269,00 00 00 00 00 00 00 00 00 00 00 00 1c 30 0d 01
29,928,Leviathan Prime,12317,269,00 00 00 00 00 00 00 00 00 00 00 00 1d 30 0d 01
30,960,Leviathan Prime,12318,269,00 00 00 00 00 00 00 00 00 00 00 00 1e 30 0d 01
31,992,Leviathan Prime,12319,269,00 00 00 00 00 00 00 00 00 00 00 00 1f 30 0d 01
32,1024,Leviathan Prime,12320,269,00 00 00 00 00 00 00 00 00 00 00 00 20 30 0d 01
33,1056,Leviathan Prime,12321,269,00 00 00 00 00 00 00 00 00 00 00 00 21 30 0d 01
34,1088,Leviathan Prime,12322,269,00 00 00 00 00 00 00 00 00 00 00 00 22 30 0d 01
35,1120,Leviathan Prime,12323,269,00 00 00 00 00 00 00 00 00 00 00 00 23 30 0d 01
36,1152,Leviathan Prime,12324,269,00 00 00 00 00 00 00 00 00 00 00 00 24 30 0d 01
37,1184,Leviathan Prime,12325,269,00 00 00 00 00 00 00 00 00 00 00 00 25 30 0d 01
38,1216,Leviathan Prime,12326,269,00 00 00 00 00 00 00 00 00 00 00 00 26 30 0d 01
