index,offset,name,record_id,record_tag,raw_tail_hex
0,0,none,0,0,00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
1,32,Greater Gaylas,16385,269,00 00 00 00 00 00 00 00 00 00 00 00 01 40 0d 01
2,64,Greater Gaylas,16386,269,00 00 00 00 00 00 00 00 00 00 00 00 02 40 0d 01
3,96,Goblin Poacher,16387,269,00 00 00 00 00 00 00 00 00 00 00 00 03 40 0d 01
4,128,Greater Gaylas,16388,269,00 00 00 00 00 00 00 00 00 00 00 00 04 40 0d 01
5,160,Goblin Robber,16389,269,00 00 00 00 00 00 00 00 00 00 00 00 05 40 0d 01
6,192,Labyrinth Lizard,16390,269,00 00 00 00 00 00 00 00 00 00 00 00 06 40 0d 01
7,224,Labyrinth Lizard,16391,269,00 00 00 00 00 00 00 00 00 00 00 00 07 40 0d 01
8,256,Labyrinth Leech,16392,269,00 00 00 00 00 00 00 00 00 00 00 00 08 40 0d 01
9,288,Labyrinth Leech,16393,269,00 00 00 00 00 00 00 00 00 00 00 00 09 40 0d 01
10,320,Bune,16394,269,00 00 00 00 00 00 00 00 00 00 00 00 0a 40 0d 01
11,352,Goblin Poacher,16395,269,00 00 00 00 00 00 00 00 00 00 00 00 0b 40 0d 01
12,384,Labyrinth Lizard,16396,269,00 00 00 00 00 00 00 00 00 00 00 00 0c 40 0d 01
13,416,Labyrinth Lizard,16397,269,00 00 00 00 00 00 00 00 00 00 00 00 0d 40 0d 01
14,448,Labyrinth Leech,16398,269,00 00 00 00 00 00 00 00 00 00 00 00 0e 40 0d 01
15,480,Labyrinth Leech,16399,269,00 00 00 00 00 00 00 00 00 00 00 00 0f 40 0d 01
16,512,Goblin Robber,16400,269,00 00 00 00 00 00 00 00 00 00 00 00 10 40 0d 01
17,544,Labyrinth Lizard,16401,269,00 00 00 00 00 00 00 00 00 00 00 00 11 40 0d 01
18,576,Labyrinth Lizard,16402,269,00 00 00 00 00 00 00 00 00 00 00 00 12 40 0d 01
19,608,Labyrinth Leech,16403,269,00 00 00 00 00 00 00 00 00 00 00 00 13 40 0d 01
20,640,Labyrinth Lizard,16404,269,00 00 00 00 00 00 00 00 00 00 00 00 14 40 0d 01
21,672,Labyrinth Lizard,16405,269,00 00 00 00 00 00 00 00 00 00 00 00 15 40 0d 01
22,704,Hell Bat,16406,269,00 00 00 00 00 00 00 00 00 00 00 00 16 40 0d 01
23,736,Greater Gaylas,16407,269,00 00 00 00 00 00 00 00 00 00 00 00 17 40 0d 01
24,768,Goblin Reaper,16408,269,00 00 00 00 00 00 00 00 00 00 00 00 18 40 0d 01
25,800,Hawker,16409,269,00 00 00 00 00 00 00 00 00 00 00 00 19 40 0d 01
26,832,Goblin Poacher,16410,269,00 00 00 00 00 00 00 00 00 00 00 00 1a 40 0d 01
27,864,Goblin Poacher,16411,269,00 00 00 00 00 00 00 00 00 00 00 00 1b 40 0d 01
28,896,Hawker,16412,269,00 00 00 00 00 00 00 00 00 00 00 00 1c 40 0d 01
29,928,Hawker,16413,269,00 00 00 00 00 00 00 00 00 00 00 00 1d 40 0d 01
30,960,Labyrinth Leech,16414,269,00 00 00 00 00 00 00 00 00 00 00 00 1e 40 0d 01
31,992,Goblin Robber,16415,269,00 00 00 00 00 00 00 00 00 00 00 00 1f 40 0d 01
32,1024,Goblin Robber,16416,269,00 00 00 00 00 00 00 00 00 00 00 00 20 40 0d 01
33,1056,Hawker,16417,269,00 00 00 00 00 00 00 00 00 00 00 00 21 40 0d 01
34,1088,Hawker,16418,269,00 00 00 00 00 00 00 00 00 00 00 00 22 40 0d 01
35,1120,Labyrinth Leech,16419,269,00 00 00 00 00 00 00 00 00 00 00 00 23 40 0d 01
36,1152,Goblin Reaper,16420,269,00 00 00 00 00 00 00 00 00 00 00 00 24 40 0d 01
37,1184,Goblin Reaper,16421,269,00 00 00 00 00 00 00 00 00 00 00 00 25 40 0d 01
38,1216,Hawker,16422,269,00 00 00 00 00 00 00 00 00 00 00 00 26 40 0d 01
39,1248,Hawker,16423,269,00 00 00 00 00 00 00 00 00 00 00 00 27 40 0d 01
40,1280,Labyrinth Leech,16424,269,00 00 00 00 00 00 00 00 00 00 00 00 28 40 0d 01
41,1312,Goblinsavior Her,16425,269,6f 6e 6f 78 00 00 00 00 00 00 00 00 29 40 0d 01
42,1344,Goblin Robber,16426,269,00 00 00 00 00 00 00 00 00 00 00 00 2a 40 0d 01
43,1376,Hawker,16427,269,00 00 00 00 00 00 00 00 00 00 00 00 2b 40 0d 01
44,1408,Goblin Reaper,16428,269,00 00 00 00 00 00 00 00 00 00 00 00 2c 40 0d 01
45,1440,Hawker,16429,269,00 00 00 00 00 00 00 00 00 00 00 00 2d 40 0d 01
46,1472,Hawker,16430,269,00 00 00 00 00 00 00 00 00 00 00 00 2e 40 0d 01
47,1504,Goblin Poacher,16431,269,00 00 00 00 00 00 00 00 00 00 00 00 2f 40 0d 01
48,1536,Hawker,16432,269,00 00 00 00 00 00 00 00 00 00 00 00 30 40 0d 01
49,1568,Hell Bat,16433,269,00 00 00 00 00 00 00 00 00 00 00 00 31 40 0d 01
50,1600,Hell Bat,16434,269,00 00 00 00 00 00 00 00 00 00 00 00 32 40 0d 01
51,1632,Hell Bat,16435,269,00 00 00 00 00 00 00 00 00 00 00 00 33 40 0d 01
52,1664,Makara,16436,269,00 00 00 00 00 00 00 00 00 00 00 00 34 40 0d 01
53,1696,Makara,16437,269,00 00 00 00 00 00 00 00 00 00 00 00 35 40 0d 01
54,1728,Makara,16438,269,00 00 00 00 00 00 00 00 00 00 00 00 36 40 0d 01
55,1760,Makara,16439,269,00 00 00 00 00 00 00 00 00 00 00 00 37 40 0d 01
56,1792,Makara,16440,269,00 00 00 00 00 00 00 00 00 00 00 00 38 40 0d 01
57,1824,Makara,16441,269,00 00 00 00 00 00 00 00 00 00 00 00 39 40 0d 01
58,1856,Makara,16442,269,00 00 00 00 00 00 00 00 00 00 00 00 3a 40 0d 01
