npc_index,name,record_id,record_tag,event_ref_count,event_ref_offset,position_offset,x,y,z,confidence,raw_x,raw_y,raw_z,raw_values
282,Treasure Casket,16667,269,1,24952,25032,106.76,0.15,106.52,30,10676,15,10652,10676 10652 15 16 31 10651 10653 10658
283,Treasure Casket,16668,269,1,26760,26840,106.76,0.15,106.52,30,10676,15,10652,10676 10652 15 16 31 10651 10653 10658
284,Treasure Casket,16669,269,1,28568,28648,106.76,0.15,106.52,30,10676,15,10652,10676 10652 15 16 31 10651 10653 10658
285,Treasure Casket,16670,269,1,30376,30456,106.76,0.15,106.52,30,10676,15,10652,10676 10652 15 16 31 10651 10653 10658
286,Treasure Casket,16671,269,1,32184,32264,106.76,0.15,106.52,30,10676,15,10652,10676 10652 15 16 31 10651 10653 10658
287,Treasure Casket,16672,269,1,33992,34072,106.76,0.15,106.52,30,10676,15,10652,10676 10652 15 16 31 10651 10653 10658
288,Treasure Casket,16673,269,1,35800,35880,106.76,0.15,106.52,30,10676,15,10652,10676 10652 15 16 31 10651 10653 10658
289,Treasure Casket,16674,269,1,37608,37688,106.76,0.15,106.52,30,10676,15,10652,10676 10652 15 16 31 10651 10653 10658
290,Treasure Casket,16675,269,1,39416,39496,106.76,0.15,106.52,30,10676,15,10652,10676 10652 15 16 31 10651 10653 10658
291,Treasure Casket,16676,269,1,41224,41304,106.76,0.15,106.52,30,10676,15,10652,10676 10652 15 16 31 10651 10653 10658
292,Treasure Casket,16677,269,1,43032,43112,106.76,0.15,106.52,30,10676,15,10652,10676 10652 15 16 31 10651 10653 10658
293,Treasure Casket,16678,269,1,44840,44920,106.76,0.15,106.52,30,10676,15,10652,10676 10652 15 16 31 10651 10653 10658
294,Treasure Casket,16679,269,1,46648,46728,106.76,0.15,106.52,30,10676,15,10652,10676 10652 15 16 31 10651 10653 10658
295,Treasure Casket,16680,269,1,48456,48536,106.76,0.15,106.52,30,10676,15,10652,10676 10652 15 16 31 10651 10653 10658
296,Treasure Casket,16681,269,1,50264,50344,106.76,0.15,106.52,30,10676,15,10652,10676 10652 15 16 31 10651 10653 10658
297,Treasure Casket,16682,269,1,52072,52152,106.76,0.15,106.52,30,10676,15,10652,10676 10652 15 16 31 10651 10653 10658
311,GoalPoint,16702,269,1,580,656,73.73,73.75,73.74,45,7373,7375,7374,7373 7374 7375 220 1095003136 -2147483379 5144576 17645892
312,GoalPoint,16703,269,1,892,968,73.73,73.75,73.74,45,7373,7375,7374,7373 7374 7375 220 1095068672 -2147483379 5144576 17645893
313,GoalPoint,16704,269,1,1204,1280,73.73,73.75,73.74,45,7373,7375,7374,7373 7374 7375 220 1095134208 -2147483379 5144576 17645894
314,GoalPoint,16705,269,1,1516,1592,73.73,73.75,73.74,45,7373,7375,7374,7373 7374 7375 220 1095199744 -2147483379 5144576 17645895
315,GoalPoint,16706,269,1,1828,1904,73.73,73.75,73.74,45,7373,7375,7374,7373 7374 7375 220 1095265280 -2147483379 5144576 17645896
316,GoalPoint,16707,269,1,2140,2216,73.73,73.75,73.74,45,7373,7375,7374,7373 7374 7375 220 1095330816 -2147483379 5144576 17645897
317,Moogle,16708,269,22,792,968,73.73,73.75,73.74,45,7373,7375,7374,7373 7374 7375 220 1095068672 -2147483379 5144576 17645893
318,Moogle,16709,269,22,1104,1280,73.73,73.75,73.74,45,7373,7375,7374,7373 7374 7375 220 1095134208 -2147483379 5144576 17645894
319,Moogle,16710,269,22,1416,1592,73.73,73.75,73.74,45,7373,7375,7374,7373 7374 7375 220 1095199744 -2147483379 5144576 17645895
320,Moogle,16711,269,22,1728,1904,73.73,73.75,73.74,45,7373,7375,7374,7373 7374 7375 220 1095265280 -2147483379 5144576 17645896
321,Moogle,16712,269,22,2040,2216,73.73,73.75,73.74,45,7373,7375,7374,7373 7374 7375 220 1095330816 -2147483379 5144576 17645897
322,Moogle,16713,269,22,2672,2840,73.82,0.6,2.0,70,7382,60,200,7382 200 60 485 1107369984 -266469342 1249902591 2147483632
323,Ramblix,16714,269,2,2716,2840,73.82,0.6,2.0,70,7382,60,200,7382 200 60 485 1107369984 -266469342 1249902591 2147483632
328,Aldo,16719,269,66,6724,6808,-1865.7,1.85,-100.0,95,-186570,185,-10000,-186570 -10000 185 30 -137832 -179281 -10030 165
329,Renfred,16720,269,23,7008,7080,-1385.29,-100.1,-1892.47,95,-138529,-10010,-189247,-138529 -189247 -10010 30 -137063 -179056 -10030 83
330,Gorattz,16721,269,23,7196,7272,-1404.62,-98.88,-1918.42,95,-140462,-9888,-191842,-140462 -191842 -9888 30 -138793 -179556 -10030 83
331,Bompupu,16722,269,24,7388,7460,-1380.12,-102.96,-1908.37,95,-138012,-10296,-190837,-138012 -190837 -10296 30 -137352 -179152 -10030 84
332,Outcropping,16723,269,1,7576,7600,73.95,0.0,0.01,90,7395,0,1,7395 1 0 47 -2147465216 -2147408861 -2147254270 268436005
333,Ethereal Junctio,16724,269,1,7664,7684,0.23,74.56,74.55,30,23,7456,7455,23 7455 7456 1 0 920 8 15
334,Ethereal Junctio,16725,269,1,9028,9048,0.23,74.56,74.55,30,23,7456,7455,23 7455 7456 1 0 920 8 15
335,Ethereal Junctio,16726,269,1,10392,10412,0.23,74.56,74.55,30,23,7456,7455,23 7455 7456 1 0 920 8 15
336,Grounds Tome,16727,269,1,12616,12688,106.34,75.5,106.44,30,10634,7550,10644,10634 10644 7550 11 7551 7552 9600 9605
337,Grounds Tome,16728,269,1,15700,15772,106.34,75.5,106.44,30,10634,7550,10644,10634 10644 7550 11 7551 7552 9600 9605
338,Grounds Tome,16729,269,1,18784,18856,106.34,75.5,106.44,30,10634,7550,10644,10634 10644 7550 11 7551 7552 9600 9605
339,Grounds Tome,16730,269,1,21868,21940,106.34,75.5,106.44,30,10634,7550,10644,10634 10644 7550 11 7551 7552 9600 9605
341,Survival Guide,16732,269,2,53880,54012,-0.02,107.07,106.92,50,-2,10707,10692,-2 10692 10707 26 27 10706 8 15
