index,offset,name,record_id,record_tag,raw_tail_hex
0,0,none,0,0,00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
1,32,Crevice Amoeban,28673,269,00 00 00 00 00 00 00 00 00 00 00 00 01 70 0d 01
2,64,Crevice Amoeban,28674,269,00 00 00 00 00 00 00 00 00 00 00 00 02 70 0d 01
3,96,Crevice Amoeban,28675,269,00 00 00 00 00 00 00 00 00 00 00 00 03 70 0d 01
4,128,Crevice Amoeban,28676,269,00 00 00 00 00 00 00 00 00 00 00 00 04 70 0d 01
5,160,Crevice Amoeban,28677,269,00 00 00 00 00 00 00 00 00 00 00 00 05 70 0d 01
6,192,Crevice Amoeban,28678,269,00 00 00 00 00 00 00 00 00 00 00 00 06 70 0d 01
7,224,Crevice Amoeban,28679,269,00 00 00 00 00 00 00 00 00 00 00 00 07 70 0d 01
8,256,Crevice Amoeban,28680,269,00 00 00 00 00 00 00 00 00 00 00 00 08 70 0d 01
9,288,Crevice Amoeban,28681,269,00 00 00 00 00 00 00 00 00 00 00 00 09 70 0d 01
10,320,Crevice Amoeban,28682,269,00 00 00 00 00 00 00 00 00 00 00 00 0a 70 0d 01
11,352,Crevice Amoeban,28683,269,00 00 00 00 00 00 00 00 00 00 00 00 0b 70 0d 01
12,384,Crevice Amoeban,28684,269,00 00 00 00 00 00 00 00 00 00 00 00 0c 70 0d 01
13,416,Ephemeral Amoeba,28685,269,6e 00 00 00 00 00 00 00 00 00 00 00 0d 70 0d 01
14,448,Rock Murex,28686,269,00 00 00 00 00 00 00 00 00 00 00 00 0e 70 0d 01
15,480,Rock Murex,28687,269,00 00 00 00 00 00 00 00 00 00 00 00 0f 70 0d 01
16,512,Rock Murex,28688,269,00 00 00 00 00 00 00 00 00 00 00 00 10 70 0d 01
17,544,Rock Murex,28689,269,00 00 00 00 00 00 00 00 00 00 00 00 11 70 0d 01
18,576,Rock Murex,28690,269,00 00 00 00 00 00 00 00 00 00 00 00 12 70 0d 01
19,608,Rock Murex,28691,269,00 00 00 00 00 00 00 00 00 00 00 00 13 70 0d 01
20,640,Rock Murex,28692,269,00 00 00 00 00 00 00 00 00 00 00 00 14 70 0d 01
21,672,Rock Murex,28693,269,00 00 00 00 00 00 00 00 00 00 00 00 15 70 0d 01
22,704,Rock Murex,28694,269,00 00 00 00 00 00 00 00 00 00 00 00 16 70 0d 01
23,736,Rock Murex,28695,269,00 00 00 00 00 00 00 00 00 00 00 00 17 70 0d 01
24,768,Rock Murex,28696,269,00 00 00 00 00 00 00 00 00 00 00 00 18 70 0d 01
25,800,Rock Murex,28697,269,00 00 00 00 00 00 00 00 00 00 00 00 19 70 0d 01
26,832,Ephemeral Murex,28698,269,00 00 00 00 00 00 00 00 00 00 00 00 1a 70 0d 01
27,864,Decayed Flesh,28699,269,00 00 00 00 00 00 00 00 00 00 00 00 1b 70 0d 01
28,896,Decayed Flesh,28700,269,00 00 00 00 00 00 00 00 00 00 00 00 1c 70 0d 01
29,928,Decayed Flesh,28701,269,00 00 00 00 00 00 00 00 00 00 00 00 1d 70 0d 01
30,960,Decayed Flesh,28702,269,00 00 00 00 00 00 00 00 00 00 00 00 1e 70 0d 01
