npc_index,name,record_id,record_tag,event_ref_count,event_ref_offset,position_offset,x,y,z,confidence,raw_x,raw_y,raw_z,raw_values
493,???,29167,269,1,649152,649184,0.01,1.92,74.96,65,1,192,7496,1 7496 192 768 21528576 33694592 25165840 38273049
494,???,29168,269,1,649388,649420,0.01,1.92,74.96,65,1,192,7496,1 7496 192 768 21528576 33694592 25165840 38273049
495,???,29169,269,1,649624,649656,0.01,1.92,74.96,65,1,192,7496,1 7496 192 768 21528576 33694592 25165840 38273049
496,???,29170,269,1,649860,649892,0.01,1.92,74.96,65,1,192,7496,1 7496 192 768 21528576 33694592 25165840 38273049
497,???,29171,269,1,650096,650128,0.01,1.92,74.96,65,1,192,7496,1 7496 192 768 21528576 33694592 25165840 38273049
498,???,29172,269,1,650332,650364,0.01,1.92,74.96,65,1,192,7496,1 7496 192 768 21528576 33694592 25165840 38273049
499,???,29173,269,1,650568,650600,0.01,1.92,74.96,65,1,192,7496,1 7496 192 768 21528576 33694592 25165840 38273049
500,???,29174,269,1,650804,650836,0.01,1.92,74.96,65,1,192,7496,1 7496 192 768 21528576 33694592 25165840 38273049
501,???,29175,269,1,651040,651072,0.01,1.92,74.96,65,1,192,7496,1 7496 192 768 21528576 33694592 25165840 38273049
502,???,29176,269,1,651276,651308,0.01,1.92,74.96,65,1,192,7496,1 7496 192 768 21528576 33694592 25165840 38273049
503,???,29177,269,1,651512,651544,0.01,1.92,74.96,65,1,192,7496,1 7496 192 768 21528576 33694592 25165840 38273049
504,???,29178,269,1,651748,651780,0.01,1.92,74.96,65,1,192,7496,1 7496 192 768 21528576 33694592 25165840 38273049
505,???,29179,269,1,651984,652016,0.01,1.92,74.96,65,1,192,7496,1 7496 192 768 21528576 33694592 25165840 38273049
506,???,29180,269,1,652220,652260,74.96,4.18,74.99,65,7496,418,7499,7496 7499 418 768 21528576 33694592 25165840 38273049
507,???,29181,269,1,652692,652732,74.96,4.18,74.99,65,7496,418,7499,7496 7499 418 768 21528576 33694592 25165840 38273049
508,???,29182,269,1,653164,653204,74.96,4.18,74.99,65,7496,418,7499,7496 7499 418 768 21528576 33694592 25165840 38273049
509,???,29183,269,1,653636,653676,74.96,4.18,74.99,65,7496,418,7499,7496 7499 418 768 21528576 33694592 25165840 38273049
510,???,29184,269,1,654108,654148,74.96,4.18,74.99,65,7496,418,7499,7496 7499 418 768 21528576 33694592 25165840 38273049
511,???,29185,269,1,654580,654620,74.96,4.18,74.99,65,7496,418,7499,7496 7499 418 768 21528576 33694592 25165840 38273049
512,???,29186,269,1,655052,655092,74.96,4.18,74.99,65,7496,418,7499,7496 7499 418 768 21528576 33694592 25165840 38273049
513,???,29187,269,1,655524,655564,74.96,4.18,74.99,65,7496,418,7499,7496 7499 418 768 21528576 33694592 25165840 38273049
514,???,29188,269,1,655996,656036,74.96,4.18,74.99,65,7496,418,7499,7496 7499 418 768 21528576 33694592 25165840 38273049
515,???,29189,269,1,656468,656508,74.96,4.18,74.99,65,7496,418,7499,7496 7499 418 768 21528576 33694592 25165840 38273049
516,???,29190,269,1,656940,656980,74.96,4.18,74.99,65,7496,418,7499,7496 7499 418 768 21528576 33694592 25165840 38273049
517,???,29191,269,1,657412,657452,74.96,4.18,74.99,65,7496,418,7499,7496 7499 418 768 21528576 33694592 25165840 38273049
520,Conflux Surveyor,29199,269,2,3464,3604,72.73,0.04,72.74,30,7273,4,7274,7273 7274 4 6 7 7275 7279 15
521,Cruor Prospector,29200,269,1,7296,7396,120.12,24.9,120.13,30,12012,2490,12013,12012 12013 2490 500 10117 6410 2000000 11
522,Atma Infusionist,29201,269,1,16476,16608,73.46,0.09,73.47,30,7346,9,7347,7346 7347 9 10 7348 11 12 100
523,Atma Fabricant,29202,269,1,29908,30008,73.89,0.04,73.9,15,7389,4,7390,7389 7390 4 5 6 7 8 9
524,Time Master Debu,29203,269,1,2136,2284,0.13,76.5,72.0,65,13,7650,7200,13 7200 7650 1162 50405376 268566528 50331907 131856
525,AP Master Debug,29204,269,1,32180,32248,100.0,0.04,76.73,45,10000,4,7673,10000 7673 4 2000 7674 7675 6 7676
526,Sturdy Pyxis,29207,269,1,33196,33296,74.56,0.04,74.57,30,7456,4,7457,7456 7457 4 5 6 7460 7461 7462
527,Sturdy Pyxis,29208,269,1,40172,40272,74.56,0.04,74.57,30,7456,4,7457,7456 7457 4 5 6 7460 7461 7462
528,Sturdy Pyxis,29209,269,1,47148,47248,74.56,0.04,74.57,30,7456,4,7457,7456 7457 4 5 6 7460 7461 7462
529,Sturdy Pyxis,29210,269,1,54124,54224,74.56,0.04,74.57,30,7456,4,7457,7456 7457 4 5 6 7460 7461 7462
530,Sturdy Pyxis,29211,269,1,61100,61200,74.56,0.04,74.57,30,7456,4,7457,7456 7457 4 5 6 7460 7461 7462
531,Sturdy Pyxis,29212,269,1,68076,68176,74.56,0.04,74.57,30,7456,4,7457,7456 7457 4 5 6 7460 7461 7462
532,Sturdy Pyxis,29213,269,1,75052,75152,74.56,0.04,74.57,30,7456,4,7457,7456 7457 4 5 6 7460 7461 7462
533,Sturdy Pyxis,29214,269,1,82028,82128,74.56,0.04,74.57,30,7456,4,7457,7456 7457 4 5 6 7460 7461 7462
534,Sturdy Pyxis,29215,269,1,89004,89104,74.56,0.04,74.57,30,7456,4,7457,7456 7457 4 5 6 7460 7461 7462
535,Sturdy Pyxis,29216,269,1,95980,96080,74.56,0.04,74.57,30,7456,4,7457,7456 7457 4 5 6 7460 7461 7462
536,Sturdy Pyxis,29217,269,1,102956,103056,74.56,0.04,74.57,30,7456,4,7457,7456 7457 4 5 6 7460 7461 7462
537,Sturdy Pyxis,29218,269,1,109932,110032,74.56,0.04,74.57,30,7456,4,7457,7456 7457 4 5 6 7460 7461 7462
538,Sturdy Pyxis,29219,269,1,116908,117008,74.56,0.04,74.57,30,7456,4,7457,7456 7457 4 5 6 7460 7461 7462
539,Sturdy Pyxis,29220,269,1,123884,123984,74.56,0.04,74.57,30,7456,4,7457,7456 7457 4 5 6 7460 7461 7462
540,Sturdy Pyxis,29221,269,1,130860,130960,74.56,0.04,74.57,30,7456,4,7457,7456 7457 4 5 6 7460 7461 7462
541,Sturdy Pyxis,29222,269,1,137836,137936,74.56,0.04,74.57,30,7456,4,7457,7456 7457 4 5 6 7460 7461 7462
