offset,token
909,main
929,fdo1
955,blon
972,blon
989,ovl1
1006,warp
1023,main
1043,fdo1
1077,sha0S
1090,sha0
1114,sha1S
1127,sha1
1165,tlk0
1189,tlk1
592568,main
592588,fdo1
592605,fdo1F
592856,back
592876,fdi1
592896,main
593003,main
593023,fdo1
593040,fdo1F
593291,back
593311,fdi1
593331,main
594736,main
594756,fdo1
594773,fdo1F
595024,back
595044,fdi1
595064,main
595171,main
595191,fdo1
595208,fdo1F
595459,back
595479,fdi1
595499,main
596904,main
596924,fdo1
596941,fdo1F
597192,back
597212,fdi1
597232,main
597339,main
597359,fdo1
597376,fdo1F
597627,back
597647,fdi1
597667,main
599072,main
599092,fdo1
599109,fdo1F
599360,back
599380,fdi1
599400,main
599507,main
599527,fdo1
599544,fdo1F
599795,back
599815,fdi1
599835,main
601240,main
601260,fdo1
601277,fdo1F
601528,back
601548,fdi1
601568,main
601675,main
601695,fdo1
601712,fdo1F
601963,back
601983,fdi1
602003,main
603408,main
603428,fdo1
603445,fdo1F
603696,back
603716,fdi1
603736,main
603843,main
603863,fdo1
603880,fdo1F
604131,back
604151,fdi1
604171,main
605576,main
605596,fdo1
605613,fdo1F
605864,back
605884,fdi1
605904,main
606011,main
606031,fdo1
606048,fdo1F
606299,back
606319,fdi1
606339,main
607744,main
607764,fdo1
607781,fdo1F
608032,back
608052,fdi1
608072,main
608179,main
608199,fdo1
608216,fdo1F
608467,back
608487,fdi1
608507,main
627988,main
628008,fdo1
628025,fdo1F
628276,back
628296,fdi1
628316,main
628423,main
628443,fdo1
628460,fdo1F
628711,back
628731,fdi1
628751,main
631495,fdo1
631525,ab05
631542,fdi1
631562,blon
631579,blon
631596,ovl1
631613,warp
631637,blof
633652,fdi0
633669,fdi0
633685,fdo0
633702,fdo0
633718,fdi1
633735,fdi1
633751,fdo1
633768,fdo1
633784,whi1
633801,whi1
633817,who1
633834,who1
633850,who2
633867,who2
633883,who3
633900,who3
633916,main
633936,fdo1
633953,fdo1
633969,fdi1
633986,main
634006,fdi1
634022,blon
634039,blon
634057,whi0
634074,whi0
634090,who0
634107,who0
634123,efon
634140,efon
634156,fdis
634174,fdos
634191,fdos
634207,fdif
634225,fdof
634242,fdof
634258,fdip
634276,fdop
634293,fdop
634341,tlk0+
634380,tlk1+
634450,tlk0+
634481,tlk1
634527,tlk0+
634598,tlk0+
634689,tlk0+
634805,tlk0+
634884,tlk0+
635077,tlk0+
635148,tlk0+
635325,tlk0+
635388,tlk0+
635468,tlk0+
635499,tlk1+
635522,pas0+
635553,qstc
635637,thk1+
635708,tlk0+
635777,tlk0+
635853,tlk0+
635890,opHU
635988,tlk0+
636027,tlk1E
636042,qstc
636076,tlk0+
636165,tlk0+
636220,tlk1+
636312,tlk0+
636383,tlk0+
636476,pas0+
636499,qstc
636628,thk1+
636675,thk2+
636715,thk1+
636887,tlk0+
636963,tlk0+
637079,pas0+
637118,qstc
637152,tlk0+
637216,tlk0+
637280,tlk0+
637319,tlk1+
637383,tlk0+
637422,tlk1+
637468,tlk0+
637507,tlk1E
637522,qstc
637556,tlk0+
637612,tlk0+
637670,tlk0+
637773,tlk0+
637820,tlk1+
637868,tlk0+
637907,tlk1+
638295,tlk0+
638326,tlk1
638354,tlk0+
638385,tlk1
638413,tlk0+
638444,tlk1
638518,qstc
638598,tlk0+
638656,tlk0+
638759,tlk0+
638806,tlk1+
638901,pas0+
638940,tlk0+
638979,tlk1+
639032,tlk0+
639231,thk1+
639262,thk2+
639290,qstc
639316,tlk0+
639427,tlk0+
639514,tlk0+
639611,tlk0+
639650,tlk1E
639665,qstc
639810,tlk0+
639881,tlk1+
640019,tlk0+
640114,thk1+
640153,thk2+
640201,thk1+
640294,tlk0+
640333,tlk1E
640348,qstc
640432,tlk0+
640521,tlk0+
640552,tlk1'
640669,tlk0+
640716,tlk1+
640764,tlk0+
640828,tlk0+
640875,tlk1E
640890,qstc
640924,tlk0+
640988,tlk0+
641136,tlk0+
641302,tlk0+
641373,thk1+
641436,tlk0+
641499,tlk0+
641538,tlk1+
641578,tlk0+
641720,tlk0+#
641767,tlk1+#
641946,tlk1
642014,tlk1
642209,tlk1
642274,thk2
642331,thk2
642744,qstc
642980,tlk0+'
643019,tlk1+'
645309,tlk0
648025,fdo1
648060,fdi1
648197,fdo1
648232,fdi1
648369,fdo1
648404,fdi1
648541,fdo1
648576,fdi1
651936,Target
651982,Target
652080,Target
652121,Target
652220,Target
652262,Target
652364,Target
652405,Target
