npc_index,name,record_id,record_tag,event_ref_count,event_ref_offset,position_offset,x,y,z,confidence,raw_x,raw_y,raw_z,raw_values
602,???,33372,269,1,657116,657148,0.01,1.92,75.97,65,1,192,7597,1 7597 192 768 21528576 33694592 25165840 38273049
603,???,33373,269,1,657352,657384,0.01,1.92,75.97,65,1,192,7597,1 7597 192 768 21528576 33694592 25165840 38273049
604,???,33374,269,1,657588,657620,0.01,1.92,75.97,65,1,192,7597,1 7597 192 768 21528576 33694592 25165840 38273049
605,???,33375,269,1,657824,657856,0.01,1.92,75.97,65,1,192,7597,1 7597 192 768 21528576 33694592 25165840 38273049
606,???,33376,269,1,658060,658092,0.01,1.92,75.97,65,1,192,7597,1 7597 192 768 21528576 33694592 25165840 38273049
607,???,33377,269,1,658296,658328,0.01,1.92,75.97,65,1,192,7597,1 7597 192 768 21528576 33694592 25165840 38273049
608,???,33378,269,1,658532,658564,0.01,1.92,75.97,65,1,192,7597,1 7597 192 768 21528576 33694592 25165840 38273049
609,???,33379,269,1,658768,658800,0.01,1.92,75.97,65,1,192,7597,1 7597 192 768 21528576 33694592 25165840 38273049
610,???,33380,269,1,659004,659036,0.01,1.92,75.97,65,1,192,7597,1 7597 192 768 21528576 33694592 25165840 38273049
611,???,33381,269,1,659240,659272,0.01,1.92,75.97,65,1,192,7597,1 7597 192 768 21528576 33694592 25165840 38273049
612,???,33382,269,1,659476,659508,0.01,1.92,75.97,65,1,192,7597,1 7597 192 768 21528576 33694592 25165840 38273049
613,???,33383,269,1,659712,659744,0.01,1.92,75.97,65,1,192,7597,1 7597 192 768 21528576 33694592 25165840 38273049
614,???,33384,269,1,659948,659988,75.97,4.18,76.0,65,7597,418,7600,7597 7600 418 768 21528576 33694592 25165840 38273049
615,???,33385,269,1,660420,660460,75.97,4.18,76.0,65,7597,418,7600,7597 7600 418 768 21528576 33694592 25165840 38273049
616,???,33386,269,1,660892,660932,75.97,4.18,76.0,65,7597,418,7600,7597 7600 418 768 21528576 33694592 25165840 38273049
617,???,33387,269,1,661364,661404,75.97,4.18,76.0,65,7597,418,7600,7597 7600 418 768 21528576 33694592 25165840 38273049
618,???,33388,269,1,661836,661876,75.97,4.18,76.0,65,7597,418,7600,7597 7600 418 768 21528576 33694592 25165840 38273049
619,???,33389,269,1,662308,662348,75.97,4.18,76.0,65,7597,418,7600,7597 7600 418 768 21528576 33694592 25165840 38273049
620,???,33390,269,1,662780,662820,75.97,4.18,76.0,65,7597,418,7600,7597 7600 418 768 21528576 33694592 25165840 38273049
621,???,33391,269,1,663252,663292,75.97,4.18,76.0,65,7597,418,7600,7597 7600 418 768 21528576 33694592 25165840 38273049
622,???,33392,269,1,663724,663764,75.97,4.18,76.0,65,7597,418,7600,7597 7600 418 768 21528576 33694592 25165840 38273049
623,???,33393,269,1,664196,664236,75.97,4.18,76.0,65,7597,418,7600,7597 7600 418 768 21528576 33694592 25165840 38273049
624,???,33394,269,1,664668,664708,75.97,4.18,76.0,65,7597,418,7600,7597 7600 418 768 21528576 33694592 25165840 38273049
625,???,33395,269,1,665140,665180,75.97,4.18,76.0,65,7597,418,7600,7597 7600 418 768 21528576 33694592 25165840 38273049
628,Conflux Surveyor,33404,269,1,3532,3672,73.74,0.04,73.75,30,7374,4,7375,7374 7375 4 6 7 7376 7380 15
