index,offset,name,record_id,record_tag,raw_tail_hex
0,0,none,0,0,00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
1,32,Badlands Crab,40961,269,00 00 00 00 00 00 00 00 00 00 00 00 01 a0 0d 01
2,64,Badlands Crab,40962,269,00 00 00 00 00 00 00 00 00 00 00 00 02 a0 0d 01
3,96,Badlands Crab,40963,269,00 00 00 00 00 00 00 00 00 00 00 00 03 a0 0d 01
4,128,Badlands Crab,40964,269,00 00 00 00 00 00 00 00 00 00 00 00 04 a0 0d 01
5,160,Badlands Crab,40965,269,00 00 00 00 00 00 00 00 00 00 00 00 05 a0 0d 01
6,192,Sand Pugil,40966,269,00 00 00 00 00 00 00 00 00 00 00 00 06 a0 0d 01
7,224,Sand Pugil,40967,269,00 00 00 00 00 00 00 00 00 00 00 00 07 a0 0d 01
8,256,Sand Pugil,40968,269,00 00 00 00 00 00 00 00 00 00 00 00 08 a0 0d 01
9,288,Sand Pugil,40969,269,00 00 00 00 00 00 00 00 00 00 00 00 09 a0 0d 01
10,320,Sand Pugil,40970,269,00 00 00 00 00 00 00 00 00 00 00 00 0a a0 0d 01
11,352,Desert Clionid,40971,269,00 00 00 00 00 00 00 00 00 00 00 00 0b a0 0d 01
12,384,Desert Clionid,40972,269,00 00 00 00 00 00 00 00 00 00 00 00 0c a0 0d 01
13,416,Desert Clionid,40973,269,00 00 00 00 00 00 00 00 00 00 00 00 0d a0 0d 01
14,448,Desert Clionid,40974,269,00 00 00 00 00 00 00 00 00 00 00 00 0e a0 0d 01
15,480,Desert Clionid,40975,269,00 00 00 00 00 00 00 00 00 00 00 00 0f a0 0d 01
16,512,Desert Clionid,40976,269,00 00 00 00 00 00 00 00 00 00 00 00 10 a0 0d 01
17,544,Desert Clionid,40977,269,00 00 00 00 00 00 00 00 00 00 00 00 11 a0 0d 01
18,576,Desert Clionid,40978,269,00 00 00 00 00 00 00 00 00 00 00 00 12 a0 0d 01
19,608,Desert Clionid,40979,269,00 00 00 00 00 00 00 00 00 00 00 00 13 a0 0d 01
20,640,Desert Clionid,40980,269,00 00 00 00 00 00 00 00 00 00 00 00 14 a0 0d 01
21,672,Desert Clionid,40981,269,00 00 00 00 00 00 00 00 00 00 00 00 15 a0 0d 01
22,704,Desert Clionid,40982,269,00 00 00 00 00 00 00 00 00 00 00 00 16 a0 0d 01
23,736,Desert Clionid,40983,269,00 00 00 00 00 00 00 00 00 00 00 00 17 a0 0d 01
24,768,Desert Clionid,40984,269,00 00 00 00 00 00 00 00 00 00 00 00 18 a0 0d 01
25,800,Desert Clionid,40985,269,00 00 00 00 00 00 00 00 00 00 00 00 19 a0 0d 01
26,832,Desert Clionid,40986,269,00 00 00 00 00 00 00 00 00 00 00 00 1a a0 0d 01
27,864,Desert Clionid,40987,269,00 00 00 00 00 00 00 00 00 00 00 00 1b a0 0d 01
28,896,Desert Clionid,40988,269,00 00 00 00 00 00 00 00 00 00 00 00 1c a0 0d 01
29,928,Desert Clionid,40989,269,00 00 00 00 00 00 00 00 00 00 00 00 1d a0 0d 01
30,960,Desert Clionid,40990,269,00 00 00 00 00 00 00 00 00 00 00 00 1e a0 0d 01
31,992,Desert Clionid,40991,269,00 00 00 00 00 00 00 00 00 00 00 00 1f a0 0d 01
32,1024,Desert Clionid,40992,269,00 00 00 00 00 00 00 00 00 00 00 00 20 a0 0d 01
33,1056,Desert Clionid,40993,269,00 00 00 00 00 00 00 00 00 00 00 00 21 a0 0d 01
34,1088,Desert Clionid,40994,269,00 00 00 00 00 00 00 00 00 00 00 00 22 a0 0d 01
35,1120,Desert Clionid,40995,269,00 00 00 00 00 00 00 00 00 00 00 00 23 a0 0d 01
36,1152,Desert Clionid,40996,269,00 00 00 00 00 00 00 00 00 00 00 00 24 a0 0d 01
37,1184,Desert Clionid,40997,269,00 00 00 00 00 00 00 00 00 00 00 00 25 a0 0d 01
38,1216,Desert Clionid,40998,269,00 00 00 00 00 00 00 00 00 00 00 00 26 a0 0d 01
39,1248,Oasis Amoeban,40999,269,00 00 00 00 00 00 00 00 00 00 00 00 27 a0 0d 01
40,1280,Oasis Amoeban,41000,269,00 00 00 00 00 00 00 00 00 00 00 00 28 a0 0d 01
41,1312,Oasis Amoeban,41001,269,00 00 00 00 00 00 00 00 00 00 00 00 29 a0 0d 01
42,1344,Oasis Amoeban,41002,269,00 00 00 00 00 00 00 00 00 00 00 00 2a a0 0d 01
43,1376,Oasis Amoeban,41003,269,00 00 00 00 00 00 00 00 00 00 00 00 2b a0 0d 01
44,1408,Oasis Amoeban,41004,269,00 00 00 00 00 00 00 00 00 00 00 00 2c a0 0d 01
45,1440,Oasis Amoeban,41005,269,00 00 00 00 00 00 00 00 00 00 00 00 2d a0 0d 01
46,1472,Oasis Amoeban,41006,269,00 00 00 00 00 00 00 00 00 00 00 00 2e a0 0d 01
47,1504,Oasis Amoeban,41007,269,00 00 00 00 00 00 00 00 00 00 00 00 2f a0 0d 01
48,1536,Oasis Amoeban,41008,269,00 00 00 00 00 00 00 00 00 00 00 00 30 a0 0d 01
49,1568,Oasis Amoeban,41009,269,00 00 00 00 00 00 00 00 00 00 00 00 31 a0 0d 01
50,1600,Oasis Amoeban,41010,269,00 00 00 00 00 00 00 00 00 00 00 00 32 a0 0d 01
51,1632,Oasis Amoeban,41011,269,00 00 00 00 00 00 00 00 00 00 00 00 33 a0 0d 01
52,1664,Oasis Amoeban,41012,269,00 00 00 00 00 00 00 00 00 00 00 00 34 a0 0d 01
53,1696,Oasis Amoeban,41013,269,00 00 00 00 00 00 00 00 00 00 00 00 35 a0 0d 01
54,1728,Oasis Amoeban,41014,269,00 00 00 00 00 00 00 00 00 00 00 00 36 a0 0d 01
55,1760,Oasis Amoeban,41015,269,00 00 00 00 00 00 00 00 00 00 00 00 37 a0 0d 01
56,1792,Oasis Amoeban,41016,269,00 00 00 00 00 00 00 00 00 00 00 00 38 a0 0d 01
57,1824,Oasis Amoeban,41017,269,00 00 00 00 00 00 00 00 00 00 00 00 39 a0 0d 01
58,1856,Oasis Amoeban,41018,269,00 00 00 00 00 00 00 00 00 00 00 00 3a a0 0d 01
59,1888,Oasis Amoeban,41019,269,00 00 00 00 00 00 00 00 00 00 00 00 3b a0 0d 01
60,1920,Oasis Amoeban,41020,269,00 00 00 00 00 00 00 00 00 00 00 00 3c a0 0d 01
61,1952,Oasis Amoeban,41021,269,00 00 00 00 00 00 00 00 00 00 00 00 3d a0 0d 01
62,1984,Oasis Amoeban,41022,269,00 00 00 00 00 00 00 00 00 00 00 00 3e a0 0d 01
63,2016,Oasis Amoeban,41023,269,00 00 00 00 00 00 00 00 00 00 00 00 3f a0 0d 01
64,2048,Nannakola,41024,269,00 00 00 00 00 00 00 00 00 00 00 00 40 a0 0d 01
65,2080,Nannakola,41025,269,00 00 00 00 00 00 00 00 00 00 00 00 41 a0 0d 01
66,2112,Nannakola,41026,269,00 00 00 00 00 00 00 00 00 00 00 00 42 a0 0d 01
67,2144,Nannakola,41027,269,00 00 00 00 00 00 00 00 00 00 00 00 43 a0 0d 01
68,2176,Nannakola,41028,269,00 00 00 00 00 00 00 00 00 00 00 00 44 a0 0d 01
69,2208,Nannakola,41029,269,00 00 00 00 00 00 00 00 00 00 00 00 45 a0 0d 01
70,2240,Nannakola,41030,269,00 00 00 00 00 00 00 00 00 00 00 00 46 a0 0d 01
71,2272,Nannakola,41031,269,00 00 00 00 00 00 00 00 00 00 00 00 47 a0 0d 01
72,2304,Nannakola,41032,269,00 00 00 00 00 00 00 00 00 00 00 00 48 a0 0d 01
73,2336,Nannakola,41033,269,00 00 00 00 00 00 00 00 00 00 00 00 49 a0 0d 01
74,2368,Nannakola,41034,269,00 00 00 00 00 00 00 00 00 00 00 00 4a a0 0d 01
75,2400,Nannakola,41035,269,00 00 00 00 00 00 00 00 00 00 00 00 4b a0 0d 01
76,2432,Nannakola,41036,269,00 00 00 00 00 00 00 00 00 00 00 00 4c a0 0d 01
77,2464,Nannakola,41037,269,00 00 00 00 00 00 00 00 00 00 00 00 4d a0 0d 01
