npc_index,name,record_id,record_tag,event_ref_count,event_ref_offset,position_offset,x,y,z,confidence,raw_x,raw_y,raw_z,raw_values
444,???,41407,269,1,628680,628712,0.01,1.92,75.97,65,1,192,7597,1 7597 192 768 21528576 33694592 25165840 38273049
445,???,41408,269,1,628916,628948,0.01,1.92,75.97,65,1,192,7597,1 7597 192 768 21528576 33694592 25165840 38273049
446,???,41409,269,1,629152,629184,0.01,1.92,75.97,65,1,192,7597,1 7597 192 768 21528576 33694592 25165840 38273049
447,???,41410,269,1,629388,629420,0.01,1.92,75.97,65,1,192,7597,1 7597 192 768 21528576 33694592 25165840 38273049
448,???,41411,269,1,629624,629656,0.01,1.92,75.97,65,1,192,7597,1 7597 192 768 21528576 33694592 25165840 38273049
449,???,41412,269,1,629860,629892,0.01,1.92,75.97,65,1,192,7597,1 7597 192 768 21528576 33694592 25165840 38273049
450,???,41413,269,1,630096,630128,0.01,1.92,75.97,65,1,192,7597,1 7597 192 768 21528576 33694592 25165840 38273049
451,???,41414,269,1,630332,630364,0.01,1.92,75.97,65,1,192,7597,1 7597 192 768 21528576 33694592 25165840 38273049
452,???,41415,269,1,630568,630600,0.01,1.92,75.97,65,1,192,7597,1 7597 192 768 21528576 33694592 25165840 38273049
453,???,41416,269,1,630804,630836,0.01,1.92,75.97,65,1,192,7597,1 7597 192 768 21528576 33694592 25165840 38273049
454,???,41417,269,1,631040,631080,75.97,4.18,76.0,65,7597,418,7600,7597 7600 418 768 21528576 33694592 25165840 38273049
455,???,41418,269,1,631512,631552,75.97,4.18,76.0,65,7597,418,7600,7597 7600 418 768 21528576 33694592 25165840 38273049
456,???,41419,269,1,631984,632024,75.97,4.18,76.0,65,7597,418,7600,7597 7600 418 768 21528576 33694592 25165840 38273049
457,???,41420,269,1,632456,632496,75.97,4.18,76.0,65,7597,418,7600,7597 7600 418 768 21528576 33694592 25165840 38273049
458,???,41421,269,1,632928,632968,75.97,4.18,76.0,65,7597,418,7600,7597 7600 418 768 21528576 33694592 25165840 38273049
459,???,41422,269,1,633400,633440,75.97,4.18,76.0,65,7597,418,7600,7597 7600 418 768 21528576 33694592 25165840 38273049
460,???,41423,269,1,633872,633912,75.97,4.18,76.0,65,7597,418,7600,7597 7600 418 768 21528576 33694592 25165840 38273049
461,???,41424,269,1,634344,634384,75.97,4.18,76.0,65,7597,418,7600,7597 7600 418 768 21528576 33694592 25165840 38273049
462,???,41425,269,1,634816,634856,75.97,4.18,76.0,65,7597,418,7600,7597 7600 418 768 21528576 33694592 25165840 38273049
463,???,41426,269,1,635288,635328,75.97,4.18,76.0,65,7597,418,7600,7597 7600 418 768 21528576 33694592 25165840 38273049
464,???,41427,269,1,635760,635800,75.97,4.18,76.0,65,7597,418,7600,7597 7600 418 768 21528576 33694592 25165840 38273049
465,???,41428,269,1,636232,636272,75.97,4.18,76.0,65,7597,418,7600,7597 7600 418 768 21528576 33694592 25165840 38273049
468,Conflux Surveyor,41436,269,1,2608,2748,73.74,0.04,73.75,30,7374,4,7375,7374 7375 4 6 7 7376 7380 15
469,Cruor Prospector,41437,269,1,6440,6544,120.53,185.73,161.91,45,12053,18573,16191,12053 16191 18573 2490 500 10117 11 10
470,Atma Infusionist,41438,269,1,15648,15780,74.47,0.09,74.48,30,7447,9,7448,7447 7448 9 10 7449 11 12 100
471,Atma Fabricant,41439,269,1,29080,29180,74.9,0.04,74.91,15,7490,4,7491,7490 7491 4 5 6 7 8 9
472,Time Master Debu,41440,269,1,1280,1428,0.13,77.51,72.0,65,13,7751,7200,13 7200 7751 1162 50405376 268566528 50331907 131856
473,AP Master Debug,41441,269,1,31408,31476,100.0,0.04,77.74,45,10000,4,7774,10000 7774 4 2000 7775 7776 6 7777
474,Sturdy Pyxis,41444,269,1,32424,32524,75.57,0.04,75.58,30,7557,4,7558,7557 7558 4 5 6 7561 7562 7563
475,Sturdy Pyxis,41445,269,1,39400,39500,75.57,0.04,75.58,30,7557,4,7558,7557 7558 4 5 6 7561 7562 7563
476,Sturdy Pyxis,41446,269,1,46376,46476,75.57,0.04,75.58,30,7557,4,7558,7557 7558 4 5 6 7561 7562 7563
477,Sturdy Pyxis,41447,269,1,53352,53452,75.57,0.04,75.58,30,7557,4,7558,7557 7558 4 5 6 7561 7562 7563
478,Sturdy Pyxis,41448,269,1,60328,60428,75.57,0.04,75.58,30,7557,4,7558,7557 7558 4 5 6 7561 7562 7563
