index,offset,name,record_id,record_tag,raw_tail_hex
0,0,none,0,0,00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
1,32,Sea Pugil,49153,269,00 00 00 00 00 00 00 00 00 00 00 00 01 c0 0d 01
2,64,Ocean Crab,49154,269,00 00 00 00 00 00 00 00 00 00 00 00 02 c0 0d 01
3,96,Ocean Pugil,49155,269,00 00 00 00 00 00 00 00 00 00 00 00 03 c0 0d 01
4,128,Pirate Pugil,49156,269,00 00 00 00 00 00 00 00 00 00 00 00 04 c0 0d 01
5,160,Sea Monk,49157,269,00 00 00 00 00 00 00 00 00 00 00 00 05 c0 0d 01
6,192,Sea Crab,49158,269,00 00 00 00 00 00 00 00 00 00 00 00 06 c0 0d 01
7,224,Sea Crab,49159,269,00 00 00 00 00 00 00 00 00 00 00 00 07 c0 0d 01
8,256,Sea Pugil,49160,269,00 00 00 00 00 00 00 00 00 00 00 00 08 c0 0d 01
9,288,Sea Pugil,49161,269,00 00 00 00 00 00 00 00 00 00 00 00 09 c0 0d 01
10,320,Sea Monk,49162,269,00 00 00 00 00 00 00 00 00 00 00 00 0a c0 0d 01
11,352,Phantom,49163,269,00 00 00 00 00 00 00 00 00 00 00 00 0b c0 0d 01
12,384,Thunder Elementa,49164,269,6c 00 00 00 00 00 00 00 00 00 00 00 0c c0 0d 01
13,416,Water Elemental,49165,269,00 00 00 00 00 00 00 00 00 00 00 00 0d c0 0d 01
14,448,Sea Horror,49166,269,00 00 00 00 00 00 00 00 00 00 00 00 0e c0 0d 01
15,480,Enagakure,49167,269,00 00 00 00 00 00 00 00 00 00 00 00 0f c0 0d 01
16,512,Achieve Master,49170,269,00 00 00 00 00 00 00 00 00 00 00 00 12 c0 0d 01
17,544,Unity Master,49172,269,00 00 00 00 00 00 00 00 00 00 00 00 14 c0 0d 01
18,576,Bhagirath,49177,269,00 00 00 00 00 00 00 00 00 00 00 00 19 c0 0d 01
19,608,Maera,49178,269,00 00 00 00 00 00 00 00 00 00 00 00 1a c0 0d 01
20,640,Rajmonda,49179,269,00 00 00 00 00 00 00 00 00 00 00 00 1b c0 0d 01
21,672,,49180,269,00 00 00 00 00 00 00 00 00 00 00 00 1c c0 0d 01
22,704,Map,49181,269,00 00 00 00 00 00 00 00 00 00 00 00 1d c0 0d 01
23,736,Cargo Ship Door,49182,269,00 00 00 00 00 00 00 00 00 00 00 00 1e c0 0d 01
24,768,Door,49183,269,00 00 00 00 00 00 00 00 00 00 00 00 1f c0 0d 01
25,800,Door,49184,269,00 00 00 00 00 00 00 00 00 00 00 00 20 c0 0d 01
26,832,Door,49185,269,00 00 00 00 00 00 00 00 00 00 00 00 21 c0 0d 01
27,864,Cargo Ship Door,49186,269,00 00 00 00 00 00 00 00 00 00 00 00 22 c0 0d 01
28,896,Cargo Ship Door,49187,269,00 00 00 00 00 00 00 00 00 00 00 00 23 c0 0d 01
29,928,,49188,269,00 00 00 00 00 00 00 00 00 00 00 00 24 c0 0d 01
30,960,Moogle,49190,269,00 00 00 00 00 00 00 00 00 00 00 00 26 c0 0d 01
31,992,Moogle,49191,269,00 00 00 00 00 00 00 00 00 00 00 00 27 c0 0d 01
32,1024,Moogle,49192,269,00 00 00 00 00 00 00 00 00 00 00 00 28 c0 0d 01
33,1056,Moogle,49193,269,00 00 00 00 00 00 00 00 00 00 00 00 29 c0 0d 01
34,1088,Moogle,49194,269,00 00 00 00 00 00 00 00 00 00 00 00 2a c0 0d 01
35,1120,Moogle,49195,269,00 00 00 00 00 00 00 00 00 00 00 00 2b c0 0d 01
36,1152,Moogle,49196,269,00 00 00 00 00 00 00 00 00 00 00 00 2c c0 0d 01
37,1184,Moogle,49197,269,00 00 00 00 00 00 00 00 00 00 00 00 2d c0 0d 01
