index,offset,name,record_id,record_tag,raw_tail_hex
0,0,none,0,0,00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
1,32,Sea Pugil,53249,269,00 00 00 00 00 00 00 00 00 00 00 00 01 d0 0d 01
2,64,Ocean Crab,53250,269,00 00 00 00 00 00 00 00 00 00 00 00 02 d0 0d 01
3,96,Ocean Pugil,53251,269,00 00 00 00 00 00 00 00 00 00 00 00 03 d0 0d 01
4,128,Pirate Pugil,53252,269,00 00 00 00 00 00 00 00 00 00 00 00 04 d0 0d 01
5,160,Sea Monk,53253,269,00 00 00 00 00 00 00 00 00 00 00 00 05 d0 0d 01
6,192,Sea Crab,53254,269,00 00 00 00 00 00 00 00 00 00 00 00 06 d0 0d 01
7,224,Sea Crab,53255,269,00 00 00 00 00 00 00 00 00 00 00 00 07 d0 0d 01
8,256,Sea Pugil,53256,269,00 00 00 00 00 00 00 00 00 00 00 00 08 d0 0d 01
9,288,Sea Pugil,53257,269,00 00 00 00 00 00 00 00 00 00 00 00 09 d0 0d 01
10,320,Sea Monk,53258,269,00 00 00 00 00 00 00 00 00 00 00 00 0a d0 0d 01
11,352,Phantom,53259,269,00 00 00 00 00 00 00 00 00 00 00 00 0b d0 0d 01
12,384,Thunder Elementa,53260,269,6c 00 00 00 00 00 00 00 00 00 00 00 0c d0 0d 01
13,416,Water Elemental,53261,269,00 00 00 00 00 00 00 00 00 00 00 00 0d d0 0d 01
14,448,Sea Horror,53262,269,00 00 00 00 00 00 00 00 00 00 00 00 0e d0 0d 01
15,480,Achieve Master,53265,269,00 00 00 00 00 00 00 00 00 00 00 00 11 d0 0d 01
16,512,Unity Master,53267,269,00 00 00 00 00 00 00 00 00 00 00 00 13 d0 0d 01
17,544,Sahn,53272,269,00 00 00 00 00 00 00 00 00 00 00 00 18 d0 0d 01
18,576,Chhaya,53273,269,00 00 00 00 00 00 00 00 00 00 00 00 19 d0 0d 01
19,608,Lokhong,53274,269,00 00 00 00 00 00 00 00 00 00 00 00 1a d0 0d 01
20,640,,53275,269,00 00 00 00 00 00 00 00 00 00 00 00 1b d0 0d 01
21,672,Map,53276,269,00 00 00 00 00 00 00 00 00 00 00 00 1c d0 0d 01
22,704,Cargo Ship Door,53277,269,00 00 00 00 00 00 00 00 00 00 00 00 1d d0 0d 01
23,736,Door,53278,269,00 00 00 00 00 00 00 00 00 00 00 00 1e d0 0d 01
24,768,Door,53279,269,00 00 00 00 00 00 00 00 00 00 00 00 1f d0 0d 01
25,800,Door,53280,269,00 00 00 00 00 00 00 00 00 00 00 00 20 d0 0d 01
26,832,Cargo Ship Door,53281,269,00 00 00 00 00 00 00 00 00 00 00 00 21 d0 0d 01
27,864,Cargo Ship Door,53282,269,00 00 00 00 00 00 00 00 00 00 00 00 22 d0 0d 01
28,896,,53283,269,00 00 00 00 00 00 00 00 00 00 00 00 23 d0 0d 01
29,928,Moogle,53285,269,00 00 00 00 00 00 00 00 00 00 00 00 25 d0 0d 01
30,960,Moogle,53286,269,00 00 00 00 00 00 00 00 00 00 00 00 26 d0 0d 01
31,992,Moogle,53287,269,00 00 00 00 00 00 00 00 00 00 00 00 27 d0 0d 01
32,1024,Moogle,53288,269,00 00 00 00 00 00 00 00 00 00 00 00 28 d0 0d 01
33,1056,Moogle,53289,269,00 00 00 00 00 00 00 00 00 00 00 00 29 d0 0d 01
34,1088,Moogle,53290,269,00 00 00 00 00 00 00 00 00 00 00 00 2a d0 0d 01
35,1120,Moogle,53291,269,00 00 00 00 00 00 00 00 00 00 00 00 2b d0 0d 01
36,1152,Moogle,53292,269,00 00 00 00 00 00 00 00 00 00 00 00 2c d0 0d 01
