index,offset,name,record_id,record_tag,raw_tail_hex
0,0,none,0,0,00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
1,32,Provenance Watch,57345,269,65 72 00 00 00 00 00 00 00 00 00 00 01 e0 0d 01
2,64,Crystal Fetter,57346,269,00 00 00 00 00 00 00 00 00 00 00 00 02 e0 0d 01
3,96,Crystal Fetter,57347,269,00 00 00 00 00 00 00 00 00 00 00 00 03 e0 0d 01
4,128,Crystal Fetter,57348,269,00 00 00 00 00 00 00 00 00 00 00 00 04 e0 0d 01
5,160,Provenance Watch,57349,269,65 72 00 00 00 00 00 00 00 00 00 00 05 e0 0d 01
6,192,Crystal Fetter,57350,269,00 00 00 00 00 00 00 00 00 00 00 00 06 e0 0d 01
7,224,Crystal Fetter,57351,269,00 00 00 00 00 00 00 00 00 00 00 00 07 e0 0d 01
8,256,Crystal Fetter,57352,269,00 00 00 00 00 00 00 00 00 00 00 00 08 e0 0d 01
9,288,Provenance Watch,57353,269,65 72 00 00 00 00 00 00 00 00 00 00 09 e0 0d 01
10,320,Crystal Fetter,57354,269,00 00 00 00 00 00 00 00 00 00 00 00 0a e0 0d 01
11,352,Crystal Fetter,57355,269,00 00 00 00 00 00 00 00 00 00 00 00 0b e0 0d 01
12,384,Crystal Fetter,57356,269,00 00 00 00 00 00 00 00 00 00 00 00 0c e0 0d 01
13,416,Sarbaz,57357,269,00 00 00 00 00 00 00 00 00 00 00 00 0d e0 0d 01
14,448,Pil,57358,269,00 00 00 00 00 00 00 00 00 00 00 00 0e e0 0d 01
15,480,Asb,57359,269,00 00 00 00 00 00 00 00 00 00 00 00 0f e0 0d 01
16,512,Rukh,57360,269,00 00 00 00 00 00 00 00 00 00 00 00 10 e0 0d 01
17,544,Shah,57361,269,00 00 00 00 00 00 00 00 00 00 00 00 11 e0 0d 01
18,576,Wazir,57362,269,00 00 00 00 00 00 00 00 00 00 00 00 12 e0 0d 01
19,608,Sarbaz,57363,269,00 00 00 00 00 00 00 00 00 00 00 00 13 e0 0d 01
20,640,Pil,57364,269,00 00 00 00 00 00 00 00 00 00 00 00 14 e0 0d 01
21,672,Asb,57365,269,00 00 00 00 00 00 00 00 00 00 00 00 15 e0 0d 01
22,704,Rukh,57366,269,00 00 00 00 00 00 00 00 00 00 00 00 16 e0 0d 01
23,736,Shah,57367,269,00 00 00 00 00 00 00 00 00 00 00 00 17 e0 0d 01
