npc_index,name,record_id,record_tag,event_ref_count,event_ref_offset,position_offset,x,y,z,confidence,raw_x,raw_y,raw_z,raw_values
51,Provenance Cryst,57402,269,1,3364,3424,73.63,0.03,0.02,30,7363,3,2,7363 2 3 4 5 7511 7344 255
52,Provenance Proto,57403,269,1,6464,6524,73.63,0.03,0.02,30,7363,3,2,7363 2 3 4 5 7511 7344 255
53,Provenance Cryst,57404,269,1,9564,9580,0.18,0.01,73.45,15,18,1,7345,18 7345 1 0 255 124 180 200
54,Provenance Cryst,57405,269,1,9852,9868,0.18,0.01,73.45,15,18,1,7345,18 7345 1 0 255 124 180 200
55,Provenance Cryst,57406,269,1,10140,10156,0.18,0.01,73.45,15,18,1,7345,18 7345 1 0 255 124 180 200
56,Provenance Cryst,57407,269,1,10428,10444,0.18,0.01,73.45,15,18,1,7345,18 7345 1 0 255 124 180 200
57,Provenance Cryst,57408,269,1,10716,10732,0.18,0.01,73.45,15,18,1,7345,18 7345 1 0 255 124 180 200
58,Provenance Cryst,57409,269,1,11004,11020,0.18,0.01,73.45,15,18,1,7345,18 7345 1 0 255 124 180 200
59,Provenance Proto,57410,269,1,11292,11324,0.18,0.01,73.45,15,18,1,7345,18 7345 1 0 255 124 180 200
60,Provenance Proto,57411,269,1,11600,11616,0.18,0.01,73.45,15,18,1,7345,18 7345 1 0 255 124 180 200
61,Provenance Proto,57412,269,1,11888,11904,0.18,0.01,73.45,15,18,1,7345,18 7345 1 0 255 124 180 200
85,Grumblix,57436,269,2,12176,12296,75.27,0.6,2.0,85,7527,60,200,7527 200 60 506 1107369984 -1940 25165951 -2147410816
96,Cait Sith Ceithi,57447,269,61,28624,28736,24.14,0.64,0.03,45,2414,64,3,2414 3 64 2048 1414 120 76 30
99,Cait Sith Seachd,57450,269,57,30136,30248,24.14,0.64,0.03,45,2414,64,3,2414 3 64 2048 1414 120 76 30
102,Glimmering Trove,57453,269,1,53752,53784,0.31,0.01,73.52,30,31,1,7352,31 7352 1 10 7353 7354 2 11
103,Glimmering Trove,57454,269,1,54560,54592,0.31,0.01,73.52,30,31,1,7352,31 7352 1 10 7353 7354 2 11
104,Glimmering Trove,57455,269,1,55368,55400,0.31,0.01,73.52,30,31,1,7352,31 7352 1 10 7353 7354 2 11
105,Glimmering Trove,57456,269,1,56176,56208,0.31,0.01,73.52,30,31,1,7352,31 7352 1 10 7353 7354 2 11
106,Glimmering Trove,57457,269,1,56984,57016,0.31,0.01,73.52,30,31,1,7352,31 7352 1 10 7353 7354 2 11
107,Regal Pawprints,57458,269,1,31648,31772,76.88,76.73,76.72,15,7688,7673,7672,7688 7672 7673 16 31 11 12 36
108,Planar Rift,57459,269,1,52808,52828,0.19,76.9,76.89,15,19,7690,7689,19 7689 7690 0 255 79 150 40
