index,offset,name,record_id,record_tag,raw_tail_hex
0,0,none,0,0,00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
1,32,Nigel,61441,269,00 00 00 00 00 00 00 00 00 00 00 00 01 f0 0d 01
2,64,Ricaldo,61442,269,00 00 00 00 00 00 00 00 00 00 00 00 02 f0 0d 01
3,96,SAILOR,61443,269,00 00 00 00 00 00 00 00 00 00 00 00 03 f0 0d 01
4,128,???,61444,269,00 00 00 00 00 00 00 00 00 00 00 00 04 f0 0d 01
5,160,Passenger,61445,269,00 00 00 00 00 00 00 00 00 00 00 00 05 f0 0d 01
6,192,Passenger,61446,269,00 00 00 00 00 00 00 00 00 00 00 00 06 f0 0d 01
7,224,Passenger,61447,269,00 00 00 00 00 00 00 00 00 00 00 00 07 f0 0d 01
8,256,Passenger,61448,269,00 00 00 00 00 00 00 00 00 00 00 00 08 f0 0d 01
9,288,Passenger,61449,269,00 00 00 00 00 00 00 00 00 00 00 00 09 f0 0d 01
10,320,Passenger,61450,269,00 00 00 00 00 00 00 00 00 00 00 00 0a f0 0d 01
11,352,Passenger,61451,269,00 00 00 00 00 00 00 00 00 00 00 00 0b f0 0d 01
12,384,Passenger,61452,269,00 00 00 00 00 00 00 00 00 00 00 00 0c f0 0d 01
13,416,Moogle,61454,269,00 00 00 00 00 00 00 00 00 00 00 00 0e f0 0d 01
14,448,Moogle,61455,269,00 00 00 00 00 00 00 00 00 00 00 00 0f f0 0d 01
15,480,Moogle,61456,269,00 00 00 00 00 00 00 00 00 00 00 00 10 f0 0d 01
16,512,Moogle,61457,269,00 00 00 00 00 00 00 00 00 00 00 00 11 f0 0d 01
17,544,Moogle,61458,269,00 00 00 00 00 00 00 00 00 00 00 00 12 f0 0d 01
18,576,Moogle,61459,269,00 00 00 00 00 00 00 00 00 00 00 00 13 f0 0d 01
19,608,Moogle,61460,269,00 00 00 00 00 00 00 00 00 00 00 00 14 f0 0d 01
20,640,Moogle,61461,269,00 00 00 00 00 00 00 00 00 00 00 00 15 f0 0d 01
21,672,Achieve Master,61462,269,00 00 00 00 00 00 00 00 00 00 00 00 16 f0 0d 01
22,704,Unity Master,61464,269,00 00 00 00 00 00 00 00 00 00 00 00 18 f0 0d 01
23,736,,61465,269,00 00 00 00 00 00 00 00 00 00 00 00 19 f0 0d 01
24,768,,61465,269,00 00 00 00 00 00 00 00 00 00 00 00 19 f0 0d 01
