index,offset,name,record_id,record_tag,raw_tail_hex
0,0,none,0,0,00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
1,32,Dereck,1,270,00 00 00 00 00 00 00 00 00 00 00 00 01 00 0e 01
2,64,Michele,2,270,00 00 00 00 00 00 00 00 00 00 00 00 02 00 0e 01
3,96,SAILOR,3,270,00 00 00 00 00 00 00 00 00 00 00 00 03 00 0e 01
4,128,Passenger,4,270,00 00 00 00 00 00 00 00 00 00 00 00 04 00 0e 01
5,160,Passenger,5,270,00 00 00 00 00 00 00 00 00 00 00 00 05 00 0e 01
6,192,Passenger,6,270,00 00 00 00 00 00 00 00 00 00 00 00 06 00 0e 01
7,224,Passenger,7,270,00 00 00 00 00 00 00 00 00 00 00 00 07 00 0e 01
8,256,Passenger,8,270,00 00 00 00 00 00 00 00 00 00 00 00 08 00 0e 01
9,288,Passenger,9,270,00 00 00 00 00 00 00 00 00 00 00 00 09 00 0e 01
10,320,Passenger,10,270,00 00 00 00 00 00 00 00 00 00 00 00 0a 00 0e 01
11,352,Passenger,11,270,00 00 00 00 00 00 00 00 00 00 00 00 0b 00 0e 01
12,384,Moogle,13,270,00 00 00 00 00 00 00 00 00 00 00 00 0d 00 0e 01
13,416,Moogle,14,270,00 00 00 00 00 00 00 00 00 00 00 00 0e 00 0e 01
14,448,Moogle,15,270,00 00 00 00 00 00 00 00 00 00 00 00 0f 00 0e 01
15,480,Moogle,16,270,00 00 00 00 00 00 00 00 00 00 00 00 10 00 0e 01
16,512,Moogle,17,270,00 00 00 00 00 00 00 00 00 00 00 00 11 00 0e 01
17,544,Moogle,18,270,00 00 00 00 00 00 00 00 00 00 00 00 12 00 0e 01
18,576,Moogle,19,270,00 00 00 00 00 00 00 00 00 00 00 00 13 00 0e 01
19,608,Moogle,20,270,00 00 00 00 00 00 00 00 00 00 00 00 14 00 0e 01
20,640,Achieve Master,21,270,00 00 00 00 00 00 00 00 00 00 00 00 15 00 0e 01
21,672,Unity Master,23,270,00 00 00 00 00 00 00 00 00 00 00 00 17 00 0e 01
22,704,,24,270,00 00 00 00 00 00 00 00 00 00 00 00 18 00 0e 01
23,736,,24,270,00 00 00 00 00 00 00 00 00 00 00 00 18 00 0e 01
