index,offset,name,record_id,record_tag,raw_tail_hex
0,0,none,0,0,00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
1,32,Mauricio,4097,270,00 00 00 00 00 00 00 00 00 00 00 00 01 10 0e 01
2,64,Gabriele,4098,270,00 00 00 00 00 00 00 00 00 00 00 00 02 10 0e 01
3,96,SAILOR,4099,270,00 00 00 00 00 00 00 00 00 00 00 00 03 10 0e 01
4,128,Passenger,4100,270,00 00 00 00 00 00 00 00 00 00 00 00 04 10 0e 01
5,160,Passenger,4101,270,00 00 00 00 00 00 00 00 00 00 00 00 05 10 0e 01
6,192,Passenger,4102,270,00 00 00 00 00 00 00 00 00 00 00 00 06 10 0e 01
7,224,Passenger,4103,270,00 00 00 00 00 00 00 00 00 00 00 00 07 10 0e 01
8,256,Passenger,4104,270,00 00 00 00 00 00 00 00 00 00 00 00 08 10 0e 01
9,288,Passenger,4105,270,00 00 00 00 00 00 00 00 00 00 00 00 09 10 0e 01
10,320,Passenger,4106,270,00 00 00 00 00 00 00 00 00 00 00 00 0a 10 0e 01
11,352,Passenger,4107,270,00 00 00 00 00 00 00 00 00 00 00 00 0b 10 0e 01
12,384,Moogle,4109,270,00 00 00 00 00 00 00 00 00 00 00 00 0d 10 0e 01
13,416,Moogle,4110,270,00 00 00 00 00 00 00 00 00 00 00 00 0e 10 0e 01
14,448,Moogle,4111,270,00 00 00 00 00 00 00 00 00 00 00 00 0f 10 0e 01
15,480,Moogle,4112,270,00 00 00 00 00 00 00 00 00 00 00 00 10 10 0e 01
16,512,Moogle,4113,270,00 00 00 00 00 00 00 00 00 00 00 00 11 10 0e 01
17,544,Moogle,4114,270,00 00 00 00 00 00 00 00 00 00 00 00 12 10 0e 01
18,576,Moogle,4115,270,00 00 00 00 00 00 00 00 00 00 00 00 13 10 0e 01
19,608,Moogle,4116,270,00 00 00 00 00 00 00 00 00 00 00 00 14 10 0e 01
20,640,Dilauriome,4117,270,00 00 00 00 00 00 00 00 00 00 00 00 15 10 0e 01
21,672,Achieve Master,4118,270,00 00 00 00 00 00 00 00 00 00 00 00 16 10 0e 01
22,704,Unity Master,4120,270,00 00 00 00 00 00 00 00 00 00 00 00 18 10 0e 01
23,736,,4121,270,00 00 00 00 00 00 00 00 00 00 00 00 19 10 0e 01
24,768,,4121,270,00 00 00 00 00 00 00 00 00 00 00 00 19 10 0e 01
