index,offset,name,record_id,record_tag,raw_tail_hex
0,0,none,0,0,00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
1,32,,8193,270,00 00 00 00 00 00 00 00 00 00 00 00 01 20 0e 01
2,64,Joosef,8194,270,00 00 00 00 00 00 00 00 00 00 00 00 02 20 0e 01
3,96,Oslam,8195,270,00 00 00 00 00 00 00 00 00 00 00 00 03 20 0e 01
4,128,Passenger,8196,270,00 00 00 00 00 00 00 00 00 00 00 00 04 20 0e 01
5,160,Passenger,8197,270,00 00 00 00 00 00 00 00 00 00 00 00 05 20 0e 01
6,192,Passenger,8198,270,00 00 00 00 00 00 00 00 00 00 00 00 06 20 0e 01
7,224,Passenger,8199,270,00 00 00 00 00 00 00 00 00 00 00 00 07 20 0e 01
8,256,Passenger,8200,270,00 00 00 00 00 00 00 00 00 00 00 00 08 20 0e 01
9,288,Passenger,8201,270,00 00 00 00 00 00 00 00 00 00 00 00 09 20 0e 01
10,320,Passenger,8202,270,00 00 00 00 00 00 00 00 00 00 00 00 0a 20 0e 01
11,352,Passenger,8203,270,00 00 00 00 00 00 00 00 00 00 00 00 0b 20 0e 01
12,384,Moogle,8205,270,00 00 00 00 00 00 00 00 00 00 00 00 0d 20 0e 01
13,416,Moogle,8206,270,00 00 00 00 00 00 00 00 00 00 00 00 0e 20 0e 01
14,448,Moogle,8207,270,00 00 00 00 00 00 00 00 00 00 00 00 0f 20 0e 01
15,480,Moogle,8208,270,00 00 00 00 00 00 00 00 00 00 00 00 10 20 0e 01
16,512,Moogle,8209,270,00 00 00 00 00 00 00 00 00 00 00 00 11 20 0e 01
17,544,Moogle,8210,270,00 00 00 00 00 00 00 00 00 00 00 00 12 20 0e 01
18,576,Moogle,8211,270,00 00 00 00 00 00 00 00 00 00 00 00 13 20 0e 01
19,608,Moogle,8212,270,00 00 00 00 00 00 00 00 00 00 00 00 14 20 0e 01
20,640,Achieve Master,8213,270,00 00 00 00 00 00 00 00 00 00 00 00 15 20 0e 01
21,672,Unity Master,8215,270,00 00 00 00 00 00 00 00 00 00 00 00 17 20 0e 01
22,704,,8216,270,00 00 00 00 00 00 00 00 00 00 00 00 18 20 0e 01
23,736,,8216,270,00 00 00 00 00 00 00 00 00 00 00 00 18 20 0e 01
