offset,token
8453,fdo1
8470,fdo18
8522,z000
8539,fdi1
8669,z000E
8684,ovl1
8701,z002
8734,z002'
8756,z001
8849,z003
8913,z004
8938,z004E
8953,ovl1
8970,z005
8987,z005'
9055,ovl1
9072,z006
9140,z007
9157,z007+
9230,z008
9271,z008E
9286,z009
9327,z009E
9342,ovl1
9359,z010
9376,z010
9449,z011
9491,z011+
9514,z012
9531,z012y
9579,y000
9621,y000E
9636,ovl1
9653,y00a
9698,y00a'
9753,ovl1
9770,y001
9820,y001E
9835,y002
9900,y002E
9915,y003
9958,y003E
9973,ovl1
9990,y004
10041,ovl1
10058,y005
10105,y005'
10150,ovl1
10167,y006
10215,y006E
10230,y00b
10247,y00b+
10292,y007
10309,y007'
10374,y008
10465,ovl1
10482,y009
10550,y009E
10565,ovl1
10582,x000
10599,x000
10627,x001
10746,x002
10820,x002E
10835,ovl1
10852,x003
10882,fdo2
10899,fdo2R
10914,x003
10943,fdi2
11058,fdo1
11075,fdo18
11144,w000
11161,fdi1
11209,w000E
11224,w001
11296,w001E
11311,w002
11364,w002E
11379,w003
11412,w003E
11427,ovl1
11444,w004
11495,w004E
11510,w005
11550,w005E
11565,w006
11605,fdo2
11655,fdi2
11679,fdo1
11696,fdo1
11729,s001
11759,fdi1
11799,s001Ep
11814,s003
11831,s003'
11861,s019
11948,s005
11973,s005'
12017,s004
12111,s002
12128,s002Ep
12143,s007
12207,s008
12224,s008
12259,s009
12307,s00a
12347,s010
12375,s010
12393,s011
12425,s011Ep
12440,s016
12495,s016
12542,s013
12559,s013
12660,s015
12771,fdo2
12813,fdi2
12852,fdo1
12869,fdo1
12902,r000
12919,r000
12939,fdi1
13033,r001
13050,r001
13085,r002
13102,r002'
13132,r003
13149,r003
13184,r005
13250,r005E
13265,r006
13282,r006N
13336,r011
13353,r011
13381,r010
13398,r010'
13476,r009
13539,fdo2
13581,fdi2
13605,fdo1
13622,fdo1
13662,q000
13679,q000
13699,fdi1
13739,q001
13805,q002
13900,q003
13917,q003#'
13948,q005
13988,q006
14005,q006'
14045,q007
14070,q007E
14085,q008
14140,q008'
14173,q009
14198,q009E
14213,q010
14251,q010'
14276,q011
14293,q011
14355,fdo2
14397,fdi2
14421,fdo1
14438,fdo18
14491,o000
14508,o000u
14534,fdi1
14596,o001
14671,o002
14756,o003
14796,o004
14875,o005
14918,o006
14935,o006'
14968,o013
15054,o007
15071,o007
15132,o008
15188,o009
15238,o010
15263,o010E
15278,o011
15318,o012
15383,o012'
15420,o014
15467,o014'
15578,o015
15595,o0157
15627,o016
15644,o016
15683,o017
15738,o017E
15753,o018
15804,o019
15865,o019'
15905,o020
15956,o021
15973,o021
16008,o022
16025,o022'
16076,fdo2
16118,fdi2
16142,fdo1
16159,fdo1
16199,p000
16216,p000
16242,fdi1
16282,p001
16299,p001N
16350,p002
16402,p002'
16427,p013
16498,p005
16515,p005
16533,p006
16550,p006
16568,p007
16585,p007
16604,p008
16621,p008
16647,p009
16664,p009'
