index,offset,name,record_id,record_tag,raw_tail_hex
0,0,none,0,0,00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
1,32,Ceraule,24577,270,00 00 00 00 00 00 00 00 00 00 00 00 01 60 0e 01
2,64,Aubejart,24578,270,00 00 00 00 00 00 00 00 00 00 00 00 02 60 0e 01
3,96,Ephauge,24579,270,00 00 00 00 00 00 00 00 00 00 00 00 03 60 0e 01
4,128,Cahaurme,24580,270,00 00 00 00 00 00 00 00 00 00 00 00 04 60 0e 01
5,160,Baunise,24581,270,00 00 00 00 00 00 00 00 00 00 00 00 05 60 0e 01
6,192,Coderiant,24582,270,00 00 00 00 00 00 00 00 00 00 00 00 06 60 0e 01
7,224,Machielle,24583,270,00 00 00 00 00 00 00 00 00 00 00 00 07 60 0e 01
8,256,Corua,24584,270,00 00 00 00 00 00 00 00 00 00 00 00 08 60 0e 01
9,288,Phamelise,24585,270,00 00 00 00 00 00 00 00 00 00 00 00 09 60 0e 01
10,320,Apairemant,24586,270,00 00 00 00 00 00 00 00 00 00 00 00 0a 60 0e 01
11,352,Violitte,24587,270,00 00 00 00 00 00 00 00 00 00 00 00 0b 60 0e 01
12,384,Andecia,24588,270,00 00 00 00 00 00 00 00 00 00 00 00 0c 60 0e 01
13,416,Well,24589,270,00 00 00 00 00 00 00 00 00 00 00 00 0d 60 0e 01
14,448,Well,24590,270,00 00 00 00 00 00 00 00 00 00 00 00 0e 60 0e 01
15,480,Well,24591,270,00 00 00 00 00 00 00 00 00 00 00 00 0f 60 0e 01
16,512,Well,24592,270,00 00 00 00 00 00 00 00 00 00 00 00 10 60 0e 01
17,544,Well,24593,270,00 00 00 00 00 00 00 00 00 00 00 00 11 60 0e 01
18,576,Raimbroy,24594,270,00 00 00 00 00 00 00 00 00 00 00 00 12 60 0e 01
19,608,Katharina,24595,270,00 00 00 00 00 00 00 00 00 00 00 00 13 60 0e 01
20,640,Leuveret,24596,270,00 00 00 00 00 00 00 00 00 00 00 00 14 60 0e 01
21,672,Benaige,24597,270,00 00 00 00 00 00 00 00 00 00 00 00 15 60 0e 01
22,704,Aveline,24598,270,00 00 00 00 00 00 00 00 00 00 00 00 16 60 0e 01
23,736,Lotte,24599,270,00 00 00 00 00 00 00 00 00 00 00 00 17 60 0e 01
24,768,Katharina,24600,270,00 00 00 00 00 00 00 00 00 00 00 00 18 60 0e 01
25,800,Shilah,24601,270,00 00 00 00 00 00 00 00 00 00 00 00 19 60 0e 01
26,832,Sobane,24602,270,00 00 00 00 00 00 00 00 00 00 00 00 1a 60 0e 01
27,864,Fulchia,24603,270,00 00 00 00 00 00 00 00 00 00 00 00 1b 60 0e 01
28,896,Nenne,24604,270,00 00 00 00 00 00 00 00 00 00 00 00 1c 60 0e 01
29,928,Raminel,24605,270,00 00 00 00 00 00 00 00 00 00 00 00 1d 60 0e 01
30,960,Raminel,24606,270,00 00 00 00 00 00 00 00 00 00 00 00 1e 60 0e 01
31,992,Amaura,24607,270,00 00 00 00 00 00 00 00 00 00 00 00 1f 60 0e 01
32,1024,Glenne,24608,270,00 00 00 00 00 00 00 00 00 00 00 00 20 60 0e 01
33,1056,Luthiaque,24609,270,00 00 00 00 00 00 00 00 00 00 00 00 21 60 0e 01
34,1088,Deraquien,24610,270,00 00 00 00 00 00 00 00 00 00 00 00 22 60 0e 01
35,1120,Phillone,24611,270,00 00 00 00 00 00 00 00 00 00 00 00 23 60 0e 01
36,1152,Elmemague,24612,270,00 00 00 00 00 00 00 00 00 00 00 00 24 60 0e 01
37,1184,Roido,24613,270,00 00 00 00 00 00 00 00 00 00 00 00 25 60 0e 01
38,1216,Vijartal,24614,270,00 00 00 00 00 00 00 00 00 00 00 00 26 60 0e 01
39,1248,Halver,24615,270,00 00 00 00 00 00 00 00 00 00 00 00 27 60 0e 01
40,1280,Millechairale,24616,270,00 00 00 00 00 00 00 00 00 00 00 00 28 60 0e 01
41,1312,Ferdoulemiont,24617,270,00 00 00 00 00 00 00 00 00 00 00 00 29 60 0e 01
42,1344,Chocobo,24618,270,00 00 00 00 00 00 00 00 00 00 00 00 2a 60 0e 01
43,1376,Chocobo,24619,270,00 00 00 00 00 00 00 00 00 00 00 00 2b 60 0e 01
44,1408,Chocobo,24620,270,00 00 00 00 00 00 00 00 00 00 00 00 2c 60 0e 01
45,1440,Tarotta,24621,270,00 00 00 00 00 00 00 00 00 00 00 00 2d 60 0e 01
46,1472,Chocobo,24622,270,00 00 00 00 00 00 00 00 00 00 00 00 2e 60 0e 01
47,1504,Camereine,24623,270,00 00 00 00 00 00 00 00 00 00 00 00 2f 60 0e 01
48,1536,Emoussine,24624,270,00 00 00 00 00 00 00 00 00 00 00 00 30 60 0e 01
49,1568,Meuneille,24625,270,00 00 00 00 00 00 00 00 00 00 00 00 31 60 0e 01
50,1600,Chocobo,24626,270,00 00 00 00 00 00 00 00 00 00 00 00 32 60 0e 01
51,1632,Chocobo,24627,270,00 00 00 00 00 00 00 00 00 00 00 00 33 60 0e 01
52,1664,Chocobo,24628,270,00 00 00 00 00 00 00 00 00 00 00 00 34 60 0e 01
53,1696,Taumila,24629,270,00 00 00 00 00 00 00 00 00 00 00 00 35 60 0e 01
54,1728,Lusiane,24630,270,00 00 00 00 00 00 00 00 00 00 00 00 36 60 0e 01
55,1760,Ostalie,24631,270,00 00 00 00 00 00 00 00 00 00 00 00 37 60 0e 01
56,1792,Capucine,24632,270,00 00 00 00 00 00 00 00 00 00 00 00 38 60 0e 01
57,1824,Helbort,24633,270,00 00 00 00 00 00 00 00 00 00 00 00 39 60 0e 01
58,1856,Ashene,24634,270,00 00 00 00 00 00 00 00 00 00 00 00 3a 60 0e 01
59,1888,Thadiene,24635,270,00 00 00 00 00 00 00 00 00 00 00 00 3b 60 0e 01
60,1920,Exoroche,24636,270,00 00 00 00 00 00 00 00 00 00 00 00 3c 60 0e 01
61,1952,Authere,24637,270,00 00 00 00 00 00 00 00 00 00 00 00 3d 60 0e 01
62,1984,Blendare,24638,270,00 00 00 00 00 00 00 00 00 00 00 00 3e 60 0e 01
63,2016,Balasiel,24639,270,00 00 00 00 00 00 00 00 00 00 00 00 3f 60 0e 01
64,2048,Balasiel,24640,270,00 00 00 00 00 00 00 00 00 00 00 00 40 60 0e 01
65,2080,Ancolain,24641,270,00 00 00 00 00 00 00 00 00 00 00 00 41 60 0e 01
66,2112,Chanpau,24642,270,00 00 00 00 00 00 00 00 00 00 00 00 42 60 0e 01
67,2144,Destin,24643,270,00 00 00 00 00 00 00 00 00 00 00 00 43 60 0e 01
68,2176,Vauderame,24644,270,00 00 00 00 00 00 00 00 00 00 00 00 44 60 0e 01
69,2208,Trion,24645,270,00 00 00 00 00 00 00 00 00 00 00 00 45 60 0e 01
70,2240,Trion,24646,270,00 00 00 00 00 00 00 00 00 00 00 00 46 60 0e 01
71,2272,Pieuje,24647,270,00 00 00 00 00 00 00 00 00 00 00 00 47 60 0e 01
72,2304,Pieuje,24648,270,00 00 00 00 00 00 00 00 00 00 00 00 48 60 0e 01
73,2336,Claidie,24649,270,00 00 00 00 00 00 00 00 00 00 00 00 49 60 0e 01
74,2368,Claidie,24650,270,00 00 00 00 00 00 00 00 00 00 00 00 4a 60 0e 01
75,2400,Avandale,24651,270,00 00 00 00 00 00 00 00 00 00 00 00 4b 60 0e 01
76,2432,Celyddon,24652,270,00 00 00 00 00 00 00 00 00 00 00 00 4c 60 0e 01
77,2464,FencingMaster,24653,270,00 00 00 00 00 00 00 00 00 00 00 00 4d 60 0e 01
78,2496,01,24654,270,00 00 00 00 00 00 00 00 00 00 00 00 4e 60 0e 01
79,2528,02,24655,270,00 00 00 00 00 00 00 00 00 00 00 00 4f 60 0e 01
80,2560,03,24656,270,00 00 00 00 00 00 00 00 00 00 00 00 50 60 0e 01
81,2592,04,24657,270,00 00 00 00 00 00 00 00 00 00 00 00 51 60 0e 01
82,2624,05,24658,270,00 00 00 00 00 00 00 00 00 00 00 00 52 60 0e 01
83,2656,Faulpie,24659,270,00 00 00 00 00 00 00 00 00 00 00 00 53 60 0e 01
84,2688,Orechiniel,24660,270,00 00 00 00 00 00 00 00 00 00 00 00 54 60 0e 01
85,2720,Kipopo,24661,270,00 00 00 00 00 00 00 00 00 00 00 00 55 60 0e 01
86,2752,Tek Lengyon,24662,270,00 00 00 00 00 00 00 00 00 00 00 00 56 60 0e 01
87,2784,Cletae,24663,270,00 00 00 00 00 00 00 00 00 00 00 00 57 60 0e 01
88,2816,Kueh Igunahmori,24664,270,00 00 00 00 00 00 00 00 00 00 00 00 58 60 0e 01
89,2848,Hanaa Punaa,24665,270,00 00 00 00 00 00 00 00 00 00 00 00 59 60 0e 01
90,2880,Rosel,24666,270,00 00 00 00 00 00 00 00 00 00 00 00 5a 60 0e 01
91,2912,Miogique,24667,270,00 00 00 00 00 00 00 00 00 00 00 00 5b 60 0e 01
92,2944,Carautia,24668,270,00 00 00 00 00 00 00 00 00 00 00 00 5c 60 0e 01
93,2976,Victoire,24669,270,00 00 00 00 00 00 00 00 00 00 00 00 5d 60 0e 01
94,3008,Michilca,24670,270,00 00 00 00 00 00 00 00 00 00 00 00 5e 60 0e 01
95,3040,Hinaree,24671,270,00 00 00 00 00 00 00 00 00 00 00 00 5f 60 0e 01
96,3072,Varchet,24672,270,00 00 00 00 00 00 00 00 00 00 00 00 60 60 0e 01
97,3104,Endracion,24673,270,00 00 00 00 00 00 00 00 00 00 00 00 61 60 0e 01
98,3136,Ambrotien,24674,270,00 00 00 00 00 00 00 00 00 00 00 00 62 60 0e 01
99,3168,Malecharisant,24675,270,00 00 00 00 00 00 00 00 00 00 00 00 63 60 0e 01
100,3200,Anxaberoute,24676,270,00 00 00 00 00 00 00 00 00 00 00 00 64 60 0e 01
101,3232,"Aravoge, T.K.",24677,270,00 00 00 00 00 00 00 00 00 00 00 00 65 60 0e 01
102,3264,"Arpevion, T.K.",24678,270,00 00 00 00 00 00 00 00 00 00 00 00 66 60 0e 01
103,3296,Officer,24679,270,00 00 00 00 00 00 00 00 00 00 00 00 67 60 0e 01
104,3328,,24680,270,00 00 00 00 00 00 00 00 00 00 00 00 68 60 0e 01
105,3360,,24681,270,00 00 00 00 00 00 00 00 00 00 00 00 69 60 0e 01
106,3392,,24682,270,00 00 00 00 00 00 00 00 00 00 00 00 6a 60 0e 01
107,3424,,24683,270,00 00 00 00 00 00 00 00 00 00 00 00 6b 60 0e 01
108,3456,,24684,270,00 00 00 00 00 00 00 00 00 00 00 00 6c 60 0e 01
109,3488,,24685,270,00 00 00 00 00 00 00 00 00 00 00 00 6d 60 0e 01
110,3520,,24686,270,00 00 00 00 00 00 00 00 00 00 00 00 6e 60 0e 01
111,3552,,24687,270,00 00 00 00 00 00 00 00 00 00 00 00 6f 60 0e 01
112,3584,Lanqueron,24688,270,00 00 00 00 00 00 00 00 00 00 00 00 70 60 0e 01
113,3616,Arpetion,24689,270,00 00 00 00 00 00 00 00 00 00 00 00 71 60 0e 01
114,3648,Vaquelage,24690,270,00 00 00 00 00 00 00 00 00 00 00 00 72 60 0e 01
115,3680,Auction Counter,24691,270,00 00 00 00 00 00 00 00 00 00 00 00 73 60 0e 01
116,3712,Auction Counter,24692,270,00 00 00 00 00 00 00 00 00 00 00 00 74 60 0e 01
117,3744,Auction Counter,24693,270,00 00 00 00 00 00 00 00 00 00 00 00 75 60 0e 01
118,3776,Auction Counter,24694,270,00 00 00 00 00 00 00 00 00 00 00 00 76 60 0e 01
119,3808,Simmie,24695,270,00 00 00 00 00 00 00 00 00 00 00 00 77 60 0e 01
120,3840,Open1,24696,270,00 00 00 00 00 00 00 00 00 00 00 00 78 60 0e 01
121,3872,Open2,24697,270,00 00 00 00 00 00 00 00 00 00 00 00 79 60 0e 01
122,3904,Open3,24698,270,00 00 00 00 00 00 00 00 00 00 00 00 7a 60 0e 01
123,3936,Clainomille,24699,270,00 00 00 00 00 00 00 00 00 00 00 00 7b 60 0e 01
124,3968,Open5,24700,270,00 00 00 00 00 00 00 00 00 00 00 00 7c 60 0e 01
125,4000,Open6,24701,270,00 00 00 00 00 00 00 00 00 00 00 00 7d 60 0e 01
126,4032,Ailevia,24702,270,00 00 00 00 00 00 00 00 00 00 00 00 7e 60 0e 01
127,4064,Open8,24703,270,00 00 00 00 00 00 00 00 00 00 00 00 7f 60 0e 01
128,4096,Valeriano,24704,270,00 00 00 00 00 00 00 00 00 00 00 00 80 60 0e 01
129,4128,Dahjal,24705,270,00 00 00 00 00 00 00 00 00 00 00 00 81 60 0e 01
130,4160,Mokop-Sankop,24706,270,00 00 00 00 00 00 00 00 00 00 00 00 82 60 0e 01
131,4192,Cheh Raihah,24707,270,00 00 00 00 00 00 00 00 00 00 00 00 83 60 0e 01
132,4224,Nalta,24708,270,00 00 00 00 00 00 00 00 00 00 00 00 84 60 0e 01
133,4256,Maleme,24709,270,00 00 00 00 00 00 00 00 00 00 00 00 85 60 0e 01
134,4288,Diary,24710,270,00 00 00 00 00 00 00 00 00 00 00 00 86 60 0e 01
135,4320,Home Point #1,24711,270,00 00 00 00 00 00 00 00 00 00 00 00 87 60 0e 01
136,4352,Home Point #2,24712,270,00 00 00 00 00 00 00 00 00 00 00 00 88 60 0e 01
137,4384,Home Point #3,24713,270,00 00 00 00 00 00 00 00 00 00 00 00 89 60 0e 01
138,4416,Home Point #4,24714,270,00 00 00 00 00 00 00 00 00 00 00 00 8a 60 0e 01
139,4448,Home Point #5,24715,270,00 00 00 00 00 00 00 00 00 00 00 00 8b 60 0e 01
140,4480,Hae Jakhya,24716,270,00 00 00 00 00 00 00 00 00 00 00 00 8c 60 0e 01
141,4512,Moogle,24717,270,00 00 00 00 00 00 00 00 00 00 00 00 8d 60 0e 01
142,4544,,24718,270,00 00 00 00 00 00 00 00 00 00 00 00 8e 60 0e 01
143,4576,???,24719,270,00 00 00 00 00 00 00 00 00 00 00 00 8f 60 0e 01
144,4608,,24720,270,00 00 00 00 00 00 00 00 00 00 00 00 90 60 0e 01
145,4640,Moogle,24721,270,00 00 00 00 00 00 00 00 00 00 00 00 91 60 0e 01
146,4672,Symphonic Curato,24722,270,72 00 00 00 00 00 00 00 00 00 00 00 92 60 0e 01
147,4704,Door:Count's Man,24723,270,6f 72 00 00 00 00 00 00 00 00 00 00 93 60 0e 01
148,4736,Door:Count's Man,24724,270,6f 72 00 00 00 00 00 00 00 00 00 00 94 60 0e 01
149,4768,Door:House,24725,270,00 00 00 00 00 00 00 00 00 00 00 00 95 60 0e 01
150,4800,Door:House,24726,270,00 00 00 00 00 00 00 00 00 00 00 00 96 60 0e 01
151,4832,Door:House,24727,270,00 00 00 00 00 00 00 00 00 00 00 00 97 60 0e 01
152,4864,Door:House,24728,270,00 00 00 00 00 00 00 00 00 00 00 00 98 60 0e 01
153,4896,Door:Tanners' Gu,24729,270,69 6c 64 00 00 00 00 00 00 00 00 00 99 60 0e 01
154,4928,Door:Tanners' Gu,24730,270,69 6c 64 00 00 00 00 00 00 00 00 00 9a 60 0e 01
155,4960,Door:Raimbroy's,24731,270,47 72 6f 63 65 72 79 00 00 00 00 00 9b 60 0e 01
156,4992,Door:Raimbroy's,24732,270,47 72 6f 63 65 72 79 00 00 00 00 00 9c 60 0e 01
157,5024,Door:Taumila's S,24733,270,75 6e 64 72 69 65 73 00 00 00 00 00 9d 60 0e 01
158,5056,Door:Taumila's S,24734,270,75 6e 64 72 69 65 73 00 00 00 00 00 9e 60 0e 01
159,5088,Door:House,24735,270,00 00 00 00 00 00 00 00 00 00 00 00 9f 60 0e 01
160,5120,Door:House,24736,270,00 00 00 00 00 00 00 00 00 00 00 00 a0 60 0e 01
161,5152,Door:House,24737,270,00 00 00 00 00 00 00 00 00 00 00 00 a1 60 0e 01
162,5184,Door:House,24738,270,00 00 00 00 00 00 00 00 00 00 00 00 a2 60 0e 01
163,5216,Door:House,24739,270,00 00 00 00 00 00 00 00 00 00 00 00 a3 60 0e 01
164,5248,Door:House,24740,270,00 00 00 00 00 00 00 00 00 00 00 00 a4 60 0e 01
165,5280,Door:House,24741,270,00 00 00 00 00 00 00 00 00 00 00 00 a5 60 0e 01
166,5312,Door:House,24742,270,00 00 00 00 00 00 00 00 00 00 00 00 a6 60 0e 01
167,5344,"Door:""Lion Sprin",24743,270,67 73 22 00 00 00 00 00 00 00 00 00 a7 60 0e 01
168,5376,"Door:""Lion Sprin",24744,270,67 73 22 00 00 00 00 00 00 00 00 00 a8 60 0e 01
169,5408,Door:Helbort's B,24745,270,6c 61 64 65 73 00 00 00 00 00 00 00 a9 60 0e 01
170,5440,Door:Helbort's B,24746,270,6c 61 64 65 73 00 00 00 00 00 00 00 aa 60 0e 01
171,5472,Door:Rosel's Arm,24747,270,6f 75 72 00 00 00 00 00 00 00 00 00 ab 60 0e 01
172,5504,Door:Rosel's Arm,24748,270,6f 75 72 00 00 00 00 00 00 00 00 00 ac 60 0e 01
173,5536,Door:House,24749,270,00 00 00 00 00 00 00 00 00 00 00 00 ad 60 0e 01
174,5568,Door:House,24750,270,00 00 00 00 00 00 00 00 00 00 00 00 ae 60 0e 01
175,5600,Door:House,24751,270,00 00 00 00 00 00 00 00 00 00 00 00 af 60 0e 01
176,5632,Door:House,24752,270,00 00 00 00 00 00 00 00 00 00 00 00 b0 60 0e 01
177,5664,Door:House,24753,270,00 00 00 00 00 00 00 00 00 00 00 00 b1 60 0e 01
178,5696,Door:House,24754,270,00 00 00 00 00 00 00 00 00 00 00 00 b2 60 0e 01
179,5728,Door:Chocobo Sta,24755,270,62 6c 65 73 00 00 00 00 00 00 00 00 b3 60 0e 01
180,5760,Door:Count's Man,24756,270,6f 72 00 00 00 00 00 00 00 00 00 00 b4 60 0e 01
181,5792,Moogle,24758,270,00 00 00 00 00 00 00 00 00 00 00 00 b6 60 0e 01
182,5824,Moogle,24759,270,00 00 00 00 00 00 00 00 00 00 00 00 b7 60 0e 01
183,5856,Moogle,24760,270,00 00 00 00 00 00 00 00 00 00 00 00 b8 60 0e 01
184,5888,Moogle,24761,270,00 00 00 00 00 00 00 00 00 00 00 00 b9 60 0e 01
185,5920,Moogle,24762,270,00 00 00 00 00 00 00 00 00 00 00 00 ba 60 0e 01
186,5952,Moogle,24763,270,00 00 00 00 00 00 00 00 00 00 00 00 bb 60 0e 01
187,5984,Moogle,24764,270,00 00 00 00 00 00 00 00 00 00 00 00 bc 60 0e 01
188,6016,Moogle,24765,270,00 00 00 00 00 00 00 00 00 00 00 00 bd 60 0e 01
189,6048,Adaunel,24766,270,00 00 00 00 00 00 00 00 00 00 00 00 be 60 0e 01
190,6080,Guilboire,24767,270,00 00 00 00 00 00 00 00 00 00 00 00 bf 60 0e 01
