npc_index,name,record_id,record_tag,event_ref_count,event_ref_offset,position_offset,x,y,z,confidence,raw_x,raw_y,raw_z,raw_values
1,Nonterene,28673,270,57,28524,28572,-61.99,0.0,147.22,65,-6199,0,14722,-6199 14722 0 878 20 11154 11155 1
2,Trion,28674,270,265,82708,82848,-100.81,-1.99,-4.61,120,-10081,-199,-461,-10081 -461 -199 1535 11516 11517 11518 455
3,Pieuje,28675,270,272,33260,33416,-8.96,-23.55,1399.16,95,-896,-2355,139916,-896 139916 -2355 1052 10 -991 136498 125
4,Claidie,28676,270,70,82680,82848,-100.81,-1.99,-4.61,120,-10081,-199,-461,-10081 -461 -199 1535 11516 11517 11518 455
5,Guilerme,28677,270,46,36928,36988,113.73,113.76,0.0,85,11373,11376,0,11373 0 11376 30 -3827 107453 -3000 -1014
6,Bacherume,28678,270,32,37580,37640,-29.45,0.0,985.4,120,-2945,0,98540,-2945 98540 0 1992 -2000 13 -3827 107453
7,Phaviane,28679,270,1,37836,38016,0.88,180.84,180.83,65,88,18084,18083,88 18083 18084 0 1 18085 18086 18087
8,Sochiene,28680,270,1,37860,38016,0.88,180.84,180.83,65,88,18084,18083,88 18083 18084 0 1 18085 18086 18087
9,Ailbeche,28681,270,126,37884,38064,0.35,106.5,-57.69,120,35,10650,-5769,35 -5769 10650 990 -10599 20248 60 -6847
10,Exoroche,28682,270,49,40580,40656,-175.87,251.29,49.44,70,-17587,25129,4944,-17587 4944 25129 499 5630 17927 91514 76109
11,Elesca,28683,270,2,41412,41504,67.68,0.32,0.72,35,6768,32,72,6768 72 32 8 10 -1 6744 6745
12,Miageau,28684,270,15,45592,45704,-1395.35,119.99,1981.91,90,-139535,11999,198191,-139535 198191 11999 2256 20 11189 30 11190
13,Nouveil,28685,270,12,46560,46708,1206.11,24.96,1073.61,75,120611,2496,107361,120611 107361 2496 607 -134114816 931135487 -2147385344 -2147254270
14,Arnau,28686,270,102,47332,47504,133.33,129.55,129.54,30,13333,12955,12954,13333 12954 12955 30 13008 13009 13010 13030
15,Arnau,28687,270,12,40280,40388,1461.31,23.68,0.0,80,146131,2368,0,146131 0 2368 175 -2147469568 -2147319807 70418435 -2147117696
16,Shamonde,28688,270,240,116088,116200,0.2,0.3,112.93,70,20,30,11293,20 11293 30 61 3276800 -2147403904 -2147254270 2064388
17,Abioleget,28689,270,42,50296,50376,1281.43,0.0,1164.46,55,128143,0,116446,128143 116446 0 13 151805 143822 -601 146294
18,Fittesegat,28690,270,13,55920,56056,758.33,-111.32,30.09,105,75833,-11132,3009,75833 3009 -11132 3455 -199 142139 139514 1156
19,Prerivon,28691,270,20,56300,56432,90.98,-1.99,967.71,85,9098,-199,96771,9098 96771 -199 2778 10 136102 132509 138284
20,Maurine,28692,270,15,56660,56808,903.72,17.49,883.59,65,90372,1749,88359,90372 88359 1749 60 147144 132460 2875 8
21,Malfine,28693,270,19,57172,57316,-82.05,-3.0,937.45,105,-8205,-300,93745,-8205 93745 -300 3129 192 -130351104 8388607 33554688
22,Pellimie,28694,270,19,57528,57620,833.14,17.49,851.63,65,83314,1749,85163,83314 85163 1749 2 133571 130871 3570 10
23,Coullene,28695,270,16,57792,57880,1447.0,0.0,1338.0,70,144700,0,133800,144700 133800 0 3584 144283 130503 30 10
24,Chasalvige,28696,270,82,51648,51788,1367.74,64.99,1258.36,55,136774,6499,125836,136774 125836 6499 3677 140318 128943 13339 30
25,Halaviabeau,28697,270,8,52348,52432,113.06,111.99,0.3,65,11306,11199,30,11306 30 11199 60 117643 114656 539 159
26,Olbergieut,28698,270,8,52624,52768,1198.01,5.19,1169.12,60,119801,519,116912,119801 116912 519 481 -134114816 931135487 -2147385344 -2147254270
27,Morjean,28699,270,3,53268,53332,-106.79,-1.99,80.06,105,-10679,-199,8006,-10679 8006 -199 3860 60 3660 4060 110
28,Morjean,28700,270,37,53476,53560,1311.01,-109.99,1230.77,75,131101,-10999,123077,131101 123077 -10999 1555 13 129177 121089 -11000
29,Rahal,28701,270,37,54064,54176,279.66,19.95,672.79,65,27966,1995,67279,27966 67279 1995 4082 141703 126629 0 3020
30,Oiheaurese,28702,270,29,53852,53932,1249.58,25.93,1118.34,80,124958,2593,111834,124958 111834 2593 113 -2147469568 -2147319807 570458115 -2147208704
