npc_index,name,record_id,record_tag,event_ref_count,event_ref_offset,position_offset,x,y,z,confidence,raw_x,raw_y,raw_z,raw_values
1,Trion,32769,270,69,16340,16452,-849.17,-40.76,-1097.98,80,-84917,-4076,-109798,-84917 -109798 -4076 152 -2147465216 1767768099 3173476 788529442
3,Claidie,32771,270,52,16944,17080,73.77,73.84,73.83,30,7377,7384,7383,7377 7383 7384 20 7402 7403 0 1
4,Avandale,32772,270,97,16968,17080,73.77,73.84,73.83,30,7377,7384,7383,7377 7383 7384 20 7402 7403 0 1
5,Callort,32773,270,1,17592,17756,-29.81,-39.99,-829.22,105,-2981,-3999,-82922,-2981 -82922 -3999 2027 40 -45979 -84247 8076
6,Esca,32774,270,31,17716,17784,80.76,-40.0,-770.64,120,8076,-4000,-77064,8076 -77064 -4000 1818 1000 1024 80 -11263
7,Miene,32775,270,36,17976,18100,185.77,-39.99,-716.67,120,18577,-3999,-71667,18577 -71667 -3999 1759 -15265 -95821 200 0
8,Altiret,32776,270,50,19176,19296,375.61,-9.99,-476.74,120,37561,-999,-47674,37561 -47674 -999 3072 7480 30 7481 7474
9,Morjean,32777,270,3,19860,19912,-679.94,0.6,-40.0,120,-67994,60,-4000,-67994 -4000 60 1200 1400 30 80 151006976
10,Thierride,32778,270,127,20020,20108,-724.01,40.95,-39.99,105,-72401,4095,-3999,-72401 -3999 4095 13 19560 -71158 30 7424
11,Gulemont,32779,270,42,20988,21144,46.0,-39.99,-755.0,120,4600,-3999,-75500,4600 -75500 -3999 2048 13 -19000 526 1684626944
12,Ilgusin,32780,270,40,21700,21780,44.5,-39.99,-770.0,120,4450,-3999,-77000,4450 -77000 -3999 2048 13 -18850 99 1684626944
13,Antreneau,32781,270,62,24580,24744,470.0,-10.0,-460.0,105,47000,-1000,-46000,47000 -46000 -1000 1880 13 33000 -51000 25200
14,Nogelle,32782,270,43,24600,24744,470.0,-10.0,-460.0,105,47000,-1000,-46000,47000 -46000 -1000 1880 13 33000 -51000 25200
15,Croumangue,32783,270,6,25068,25124,470.0,-10.0,-469.0,105,47000,-1000,-46900,47000 -46900 -1000 1880 13 33000 -51900 26000
